date,5. volume,4. close,2. high,1. open,3. low
2009-10-09,330619.0,12.75,13.32,13.1,12.57
2009-10-12,11330.0,12.9,13.83,13.83,12.75
2009-10-13,165314.0,12.64,13.05,13.05,12.45
2009-10-14,282750.0,12.58,12.75,12.75,12.25
2009-10-15,234070.0,12.5,12.6,12.6,12.45
2009-10-16,143850.0,12.55,12.9,12.65,12.49
2009-10-19,34924.0,12.53,12.63,12.5,12.48
2009-10-20,83371.0,12.4,12.51,12.51,12.3
2009-10-21,48244.0,12.2,12.37,12.37,12.18
2009-10-22,81984.0,12.23,12.23,12.2,11.81
2009-10-23,34180.0,12.26,12.26,12.24,12.032
2009-10-26,34570.0,12.0,12.35,12.28,11.92
2009-10-27,52018.0,11.81,12.02,11.98,11.6
2009-10-28,71033.0,11.3,11.75,11.75,11.17
2009-10-29,6200.0,11.4801,11.5,11.3,11.24
2009-10-30,57932.0,10.95,11.48,11.48,10.79
2009-11-02,26100.0,10.95,11.1,10.99,10.9
2009-11-03,83008.0,11.23,11.3,10.94,10.8699
2009-11-04,37833.0,11.36,11.6,11.4,11.1
2009-11-05,21525.0,11.15,11.44,11.44,11.1
2009-11-06,26600.0,11.33,11.5,11.12,11.12
2009-11-09,45500.0,11.14,11.39,11.39,11.0
2009-11-10,26058.0,11.08,11.34,11.34,11.03
2009-11-11,11818.0,11.01,11.16,11.14,10.95
2009-11-12,9300.0,10.95,11.06,11.05,10.95
2009-11-13,19805.0,10.96,11.02,10.95,10.95
2009-11-16,30881.0,11.03,11.1001,10.97,10.97
2009-11-17,14465.0,10.852,11.03,10.99,10.852
2009-11-18,12500.0,11.0001,11.0001,10.86,10.86
2009-11-19,29789.0,11.0999,11.3001,11.1,10.95
2009-11-20,39050.0,11.28,11.4433,11.2,11.2
2009-11-23,16900.0,11.24,11.35,11.27,11.2
2009-11-24,27680.0,11.11,11.25,11.24,11.09
2009-11-25,9085.0,11.0899,11.13,11.1,11.05
2009-11-27,6500.0,10.73,10.99,10.99,10.7
2009-11-30,11600.0,10.56,10.75,10.75,10.55
2009-12-01,31200.0,10.75,10.9,10.62,10.55
2009-12-02,11940.0,10.73,10.86,10.72,10.7
2009-12-03,15510.0,10.6548,10.74,10.73,10.6
2009-12-04,16500.0,10.85,10.95,10.85,10.6
2009-12-07,14125.0,10.6207,11.01,11.01,10.59
2009-12-08,51660.0,10.76,11.0,10.75,10.22
2009-12-09,25010.0,10.64,10.77,10.77,10.55
2009-12-10,41170.0,10.6,10.8,10.49,10.49
2009-12-11,41800.0,10.57,10.85,10.85,10.51
2009-12-14,14800.0,10.67,10.79,10.71,10.61
2009-12-15,292585.0,10.55,10.79,10.76,10.55
2009-12-16,494434.0,10.65,10.72,10.69,10.54
2009-12-17,116590.0,10.86,10.9,10.9,10.6
2009-12-18,201700.0,11.5,11.5,10.95,10.85
2009-12-21,106250.0,11.12,11.45,11.3,11.1
2009-12-22,7300.0,11.12,11.2,11.2,10.9
2009-12-23,29250.0,11.06,11.2,11.13,9.33
2009-12-24,2500.0,11.2,11.2,10.95,10.9
2009-12-28,12400.0,11.2,11.2,11.2,11.2
2009-12-29,28420.0,11.7,11.78,11.3,11.3
2009-12-30,143472.0,11.7,11.85,11.72,11.5
2009-12-31,600.0,11.6734,11.8,11.8,11.66
2010-01-04,38150.0,11.9,12.0,11.85,11.8
2010-01-05,58800.0,11.77,11.98,11.92,11.55
2010-01-06,45768.0,11.2,11.7,11.7,11.2
2010-01-07,12758.0,11.43,11.48,11.3,11.2
2010-01-08,11664.0,11.26,11.43,11.3,11.2
2010-01-11,32719.0,11.02,11.15,11.08,11.0
2010-01-12,33165.0,10.72,10.8,10.7,10.65
2010-01-13,34100.0,10.79,10.89,10.24,10.24
2010-01-14,8796.0,11.46,11.46,10.91,10.73
2010-01-15,33950.0,11.03,11.63,11.63,10.98
2010-01-19,2900.0,10.9,11.09,11.09,10.85
2010-01-20,48686.0,11.17,11.17,10.94,10.85
2010-01-21,189158.0,11.02,11.2,11.2,10.9
2010-01-22,85978.0,11.31,11.4,11.01,11.0
2010-01-25,26840.0,11.32,11.46,11.46,11.26
2010-01-26,6200.0,11.31,11.4199,11.35,11.2801
2010-01-27,200564.0,11.46,11.5,11.39,11.3
2010-01-28,20620.0,11.45,11.5,11.48,11.36
2010-01-29,9461.0,11.33,11.42,11.42,11.29
2010-02-01,9116.0,11.29,11.4,11.4,11.15
2010-02-02,1100.0,11.32,11.38,11.38,11.17
2010-02-03,4960.0,11.35,11.35,11.27,11.2
2010-02-04,65260.0,10.91,11.3,11.25,10.89
2010-02-05,28400.0,10.65,10.8,10.8,10.45
2010-02-08,37400.0,10.56,10.6,10.49,10.28
2010-02-09,39800.0,10.98,10.98,10.7,10.7
2010-02-10,45108.0,11.09,11.09,11.02,10.9
2010-02-11,62177.0,11.1,11.11,10.95,10.95
2010-02-12,43836.0,11.05,11.21,11.09,10.995
2010-02-16,140083.0,11.18,11.18,11.18,11.05
2010-02-17,212491.0,11.25,11.3,11.16,11.16
2010-02-18,222097.0,11.31,11.4,11.16,11.1
2010-02-19,42711.0,11.35,11.38,11.35,11.27
2010-02-22,14069.0,11.2,11.4,11.4,11.2
2010-02-23,29391.0,10.84,11.17,11.17,10.68
2010-02-24,12352.0,10.74,10.87,10.87,10.67
2010-02-25,39700.0,10.45,10.65,10.65,10.3
2010-02-26,135973.0,10.63,10.64,10.41,10.37
2010-03-01,4590.0,10.68,10.72,10.7,10.6
2010-03-02,89421.0,11.05,11.19,10.77,10.77
2010-03-03,9416.0,11.01,11.11,11.05,10.95
2010-03-04,13088.0,11.2,11.2,10.99,10.96
2010-03-05,145709.0,11.2,11.24,11.15,10.93
2010-03-08,47922.0,11.1,11.19,11.19,10.9
2010-03-09,31500.0,10.94,11.01,11.01,10.82
2010-03-10,14929.0,10.84,10.98,10.97,10.62
2010-03-11,30342.0,10.81,10.84,10.82,10.5801
2010-03-12,32830.0,10.96,10.96,10.8799,10.75
2010-03-15,20844.0,10.9,11.04,10.98,10.75
2010-03-16,8720.0,10.91,10.999,10.87,10.7695
2010-03-17,26562.0,10.96,11.05,10.95,10.95
2010-03-18,10190.0,10.96,11.0099,11.0099,10.78
2010-03-19,143607.0,11.3,11.66,11.0,10.8399
2010-03-22,19871.0,11.54,11.75,11.23,11.19
2010-03-23,4900.0,11.59,11.59,11.55,11.36
2010-03-24,11100.0,11.59,11.6,11.55,11.46
2010-03-25,72700.0,11.6,11.95,11.6,11.44
2010-03-26,70380.0,11.58,11.72,11.64,11.45
2010-03-29,3592.0,11.4,11.65,11.62,11.4
2010-03-30,63175.0,11.5,11.61,11.44,11.34
2010-03-31,51560.0,11.38,11.55,11.51,11.23
2010-04-01,5026.0,11.45,11.57,11.41,11.41
2010-04-05,54600.0,11.43,11.53,11.53,11.31
2010-04-06,62875.0,11.73,11.76,11.4242,11.4242
2010-04-07,27382.0,11.53,11.88,11.8,11.52
2010-04-08,14700.0,11.55,11.6,11.51,11.35
2010-04-09,55891.0,11.5,11.71,11.6,11.45
2010-04-12,7403.0,11.6,11.6,11.55,11.53
2010-04-13,31302.0,11.56,11.64,11.64,11.32
2010-04-14,60100.0,11.57,11.58,11.5,11.42
2010-04-15,18797.0,11.51,11.55,11.55,11.37
2010-04-16,17050.0,11.12,11.51,11.45,11.0801
