date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,37600.0,9.5,9.5,9.25,9.25
2000-01-04,61000.0,9.375,9.5,9.25,9.25
2000-01-05,54100.0,9.313,9.375,9.25,9.0
2000-01-06,55000.0,9.563,10.0,9.5,9.344
2000-01-07,33100.0,10.25,10.25,9.5,9.5
2000-01-10,36000.0,9.938,9.938,9.75,9.625
2000-01-11,16400.0,9.875,9.875,9.625,9.5
2000-01-12,8200.0,9.75,9.875,9.75,9.75
2000-01-13,13700.0,10.38,10.38,9.656,9.656
2000-01-14,59200.0,11.5,12.0,10.19,10.19
2000-01-18,24400.0,11.06,11.19,11.19,11.0
2000-01-19,86600.0,11.38,11.38,11.19,11.19
2000-01-20,18300.0,11.38,11.44,11.44,11.25
2000-01-21,43300.0,11.5,11.56,11.38,11.25
2000-01-24,63200.0,11.56,11.56,11.38,11.38
2000-01-25,8600.0,11.63,11.63,11.56,11.5
2000-01-26,26400.0,11.56,11.63,11.56,11.38
2000-01-27,50400.0,11.5,11.69,11.63,11.38
2000-01-28,34000.0,11.69,11.75,11.25,11.25
2000-01-31,18500.0,11.75,11.75,11.69,11.5
2000-02-01,36200.0,11.75,11.88,11.69,11.56
2000-02-02,21400.0,11.5,11.63,11.63,11.5
2000-02-03,26400.0,11.44,11.69,11.25,11.19
2000-02-04,83300.0,11.5,11.63,11.0,11.0
2000-02-07,90000.0,11.5,11.5,11.31,11.13
2000-02-08,6700.0,10.44,11.38,11.38,10.38
2000-02-09,5400.0,10.19,10.44,10.44,9.875
2000-02-10,10900.0,10.0,10.38,10.38,9.25
2000-02-11,4100.0,9.438,10.0,10.0,9.438
2000-02-14,1600.0,9.25,9.25,9.25,9.125
2000-02-15,6200.0,9.375,9.438,9.438,9.25
2000-02-16,18700.0,9.563,9.563,9.438,9.438
2000-02-17,15700.0,9.625,9.75,9.563,9.563
2000-02-18,5400.0,9.625,9.688,9.688,9.625
2000-02-22,13300.0,9.25,9.688,9.688,9.125
2000-02-23,15200.0,9.5,9.75,9.125,9.125
2000-02-24,5000.0,9.813,10.25,9.813,9.75
2000-02-25,200.0,9.813,9.813,9.5,9.5
2000-02-28,1700.0,9.25,9.688,9.688,9.25
2000-02-29,400.0,9.125,9.188,9.188,9.125
2000-03-01,2100.0,9.063,9.188,9.063,9.063
2000-03-02,8600.0,8.625,9.125,9.063,8.625
2000-03-03,3100.0,9.0,9.125,9.125,8.563
2000-03-06,2000.0,8.625,9.0,9.0,8.625
2000-03-07,24000.0,8.188,9.0,8.5,8.0
2000-03-08,10100.0,8.25,9.063,9.063,8.25
2000-03-09,4900.0,8.938,8.938,8.625,8.313
2000-03-10,40100.0,8.25,8.938,8.656,8.25
2000-03-13,0.0,8.25,8.25,8.25,8.25
