date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,48600.0,42.81,44.69,44.63,42.75
2000-01-04,58600.0,41.63,43.19,42.63,41.5
2000-01-05,199700.0,43.25,43.31,41.88,41.75
2000-01-06,101800.0,43.82,44.19,42.75,42.44
2000-01-07,66600.0,44.38,44.44,44.0,43.38
2000-01-10,132800.0,43.63,44.88,44.25,43.5
2000-01-11,94300.0,42.75,43.63,43.56,42.63
2000-01-12,156700.0,43.38,43.5,42.75,42.5
2000-01-13,82500.0,43.5,43.88,43.38,43.19
2000-01-14,60200.0,43.25,43.63,43.25,43.19
2000-01-18,109900.0,41.94,43.13,43.06,41.88
2000-01-19,80600.0,42.5,42.75,42.0,42.0
2000-01-20,77000.0,41.13,42.38,42.38,40.94
2000-01-21,120600.0,40.5,41.63,41.13,40.38
2000-01-24,303800.0,40.25,41.31,40.75,40.25
2000-01-25,265700.0,40.0,41.0,40.25,39.69
2000-01-26,313500.0,40.63,43.38,40.0,39.88
2000-01-27,140300.0,40.56,41.63,41.0,40.31
2000-01-28,177400.0,41.06,41.81,40.75,40.69
2000-01-31,106300.0,40.25,41.13,41.13,39.38
2000-02-01,95200.0,40.38,40.63,40.13,39.5
2000-02-02,145500.0,40.25,40.38,40.13,39.25
2000-02-03,97900.0,40.31,40.44,40.06,39.56
2000-02-04,79000.0,40.0,40.63,40.0,39.94
2000-02-07,96800.0,38.19,39.88,39.5,37.75
2000-02-08,75500.0,38.63,39.31,38.44,38.44
2000-02-09,215300.0,37.94,39.63,38.63,37.94
2000-02-10,309100.0,37.88,38.44,38.0,37.06
2000-02-11,245500.0,37.0,38.25,38.0,36.63
2000-02-14,228200.0,38.25,38.38,37.25,36.88
2000-02-15,126000.0,39.81,39.88,38.25,38.13
2000-02-16,105400.0,38.75,40.0,39.56,38.19
2000-02-17,62400.0,38.44,39.63,39.19,38.38
2000-02-18,111400.0,37.63,38.94,38.5,37.31
2000-02-22,116200.0,38.81,38.88,38.0,38.0
2000-02-23,123100.0,38.31,38.69,38.63,37.56
2000-02-24,187500.0,37.69,38.44,38.31,37.69
2000-02-25,75100.0,36.94,37.88,37.63,36.94
2000-02-28,100500.0,36.69,37.63,37.0,36.69
2000-02-29,141700.0,38.0,38.0,36.75,36.0
2000-03-01,83700.0,37.44,38.0,38.0,36.81
2000-03-02,43900.0,37.06,37.81,37.38,37.06
2000-03-03,323100.0,38.44,39.63,37.0,37.0
2000-03-06,187600.0,37.69,38.25,38.19,37.44
2000-03-07,146500.0,36.81,37.56,37.5,36.81
2000-03-08,188300.0,37.63,38.44,36.75,36.75
2000-03-09,117300.0,38.5,38.5,37.63,36.69
2000-03-10,83900.0,38.94,39.63,38.38,38.38
2000-03-13,244800.0,39.44,40.0,38.5,38.5
2000-03-14,232400.0,37.88,39.63,39.44,37.69
2000-03-15,173300.0,39.81,39.88,37.88,37.81
2000-03-16,196800.0,41.94,42.0,39.94,39.94
2000-03-17,125100.0,40.94,41.94,41.94,40.63
2000-03-20,96800.0,41.06,42.69,40.94,40.94
2000-03-21,107500.0,41.69,41.69,41.38,41.0
2000-03-22,128900.0,40.19,41.81,41.56,39.75
2000-03-23,197300.0,41.0,41.94,40.38,40.38
2000-03-24,119900.0,40.06,41.06,41.06,40.06
2000-03-27,136500.0,40.13,41.38,40.06,40.0
2000-03-28,242600.0,39.06,39.75,38.0,37.63
2000-03-29,157200.0,39.88,40.13,39.0,38.94
2000-03-30,110800.0,41.0,41.5,39.5,39.5
2000-03-31,156600.0,43.0,43.38,41.38,41.38
2000-04-03,187400.0,42.75,43.75,43.0,42.38
2000-04-04,157200.0,41.63,43.81,42.81,41.06
2000-04-05,172400.0,41.06,42.94,41.63,40.88
2000-04-06,110900.0,40.5,42.5,41.31,40.38
2000-04-07,106700.0,40.88,41.19,40.88,39.88
2000-04-10,119000.0,42.13,43.19,41.25,41.25
2000-04-11,198000.0,43.0,44.0,42.94,42.88
2000-04-12,179700.0,43.0,44.5,43.0,42.75
2000-04-13,115700.0,42.56,43.38,43.19,42.25
2000-04-14,158800.0,40.5,42.63,42.63,39.75
2000-04-17,171200.0,40.5,40.88,40.44,39.06
2000-04-18,167300.0,39.63,40.88,40.5,39.25
2000-04-19,154400.0,39.31,40.56,39.63,38.81
2000-04-20,160100.0,39.19,39.19,38.88,38.38
2000-04-24,127900.0,39.0,39.44,39.19,38.56
2000-04-25,112700.0,40.75,40.81,39.31,39.25
2000-04-26,97000.0,40.25,41.75,40.69,39.88
2000-04-27,60900.0,39.38,39.81,39.75,39.0
2000-04-28,144000.0,39.44,40.06,39.63,38.81
2000-05-01,85200.0,40.06,40.25,39.25,39.19
2000-05-02,88600.0,40.19,41.0,39.88,39.75
2000-05-03,106600.0,39.5,40.06,40.06,39.13
2000-05-04,126300.0,39.63,40.31,39.5,38.75
2000-05-05,92300.0,39.5,40.69,39.63,39.31
2000-05-08,136900.0,38.88,39.38,39.0,38.63
2000-05-09,126000.0,38.69,39.25,38.88,38.19
2000-05-10,141700.0,39.69,39.94,38.94,38.94
2000-05-11,127500.0,40.19,40.25,39.63,39.13
2000-05-12,127600.0,40.31,40.5,40.19,39.5
2000-05-15,139800.0,41.81,42.38,40.38,40.38
2000-05-16,106200.0,41.13,42.44,41.63,40.69
2000-05-17,72000.0,40.63,41.5,41.0,40.56
2000-05-18,67300.0,40.25,40.94,40.63,40.06
