date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,0.0,0.875,0.875,0.875,0.875
2000-01-04,600.0,0.75,0.75,0.75,0.75
2000-01-05,7400.0,0.75,0.75,0.75,0.75
2000-01-06,5200.0,0.75,0.77,0.77,0.75
2000-01-07,0.0,0.75,0.75,0.75,0.75
2000-01-10,0.0,0.75,0.75,0.75,0.75
2000-01-11,500.0,0.75,0.75,0.75,0.75
2000-01-12,1000.0,0.75,0.75,0.75,0.75
2000-01-13,0.0,0.75,0.75,0.75,0.75
2000-01-14,0.0,0.75,0.75,0.75,0.75
2000-01-18,0.0,0.75,0.75,0.75,0.75
2000-01-19,15000.0,0.75,0.75,0.75,0.72
2000-01-20,300.0,0.7188,0.7188,0.7188,0.7188
2000-01-21,0.0,0.7188,0.7188,0.7188,0.7188
2000-01-24,0.0,0.7188,0.7188,0.7188,0.7188
2000-01-25,0.0,0.7188,0.7188,0.7188,0.7188
2000-01-26,0.0,0.7188,0.7188,0.7188,0.7188
2000-01-27,0.0,0.7188,0.7188,0.7188,0.7188
2000-01-28,400.0,0.7188,0.7188,0.7188,0.7188
2000-01-31,0.0,0.7188,0.7188,0.7188,0.7188
2000-02-01,10500.0,0.8125,0.8125,0.7188,0.7188
2000-02-02,1000.0,1.0313,1.0313,1.0313,1.0313
2000-02-03,2700.0,1.0313,1.0313,1.0313,1.0313
2000-02-04,0.0,1.0313,1.0313,1.0313,1.0313
2000-02-07,1300.0,0.7813,0.7813,0.7813,0.7813
2000-02-08,400.0,0.7813,0.7813,0.7813,0.7813
2000-02-09,1100.0,0.7813,0.7813,0.7813,0.7813
2000-02-10,0.0,0.7813,0.7813,0.7813,0.7813
2000-02-11,0.0,0.7813,0.7813,0.7813,0.7813
2000-02-14,0.0,0.7813,0.7813,0.7813,0.7813
2000-02-15,100.0,0.875,0.875,0.875,0.875
2000-02-16,3000.0,0.875,0.875,0.875,0.875
2000-02-17,34600.0,1.125,1.125,0.875,0.875
2000-02-18,13000.0,1.19,1.19,1.12,1.12
2000-02-22,75900.0,1.19,1.34,1.19,1.19
2000-02-23,0.0,1.1875,1.1875,1.1875,1.1875
2000-02-24,0.0,1.1875,1.1875,1.1875,1.1875
2000-02-25,4500.0,1.16,1.16,1.12,1.12
2000-02-28,500.0,1.16,1.16,1.16,1.16
2000-02-29,200.0,1.09,1.09,1.09,1.09
2000-03-01,25000.0,1.12,1.12,1.09,1.09
2000-03-02,10800.0,1.34,1.34,1.34,1.31
2000-03-03,0.0,1.34,1.34,1.34,1.34
2000-03-06,4900.0,1.38,1.38,1.34,1.34
2000-03-07,13500.0,1.5,1.5,1.38,1.38
2000-03-08,66500.0,1.75,2.0313,1.9688,1.75
2000-03-09,14600.0,1.5,1.88,1.75,1.5
2000-03-10,10000.0,1.56,1.56,1.5,1.5
2000-03-13,400.0,1.5,1.5,1.5,1.5
2000-03-14,2500.0,1.5,1.5,1.5,1.5
2000-03-15,16000.0,1.88,1.88,1.56,1.5
2000-03-16,50100.0,2.125,2.5,1.75,1.375
2000-03-17,0.0,2.125,2.125,2.125,2.125
2000-03-20,0.0,2.125,2.125,2.125,2.125
2000-03-21,0.0,2.125,2.125,2.125,2.125
2000-03-22,0.0,2.125,2.125,2.125,2.125
2000-03-23,0.0,2.125,2.125,2.125,2.125
2000-03-24,0.0,2.125,2.125,2.125,2.125
2000-03-27,500.0,1.375,1.375,1.375,1.375
2000-03-28,4300.0,1.375,1.375,1.375,1.375
2000-03-29,69100.0,1.38,1.5,1.38,1.28
2000-03-30,5500.0,1.5,1.5,1.5,1.5
2000-03-31,12000.0,1.5,1.5,1.38,1.38
2000-04-03,1000.0,1.5,1.5,1.5,1.5
2000-04-04,0.0,1.5,1.5,1.5,1.5
2000-04-05,1500.0,1.97,1.97,1.97,1.97
2000-04-06,4100.0,1.5,1.52,1.5,1.5
2000-04-07,1000.0,1.73,1.73,1.73,1.73
2000-04-10,300.0,1.5,1.5,1.5,1.5
2000-04-11,4000.0,1.56,1.62,1.56,1.56
2000-04-12,0.0,1.56,1.56,1.56,1.56
2000-04-13,100.0,1.47,1.47,1.47,1.47
2000-04-14,7100.0,1.5,1.5,1.47,1.47
2000-04-17,0.0,1.5,1.5,1.5,1.5
