date,5. volume,4. close,2. high,1. open,3. low
2018-02-28,34000.0,24.55,24.62,24.62,24.55
2018-03-01,16250.0,24.59,24.59,24.57,24.55
2018-03-02,600.0,24.7,24.7,24.7,24.7
2018-03-05,1605.0,24.65,24.7,24.7,24.65
2018-03-06,300.0,24.65,24.65,24.65,24.65
2018-03-07,2800.0,24.75,24.75,24.7,24.7
2018-03-08,20090.0,24.6,24.6,24.585,24.585
2018-03-09,2000.0,25.0,25.0,25.0,25.0
2018-03-12,0.0,25.0,25.0,25.0,25.0
2018-03-13,0.0,25.0,25.0,25.0,25.0
2018-03-14,200.0,24.75,24.75,24.75,24.75
2018-03-15,1016.0,24.5,24.75,24.75,24.5
2018-03-16,700.0,24.6,24.6,24.6,24.6
2018-03-19,1200.0,24.6,24.6,24.6,24.6
2018-03-20,500.0,24.6,24.6,24.6,24.6
2018-03-21,16.0,24.6,24.6,24.6,24.6
2018-03-22,829.0,24.4,24.4,24.3,24.3
2018-03-23,3052.0,24.2,24.4,24.4,24.1482
2018-03-26,2092.0,24.3999,24.4,24.4,24.3999
2018-03-27,2099.0,24.5025,24.5059,24.3695,24.36
2018-03-28,9543.0,24.6,24.716,24.716,24.585
2018-03-29,1410.0,24.6025,24.6025,24.6,24.6
2018-04-02,1405.0,24.5,24.6,24.6,24.5
2018-04-03,1958.0,24.35,24.599,24.599,24.35
2018-04-04,1716.0,24.445,24.445,24.351,24.351
2018-04-05,4697.0,24.4806,24.5,24.405,24.4
2018-04-06,2171.0,24.5,24.52,24.52,24.5
2018-04-09,481.0,24.5268,24.55,24.55,24.5268
2018-04-10,2500.0,24.55,25.0,25.0,24.352
2018-04-11,5066.0,24.853,25.0,24.6,24.5814
2018-04-12,277.0,24.9585,24.9585,24.9585,24.9585
2018-04-13,756.0,25.0,25.0,25.0,25.0
2018-04-16,1715.0,25.0,25.1,24.95,24.95
2018-04-17,4702.0,24.9999,25.0,25.0,24.9502
2018-04-18,5800.0,25.0,25.0,24.95,24.93
2018-04-19,1001.0,24.93,24.96,24.96,24.93
2018-04-20,2606.0,25.0999,25.1,24.999,24.999
2018-04-23,1700.0,25.0,25.0,25.0,25.0
2018-04-24,1.0,25.0,25.0,25.0,25.0
2018-04-25,0.0,25.0,25.0,25.0,25.0
2018-04-26,1408.0,25.0202,25.1,25.1,25.0202
2018-04-27,400.0,25.0598,25.0598,25.05,25.05
2018-04-30,200.0,24.506,24.506,24.506,24.506
2018-05-01,480.0,24.506,24.506,24.506,24.506
2018-05-02,1334.0,25.43,28.0,28.0,25.43
2018-05-03,4273.0,25.5,26.0,25.7,25.5
2018-05-04,127.0,25.5,25.5,25.5,25.5
2018-05-07,1265.0,26.6101,27.99,27.94,26.6101
2018-05-08,700.0,26.5,26.55,26.55,26.5
2018-05-09,920.0,25.95,26.147,26.03,25.75
2018-05-10,3165.0,25.51,25.61,25.53,25.51
2018-05-11,1390.0,25.6,25.6347,25.61,25.6
2018-05-14,33.0,25.6,25.6,25.6,25.6
2018-05-15,2308.0,25.53,25.7,25.69,25.53
2018-05-16,2759.0,25.5,25.6,25.6,25.5
2018-05-17,961.0,25.57,25.6,25.59,25.57
2018-05-18,890.0,25.55,25.55,25.5,25.5
2018-05-21,1253.0,25.9993,27.88,27.88,25.9993
2018-05-22,1382.0,25.6001,25.7017,25.7017,25.6001
2018-05-23,0.0,25.6001,25.6001,25.6001,25.6001
2018-05-24,7850.0,25.8,26.253,25.7001,25.5
2018-05-25,2125.0,25.835,25.835,25.8,25.54
2018-05-29,500.0,25.75,26.09,26.09,25.75
2018-05-30,700.0,26.3725,26.3725,26.3725,26.3725
2018-05-31,3870.0,25.7026,25.7026,25.6,25.6
2018-06-01,9.0,25.7026,25.7026,25.7026,25.7026
2018-06-04,457.0,26.1,26.1,26.0097,26.0097
2018-06-05,32.0,26.1,26.1,26.1,26.1
2018-06-06,27.0,26.1,26.1,26.1,26.1
2018-06-07,2960.0,25.97,26.0,26.0,25.9607
2018-06-08,2577.0,26.0,26.0,26.0,26.0
