date,5. volume,4. close,2. high,1. open,3. low
2015-08-06,16172706.0,16.0,16.18,14.5,13.75
2015-08-07,1844464.0,18.25,18.45,16.07,16.0
2015-08-10,1088346.0,18.68,20.68,19.5,18.43
2015-08-11,668562.0,17.38,18.763,18.68,16.711
2015-08-12,550500.0,16.79,17.19,17.03,16.5
2015-08-13,466912.0,18.56,18.77,17.05,17.0
2015-08-14,426055.0,18.78,18.9,18.56,17.9
2015-08-17,225500.0,19.1,19.395,18.64,18.3401
2015-08-18,211845.0,19.0,19.24,19.19,18.78
2015-08-19,581382.0,17.79,19.0,18.75,17.15
2015-08-20,540057.0,16.99,17.48,17.48,16.581
2015-08-21,513574.0,16.24,16.74,16.52,16.01
2015-08-24,653774.0,15.05,15.5,14.75,13.65
2015-08-25,302793.0,15.27,16.86,16.86,15.01
2015-08-26,258197.0,15.9,16.25,15.84,15.45
2015-08-27,252682.0,16.05,16.5,16.3,15.84
2015-08-28,202480.0,16.78,16.83,15.95,15.94
2015-08-31,450476.0,17.81,17.85,17.75,17.45
2015-09-01,689476.0,18.24,19.2,16.71,16.71
2015-09-02,566730.0,18.5,19.0,19.0,17.79
2015-09-03,902679.0,18.6,19.6488,19.0,18.0654
2015-09-04,227518.0,18.59,18.7499,18.41,17.75
2015-09-08,487090.0,18.38,18.98,18.74,18.2
2015-09-09,409688.0,17.73,18.624,18.5,17.14
2015-09-10,371185.0,17.64,18.25,17.88,17.5
2015-09-11,218880.0,17.71,17.8,17.34,17.29
2015-09-14,348126.0,17.6,17.99,17.71,17.0
2015-09-15,455064.0,17.6,17.94,17.7,17.38
2015-09-16,757321.0,18.05,18.09,17.36,17.3101
2015-09-17,722872.0,18.38,18.95,18.06,17.7301
2015-09-18,1026272.0,17.83,18.85,17.94,17.59
2015-09-21,360130.0,17.88,18.75,17.97,17.51
2015-09-22,372061.0,17.37,18.08,17.7,17.21
2015-09-23,307220.0,17.65,18.38,17.43,17.4
2015-09-24,348361.0,17.72,18.27,17.5,17.47
2015-09-25,758240.0,18.1,18.29,18.04,17.5
2015-09-28,445434.0,17.5,18.4,18.01,17.46
2015-09-29,457335.0,17.5,18.28,17.53,17.2699
2015-09-30,2433251.0,17.14,18.01,17.67,17.06
2015-10-01,404853.0,16.19,17.31,17.25,15.98
2015-10-02,180030.0,15.94,16.365,16.12,15.51
2015-10-05,354412.0,16.28,16.65,16.12,15.86
2015-10-06,284229.0,16.4,16.68,16.21,16.03
2015-10-07,320846.0,16.11,16.45,16.39,15.74
2015-10-08,336804.0,16.6,16.83,16.03,15.86
2015-10-09,145169.0,16.53,16.68,16.6,16.44
2015-10-12,111347.0,15.93,16.6,16.5,15.91
2015-10-13,279826.0,16.55,16.72,15.93,15.93
2015-10-14,136363.0,16.75,16.93,16.52,16.45
2015-10-15,237808.0,17.13,17.16,16.78,16.78
2015-10-16,118649.0,17.04,17.32,17.1,16.94
2015-10-19,77073.0,16.91,17.064,16.94,16.86
2015-10-20,94889.0,16.75,16.89,16.81,16.72
2015-10-21,242029.0,16.37,16.93,16.82,15.96
2015-10-22,276991.0,16.77,16.84,16.43,16.43
2015-10-23,175269.0,16.84,17.01,16.86,16.75
2015-10-26,208064.0,16.57,16.83,16.77,16.0
2015-10-27,281047.0,16.35,16.58,16.49,16.17
2015-10-28,227610.0,16.88,16.94,16.41,16.35
2015-10-29,153512.0,16.89,16.97,16.88,16.6
2015-10-30,111286.0,16.34,16.91,16.87,16.21
2015-11-02,682686.0,16.26,16.8,16.36,16.01
2015-11-03,634702.0,16.03,16.5,16.27,15.91
2015-11-04,229644.0,15.89,16.43,16.11,15.65
2015-11-05,100570.0,15.7,16.0,15.9,15.6
2015-11-06,388892.0,15.36,15.92,15.76,15.27
2015-11-09,399661.0,14.99,15.3,15.3,14.5
2015-11-10,232608.0,15.01,15.2,14.92,14.6
2015-11-11,108816.0,15.13,15.26,15.07,14.88
2015-11-12,182088.0,15.03,15.17,15.15,14.93
2015-11-13,1200036.0,16.07,17.34,16.87,16.02
2015-11-16,430793.0,15.87,16.09,16.09,14.89
