date,5. volume,4. close,2. high,1. open,3. low
2010-05-05,125267.0,11.29,11.95,11.25,10.93
2010-05-06,19659.0,11.49,11.8,11.25,11.25
2010-05-07,5053.0,11.5,11.55,11.55,11.26
2010-05-10,61200.0,11.55,11.72,11.72,11.3
2010-05-11,22600.0,11.5,11.6,11.53,11.3506
2010-05-12,275800.0,11.4,11.82,11.5,11.25
2010-05-13,87800.0,11.32,11.48,11.35,11.24
2010-05-14,10200.0,11.57,11.57,11.28,11.09
2010-05-17,89200.0,11.42,11.66,11.65,11.39
2010-05-18,24000.0,11.5525,11.65,11.44,11.44
2010-05-19,40900.0,11.87,11.87,11.56,11.34
2010-05-20,23400.0,11.6,11.87,11.87,11.43
2010-05-21,112500.0,11.7,12.24,11.6,11.38
2010-05-24,23000.0,11.66,12.05,11.88,11.66
2010-05-25,84700.0,11.72,11.73,11.67,11.3
2010-05-26,45800.0,11.72,12.1,12.0,11.66
2010-05-27,14000.0,12.05,12.05,11.85,11.78
2010-05-28,32400.0,11.85,12.22,12.05,11.7
2010-06-01,14800.0,11.81,11.97,11.86,11.7
2010-06-02,14800.0,11.52,11.77,11.72,11.26
2010-06-03,13200.0,11.69,11.8,11.48,11.48
2010-06-04,8400.0,11.68,11.83,11.55,11.5
2010-06-07,5800.0,11.69,11.7,11.63,11.4995
2010-06-08,24000.0,11.65,11.88,11.695,11.35
2010-06-09,4200.0,11.85,12.03,11.65,11.54
2010-06-10,8000.0,11.85,12.01,11.93,11.73
2010-06-11,5600.0,11.92,11.92,11.84,11.76
2010-06-14,45400.0,12.0,12.19,12.1,11.92
2010-06-15,42300.0,11.82,12.07,11.97,11.62
2010-06-16,24200.0,11.77,11.77,11.64,11.41
2010-06-17,19200.0,11.89,12.09,11.82,11.8
2010-06-18,24200.0,11.82,11.95,11.94,11.71
2010-06-21,11000.0,11.65,11.915,11.87,11.5
2010-06-22,11400.0,11.54,11.78,11.78,11.5
2010-06-23,19600.0,11.75,11.75,11.47,11.44
2010-06-24,93800.0,12.08,12.46,11.81,11.4
2010-06-25,860200.0,12.38,12.56,12.14,11.92
2010-06-28,10600.0,11.74,12.45,12.45,11.7
2010-06-29,29400.0,11.5,11.7,11.69,11.4
2010-06-30,38400.0,11.5,11.65,11.47,11.39
2010-07-01,16600.0,11.58,11.78,11.57,11.39
2010-07-02,34300.0,11.93,11.96,11.64,11.4675
2010-07-06,13200.0,11.52,11.99,11.99,11.48
2010-07-07,19600.0,11.75,11.75,11.6,11.49
2010-07-08,32400.0,12.0,12.18,11.8,11.8
2010-07-09,18700.0,11.99,12.01,11.94,11.89
2010-07-12,15200.0,11.67,11.99,11.89,11.64
2010-07-13,36900.0,11.92,12.0,11.77,11.77
2010-07-14,16200.0,11.99,12.03,11.86,11.72
2010-07-15,21500.0,11.54,11.97,11.97,11.43
2010-07-16,22600.0,11.26,11.55,11.51,11.22
2010-07-19,35400.0,10.89,11.37,11.32,10.76
2010-07-20,71300.0,11.38,11.4,10.8,10.2
2010-07-21,23100.0,11.06,11.5,11.43,11.01
2010-07-22,38400.0,11.42,11.64,11.14,11.1
2010-07-23,124900.0,11.95,12.02,11.33,11.29
2010-07-26,51600.0,11.98,12.26,12.03,11.97
2010-07-27,59100.0,11.89,12.21,12.06,11.4
2010-07-28,31700.0,11.64,11.98,11.83,11.52
2010-07-29,69600.0,11.25,11.8,11.7,10.75
2010-07-30,109900.0,11.85,11.89,11.03,11.03
2010-08-02,37100.0,11.68,11.95,11.95,11.6
2010-08-03,11600.0,11.6,11.73,11.68,11.32
2010-08-04,106100.0,11.5,11.66,11.66,10.96
2010-08-05,16100.0,11.18,11.44,11.44,11.13
2010-08-06,15400.0,11.16,11.64,11.08,11.0
2010-08-09,85200.0,11.3,11.36,11.21,10.793
2010-08-10,197900.0,11.43,11.99,11.99,11.4
2010-08-11,85800.0,11.47,11.56,11.29,11.16
2010-08-12,55200.0,11.1,11.5,11.3,10.8
2010-08-13,27400.0,11.2,11.3,11.03,10.86
2010-08-16,43100.0,11.41,11.46,11.11,11.09
2010-08-17,42300.0,11.28,11.54,11.51,11.16
2010-08-18,30900.0,11.28,11.4,11.3,11.13
2010-08-19,33500.0,11.08,11.29,11.27,11.06
2010-08-20,137600.0,11.53,11.56,11.01,11.01
2010-08-23,82800.0,11.42,11.64,11.64,11.37
2010-08-24,95600.0,11.1,11.35,11.3,10.94
2010-08-25,27500.0,11.46,11.47,11.04,11.02
2010-08-26,27100.0,11.26,11.45,11.45,11.16
2010-08-27,49600.0,11.42,11.47,11.36,11.28
2010-08-30,47800.0,11.26,11.33,11.33,10.99
2010-08-31,77500.0,11.36,11.42,11.26,11.1
2010-09-01,62600.0,11.89,11.95,11.4,11.24
2010-09-02,65600.0,12.02,12.1,11.84,11.73
2010-09-03,52700.0,12.33,12.65,12.28,12.19
2010-09-07,43800.0,12.28,12.69,12.33,12.0
2010-09-08,37300.0,12.27,12.59,12.35,12.15
2010-09-09,27500.0,12.12,12.59,12.42,11.94
2010-09-10,28700.0,12.34,12.37,12.13,11.94
2010-09-13,36300.0,12.83,12.99,12.43,12.05
2010-09-14,47800.0,12.77,13.0,12.84,12.65
2010-09-15,44700.0,12.64,12.89,12.75,12.1
2010-09-16,52900.0,11.9,12.87,12.64,11.89
2010-09-17,110000.0,11.7,12.01,12.01,11.35
2010-09-20,245300.0,11.69,11.79,11.79,11.32
2010-09-21,126100.0,11.5,11.66,11.56,11.26
2010-09-22,228800.0,11.32,11.67,11.49,11.25
2010-09-23,151400.0,11.36,11.53,11.28,11.25
2010-09-24,83400.0,11.65,11.65,11.48,11.4
2010-09-27,38900.0,12.01,12.0299,11.66,11.53
2010-09-28,29700.0,12.17,12.32,12.07,12.05
2010-09-29,25300.0,12.17,12.27,12.17,12.1
2010-09-30,48500.0,12.35,12.39,12.25,11.95
2010-10-01,24000.0,12.48,12.65,12.37,11.97
2010-10-04,62600.0,12.44,12.6,12.4,12.37
2010-10-05,75200.0,13.04,13.19,12.6,12.6
2010-10-06,117000.0,13.49,13.63,12.97,12.97
2010-10-07,114300.0,13.48,13.6,13.6,13.33
2010-10-08,22400.0,13.96,14.0,13.49,13.49
2010-10-11,19200.0,13.84,14.0,13.99,13.8
2010-10-12,9900.0,13.59,13.78,13.78,13.41
2010-10-13,24000.0,13.63,13.7,13.68,13.5
2010-10-14,43900.0,13.57,13.74,13.67,13.33
2010-10-15,78000.0,13.21,13.73,13.63,13.0
2010-10-18,71200.0,13.78,13.92,13.26,13.2
2010-10-19,39000.0,13.59,13.69,13.63,13.355
2010-10-20,65700.0,13.78,13.82,13.68,13.44
2010-10-21,91000.0,13.76,13.97,13.87,13.61
2010-10-22,73500.0,14.09,14.23,13.82,13.69
2010-10-25,17600.0,14.26,14.45,14.16,14.16
2010-10-26,27900.0,14.19,14.27,14.27,13.99
2010-10-27,62000.0,14.32,14.32,14.17,13.74
2010-10-28,54700.0,14.15,15.0,14.41,14.02
2010-10-29,254400.0,14.42,14.57,14.07,14.0
2010-11-01,34700.0,14.29,14.52,14.52,14.23
2010-11-02,152100.0,14.09,14.3,13.64,13.06
2010-11-03,49000.0,13.82,14.05,14.05,13.57
2010-11-04,49100.0,14.31,14.37,14.0,13.69
2010-11-05,54800.0,14.46,14.54,14.36,13.95
2010-11-08,59600.0,14.45,14.64,14.51,14.29
2010-11-09,65400.0,14.61,15.05,14.41,14.29
2010-11-10,24000.0,15.09,15.25,14.68,14.57
2010-11-11,79800.0,15.0,15.64,14.98,14.94
2010-11-12,39200.0,15.08,15.23,14.93,14.93
2010-11-15,62900.0,15.06,15.48,15.16,14.73
2010-11-16,91900.0,14.96,15.3,14.98,14.89
2010-11-17,43000.0,15.08,15.17,14.93,14.83
2010-11-18,391500.0,15.07,15.15,15.13,14.92
2010-11-19,295000.0,14.47,14.79,14.4,13.93
2010-11-22,66900.0,14.49,14.5,14.38,14.35
2010-11-23,46300.0,14.67,14.7,14.36,14.36
2010-11-24,102600.0,14.7,14.87,14.77,14.43
2010-11-26,31900.0,14.7,14.73,14.6,14.54
2010-11-29,64300.0,14.75,14.78,14.62,14.45
2010-11-30,469400.0,14.75,14.97,14.65,14.5
2010-12-01,73400.0,14.72,14.95,14.95,14.645
2010-12-02,120000.0,14.85,14.92,14.79,14.47
2010-12-03,120600.0,15.05,15.06,14.79,14.58
2010-12-06,47700.0,15.13,15.24,15.02,14.97
2010-12-07,22700.0,15.19,15.25,15.25,15.07
2010-12-08,155400.0,14.99,15.24,15.23,14.83
2010-12-09,77000.0,14.83,15.17,15.1,14.67
2010-12-10,98900.0,15.17,15.25,14.8,14.63
2010-12-13,44100.0,15.05,15.24,15.18,14.97
2010-12-14,81200.0,14.95,15.7,15.17,14.83
2010-12-15,50800.0,15.0,15.07,14.91,14.72
2010-12-16,41100.0,15.0,15.0,15.0,15.0
2010-12-17,180800.0,14.62,15.15,15.0,14.36
2010-12-20,35600.0,15.2,15.23,14.63,14.61
2010-12-21,38500.0,15.93,15.99,15.29,15.2
2010-12-22,43000.0,15.63,15.97,15.97,15.3
2010-12-23,29300.0,16.08,16.13,15.6,15.58
2010-12-27,63200.0,16.36,16.84,16.08,16.08
2010-12-28,50100.0,15.98,16.4,16.35,15.98
2010-12-29,54100.0,15.49,15.98,15.98,15.45
2010-12-30,76300.0,15.62,16.08,15.51,15.46
2010-12-31,34800.0,15.15,15.6,15.6,15.11
2011-01-03,39700.0,15.25,15.45,15.27,15.19
2011-01-04,43200.0,14.94,15.37,15.22,14.63
2011-01-05,110500.0,15.0,15.27,14.99,14.69
2011-01-06,33700.0,14.92,15.07,15.0,14.85
2011-01-07,38500.0,14.74,14.91,14.91,14.651
2011-01-10,50800.0,14.84,15.03,14.7,14.7
2011-01-11,61800.0,14.93,15.0,14.93,14.79
2011-01-12,59400.0,14.98,15.09,15.0,14.91
2011-01-13,21000.0,15.27,15.52,14.96,14.96
2011-01-14,50000.0,15.23,15.48,15.33,15.1
2011-01-18,78700.0,14.81,15.27,15.17,14.36
2011-01-19,52800.0,14.87,15.29,14.73,14.7
2011-01-20,28300.0,14.77,15.04,14.89,14.75
2011-01-21,33500.0,14.57,14.83,14.79,14.55
2011-01-24,15000.0,14.37,14.62,14.53,14.34
2011-01-25,39400.0,14.81,14.83,14.32,14.26
2011-01-26,21400.0,14.97,15.17,14.78,14.78
2011-01-27,42400.0,15.0,15.49,15.0,14.94
2011-01-28,25600.0,14.51,15.018,15.01,14.46
2011-01-31,20300.0,14.58,14.81,14.6,14.45
2011-02-01,147000.0,15.05,15.35,14.61,14.57
2011-02-02,36500.0,15.42,15.65,15.0,15.0
2011-02-03,121600.0,15.37,15.76,15.39,14.845
2011-02-04,42700.0,15.54,15.55,15.42,15.31
2011-02-07,30700.0,15.79,16.22,15.5,15.5
2011-02-08,6300.0,15.88,15.88,15.76,15.73
2011-02-09,38200.0,16.23,16.28,15.82,15.82
2011-02-10,82400.0,16.7,16.96,16.17,15.67
2011-02-11,64200.0,16.71,16.9199,16.69,16.52
2011-02-14,25100.0,16.5,16.65,16.65,16.35
2011-02-15,20800.0,16.37,16.54,16.54,16.3501
2011-02-16,46900.0,15.93,16.44,16.44,15.87
2011-02-17,91100.0,15.98,16.25,15.96,15.45
2011-02-18,25000.0,15.88,16.05,16.05,15.81
2011-02-22,77600.0,15.77,16.05,15.83,15.63
2011-02-23,101200.0,15.56,15.9699,15.75,15.53
2011-02-24,53600.0,15.87,15.99,15.67,15.49
2011-02-25,20900.0,16.38,16.39,15.97,15.79
2011-02-28,130800.0,16.0,16.4214,16.39,15.87
2011-03-01,143300.0,15.54,16.155,16.11,15.23
2011-03-02,44400.0,15.64,15.67,15.5,15.46
2011-03-03,62600.0,15.52,15.68,15.68,15.43
2011-03-04,139500.0,15.17,15.48,15.4,15.05
2011-03-07,93200.0,14.76,15.36,15.08,14.75
2011-03-08,220600.0,14.9,15.13,14.68,14.55
2011-03-09,169900.0,14.94,15.47,14.93,14.74
2011-03-10,413600.0,14.75,14.91,14.91,14.6
2011-03-11,139300.0,14.5,14.87,14.73,14.45
2011-03-14,272000.0,14.52,14.889,14.54,14.4
2011-03-15,633800.0,14.36,14.57,14.53,14.32
2011-03-16,94000.0,14.06,14.42,14.3,13.806
2011-03-17,155900.0,13.7,13.86,13.75,13.48
2011-03-18,165700.0,13.61,13.72,13.71,13.5
2011-03-21,93300.0,13.95,14.09,13.74,13.56
2011-03-22,89000.0,14.04,14.13,13.99,13.71
2011-03-23,38100.0,14.1,14.17,13.99,13.88
2011-03-24,40500.0,14.0,14.24,14.15,13.96
2011-03-25,159500.0,14.1,14.24,14.01,13.77
2011-03-28,65100.0,14.0,14.261,14.16,13.97
2011-03-29,33800.0,14.19,14.27,14.0,14.0
2011-03-30,116800.0,14.07,14.28,14.28,14.02
2011-03-31,39000.0,14.26,14.29,14.08,13.99
2011-04-01,103100.0,14.93,14.93,14.33,14.15
2011-04-04,113800.0,15.29,15.37,14.92,14.8
2011-04-05,57700.0,15.32,15.48,15.24,15.19
2011-04-06,70200.0,15.53,15.84,15.4,15.29
2011-04-07,65000.0,15.31,15.66,15.58,15.3
2011-04-08,55000.0,14.8,15.4,15.4,14.77
2011-04-11,90200.0,15.0,15.1,14.84,14.8
2011-04-12,121100.0,14.88,15.22,14.97,14.65
2011-04-13,45300.0,14.78,15.0,15.0,14.67
2011-04-14,41700.0,14.74,14.85,14.69,14.66
2011-04-15,54900.0,15.43,15.46,14.71,14.62
2011-04-18,86100.0,14.94,15.26,15.26,14.76
2011-04-19,44200.0,14.54,15.01,14.97,14.5
2011-04-20,24700.0,14.88,14.89,14.71,14.59
2011-04-21,18600.0,15.02,15.02,14.96,14.76
2011-04-25,23700.0,15.05,15.17,14.97,14.85
2011-04-26,53200.0,15.46,15.48,15.1,15.05
2011-04-27,52200.0,15.18,15.47,15.47,14.8
2011-04-28,14100.0,15.43,15.46,15.23,15.23
2011-04-29,36000.0,15.49,15.5,15.43,15.25
2011-05-02,28000.0,15.02,15.5,15.5,15.02
2011-05-03,71000.0,14.48,15.21,15.02,14.35
2011-05-04,57000.0,14.35,14.67,14.5,14.3
2011-05-05,36200.0,14.14,14.47,14.27,14.1
2011-05-06,166800.0,14.2,14.44,14.31,14.1
2011-05-09,426100.0,15.67,15.92,14.2,14.15
2011-05-10,237100.0,15.59,16.68,16.48,15.55
2011-05-11,512400.0,15.97,16.12,15.65,15.5
2011-05-12,326000.0,16.17,16.25,15.95,15.82
2011-05-13,85000.0,16.06,16.22,16.22,16.0
2011-05-16,417300.0,16.06,16.4,16.02,16.02
