date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,1300.0,16.5,16.5,16.5,16.5
2000-01-04,400.0,16.12,16.12,16.12,16.12
2000-01-05,800.0,16.0,16.0,16.0,16.0
2000-01-06,1900.0,16.0,16.06,16.06,16.0
2000-01-07,0.0,16.0,16.0,16.0,16.0
2000-01-10,800.0,16.25,16.25,16.25,16.25
2000-01-11,6500.0,14.5,16.0,16.0,13.25
2000-01-12,500.0,13.25,13.25,13.25,13.25
2000-01-13,600.0,15.0,15.75,15.75,15.0
2000-01-14,1400.0,15.25,15.25,15.0,15.0
2000-01-18,500.0,14.0,14.0,14.0,14.0
2000-01-19,2600.0,15.0,15.0,15.0,15.0
2000-01-20,1600.0,15.75,16.0,15.0,15.0
2000-01-21,0.0,15.75,15.75,15.75,15.75
2000-01-24,0.0,15.75,15.75,15.75,15.75
2000-01-25,0.0,15.75,15.75,15.75,15.75
2000-01-26,0.0,15.75,15.75,15.75,15.75
2000-01-27,0.0,15.75,15.75,15.75,15.75
2000-01-28,0.0,15.75,15.75,15.75,15.75
2000-01-31,600.0,15.0,15.0,15.0,15.0
2000-02-01,2800.0,15.0,15.25,15.25,15.0
2000-02-02,800.0,15.5,15.5,15.5,15.5
2000-02-03,600.0,15.5,15.5,15.5,15.5
2000-02-04,0.0,15.5,15.5,15.5,15.5
2000-02-07,1900.0,15.25,15.25,15.25,15.25
2000-02-08,5600.0,15.38,15.38,15.25,15.0
2000-02-09,0.0,15.38,15.38,15.38,15.38
2000-02-10,0.0,15.38,15.38,15.38,15.38
2000-02-11,0.0,15.38,15.38,15.38,15.38
2000-02-14,0.0,15.38,15.38,15.38,15.38
2000-02-15,5900.0,15.0,16.0,15.0,15.0
2000-02-16,4600.0,15.25,15.25,15.0,15.0
2000-02-17,0.0,15.25,15.25,15.25,15.25
2000-02-18,1500.0,15.0,15.0,15.0,15.0
2000-02-22,8300.0,15.25,15.5,15.38,15.25
2000-02-23,600.0,15.5,15.5,15.5,15.5
2000-02-24,700.0,15.5,15.5,15.5,15.5
2000-02-25,500.0,15.5,15.5,15.5,15.5
2000-02-28,200.0,15.5,15.5,15.5,15.5
2000-02-29,0.0,15.5,15.5,15.5,15.5
2000-03-01,1000.0,15.5,15.5,15.5,15.5
2000-03-02,0.0,15.5,15.5,15.5,15.5
2000-03-03,400.0,15.5,15.5,15.5,15.5
2000-03-06,0.0,15.5,15.5,15.5,15.5
2000-03-07,0.0,15.5,15.5,15.5,15.5
2000-03-08,200.0,15.5,15.5,15.5,15.5
2000-03-09,0.0,15.5,15.5,15.5,15.5
2000-03-10,200.0,15.5,15.5,15.5,15.5
2000-03-13,6500.0,14.0,15.5,15.5,14.0
2000-03-14,0.0,14.0,14.0,14.0,14.0
2000-03-15,5600.0,10.25,13.75,13.75,10.0
2000-03-16,8000.0,12.75,12.75,12.75,12.75
2000-03-17,15200.0,14.5,14.5,14.0,14.0
2000-03-20,4000.0,14.0,14.0,14.0,14.0
2000-03-21,900.0,15.38,15.38,15.38,15.38
2000-03-22,1000.0,15.5,15.5,15.5,15.5
2000-03-23,100.0,14.0,14.0,14.0,14.0
2000-03-24,0.0,14.0,14.0,14.0,14.0
2000-03-27,0.0,14.0,14.0,14.0,14.0
2000-03-28,0.0,14.0,14.0,14.0,14.0
2000-03-29,2000.0,14.0,14.0,14.0,14.0
2000-03-30,4000.0,14.0,14.0,14.0,14.0
2000-03-31,0.0,14.0,14.0,14.0,14.0
2000-04-03,2400.0,14.62,14.62,14.0,14.0
2000-04-04,0.0,14.62,14.62,14.62,14.62
2000-04-05,0.0,14.62,14.62,14.62,14.62
2000-04-06,0.0,14.62,14.62,14.62,14.62
2000-04-07,10000.0,15.0,15.09,14.75,14.75
2000-04-10,500.0,14.0,14.0,14.0,14.0
2000-04-11,400.0,14.0,14.0,14.0,14.0
2000-04-12,500.0,14.0,14.0,14.0,14.0
2000-04-13,1400.0,14.12,14.38,14.38,14.12
2000-04-14,600.0,16.0,16.0,15.75,15.75
2000-04-17,0.0,16.0,16.0,16.0,16.0
2000-04-18,10000.0,16.0,16.0,15.75,15.75
