date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,226800.0,46.44,48.44,48.41,43.75
2000-01-04,267900.0,45.5,47.0,44.38,44.38
2000-01-05,305900.0,46.75,46.88,46.0,45.5
2000-01-06,334000.0,46.13,50.0,46.81,45.5
2000-01-07,325900.0,49.0,49.0,45.75,45.5
2000-01-10,404800.0,52.75,54.25,49.0,47.88
2000-01-11,421600.0,51.38,60.38,53.0,51.13
2000-01-12,235000.0,54.38,56.31,54.63,51.25
2000-01-13,189300.0,58.0,58.0,55.81,53.75
2000-01-14,400300.0,61.63,62.88,58.31,58.31
2000-01-18,396300.0,65.63,68.0,61.31,61.25
2000-01-19,154500.0,63.25,65.94,65.13,60.63
2000-01-20,278200.0,62.25,67.5,63.91,62.0
2000-01-21,3314500.0,51.44,61.38,61.38,46.88
2000-01-24,954500.0,46.25,51.38,50.44,43.88
2000-01-25,826600.0,46.06,49.19,47.81,45.0
2000-01-26,1579900.0,42.31,45.75,45.38,41.38
2000-01-27,691100.0,41.88,44.38,42.28,41.63
2000-01-28,638000.0,40.88,42.63,42.0,39.06
2000-01-31,923000.0,36.56,41.75,41.75,35.56
2000-02-01,1122500.0,37.5,38.72,36.81,36.13
2000-02-02,1370200.0,38.25,39.0,38.25,37.25
2000-02-03,846200.0,39.63,39.75,38.41,38.38
2000-02-04,1334500.0,41.13,44.63,40.63,40.5
2000-02-07,643800.0,42.06,42.88,42.38,40.5
2000-02-08,1021800.0,47.63,48.38,42.31,42.31
2000-02-09,1098900.0,47.44,52.63,46.28,46.0
2000-02-10,512700.0,50.38,50.5,49.13,48.25
2000-02-11,595500.0,49.75,52.0,50.06,49.75
2000-02-14,411500.0,50.13,50.75,50.44,49.5
2000-02-15,351200.0,48.5,50.25,50.13,47.88
2000-02-16,487400.0,47.0,48.81,48.5,46.5
2000-02-17,180900.0,47.22,48.48,47.5,46.5
2000-02-18,300600.0,45.69,47.5,47.5,45.0
2000-02-22,455400.0,43.94,46.25,45.38,42.25
2000-02-23,533500.0,45.38,47.25,43.38,42.0
2000-02-24,436200.0,47.13,48.75,45.0,45.0
2000-02-25,775000.0,47.5,52.13,47.25,46.75
2000-02-28,327600.0,44.75,47.25,47.0,44.25
