date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,20700.0,7.063,7.25,6.875,6.875
2000-01-04,47900.0,7.313,7.313,7.031,7.0
2000-01-05,14900.0,7.313,7.375,7.313,7.313
2000-01-06,4400.0,6.813,6.813,6.75,6.375
2000-01-07,13400.0,6.406,6.875,6.375,6.375
2000-01-10,37500.0,6.625,7.25,7.0,6.406
2000-01-11,7100.0,6.688,7.0,6.625,6.625
2000-01-12,5300.0,6.688,7.375,7.375,6.688
2000-01-13,125600.0,7.188,7.25,7.25,7.125
2000-01-14,11400.0,7.313,7.313,7.25,7.25
2000-01-18,6200.0,6.938,7.031,7.031,6.75
2000-01-19,5300.0,6.75,6.875,6.75,6.75
2000-01-20,25700.0,7.125,7.125,6.75,6.688
2000-01-21,27100.0,7.0,7.125,7.125,6.875
2000-01-24,11400.0,7.0,7.25,6.875,6.875
2000-01-25,2000.0,7.0,7.0,7.0,6.875
2000-01-26,500.0,6.875,7.0,7.0,6.875
2000-01-27,23400.0,6.875,7.063,6.875,6.875
2000-01-28,11900.0,7.0,7.0,6.875,6.875
2000-01-31,30700.0,6.875,7.25,6.875,6.875
2000-02-01,1800.0,7.375,7.375,6.875,6.875
2000-02-02,0.0,7.375,7.375,6.875,6.875
2000-02-03,6600.0,7.0,7.0,6.875,6.875
2000-02-04,200.0,7.375,7.375,7.375,7.375
2000-02-07,100.0,7.063,7.063,7.063,7.063
2000-02-08,100.0,7.375,7.375,7.375,7.375
2000-02-09,0.0,7.38,7.38,7.38,7.38
2000-02-10,0.0,7.38,7.38,7.38,7.38
2000-02-11,1600.0,6.875,7.0,6.875,6.875
2000-02-14,2800.0,6.875,7.0,7.0,6.875
2000-02-15,29600.0,7.125,7.125,7.0,7.0
2000-02-16,200.0,7.0,7.0,7.0,7.0
2000-02-17,9000.0,7.0,7.0,7.0,7.0
2000-02-18,3200.0,7.0,7.0,7.0,7.0
2000-02-22,54500.0,7.0,7.0,7.0,6.875
2000-02-23,3600.0,7.125,7.25,7.25,7.0
2000-02-24,0.0,7.12,7.12,7.12,7.12
2000-02-25,1500.0,7.5,7.5,7.375,7.25
2000-02-28,4700.0,8.0,8.5,7.5,7.25
2000-02-29,4900.0,8.0,8.25,8.25,7.625
2000-03-01,44100.0,8.25,8.5,8.0,8.0
2000-03-02,56000.0,8.5,8.875,8.5,8.5
2000-03-03,7300.0,8.875,8.875,8.5,8.5
2000-03-06,46900.0,8.688,8.75,8.75,8.5
2000-03-07,25100.0,8.563,8.906,8.875,8.563
2000-03-08,17800.0,9.0,9.25,8.969,8.75
2000-03-09,39700.0,9.5,10.0,9.188,9.188
2000-03-10,10900.0,9.5,9.75,9.75,9.5
2000-03-13,18400.0,9.875,10.0,9.875,9.25
2000-03-14,11100.0,10.38,10.38,9.938,9.5
2000-03-15,161200.0,10.44,10.5,10.0,9.75
2000-03-16,390900.0,9.875,10.5,10.34,9.75
2000-03-17,9800.0,9.5,10.38,10.13,9.5
2000-03-20,10800.0,9.125,10.25,9.813,9.0
2000-03-21,5300.0,9.5,9.5,9.0,9.0
2000-03-22,11800.0,9.688,10.0,9.516,9.25
2000-03-23,6800.0,9.75,10.0,10.0,9.5
2000-03-24,1900.0,9.0,10.0,10.0,8.875
2000-03-27,2900.0,9.125,9.625,9.25,8.875
2000-03-28,3400.0,9.594,9.625,9.375,9.125
2000-03-29,49100.0,10.25,10.25,9.938,9.625
2000-03-30,2900.0,9.875,10.06,10.03,9.875
2000-03-31,19100.0,9.625,9.875,9.875,9.625
2000-04-03,800.0,9.625,9.625,9.625,9.625
2000-04-04,6600.0,9.125,9.563,9.125,9.0
2000-04-05,2700.0,9.0,9.0,9.0,9.0
2000-04-06,7200.0,8.563,9.125,8.625,8.0
2000-04-07,2800.0,8.688,8.75,8.25,8.25
2000-04-10,32900.0,8.938,8.938,8.594,8.594
2000-04-11,1300.0,8.875,8.875,8.875,8.875
2000-04-12,1200.0,8.875,8.875,8.75,8.688
2000-04-13,39500.0,8.781,8.781,8.625,8.5
2000-04-14,13800.0,8.938,9.0,8.875,8.875
2000-04-17,3100.0,8.625,9.0,8.875,8.625
2000-04-18,2300.0,9.063,9.063,8.625,8.625
2000-04-19,0.0,9.06,9.06,9.06,9.06
2000-04-20,0.0,9.06,9.06,9.06,9.06
2000-04-24,6000.0,8.656,8.656,8.641,8.625
2000-04-25,4100.0,8.625,9.0,8.719,8.625
2000-04-26,600.0,8.75,8.75,8.625,8.625
2000-04-27,100.0,8.625,8.625,8.625,8.625
2000-04-28,4500.0,8.906,8.906,8.625,8.625
2000-05-01,500.0,8.688,8.688,8.688,8.688
2000-05-02,3000.0,8.813,8.813,8.688,8.688
2000-05-03,1400.0,8.875,8.875,8.75,8.75
2000-05-04,19400.0,8.938,9.0,9.0,8.75
2000-05-05,8700.0,8.75,8.75,8.75,8.75
2000-05-08,1800.0,8.625,8.625,8.625,8.625
2000-05-09,8900.0,8.625,8.75,8.625,8.5
2000-05-10,28000.0,7.25,8.688,8.563,7.25
2000-05-11,5600.0,8.375,8.375,7.438,7.438
2000-05-12,100.0,8.188,8.188,8.188,8.188
2000-05-15,1100.0,8.313,8.313,8.188,8.188
2000-05-16,79400.0,8.25,8.25,8.219,8.188
2000-05-17,300.0,8.25,8.344,8.344,8.25
2000-05-18,33300.0,8.188,8.359,8.359,8.188
2000-05-19,1000.0,8.188,8.188,8.188,8.188
2000-05-22,63500.0,8.313,8.313,8.188,8.188
2000-05-23,100.0,8.188,8.188,8.188,8.188
2000-05-24,1200.0,8.188,8.188,8.188,8.188
2000-05-25,71800.0,8.375,8.5,8.219,8.219
2000-05-26,900.0,8.375,8.375,8.375,8.375
2000-05-30,7200.0,8.375,8.375,8.375,8.375
2000-05-31,55600.0,8.22,8.5,8.31,8.22
2000-06-01,100.0,8.219,8.219,8.219,8.219
2000-06-02,5200.0,8.5,8.5,8.359,8.219
2000-06-05,600.0,8.375,8.375,8.219,8.219
2000-06-06,0.0,8.38,8.38,8.38,8.38
2000-06-07,32100.0,8.219,8.5,8.375,8.219
2000-06-08,1000.0,8.219,8.219,8.219,8.219
2000-06-09,9500.0,8.359,8.5,8.219,8.219
2000-06-12,13200.0,8.5,8.5,8.359,8.359
2000-06-13,0.0,8.5,8.5,8.5,8.5
2000-06-14,2700.0,8.375,8.563,8.563,8.375
2000-06-15,8800.0,8.313,8.313,8.219,8.219
2000-06-16,41900.0,8.25,8.625,8.5,8.25
2000-06-19,3200.0,8.625,8.625,8.25,8.25
2000-06-20,2200.0,8.25,8.25,8.25,8.25
2000-06-21,0.0,8.25,8.25,8.25,8.25
2000-06-22,74400.0,8.5,8.5,8.25,8.25
2000-06-23,3300.0,8.25,8.25,8.25,8.25
2000-06-26,11500.0,8.375,8.625,8.25,8.25
2000-06-27,32300.0,8.563,8.625,8.375,8.375
2000-06-28,26100.0,9.625,9.75,9.0,8.438
2000-06-29,29100.0,9.875,10.19,9.5,9.5
2000-06-30,29900.0,9.75,10.13,10.0,9.625
2000-07-03,1200.0,9.75,9.75,9.75,9.75
2000-07-05,9800.0,9.625,10.0,9.75,9.625
2000-07-06,5100.0,9.0,9.125,8.75,8.75
2000-07-07,300.0,8.75,8.75,8.75,8.75
2000-07-10,4100.0,8.875,8.875,8.75,8.75
2000-07-11,0.0,8.88,8.88,8.88,8.88
2000-07-12,12400.0,8.75,9.25,8.75,8.75
2000-07-13,5100.0,9.125,9.125,8.75,8.75
2000-07-14,2000.0,8.75,8.813,8.813,8.75
2000-07-17,9500.0,8.75,8.781,8.75,8.625
2000-07-18,14200.0,8.75,9.0,8.75,8.375
2000-07-19,28300.0,8.375,8.688,8.375,8.375
2000-07-20,15500.0,8.375,8.75,8.688,8.375
2000-07-21,4400.0,8.438,8.688,8.438,8.438
2000-07-24,3900.0,8.375,8.375,8.375,8.375
2000-07-25,800.0,8.5,8.5,8.438,8.438
2000-07-26,3800.0,8.375,8.5,8.375,8.375
2000-07-27,3100.0,8.375,8.484,8.375,8.375
2000-07-28,42400.0,8.375,8.438,8.375,8.375
2000-07-31,100.0,8.375,8.375,8.375,8.375
2000-08-01,0.0,8.38,8.38,8.38,8.38
2000-08-02,1600.0,8.375,8.406,8.406,8.375
2000-08-03,1500.0,8.375,8.375,8.375,8.375
2000-08-04,2000.0,8.125,8.375,8.375,8.125
2000-08-07,6700.0,8.375,8.438,8.125,8.125
2000-08-08,2000.0,8.125,8.125,8.125,8.125
2000-08-09,600.0,8.219,8.219,8.188,8.125
2000-08-10,1000.0,8.125,8.125,8.125,8.125
2000-08-11,0.0,8.12,8.12,8.12,8.12
2000-08-14,3100.0,8.125,8.125,8.125,8.125
2000-08-15,2700.0,8.125,8.125,8.125,8.125
2000-08-16,600.0,8.125,8.125,8.125,8.125
2000-08-17,4400.0,8.0,8.0,8.0,8.0
2000-08-18,100.0,7.875,7.875,7.875,7.875
2000-08-21,700.0,7.875,7.875,7.875,7.875
2000-08-22,19300.0,7.875,8.125,7.875,7.875
2000-08-23,3500.0,8.25,8.375,8.188,8.188
2000-08-24,1300.0,8.438,8.438,8.375,8.375
2000-08-25,20700.0,10.0,10.0,8.125,8.125
2000-08-28,44200.0,9.938,10.88,10.13,9.75
2000-08-29,19100.0,9.75,10.19,9.938,9.75
2000-08-30,11300.0,9.875,9.875,9.875,9.5
2000-08-31,10000.0,9.5,9.875,9.75,9.375
2000-09-01,7900.0,9.75,10.0,9.625,9.375
2000-09-05,4900.0,9.5,9.5,9.5,9.438
2000-09-06,21400.0,10.0,10.25,9.75,9.438
2000-09-07,10200.0,9.875,10.63,10.63,9.875
2000-09-08,400.0,9.875,9.875,9.875,9.875
2000-09-11,12400.0,10.5,10.5,10.13,9.938
2000-09-12,28800.0,11.0,11.25,9.875,9.813
2000-09-13,8800.0,10.88,11.5,10.53,10.53
2000-09-14,16700.0,12.0,12.5,10.88,10.84
2000-09-15,17900.0,12.5,12.75,12.25,12.25
2000-09-18,23600.0,12.63,13.31,13.0,11.81
2000-09-19,8900.0,12.13,12.25,12.06,11.75
2000-09-20,22300.0,11.75,12.13,12.13,11.5
2000-09-21,9200.0,12.0,12.0,11.75,11.75
2000-09-22,13300.0,12.06,12.13,11.81,11.81
2000-09-25,8400.0,12.13,12.13,12.13,11.88
2000-09-26,12400.0,12.38,12.5,12.06,11.88
2000-09-27,19000.0,11.88,12.06,11.88,11.88
2000-09-28,9000.0,11.94,11.94,11.88,11.88
2000-09-29,11600.0,11.88,11.88,11.88,11.88
2000-10-02,13600.0,11.88,11.94,11.88,11.88
2000-10-03,11500.0,11.88,11.94,11.88,11.88
2000-10-04,11600.0,11.88,11.94,11.88,11.88
2000-10-05,293800.0,11.25,11.88,11.88,11.06
2000-10-06,67100.0,11.06,11.31,11.13,11.0
2000-10-09,1000.0,11.0,11.0,11.0,11.0
2000-10-10,10000.0,11.06,11.75,11.5,11.06
2000-10-11,100.0,11.0,11.0,11.0,11.0
2000-10-12,3100.0,11.0,11.0,11.0,11.0
2000-10-13,2300.0,11.06,11.13,11.0,11.0
2000-10-16,2400.0,10.94,10.94,10.94,10.94
2000-10-17,3000.0,10.94,10.94,10.94,10.94
2000-10-18,5200.0,10.94,10.94,10.94,10.94
2000-10-19,2100.0,10.94,10.94,10.94,10.94
2000-10-20,2100.0,10.94,10.94,10.94,10.94
2000-10-23,500.0,11.0,11.0,11.0,11.0
2000-10-24,2600.0,11.0,11.0,11.0,11.0
2000-10-25,5200.0,11.13,11.13,10.94,10.94
2000-10-26,500.0,11.0,11.0,11.0,11.0
2000-10-27,0.0,11.0,11.0,11.0,11.0
2000-10-30,600.0,10.94,10.94,10.94,10.94
2000-10-31,5900.0,10.94,10.94,10.94,10.94
2000-11-01,8400.0,11.75,11.75,10.98,10.94
2000-11-02,11000.0,10.44,11.38,10.95,10.44
2000-11-03,2600.0,11.0,11.25,11.25,11.0
2000-11-06,700.0,11.0,11.25,10.94,10.94
2000-11-07,400.0,10.44,10.44,10.44,10.44
2000-11-08,0.0,10.44,10.44,10.44,10.44
2000-11-09,500.0,10.5,10.5,10.5,10.5
2000-11-10,100.0,10.44,10.44,10.44,10.44
2000-11-13,200.0,10.44,10.44,10.44,10.44
