date,5. volume,4. close,2. high,1. open,3. low
2012-03-29,6344200.0,19.03,22.69,21.5,19.0
2012-03-30,681300.0,19.15,19.18,19.0,18.9
2012-04-02,584700.0,17.84,19.39,19.26,17.55
2012-04-03,165000.0,18.42,18.7,17.91,17.24
2012-04-04,256400.0,18.1,18.24,18.24,17.98
2012-04-05,85900.0,18.1,18.5,18.2,18.0
2012-04-09,153500.0,17.995,18.23,18.0,17.6
2012-04-10,123500.0,17.6989,18.25,18.0,17.21
2012-04-11,28500.0,17.69,18.38,18.38,17.52
2012-04-12,57200.0,17.35,17.81,17.25,17.08
2012-04-13,72200.0,16.77,17.24,17.2,16.6823
2012-04-16,36200.0,16.72,17.07,16.85,16.7
2012-04-17,57900.0,17.97,18.1,16.99,16.8813
2012-04-18,23900.0,18.24,18.49,17.89,17.0
2012-04-19,15300.0,18.07,18.2,17.61,17.61
2012-04-20,68400.0,17.96,18.36,18.29,17.92
2012-04-23,109100.0,17.02,18.22,18.21,16.96
2012-04-24,37000.0,16.77,17.35,17.26,16.77
2012-04-25,53600.0,16.99,17.0,17.0,16.66
2012-04-26,44500.0,17.0,17.23,16.82,16.755
2012-04-27,24000.0,16.84,17.01,17.01,16.51
2012-04-30,80500.0,16.78,16.99,16.7,16.121
2012-05-01,55000.0,17.66,17.69,16.91,16.9
2012-05-02,31000.0,17.78,18.15,17.7,17.365
2012-05-03,109200.0,17.94,18.44,18.1,17.78
2012-05-04,80200.0,18.06,18.5,17.94,17.77
2012-05-07,26300.0,18.23,18.396,17.93,17.93
2012-05-08,32300.0,17.57,18.15,17.93,17.336
2012-05-09,170100.0,15.92,17.5,17.0,15.5
2012-05-10,72000.0,15.81,16.63,16.27,15.7115
2012-05-11,25200.0,15.51,15.825,15.72,15.27
2012-05-14,30000.0,15.25,15.76,15.47,15.21
2012-05-15,43000.0,14.94,15.43,15.34,14.852
2012-05-16,54000.0,15.05,15.3,14.55,14.55
2012-05-17,24100.0,14.44,15.1,14.96,14.36
2012-05-18,67000.0,14.25,14.99,14.48,14.14
2012-05-21,28000.0,14.59,14.62,14.3,14.3
2012-05-22,16200.0,14.44,15.0,14.82,14.35
2012-05-23,206600.0,13.28,14.31,14.31,12.901
2012-05-24,42500.0,13.45,13.56,13.33,13.2
2012-05-25,55600.0,14.18,14.47,13.35,13.35
2012-05-29,47600.0,14.31,14.996,14.18,14.18
2012-05-30,165600.0,14.17,14.38,14.26,13.9
2012-05-31,30200.0,13.91,14.085,13.89,13.22
2012-06-01,72600.0,13.57,14.0,13.07,12.135
2012-06-04,18000.0,13.29,13.9,13.4908,13.121
2012-06-05,9600.0,13.3,13.58,13.35,12.12
2012-06-06,13600.0,13.76,13.79,13.5,13.2
2012-06-07,37600.0,14.26,14.55,13.93,13.54
2012-06-08,33700.0,15.13,15.81,14.21,14.21
2012-06-11,44500.0,13.85,15.8,15.53,13.45
2012-06-12,67600.0,14.17,15.699,14.35,13.77
2012-06-13,118600.0,13.71,14.19,14.05,13.5
2012-06-14,29200.0,14.0,14.078,13.76,13.67
2012-06-15,81200.0,14.01,14.74,13.97,13.78
2012-06-18,95500.0,14.97,15.38,14.0,13.755
2012-06-19,53100.0,14.97,15.41,15.13,14.84
2012-06-20,33100.0,14.86,15.39,15.01,14.64
2012-06-21,90600.0,14.5,15.16,14.86,13.65
2012-06-22,599800.0,14.42,14.99,14.69,14.25
2012-06-25,39900.0,13.81,14.22,14.22,13.31
2012-06-26,24600.0,14.22,14.42,13.76,13.73
2012-06-27,27000.0,14.26,14.6,14.28,13.32
2012-06-28,32700.0,13.77,14.34,14.12,13.75
2012-06-29,64800.0,14.88,15.18,14.0,13.921
2012-07-02,29300.0,14.8,14.97,14.97,14.2
2012-07-03,7900.0,14.85,15.0,14.77,14.59
2012-07-05,18900.0,14.21,15.21,14.81,14.15
2012-07-06,22600.0,13.53,14.47,14.07,13.37
2012-07-09,61700.0,14.04,14.47,13.1899,12.9776
2012-07-10,48300.0,13.68,14.14,14.13,13.63
2012-07-11,49000.0,13.96,14.16,13.78,13.5
2012-07-12,47300.0,13.855,13.97,13.93,13.21
2012-07-13,181300.0,13.94,14.18,13.95,13.57
2012-07-16,16100.0,14.08,14.53,13.93,13.87
2012-07-17,32300.0,14.27,14.84,14.22,14.0
2012-07-18,20300.0,14.1,14.41,14.27,13.74
2012-07-19,24500.0,13.89,14.23,14.21,13.77
2012-07-20,13300.0,14.2,14.39,13.76,13.76
2012-07-23,36300.0,13.8,14.11,13.96,13.49
2012-07-24,37500.0,13.8,14.18,13.9,13.26
2012-07-25,16400.0,14.06,14.41,13.83,13.75
2012-07-26,7400.0,13.96,14.35,14.32,13.83
2012-07-27,11400.0,14.68,14.729,14.09,13.99
2012-07-30,458100.0,13.7,14.67,14.6,13.7
2012-07-31,1481400.0,8.09,8.11,8.0,7.68
2012-08-01,417500.0,8.23,8.27,8.17,7.89
2012-08-02,88600.0,8.14,8.26,8.1,7.9824
2012-08-03,105400.0,8.27,8.38,8.18,8.06
2012-08-06,78400.0,8.32,8.33,8.29,8.05
2012-08-07,117700.0,8.43,8.46,8.32,8.3
2012-08-08,83200.0,8.75,8.81,8.4,8.18
2012-08-09,96100.0,8.91,9.17,8.73,8.595
2012-08-10,65300.0,9.26,9.37,8.83,8.82
2012-08-13,71400.0,9.15,9.44,9.37,9.01
2012-08-14,43400.0,9.55,9.6945,9.19,9.04
2012-08-15,45900.0,9.68,9.72,9.51,9.5
2012-08-16,41200.0,9.74,9.8,9.62,9.6
2012-08-17,310800.0,9.62,9.75,9.7,9.5
2012-08-20,17400.0,9.28,9.6,9.6,8.886
2012-08-21,60600.0,9.14,9.8,9.2801,8.98
2012-08-22,40200.0,9.25,9.4,9.14,8.61
2012-08-23,6500.0,9.21,9.32,9.22,9.145
2012-08-24,13500.0,9.12,9.32,9.23,9.1
2012-08-27,14000.0,9.1,9.17,9.16,9.05
2012-08-28,12500.0,9.235,9.25,9.1224,9.1224
2012-08-29,43100.0,9.44,9.44,9.25,9.2
2012-08-30,74800.0,9.33,9.59,9.35,9.23
2012-08-31,56400.0,9.29,9.45,9.45,9.25
2012-09-04,42600.0,9.24,9.41,9.3,9.08
2012-09-05,35800.0,9.22,9.39,9.2,9.0
2012-09-06,35900.0,9.28,9.339,9.32,8.98
2012-09-07,36200.0,9.02,9.34,9.34,8.93
2012-09-10,40500.0,9.28,9.41,9.0,9.0
2012-09-11,38700.0,9.4,9.5,9.14,9.14
2012-09-12,53100.0,9.45,9.53,9.49,9.35
2012-09-13,59000.0,9.41,9.48,9.44,9.27
2012-09-14,37900.0,9.27,9.48,9.41,9.26
2012-09-17,45100.0,9.46,9.5,9.3,9.29
2012-09-18,19200.0,9.5,9.51,9.45,9.3
2012-09-19,35100.0,9.46,9.5,9.5,9.37
2012-09-20,55600.0,9.35,9.5,9.41,9.29
2012-09-21,165000.0,9.14,9.5,9.5,9.14
2012-09-24,113100.0,9.32,9.52,9.13,9.13
2012-09-25,92700.0,9.3,9.9,9.42,9.24
2012-09-26,100100.0,8.85,9.44,9.34,8.76
2012-09-27,44600.0,8.75,9.0889,8.95,8.6
2012-09-28,25800.0,9.11,9.22,8.74,8.71
2012-10-01,11200.0,8.96,9.16,9.12,8.9
2012-10-02,9800.0,8.99,9.1,8.99,8.9
2012-10-03,39300.0,8.62,9.08,9.02,8.4
2012-10-04,37400.0,8.5,8.58,8.52,8.38
2012-10-05,70600.0,8.52,8.75,8.52,8.32
2012-10-08,12000.0,8.33,8.68,8.475,8.33
2012-10-09,24800.0,8.07,8.7,8.37,8.0
2012-10-10,322800.0,7.5,8.26,8.11,6.65
2012-10-11,556000.0,6.25,7.34,7.13,5.91
2012-10-12,365400.0,5.95,6.36,6.26,5.85
2012-10-15,157500.0,6.0,6.19,6.01,5.71
2012-10-16,72500.0,6.0,6.06,6.06,5.87
2012-10-17,168000.0,5.54,6.04,6.04,5.37
2012-10-18,75000.0,5.69,5.92,5.7,5.61
2012-10-19,80800.0,5.49,5.73,5.69,5.41
2012-10-22,65000.0,5.63,5.71,5.52,5.43
2012-10-23,41600.0,5.48,5.62,5.58,5.48
2012-10-24,12000.0,5.48,5.53,5.53,5.48
2012-10-25,48900.0,5.53,5.5764,5.55,5.44
2012-10-26,86700.0,5.65,5.66,5.57,5.55
2012-10-31,101200.0,5.93,6.0,5.64,5.62
2012-11-01,82400.0,6.03,6.29,5.97,5.88
2012-11-02,26800.0,5.9,6.13,6.01,5.82
2012-11-05,181300.0,5.95,6.0,5.88,5.8112
2012-11-06,271700.0,6.06,6.09,5.95,5.935
2012-11-07,306200.0,6.25,6.3,6.0,5.96
2012-11-08,635300.0,4.92,5.22,5.01,4.44
2012-11-09,145600.0,4.91,5.2501,4.92,4.79
2012-11-12,115900.0,5.25,5.43,4.95,4.91
2012-11-13,51200.0,5.44,5.49,5.23,5.23
2012-11-14,84300.0,5.6,5.76,5.4,5.12
2012-11-15,86300.0,5.69,5.75,5.75,5.3501
2012-11-16,59700.0,5.82,5.9497,5.67,5.5501
2012-11-19,92900.0,5.77,6.12,6.0,5.56
2012-11-20,7200.0,5.6,5.76,5.76,5.53
2012-11-21,16000.0,5.8,5.84,5.58,5.55
2012-11-23,10700.0,5.64,5.82,5.82,5.6
2012-11-26,69300.0,5.49,5.66,5.58,5.45
2012-11-27,80600.0,5.39,5.545,5.45,5.35
2012-11-28,81400.0,5.4,5.459,5.37,5.3
2012-11-29,94600.0,5.44,5.67,5.4,5.34
2012-11-30,67200.0,5.83,5.87,5.47,5.46
2012-12-03,79000.0,5.55,5.9,5.87,5.48
2012-12-04,63600.0,5.4,5.9,5.9,5.39
2012-12-05,38500.0,5.39,5.7,5.39,5.34
2012-12-06,9000.0,5.44,5.6,5.3999,5.34
2012-12-07,20500.0,5.33,5.6,5.5101,5.19
2012-12-10,25200.0,5.31,5.37,5.28,5.26
2012-12-11,31600.0,5.32,5.45,5.36,5.28
2012-12-12,45700.0,5.31,5.38,5.3,5.28
2012-12-13,26500.0,5.3,5.66,5.66,5.28
2012-12-14,37200.0,5.29,5.415,5.28,5.23
2012-12-17,71400.0,5.46,5.52,5.31,5.26
2012-12-18,83700.0,5.58,5.645,5.58,5.42
2012-12-19,428300.0,5.68,5.73,5.63,5.48
2012-12-20,121400.0,5.82,5.885,5.7,5.7
2012-12-21,180500.0,5.8,5.87,5.78,5.6
2012-12-24,3700.0,5.64,5.82,5.76,5.64
2012-12-26,236500.0,5.5,5.76,5.65,5.4801
2012-12-27,25700.0,5.58,5.71,5.51,5.43
2012-12-28,33100.0,5.6,5.77,5.56,5.43
2012-12-31,36100.0,5.77,5.81,5.65,5.65
2013-01-02,45100.0,5.83,6.01,5.84,5.73
2013-01-03,19200.0,5.71,5.899,5.87,5.71
2013-01-04,23500.0,5.86,5.9,5.76,5.76
2013-01-07,28500.0,5.64,5.81,5.81,5.58
2013-01-08,17500.0,5.59,5.64,5.5701,5.57
2013-01-09,68500.0,5.61,5.68,5.6,5.59
2013-01-10,45700.0,5.55,5.6,5.55,5.43
2013-01-11,23500.0,5.53,5.55,5.55,5.5
2013-01-14,57400.0,5.69,5.71,5.5,5.45
2013-01-15,30900.0,5.7,5.91,5.66,5.66
2013-01-16,11500.0,5.74,5.745,5.6701,5.65
2013-01-17,12500.0,5.68,5.77,5.728,5.66
2013-01-18,42600.0,5.67,5.77,5.66,5.66
2013-01-22,50400.0,5.68,5.76,5.63,5.44
2013-01-23,54500.0,5.63,5.69,5.66,5.44
2013-01-24,290300.0,5.83,5.94,5.6,5.52
2013-01-25,247000.0,6.27,6.28,5.8,5.8
2013-01-28,93900.0,6.3,6.42,6.3,6.05
2013-01-29,34900.0,6.14,6.32,6.26,6.06
2013-01-30,18300.0,6.08,6.18,6.15,6.07
2013-01-31,64800.0,6.32,6.43,6.12,6.12
2013-02-01,182800.0,6.63,7.29,6.37,6.25
2013-02-04,139200.0,6.7,6.85,6.85,6.51
2013-02-05,41600.0,6.58,6.714,6.7,6.44
2013-02-06,37300.0,6.58,6.68,6.53,6.495
2013-02-07,25100.0,6.49,6.55,6.55,6.49
2013-02-08,43100.0,6.53,6.88,6.45,6.44
2013-02-11,62700.0,6.49,6.64,6.48,6.42
2013-02-12,73200.0,6.51,6.6,6.44,6.4
2013-02-13,62000.0,6.6,6.82,6.33,6.33
2013-02-14,301900.0,6.82,7.27,6.47,6.44
2013-02-15,139000.0,6.98,7.0,6.83,6.4
2013-02-19,42000.0,6.98,7.06,7.01,6.85
2013-02-20,62700.0,6.69,6.99,6.98,6.65
2013-02-21,106700.0,6.5,6.8,6.65,6.5
2013-02-22,98700.0,6.61,6.83,6.55,6.4
2013-02-25,69600.0,6.71,6.85,6.65,6.63
2013-02-26,71700.0,6.9,7.0,6.71,6.7
2013-02-27,46300.0,7.0,7.1,6.93,6.87
2013-02-28,37400.0,6.95,6.99,6.95,6.87
2013-03-01,25700.0,6.99,6.99,6.94,6.85
2013-03-04,53400.0,7.0,7.0,6.88,6.88
2013-03-05,64200.0,7.31,7.44,7.0,6.998
2013-03-06,41400.0,7.22,7.389,7.35,7.17
2013-03-07,23600.0,7.17,7.22,7.19,7.03
2013-03-08,29600.0,7.21,7.32,7.2,7.0842
2013-03-11,6100.0,7.16,7.33,7.22,7.15
2013-03-12,31300.0,6.81,7.2,7.12,6.78
2013-03-13,32200.0,6.64,6.9,6.75,6.61
2013-03-14,610300.0,6.03,6.6418,6.5,5.81
2013-03-15,71300.0,5.98,6.19,6.04,5.85
2013-03-18,27200.0,6.03,6.16,5.82,5.82
2013-03-19,46100.0,6.0,6.17,6.01,5.95
2013-03-20,19100.0,6.08,6.08,6.01,5.95
2013-03-21,32000.0,6.02,6.17,6.0,5.9106
2013-03-22,73700.0,6.08,6.15,6.01,5.95
2013-03-25,13200.0,6.08,6.17,6.08,5.95
2013-03-26,29200.0,6.1,6.38,6.09,6.09
2013-03-27,6600.0,6.02,6.11,6.0328,6.0012
2013-03-28,37500.0,6.01,6.09,6.04,5.915
2013-04-01,42600.0,5.95,6.06,5.98,5.89
2013-04-02,82800.0,5.93,6.17,6.02,5.9
2013-04-03,73500.0,5.66,6.0,5.88,5.61
2013-04-04,92600.0,5.85,5.97,5.72,5.71
2013-04-05,198900.0,5.79,6.0,5.77,5.6
2013-04-08,37800.0,5.94,5.98,5.84,5.74
2013-04-09,20900.0,5.95,6.01,5.93,5.93
2013-04-10,40200.0,5.98,6.03,5.99,5.95
2013-04-11,23000.0,5.98,6.02,5.94,5.92
2013-04-12,20100.0,6.01,6.08,5.94,5.94
2013-04-15,39700.0,5.89,6.03,5.94,5.88
2013-04-16,51200.0,5.88,6.0,5.92,5.86
2013-04-17,11700.0,5.75,5.95,5.85,5.75
2013-04-18,13700.0,5.82,5.94,5.78,5.75
2013-04-19,36500.0,5.77,5.93,5.82,5.515
2013-04-22,56300.0,5.75,5.89,5.87,5.73
2013-04-23,11100.0,5.81,5.87,5.78,5.73
2013-04-24,55000.0,5.7,5.85,5.83,5.68
2013-04-25,68700.0,6.36,6.4,5.65,5.65
2013-04-26,114700.0,6.17,6.87,6.36,6.14
2013-04-29,14200.0,6.09,6.21,6.21,6.02
2013-04-30,32200.0,5.77,6.0595,6.0301,5.76
2013-05-01,92200.0,5.63,5.77,5.77,5.55
2013-05-02,64800.0,5.65,5.75,5.62,5.62
2013-05-03,54000.0,6.09,6.26,5.74,5.73
2013-05-06,45900.0,5.96,6.07,6.07,5.93
2013-05-07,39800.0,5.95,6.08,5.99,5.91
2013-05-08,13000.0,5.91,5.95,5.95,5.85
2013-05-09,18700.0,5.85,5.93,5.92,5.85
2013-05-10,22800.0,6.24,6.25,5.85,5.85
2013-05-13,13500.0,6.02,6.19,6.19,6.0
2013-05-14,20200.0,6.25,6.31,6.09,6.09
2013-05-15,17900.0,6.28,6.3599,6.25,6.2
2013-05-16,39300.0,6.51,6.6498,6.25,6.25
2013-05-17,29600.0,6.35,6.54,6.51,6.315
2013-05-20,32000.0,6.42,6.48,6.35,6.2
2013-05-21,25300.0,6.43,6.54,6.43,6.42
2013-05-22,16900.0,6.07,6.46,6.43,6.05
2013-05-23,37100.0,6.17,6.24,6.05,6.05
2013-05-24,35000.0,6.46,6.5,6.16,6.07
2013-05-28,31500.0,6.61,6.64,6.48,6.44
2013-05-29,15000.0,6.55,6.65,6.6,6.51
2013-05-30,14900.0,6.59,6.7,6.52,6.52
2013-05-31,21600.0,6.51,6.7,6.55,6.5
2013-06-03,51000.0,6.6,6.69,6.51,6.37
2013-06-04,31700.0,6.81,6.99,6.63,6.61
2013-06-05,24500.0,6.49,6.79,6.79,6.43
2013-06-06,18600.0,6.52,6.61,6.53,6.47
2013-06-07,26000.0,6.68,6.71,6.54,6.5
2013-06-10,29400.0,6.74,6.84,6.67,6.55
2013-06-11,39100.0,6.42,6.68,6.63,6.41
2013-06-12,22300.0,6.41,6.57,6.53,6.41
2013-06-13,16800.0,6.32,6.42,6.41,6.28
2013-06-14,19000.0,6.24,6.39,6.31,6.23
2013-06-17,19400.0,6.33,6.35,6.27,6.2
2013-06-18,21500.0,6.22,6.34,6.31,6.2
2013-06-19,17500.0,6.1,6.26,6.24,6.1
2013-06-20,32900.0,6.05,6.12,6.06,5.95
2013-06-21,34700.0,6.12,6.13,6.0,5.96
2013-06-24,40800.0,5.96,6.18,6.05,5.95
2013-06-25,27700.0,6.06,6.13,6.0,5.96
2013-06-26,48000.0,6.25,6.31,6.09,6.09
2013-06-27,61100.0,6.28,6.34,6.3,6.13
2013-06-28,653400.0,6.27,6.53,6.25,6.05
2013-07-01,33700.0,6.68,6.77,6.26,6.21
