date,5. volume,4. close,2. high,1. open,3. low
2007-02-09,3146700.0,11.9,12.12,11.0,10.5
2007-02-12,346400.0,11.84,12.45,11.85,11.4
2007-02-13,123700.0,11.92,12.0336,11.95,11.59
2007-02-14,75000.0,11.6,11.9,11.9,11.6
2007-02-15,188000.0,11.6,11.83,11.83,11.4
2007-02-16,352600.0,11.61,11.71,11.6,11.45
2007-02-20,153200.0,12.45,12.61,11.55,11.55
2007-02-21,118300.0,12.49,12.6,12.52,12.2
2007-02-22,67700.0,12.33,12.6,12.5,11.9
2007-02-23,40500.0,12.06,12.28,12.28,11.99
2007-02-26,32100.0,11.96,12.22,12.22,11.82
2007-02-27,34400.0,11.51,12.19,11.91,11.5
2007-02-28,14500.0,11.64,11.86,11.51,11.5
2007-03-01,174700.0,11.2,11.57,11.55,10.68
2007-03-02,75500.0,11.35,11.68,11.25,11.25
2007-03-05,31400.0,11.28,11.5,11.35,11.08
2007-03-06,140500.0,10.9,11.35,11.05,10.62
2007-03-07,537500.0,11.25,11.33,10.92,9.94
2007-03-08,32800.0,10.99,11.48,11.48,10.82
2007-03-09,202900.0,11.02,11.08,10.92,10.91
2007-03-12,69100.0,11.0,11.1,11.0,11.0
2007-03-13,59200.0,10.96,11.15,10.9932,10.8
2007-03-14,132200.0,10.94,11.04,10.96,10.77
2007-03-15,48000.0,10.94,11.04,11.0,10.92
2007-03-16,51300.0,10.88,11.03,10.93,10.67
2007-03-19,142100.0,10.82,11.03,11.03,10.6
2007-03-20,182700.0,11.07,11.38,10.62,10.6
2007-03-21,18331500.0,6.49,6.85,5.72,5.46
2007-03-22,2240600.0,6.3,6.75,6.55,6.26
2007-03-23,1039800.0,6.08,6.36,6.36,5.95
2007-03-26,989000.0,5.66,6.0,5.96,5.57
2007-03-27,1012400.0,5.43,5.77,5.55,5.34
2007-03-28,844400.0,5.39,5.7,5.38,5.34
2007-03-29,753900.0,5.12,5.44,5.3,5.07
2007-03-30,2327300.0,5.37,5.61,5.14,5.091
2007-04-02,477000.0,5.51,5.62,5.34,5.34
2007-04-03,385400.0,5.56,5.61,5.49,5.4
2007-04-04,155800.0,5.52,5.6199,5.54,5.37
2007-04-05,180300.0,5.55,5.55,5.5,5.46
2007-04-09,441300.0,5.57,5.69,5.55,5.44
2007-04-10,268900.0,5.77,5.81,5.56,5.56
2007-04-11,175100.0,5.81,5.89,5.77,5.7
2007-04-12,158000.0,5.76,5.9,5.8,5.7
2007-04-13,72000.0,5.77,5.79,5.72,5.7
2007-04-16,114400.0,5.73,5.91,5.91,5.72
2007-04-17,205900.0,5.7,5.75,5.74,5.65
2007-04-18,179300.0,5.69,5.79,5.69,5.67
2007-04-19,771700.0,5.65,5.69,5.67,5.59
2007-04-20,185900.0,5.74,5.83,5.71,5.5624
2007-04-23,35300.0,5.68,5.76,5.72,5.68
2007-04-24,567100.0,5.71,5.82,5.7,5.694
2007-04-25,79500.0,5.7,5.81,5.68,5.62
2007-04-26,100300.0,5.59,5.79,5.69,5.54
2007-04-27,79200.0,5.68,5.73,5.59,5.4
2007-04-30,150600.0,5.8,5.89,5.67,5.67
2007-05-01,87100.0,5.88,5.91,5.85,5.77
2007-05-02,60600.0,5.79,5.89,5.89,5.75
2007-05-03,68900.0,5.8,5.83,5.83,5.76
2007-05-04,119600.0,5.98,5.98,5.82,5.82
2007-05-07,151800.0,5.95,6.09,6.0,5.91
2007-05-08,72300.0,5.89,5.95,5.95,5.8
2007-05-09,70900.0,5.9,5.92,5.85,5.67
2007-05-10,168100.0,5.9,5.9299,5.89,5.69
2007-05-11,855900.0,6.57,6.95,6.53,6.4
2007-05-14,307600.0,6.59,6.63,6.5,6.29
2007-05-15,287700.0,6.65,6.74,6.57,6.51
2007-05-16,390800.0,6.85,6.9,6.7,6.68
