date,5. volume,4. close,2. high,1. open,3. low
2018-04-20,24784815.0,15.73,17.48,16.75,15.11
2018-04-23,4323136.0,17.26,18.34,16.0,15.81
2018-04-24,3180375.0,18.14,18.29,17.96,17.65
2018-04-25,1778475.0,17.92,18.83,18.32,17.5
2018-04-26,3514641.0,18.62,19.0,18.07,17.92
2018-04-27,1778583.0,18.17,18.85,18.72,17.75
2018-04-30,610917.0,18.04,18.5,18.35,18.0
2018-05-01,396775.0,18.3,18.5,18.06,18.0
2018-05-02,587130.0,18.2,18.69,18.36,18.12
2018-05-03,578337.0,18.31,18.499,18.35,18.01
2018-05-04,440359.0,18.3,18.5,18.33,18.14
2018-05-07,890655.0,18.86,19.1,18.3,18.151
2018-05-08,478448.0,18.88,19.005,18.96,18.511
2018-05-09,771210.0,19.0,19.489,18.95,18.88
2018-05-10,526037.0,19.0,19.23,19.21,18.5
2018-05-11,736181.0,18.98,19.079,18.96,18.76
2018-05-14,925030.0,18.89,19.62,19.19,18.811
2018-05-15,1003318.0,19.24,19.6,19.17,18.95
2018-05-16,875482.0,18.66,19.399,19.3,18.66
2018-05-17,1375950.0,18.18,18.87,18.8,17.78
2018-05-18,951910.0,18.11,18.26,18.18,17.618
2018-05-21,474619.0,18.1,18.4,18.15,18.04
2018-05-22,555687.0,17.86,18.2,18.18,17.82
2018-05-23,335809.0,17.99,18.17,17.86,17.81
2018-05-24,406005.0,17.83,18.14,18.01,17.65
2018-05-25,610275.0,18.12,18.15,17.8,17.53
2018-05-29,412758.0,18.14,18.2152,18.07,17.8
2018-05-30,508438.0,18.34,18.4998,18.2,18.1905
2018-05-31,443425.0,17.99,18.499,18.34,17.83
2018-06-01,687450.0,18.27,18.7,18.18,18.01
2018-06-04,1484131.0,18.25,18.86,18.48,18.0
2018-06-05,807587.0,18.44,18.97,18.25,18.25
2018-06-06,2643549.0,20.32,20.85,18.53,18.402
2018-06-07,1907414.0,20.16,20.6,20.48,19.67
2018-06-08,3631728.0,20.8,21.4,20.02,19.83
