date,5. volume,4. close,2. high,1. open,3. low
2001-08-16,4700.0,16.4,16.9,16.9,16.4
2001-08-17,1300.0,16.25,16.25,16.25,16.15
2001-08-20,0.0,16.25,16.25,16.25,16.25
2001-08-21,1000.0,16.5,16.6,16.5,16.5
2001-08-22,4900.0,16.15,16.4,16.35,15.96
2001-08-23,4800.0,15.93,16.15,16.0,15.8
2001-08-24,600.0,15.9,15.97,15.97,15.9
2001-08-27,1000.0,16.05,16.05,15.95,15.95
2001-08-28,1600.0,15.68,15.99,15.99,15.68
2001-08-29,2000.0,15.4,15.6,15.6,15.4
2001-08-30,1100.0,15.2,15.3,15.3,15.2
2001-08-31,17100.0,16.48,16.48,15.3,15.2
2001-09-04,5900.0,16.6,16.78,16.73,16.6
2001-09-05,5000.0,16.2,16.45,16.45,16.2
2001-09-06,2700.0,15.7,16.05,16.05,15.7
2001-09-07,700.0,15.3,15.6,15.6,15.3
2001-09-10,5800.0,15.73,15.73,15.55,15.55
2001-09-17,12200.0,15.0,15.4,15.3,15.0
2001-09-18,16300.0,14.4,15.1,15.1,14.4
2001-09-19,3700.0,13.9,14.5,14.5,13.9
2001-09-20,2900.0,13.0,13.75,13.75,13.0
2001-09-21,21700.0,13.1,13.1,13.1,12.0
2001-09-24,0.0,13.1,13.1,13.1,13.1
2001-09-25,0.0,13.1,13.1,13.1,13.1
2001-09-26,6700.0,13.1,13.65,13.25,13.1
2001-09-27,800.0,13.2,13.3,13.2,13.1
2001-09-28,5500.0,14.25,14.25,13.1,13.1
2001-10-01,5000.0,13.8,14.1,14.1,13.6
2001-10-02,0.0,13.8,13.8,13.8,13.8
2001-10-03,4900.0,14.2,14.2,14.2,13.5
2001-10-04,2000.0,14.4,14.8,14.8,14.3
2001-10-05,2300.0,13.6,14.4,14.4,13.6
2001-10-08,400.0,13.3,13.45,13.45,13.3
2001-10-09,4300.0,13.05,13.05,13.05,12.9
2001-10-10,7800.0,13.3,13.3,12.9,12.9
2001-10-11,3200.0,14.15,14.15,13.55,13.55
2001-10-12,1900.0,13.63,14.05,14.05,13.55
2001-10-15,3900.0,13.15,13.35,13.35,12.85
2001-10-16,6700.0,14.0,14.0,13.25,13.25
2001-10-17,20700.0,13.15,14.2,14.2,13.15
2001-10-18,2600.0,13.35,13.39,13.0,13.0
2001-10-19,4500.0,13.3,13.46,13.2,13.2
2001-10-22,800.0,13.61,13.61,13.4,13.4
2001-10-23,3200.0,13.46,13.46,13.4,13.2
2001-10-24,3100.0,13.06,13.56,13.56,13.06
2001-10-25,5500.0,13.06,13.1,13.1,12.85
2001-10-26,200.0,13.09,13.09,13.05,13.05
2001-10-29,4300.0,13.0,13.06,13.0,12.96
2001-10-30,500.0,12.6,12.75,12.75,12.6
2001-10-31,900.0,12.71,12.8,12.7,12.7
2001-11-01,5700.0,12.6,12.7,12.7,12.5
2001-11-02,5600.0,12.35,12.4,12.4,12.3
2001-11-05,3600.0,12.71,12.71,12.55,12.55
2001-11-06,3600.0,12.72,12.72,12.51,12.51
2001-11-07,6900.0,12.79,12.89,12.89,12.73
2001-11-08,2700.0,13.64,13.89,12.89,12.89
2001-11-09,4500.0,13.51,13.6,13.6,13.45
2001-11-12,600.0,13.5,13.5,13.41,13.41
2001-11-13,1000.0,13.97,14.0,13.75,13.75
2001-11-14,2300.0,14.3,14.51,14.1,14.1
2001-11-15,200.0,14.45,14.45,14.45,14.45
2001-11-16,4200.0,14.7,14.89,14.5,14.44
2001-11-19,15500.0,15.1,15.5,14.85,14.8
2001-11-20,5800.0,14.59,15.0,15.0,14.59
2001-11-21,6000.0,14.12,14.3,14.3,14.0
2001-11-23,1000.0,14.48,14.55,14.55,14.2
2001-11-26,7600.0,14.67,14.7,14.45,14.42
2001-11-27,2900.0,14.5,14.89,14.61,14.5
2001-11-28,700.0,14.4,14.6,14.6,14.4
2001-11-29,1000.0,14.2,14.35,14.35,14.2
2001-11-30,4300.0,14.2,14.3,14.3,14.2
2001-12-03,1500.0,14.12,14.12,14.12,14.0
2001-12-04,4800.0,14.5,14.5,14.18,14.18
2001-12-05,9700.0,15.1,15.2,14.4,14.4
2001-12-06,8100.0,15.0,15.43,15.43,15.0
2001-12-07,7600.0,15.5,15.5,14.97,14.93
2001-12-10,9500.0,14.65,15.4,15.4,14.65
2001-12-11,1800.0,14.5,14.5,14.5,14.3
2001-12-12,2300.0,14.35,14.35,14.2,14.0
2001-12-13,900.0,14.0,14.45,14.45,13.85
2001-12-14,1000.0,13.95,14.1,14.1,13.95
2001-12-17,500.0,14.28,14.28,14.05,14.05
2001-12-18,2700.0,14.3,14.38,14.38,14.26
2001-12-19,5200.0,14.46,14.46,14.4,14.11
2001-12-20,4900.0,14.23,14.52,14.2,14.2
2001-12-21,6300.0,14.1,14.25,14.13,14.0
2001-12-24,6400.0,14.35,14.35,14.0,14.0
2001-12-26,1600.0,14.5,14.5,14.2,14.2
2001-12-27,1100.0,14.7,14.7,14.4,14.4
2001-12-28,9200.0,15.0,15.0,14.5,14.3
2001-12-31,20500.0,15.2,15.4,14.9,14.65
2002-01-02,6000.0,15.05,15.1,15.0,14.9
2002-01-03,5300.0,15.3,15.4,15.4,14.92
2002-01-04,2300.0,15.56,15.6,15.4,15.4
2002-01-07,4900.0,15.65,15.9,15.7,15.65
2002-01-08,9200.0,15.5,15.75,15.75,15.4
2002-01-09,2000.0,15.3,15.5,15.5,15.3
2002-01-10,3400.0,15.0,15.25,15.25,15.0
2002-01-11,4800.0,14.9,15.1,15.1,14.75
2002-01-14,2500.0,14.6,14.8,14.8,14.6
2002-01-15,1000.0,14.9,14.9,14.75,14.75
2002-01-16,2500.0,14.9,14.98,14.98,14.9
2002-01-17,2300.0,15.25,15.25,15.0,15.0
2002-01-18,300.0,15.15,15.15,15.15,15.15
2002-01-22,3500.0,14.67,15.1,15.1,14.67
2002-01-23,5400.0,15.05,15.1,15.1,14.6
2002-01-24,2200.0,14.9,15.2,15.05,14.9
2002-01-25,1100.0,15.05,15.12,15.0,15.0
2002-01-28,800.0,14.89,15.1,15.1,14.89
2002-01-29,8700.0,14.45,14.8,14.8,14.1
2002-01-30,20000.0,13.7,14.35,14.35,13.2
2002-01-31,8700.0,14.05,14.15,13.65,13.55
2002-02-01,5200.0,13.98,14.13,14.13,13.8
2002-02-04,3500.0,13.55,13.85,13.85,13.55
