date,5. volume,4. close,2. high,1. open,3. low
2011-01-03,0.0,6.43,6.43,6.43,6.43
2011-01-04,50300.0,6.42,6.72,6.67,6.42
2011-01-05,77400.0,6.44,6.44,6.38,6.22
2011-01-06,62800.0,6.27,6.38,6.38,6.27
2011-01-07,12600.0,6.35,6.35,6.29,6.23
2011-01-10,35200.0,6.35,6.35,6.33,6.24
2011-01-11,14600.0,6.34,6.37,6.35,6.31
2011-01-12,29900.0,6.36,6.42,6.34,6.32
2011-01-13,7100.0,6.31,6.35,6.33,6.31
2011-01-14,84700.0,6.99,7.06,6.98,6.79
2011-01-18,74100.0,7.24,7.38,7.38,7.19
2011-01-19,84100.0,6.56,6.81,6.76,6.56
2011-01-20,58400.0,6.14,6.8,6.8,5.96
2011-01-21,29100.0,6.54,6.55,6.5,6.39
2011-01-24,5400.0,6.62,6.62,6.62,6.53
2011-01-25,11600.0,6.51,6.55,6.55,6.51
2011-01-26,17500.0,6.63,6.66,6.62,6.54
2011-01-27,1800.0,6.83,6.84,6.8,6.78
2011-01-28,14000.0,6.81,6.95,6.84,6.74
2011-01-31,31200.0,6.62,6.78,6.76,6.62
2011-02-01,25500.0,6.5,6.79,6.79,6.35
2011-02-02,21800.0,6.56,6.56,6.53,6.44
2011-02-03,8600.0,6.56,6.56,6.49,6.44
2011-02-04,37100.0,6.47,6.61,6.61,6.44
2011-02-07,5600.0,6.44,6.47,6.45,6.44
2011-02-08,2900.0,6.42,6.47,6.47,6.37
2011-02-09,13500.0,6.53,6.58,6.4,6.37
2011-02-10,4700.0,6.47,6.52,6.52,6.43
2011-02-11,42000.0,6.4,6.48,6.45,6.4
2011-02-14,7500.0,6.04,6.29,6.29,6.01
2011-02-15,20000.0,5.89,6.0,6.0,5.8
2011-02-16,65900.0,5.99,5.99,5.82,4.95
2011-02-17,55700.0,6.26,6.29,6.26,6.25
2011-02-18,86300.0,6.47,6.51,6.35,6.35
2011-02-22,17200.0,6.36,6.46,6.46,6.29
2011-02-23,7400.0,6.14,6.21,6.21,6.1
2011-02-24,16000.0,6.17,6.22,6.21,6.15
2011-02-25,8500.0,6.29,6.34,6.34,6.23
2011-02-28,14100.0,6.28,6.34,6.34,6.28
2011-03-01,6300.0,6.13,6.34,6.34,6.13
2011-03-02,30700.0,5.7,5.82,5.74,5.67
2011-03-03,6300.0,6.0,6.01,5.75,5.75
2011-03-04,2100.0,6.09,6.14,6.14,6.09
2011-03-07,11200.0,6.01,6.11,6.11,6.01
2011-03-08,2700.0,6.01,6.09,6.05,6.01
2011-03-09,1000.0,5.93,5.98,5.98,5.93
2011-03-10,2200.0,5.72,5.73,5.73,5.72
2011-03-11,5000.0,6.0,6.0,5.97,5.97
2011-03-14,1500.0,5.96,5.96,5.96,5.96
2011-03-15,4700.0,5.81,5.81,5.64,5.64
2011-03-16,11200.0,5.82,5.9,5.87,5.79
2011-03-17,11900.0,6.11,6.11,6.02,5.97
2011-03-18,5000.0,6.28,6.31,6.31,6.28
2011-03-21,4600.0,6.52,6.52,6.4,6.4
2011-03-22,1700.0,6.28,6.5,6.5,6.28
2011-03-23,10400.0,6.32,6.32,6.27,6.27
2011-03-24,1000.0,6.3,6.3,6.3,6.3
2011-03-25,3300.0,6.1,6.12,6.12,6.08
2011-03-28,5900.0,6.03,6.09,6.02,6.0
2011-03-29,11300.0,6.11,6.16,6.06,6.05
2011-03-30,2500.0,6.22,6.22,6.22,6.22
2011-03-31,13800.0,6.15,6.22,6.2,6.13
2011-04-01,8000.0,6.18,6.18,6.17,6.17
2011-04-04,0.0,6.18,6.18,6.18,6.18
2011-04-05,3000.0,6.17,6.17,6.11,6.11
2011-04-06,6200.0,6.26,6.32,6.25,6.25
2011-04-07,14300.0,6.32,6.34,6.31,6.31
2011-04-08,25700.0,6.28,6.29,6.25,6.23
2011-04-11,2500.0,6.28,6.34,6.34,6.26
2011-04-12,0.0,6.28,6.28,6.28,6.28
2011-04-13,5700.0,6.17,6.17,6.14,6.09
2011-04-14,1000.0,6.14,6.14,6.14,6.14
2011-04-15,20800.0,6.31,6.35,6.29,6.23
2011-04-18,21800.0,6.25,6.25,6.16,6.11
2011-04-19,0.0,6.25,6.25,6.25,6.25
2011-04-20,1000.0,6.36,6.41,6.41,6.36
2011-04-21,1900.0,6.3,6.34,6.34,6.3
2011-04-25,600.0,6.22,6.22,6.22,6.22
2011-04-26,5400.0,6.17,6.25,6.23,6.16
2011-04-27,19600.0,6.25,6.34,6.34,6.25
2011-04-28,166000.0,6.32,6.33,6.3,6.3
2011-04-29,244300.0,6.32,6.36,6.32,6.27
2011-05-02,3400.0,6.2,6.28,6.28,6.2
2011-05-03,5700.0,5.97,6.15,6.11,5.97
2011-05-04,14000.0,6.15,6.15,6.02,6.02
2011-05-05,3100.0,6.04,6.14,6.09,6.04
2011-05-06,4500.0,6.12,6.22,6.22,6.12
2011-05-09,283600.0,6.16,6.19,6.18,6.16
2011-05-10,21000.0,6.19,6.19,6.18,6.15
2011-05-11,2000.0,6.17,6.17,6.17,6.17
2011-05-12,4600.0,6.06,6.06,6.06,6.06
2011-05-13,6000.0,6.07,6.09,6.01,6.01
2011-05-16,3000.0,5.9,6.05,6.01,5.9
2011-05-17,16500.0,5.87,5.9,5.9,5.8
2011-05-18,231600.0,6.88,6.94,6.19,6.19
2011-05-19,50500.0,6.92,7.05,6.92,6.8
2011-05-20,109200.0,7.39,7.39,6.9,6.76
2011-05-23,0.0,7.39,7.39,7.39,7.39
2011-05-24,162700.0,7.59,7.69,7.22,7.14
2011-05-25,65900.0,7.77,7.81,7.49,7.43
2011-05-26,120400.0,7.7,7.7,7.7,7.6
2011-05-27,143700.0,8.09,8.16,7.6,7.6
2011-05-31,94100.0,8.21,8.34,8.28,8.0
2011-06-01,284200.0,7.5699,8.33,8.33,7.56
2011-06-02,70300.0,7.54,7.71,7.43,7.19
2011-06-03,141200.0,7.4,7.6,7.27,7.27
2011-06-06,105700.0,6.88,7.85,7.28,6.85
2011-06-07,137200.0,6.85,6.99,6.91,6.81
2011-06-08,119200.0,6.65,6.85,6.85,6.58
2011-06-09,140800.0,7.2,7.38,6.55,6.55
2011-06-10,82200.0,7.2,7.49,7.3,7.12
2011-06-13,145100.0,7.17,7.54,7.54,6.9
2011-06-14,56000.0,7.21,7.38,7.22,7.08
2011-06-15,44800.0,7.12,7.18,7.15,6.96
2011-06-16,76600.0,7.05,7.16,6.97,6.97
2011-06-17,347300.0,7.02,7.13,6.97,6.87
2011-06-20,39600.0,7.2,7.3,7.03,7.02
2011-06-21,57900.0,7.53,7.53,7.28,7.28
2011-06-22,120700.0,7.55,7.61,7.45,7.41
2011-06-23,107600.0,7.5,7.51,7.45,7.26
2011-06-24,70900.0,7.39,7.56,7.56,7.39
2011-06-27,94300.0,7.47,7.55,7.4,7.33
2011-06-28,30400.0,7.57,7.58,7.57,7.4251
2011-06-29,29500.0,7.71,7.73,7.67,7.64
2011-06-30,124000.0,8.0699,8.11,7.74,7.74
2011-07-01,332700.0,8.545,8.89,7.9,7.53
2011-07-05,227900.0,8.47,8.82,8.77,8.45
2011-07-06,106600.0,8.6,8.67,8.44,8.22
2011-07-07,83300.0,8.62,8.7,8.65,8.44
2011-07-08,78800.0,8.59,8.61,8.43,8.43
2011-07-11,43200.0,8.33,8.5,8.5,8.3
2011-07-12,67600.0,8.44,8.47,8.24,8.24
2011-07-13,86100.0,8.58,8.75,8.46,8.41
2011-07-14,34300.0,8.6,8.81,8.59,8.53
2011-07-15,41900.0,8.61,8.73,8.67,8.59
2011-07-18,28300.0,8.46,8.57,8.57,8.37
2011-07-19,74700.0,8.77,8.83,8.78,8.68
2011-07-20,221300.0,9.3,9.335,8.8,8.8
2011-07-21,437400.0,9.69,9.84,9.31,9.31
2011-07-22,89700.0,9.52,9.67,9.65,9.4027
2011-07-25,126800.0,9.62,9.71,9.42,9.3765
2011-07-26,242400.0,9.95,10.1273,9.69,9.69
2011-07-27,159300.0,9.5387,9.94,9.94,9.44
2011-07-28,116400.0,9.46,9.5891,9.55,9.41
2011-07-29,59200.0,9.46,9.48,9.4,9.15
2011-08-01,244900.0,9.86,9.94,9.75,9.4501
2011-08-02,848200.0,9.75,9.87,9.79,9.51
2011-08-03,1279300.0,8.4212,9.58,9.58,8.1
2011-08-04,422600.0,7.62,8.57,8.5,7.33
2011-08-05,509900.0,7.151,7.64,7.64,6.99
2011-08-08,504200.0,5.69,6.45,6.25,5.48
2011-08-09,311600.0,6.12,6.12,5.89,5.74
2011-08-10,407400.0,6.53,6.82,6.34,6.15
2011-08-11,362600.0,6.71,6.86,6.62,6.37
2011-08-12,284800.0,7.11,7.24,6.84,6.83
2011-08-15,473200.0,7.52,7.6,7.51,7.39
2011-08-16,170200.0,7.06,7.45,7.45,7.01
2011-08-17,201600.0,7.22,7.23,7.06,6.97
2011-08-18,208000.0,6.78,6.91,6.71,6.59
2011-08-19,106700.0,6.49,6.85,6.68,6.44
2011-08-22,169300.0,6.58,6.76,6.71,6.418
2011-08-23,126700.0,6.84,6.86,6.61,6.51
2011-08-24,10200.0,6.81,6.84,6.84,6.63
2011-08-25,29400.0,6.85,6.94,6.84,6.7326
2011-08-26,52800.0,6.99,7.08,6.76,6.683
2011-08-29,76800.0,7.46,7.47,7.08,7.08
2011-08-30,83600.0,7.59,7.65,7.4,7.4
2011-08-31,73300.0,7.59,7.79,7.66,7.5
2011-09-01,50800.0,7.26,7.56,7.56,7.24
2011-09-02,179600.0,7.19,7.37,7.13,6.84
2011-09-06,169400.0,6.98,7.13,7.02,6.9
2011-09-07,127500.0,7.4,7.45,7.09,7.03
2011-09-08,60200.0,7.28,7.4,7.38,7.18
2011-09-09,60100.0,7.02,7.24,7.18,6.96
2011-09-12,77300.0,6.81,6.96,6.89,6.68
2011-09-13,83600.0,6.94,7.0,6.83,6.82
2011-09-14,29300.0,6.87,7.06,6.99,6.87
2011-09-15,20300.0,7.06,7.09,6.97,6.96
2011-09-16,34600.0,7.2,7.31,7.18,7.12
2011-09-19,44100.0,6.99,7.03,7.0,6.915
2011-09-20,11100.0,6.84,7.0,7.0,6.84
2011-09-21,33200.0,6.51,6.83,6.81,6.49
2011-09-22,84400.0,6.22,6.25,6.25,5.7799
2011-09-23,86000.0,5.96,6.25,6.18,5.89
2011-09-26,53600.0,6.07,6.09,6.02,5.9099
2011-09-27,130100.0,6.51,6.64,6.23,6.23
2011-09-28,110800.0,6.17,6.59,6.59,6.12
2011-09-29,32900.0,6.01,6.39,6.35,5.86
2011-09-30,65100.0,5.77,5.9,5.87,5.72
2011-10-03,194900.0,5.45,5.77,5.69,5.41
2011-10-04,392100.0,5.18,5.23,5.09,4.63
2011-10-05,82200.0,5.32,5.32,5.22,5.13
2011-10-06,88600.0,5.76,5.76,5.29,5.25
2011-10-07,43500.0,5.73,6.01,5.84,5.6793
2011-10-10,26600.0,6.19,6.28,5.71,5.71
2011-10-11,23700.0,5.96,6.11,6.11,5.9
2011-10-12,49700.0,6.27,6.3,6.29,6.02
2011-10-13,41100.0,6.01,6.25,6.25,5.97
2011-10-14,28900.0,6.16,6.22,6.12,6.08
2011-10-17,28500.0,5.93,6.11,6.11,5.9
2011-10-18,17700.0,6.11,6.15,5.94,5.77
2011-10-19,12400.0,6.0,6.16,6.02,5.922
2011-10-20,25800.0,6.03,6.05,6.01,5.95
2011-10-21,31800.0,6.1,6.29,6.2292,6.1
2011-10-24,37800.0,6.27,6.4093,6.16,6.16
2011-10-25,17200.0,6.17,6.25,6.25,6.11
2011-10-26,41800.0,6.16,6.25,6.25,6.04
2011-10-27,63900.0,6.68,6.76,6.41,6.4
2011-10-28,111400.0,6.98,7.19,6.79,6.79
2011-10-31,263000.0,7.46,7.7,6.9,6.83
2011-11-01,122200.0,6.9,7.14,7.11,6.9
2011-11-02,52200.0,7.31,7.43,7.07,7.07
2011-11-03,58300.0,7.32,7.4,7.35,7.27
2011-11-04,17000.0,7.27,7.33,7.23,7.2
2011-11-07,33500.0,7.27,7.28,7.26,7.17
2011-11-08,25600.0,7.32,7.33,7.26,7.23
2011-11-09,77900.0,6.59,6.88,6.88,6.54
2011-11-10,126700.0,6.32,6.75,6.65,6.31
2011-11-11,27700.0,6.37,6.52,6.43,6.36
2011-11-14,65700.0,6.19,6.4,6.37,6.14
2011-11-15,76400.0,6.21,6.31,6.11,6.06
2011-11-16,59600.0,6.07,6.25,6.13,6.03
2011-11-17,43500.0,5.88,6.08,6.08,5.77
2011-11-18,6500.0,5.82,5.9,5.9,5.7999
2011-11-21,40600.0,5.53,5.75,5.75,5.47
2011-11-22,28000.0,5.51,5.63,5.59,5.51
2011-11-23,19700.0,5.36,5.53,5.5,5.3462
2011-11-25,30200.0,5.32,5.61,5.26,5.25
2011-11-28,33400.0,5.42,5.73,5.73,5.37
2011-11-29,43100.0,5.31,5.49,5.42,5.31
2011-11-30,300200.0,5.44,5.69,5.53,5.41
2011-12-01,20100.0,5.55,5.59,5.39,5.39
2011-12-02,37900.0,5.48,5.57,5.54,5.43
2011-12-05,39000.0,5.43,5.52,5.52,5.4
2011-12-06,168600.0,5.4,5.48,5.45,5.4
2011-12-07,231400.0,5.4,5.5,5.43,5.39
2011-12-08,38700.0,5.1,5.38,5.38,5.06
2011-12-09,145100.0,5.39,5.53,5.15,5.1
2011-12-12,107600.0,5.23,5.33,5.3,5.1
2011-12-13,63000.0,5.0,5.27,5.26,4.99
2011-12-14,76600.0,5.19,5.29,5.01,4.91
2011-12-15,47300.0,5.24,5.43,5.29,5.22
2011-12-16,39800.0,5.29,5.34,5.27,5.2308
2011-12-19,35300.0,5.28,5.391,5.33,5.27
2011-12-20,18400.0,5.48,5.55,5.35,5.35
2011-12-21,41700.0,5.58,5.6245,5.5,5.41
2011-12-22,22000.0,5.66,5.719,5.67,5.6506
2011-12-23,20700.0,5.76,5.78,5.68,5.68
2011-12-27,30200.0,5.64,5.8,5.78,5.54
2011-12-28,26900.0,5.41,5.79,5.79,5.39
2011-12-29,16400.0,5.61,5.61,5.2935,5.2935
2011-12-30,59000.0,5.74,5.7701,5.68,5.56
2012-01-03,70700.0,5.95,6.03,5.86,5.86
2012-01-04,159600.0,5.89,5.96,5.84,5.83
2012-01-05,36500.0,5.8,5.93,5.93,5.8
2012-01-06,48400.0,5.75,5.8,5.8,5.75
2012-01-09,71400.0,5.65,5.77,5.77,5.63
2012-01-10,56800.0,5.63,5.82,5.82,5.61
2012-01-11,238200.0,5.27,5.63,5.6,5.2399
2012-01-12,164100.0,5.29,5.33,5.28,5.2799
2012-01-13,23600.0,5.26,5.2899,5.24,5.14
2012-01-17,14900.0,5.52,5.56,5.34,5.34
2012-01-18,8100.0,5.39,5.44,5.41,5.36
2012-01-19,22600.0,5.21,5.37,5.3108,5.21
2012-01-20,47500.0,5.28,5.28,5.25,5.19
2012-01-23,38400.0,5.54,5.5639,5.29,5.29
2012-01-24,16000.0,5.45,5.52,5.52,5.3815
2012-01-25,17800.0,5.45,5.45,5.41,5.37
2012-01-26,10800.0,5.38,5.51,5.48,5.37
2012-01-27,30900.0,5.39,5.48,5.39,5.35
2012-01-30,26800.0,5.52,5.5501,5.38,5.38
2012-01-31,60400.0,5.71,5.79,5.54,5.54
2012-02-01,95600.0,5.72,5.89,5.8,5.7
2012-02-02,161500.0,5.8,5.82,5.75,5.75
2012-02-03,120800.0,5.82,5.84,5.84,5.79
2012-02-06,13000.0,5.74,5.7799,5.76,5.67
2012-02-07,28000.0,5.55,5.72,5.7,5.54
2012-02-08,15500.0,5.52,5.61,5.59,5.52
2012-02-09,44500.0,5.6,5.6052,5.57,5.473
2012-02-10,10300.0,5.44,5.5099,5.45,5.43
2012-02-13,30400.0,5.41,5.499,5.47,5.41
2012-02-14,11000.0,5.37,5.42,5.41,5.36
2012-02-15,16700.0,5.33,5.47,5.4,5.33
2012-02-16,46000.0,5.48,5.51,5.38,5.33
2012-02-17,16700.0,5.407,5.45,5.45,5.38
2012-02-21,16000.0,5.37,5.5,5.39,5.37
2012-02-22,40100.0,5.32,5.38,5.35,5.28
2012-02-23,31300.0,5.26,5.31,5.23,5.189
2012-02-24,13600.0,5.24,5.3,5.28,5.18
2012-02-27,24300.0,5.22,5.22,5.17,5.09
2012-02-28,18200.0,5.25,5.3,5.19,5.1801
2012-02-29,42100.0,5.31,5.3901,5.32,5.25
2012-03-01,18600.0,5.25,5.36,5.36,5.25
2012-03-02,24500.0,5.21,5.33,5.25,5.19
2012-03-05,139600.0,4.98,5.16,5.15,4.92
2012-03-06,38200.0,4.89,5.03,4.95,4.83
2012-03-07,272600.0,5.07,5.44,4.94,4.94
2012-03-08,312900.0,5.1,5.4899,4.99,4.38
2012-03-09,96500.0,5.13,5.18,5.15,5.071
2012-03-12,60000.0,5.15,5.1625,5.09,5.09
2012-03-13,173600.0,5.18,5.2,5.14,5.11
2012-03-14,233200.0,5.24,5.41,5.1665,5.16
2012-03-15,130600.0,5.3,5.31,5.23,5.22
2012-03-16,52600.0,5.27,5.4,5.34,5.26
2012-03-19,60100.0,5.27,5.35,5.29,5.25
2012-03-20,107200.0,5.19,5.25,5.25,5.1
2012-03-21,30000.0,5.2,5.23,5.17,5.17
2012-03-22,17500.0,5.14,5.23,5.22,5.1275
2012-03-23,30600.0,5.22,5.24,5.2,5.115
2012-03-26,17000.0,5.28,5.3496,5.3496,5.28
2012-03-27,19200.0,5.26,5.32,5.31,5.25
2012-03-28,62300.0,5.17,5.2825,5.25,5.14
2012-03-29,33300.0,5.15,5.1801,5.17,5.1
2012-03-30,51800.0,5.15,5.21,5.18,5.14
2012-04-02,107900.0,5.32,5.34,5.12,5.12
2012-04-03,16400.0,5.16,5.27,5.27,5.16
2012-04-04,80200.0,5.07,5.14,5.13,5.06
2012-04-05,33200.0,5.11,5.18,5.08,5.03
2012-04-09,90100.0,5.22,5.26,5.12,5.0504
2012-04-10,298000.0,5.34,5.4996,5.25,5.25
2012-04-11,496000.0,5.89,5.95,5.75,5.695
2012-04-12,127800.0,5.84,6.03,5.94,5.76
2012-04-13,96800.0,5.7,5.84,5.84,5.66
2012-04-16,78500.0,5.66,5.75,5.71,5.63
2012-04-17,28000.0,5.82,5.87,5.7,5.7
2012-04-18,12600.0,5.8,5.83,5.79,5.75
2012-04-19,15000.0,5.71,5.8,5.8,5.7
2012-04-20,12100.0,5.65,5.7601,5.71,5.65
2012-04-23,77500.0,5.45,5.57,5.56,5.41
2012-04-24,23300.0,5.4,5.59,5.44,5.36
2012-04-25,25800.0,5.51,5.53,5.3801,5.38
2012-04-26,15900.0,5.66,5.73,5.55,5.54
2012-04-27,27700.0,5.66,5.71,5.63,5.63
2012-04-30,14600.0,5.75,5.75,5.66,5.54
2012-05-01,17000.0,5.66,5.7615,5.7615,5.64
2012-05-02,15000.0,5.74,5.74,5.61,5.59
2012-05-03,17200.0,5.58,5.72,5.7,5.56
2012-05-04,33400.0,5.32,5.56,5.56,5.31
2012-05-07,53300.0,5.35,5.4,5.25,5.25
2012-05-08,58400.0,5.19,5.35,5.35,5.09
2012-05-09,73900.0,4.96,5.08,5.08,4.88
2012-05-10,60000.0,4.77,4.99,4.99,4.76
2012-05-11,47300.0,4.78,4.87,4.74,4.67
2012-05-14,92000.0,4.68,4.83,4.77,4.5799
2012-05-15,20700.0,4.74,4.7591,4.67,4.64
2012-05-16,45000.0,4.64,4.8,4.72,4.64
2012-05-17,82700.0,4.78,4.8499,4.78,4.68
2012-05-18,52000.0,4.79,4.8,4.8,4.72
2012-05-21,11300.0,4.81,4.83,4.7,4.69
2012-05-22,23900.0,4.88,4.93,4.85,4.76
2012-05-23,49900.0,4.78,4.88,4.88,4.7
2012-05-24,7500.0,4.89,4.89,4.81,4.79
2012-05-25,24300.0,5.0,5.01,4.92,4.92
2012-05-29,15200.0,5.07,5.0703,5.0465,4.95
2012-05-30,23800.0,4.84,5.04,4.99,4.84
2012-05-31,18400.0,4.89,4.92,4.84,4.8
2012-06-01,18900.0,4.85,4.8797,4.79,4.78
2012-06-04,15300.0,4.86,4.89,4.89,4.8152
2012-06-05,7700.0,4.92,4.93,4.82,4.82
2012-06-06,30500.0,5.05,5.06,4.98,4.97
2012-06-07,13900.0,4.94,5.14,5.1,4.94
2012-06-08,9700.0,5.0,5.0,4.96,4.85
2012-06-11,18300.0,4.93,5.07,5.06,4.91
2012-06-12,9300.0,4.97,4.98,4.97,4.91
2012-06-13,9100.0,5.01,5.02,4.92,4.91
2012-06-14,32500.0,4.93,5.07,5.07,4.9
2012-06-15,31600.0,4.95,4.98,4.95,4.89
2012-06-18,18100.0,5.08,5.12,4.91,4.9
2012-06-19,11700.0,5.21,5.21,5.12,5.11
2012-06-20,7400.0,5.1335,5.18,5.18,5.1299
2012-06-21,8400.0,5.03,5.13,5.11,4.95
2012-06-22,13000.0,4.99,5.03,5.02,4.92
2012-06-25,21000.0,4.9,4.9201,4.91,4.88
2012-06-26,15700.0,4.94,5.0,4.91,4.87
2012-06-27,2100.0,4.92,4.96,4.96,4.92
2012-06-28,40700.0,4.79,4.87,4.81,4.71
2012-06-29,62300.0,4.93,5.01,4.86,4.81
2012-07-02,19000.0,4.88,5.11,4.37,4.37
2012-07-03,12700.0,5.1,5.1,4.94,4.92
2012-07-05,14100.0,5.14,5.2,5.06,5.06
2012-07-06,3000.0,5.72,5.72,5.09,5.06
2012-07-09,35300.0,4.94,5.5,5.5,4.94
2012-07-10,11300.0,4.82,5.01,5.01,4.81
