date,5. volume,4. close,2. high,1. open,3. low
2017-12-07,2346192.0,17.47,17.73,16.25,15.56
2017-12-08,268596.0,18.18,18.75,17.5,17.35
2017-12-11,134818.0,19.08,19.34,18.25,18.14
2017-12-12,216813.0,19.0,19.85,19.85,18.9
2017-12-13,186060.0,18.685,19.22,18.96,18.01
2017-12-14,111865.0,18.7,18.9,18.75,18.33
2017-12-15,130187.0,17.75,19.28,18.62,17.0
2017-12-18,189045.0,18.64,19.68,18.23,17.041
2017-12-19,137267.0,19.36,19.79,18.44,17.8969
2017-12-20,135774.0,19.33,19.8,19.59,18.92
2017-12-21,261408.0,19.68,20.36,19.37,19.07
2017-12-22,252027.0,21.0,21.31,20.4,20.3777
2017-12-26,81145.0,20.9,21.3,21.3,20.37
2017-12-27,61809.0,20.89,22.65,21.16,20.39
2017-12-28,118534.0,22.18,22.66,20.96,20.74
2017-12-29,93476.0,21.47,23.7,21.83,21.36
2018-01-02,255411.0,19.55,21.53,21.53,19.06
2018-01-03,205761.0,19.08,20.6,19.76,18.72
2018-01-04,72537.0,19.49,19.69,19.11,19.03
2018-01-05,105426.0,19.48,20.5,19.42,19.31
2018-01-08,136799.0,19.75,20.4,19.54,19.5
2018-01-09,80451.0,20.16,20.39,19.76,19.76
2018-01-10,69467.0,20.07,20.49,20.2,19.49
2018-01-11,140872.0,20.11,20.57,19.9,19.55
2018-01-12,289977.0,20.57,21.5,20.26,20.15
2018-01-16,151875.0,20.91,21.96,20.75,20.75
2018-01-17,125685.0,20.69,21.135,20.85,20.25
2018-01-18,97267.0,21.06,21.4,20.54,20.45
2018-01-19,93993.0,20.94,21.38,20.88,20.66
2018-01-22,77542.0,21.38,21.4999,20.9,20.831
2018-01-23,71309.0,23.1,23.49,21.57,21.57
2018-01-24,129956.0,23.2,24.805,23.03,23.03
2018-01-25,96310.0,24.28,24.6,23.12,23.02
2018-01-26,123750.0,22.85,24.61,24.61,22.71
2018-01-29,238241.0,21.06,22.85,22.85,20.8548
2018-01-30,59109.0,21.0,21.9575,21.08,20.5989
2018-01-31,95756.0,20.81,21.82,21.15,20.28
2018-02-01,77144.0,19.9,20.603,20.16,19.75
2018-02-02,61977.0,20.23,21.35,20.02,20.02
2018-02-05,175040.0,19.03,21.04,20.16,18.73
2018-02-06,167380.0,18.56,19.009,18.82,17.45
2018-02-07,71966.0,19.12,19.68,19.02,18.46
