date,5. volume,4. close,2. high,1. open,3. low
2014-01-31,4392500.0,42.25,47.99,45.8,41.85
2014-02-03,498200.0,39.0,43.95,43.95,38.52
2014-02-04,352300.0,36.26,40.25,38.8,36.18
2014-02-05,296500.0,36.08,38.51,38.51,35.15
2014-02-06,188500.0,37.24,38.68,36.84,35.81
2014-02-07,62500.0,37.65,38.29,36.46,36.46
2014-02-10,90200.0,38.45,39.92,37.595,37.595
2014-02-11,83500.0,40.13,40.589,39.83,38.52
2014-02-12,291600.0,44.78,46.0,40.05,40.05
2014-02-13,169900.0,43.96,44.95,44.27,40.51
2014-02-14,37900.0,44.0,45.18,45.11,42.66
2014-02-18,45000.0,43.57,44.995,44.0,42.7658
2014-02-19,104200.0,43.85,44.89,43.71,41.43
2014-02-20,182000.0,51.35,51.87,43.64,43.64
2014-02-21,227500.0,59.1,62.48,51.86,49.62
2014-02-24,165500.0,58.01,59.81,58.53,54.16
2014-02-25,244400.0,59.0,63.855,60.0,58.0
2014-02-26,93000.0,56.07,60.5208,58.5,54.15
2014-02-27,95800.0,54.0,57.6499,56.47,53.74
2014-02-28,110000.0,55.76,57.25,54.0,53.15
2014-03-03,131900.0,55.53,59.31,51.87,50.057
2014-03-04,98300.0,58.22,59.9899,56.59,54.63
2014-03-05,103800.0,58.75,62.34,62.34,58.5
2014-03-06,163600.0,54.38,59.29,58.5,52.25
2014-03-07,147000.0,56.625,58.96,54.98,50.05
2014-03-10,217900.0,61.97,62.6099,59.06,55.01
2014-03-11,231600.0,62.38,64.89,64.41,59.5
2014-03-12,77800.0,66.18,66.5,61.18,60.5
2014-03-13,275900.0,60.48,69.7738,67.18,56.89
2014-03-14,84100.0,60.0,61.68,57.58,57.58
2014-03-17,83200.0,60.06,61.24,60.51,58.91
2014-03-18,81000.0,60.44,61.24,60.0,59.74
2014-03-19,104900.0,62.75,64.72,60.79,60.115
2014-03-20,91200.0,60.35,62.85,62.07,59.19
2014-03-21,426100.0,55.05,61.25,60.58,55.05
2014-03-24,241500.0,51.41,57.9611,55.34,50.05
2014-03-25,189200.0,50.4,54.2,51.9,49.37
2014-03-26,119000.0,50.69,51.4425,50.5,49.98
2014-03-27,112400.0,49.79,53.25,51.05,49.09
2014-03-28,212000.0,45.69,51.24,50.22,45.0
2014-03-31,978500.0,48.89,48.96,47.0,44.62
2014-04-01,160700.0,51.32,51.91,49.16,48.16
2014-04-02,125600.0,53.03,53.36,51.37,51.32
2014-04-03,195700.0,51.74,52.83,52.83,48.55
2014-04-04,122600.0,50.67,52.225,51.88,47.01
2014-04-07,90300.0,51.17,52.2,50.6,49.3925
2014-04-08,244800.0,52.8,53.12,51.0,49.1
2014-04-09,168000.0,58.8,60.0,53.3,51.37
2014-04-10,148100.0,57.94,58.84,58.48,55.0
