date,5. volume,4. close,2. high,1. open,3. low
2001-04-11,1740700.0,10.1,10.25,10.12,10.04
2001-04-12,322000.0,10.22,10.3,10.1,10.1
2001-04-16,182300.0,10.5,10.7,10.22,10.21
2001-04-17,345400.0,11.04,11.04,10.7,10.61
2001-04-18,324300.0,12.0,12.32,11.25,11.25
2001-04-19,747400.0,11.75,12.43,12.1,11.6
2001-04-20,150400.0,11.25,11.85,11.85,11.05
2001-04-23,127600.0,11.2,11.45,11.25,11.2
2001-04-24,80400.0,11.24,11.33,11.25,11.2
2001-04-25,96600.0,11.7,11.7,11.4,11.3
2001-04-26,189000.0,12.4,12.5,11.8,11.8
2001-04-27,194300.0,11.65,12.45,12.45,11.55
2001-04-30,86100.0,12.05,12.35,11.65,11.65
2001-05-01,30400.0,12.0,12.2,12.0,12.0
2001-05-02,137700.0,12.6,12.95,12.0,12.0
2001-05-03,137800.0,12.57,12.95,12.5,12.43
2001-05-04,51900.0,12.05,12.57,12.57,12.05
2001-05-07,103600.0,12.15,12.45,12.15,12.1
2001-05-08,163200.0,12.0,12.05,12.05,11.75
2001-05-09,253800.0,12.25,12.49,12.0,11.9
2001-05-10,142100.0,12.25,12.5,12.35,12.12
2001-05-11,121100.0,12.0,12.35,12.35,12.0
2001-05-14,109300.0,12.0,12.1,12.0,11.8
2001-05-15,84100.0,12.3,12.55,12.1,12.1
2001-05-16,64000.0,12.4,12.45,12.35,12.1
2001-05-17,114500.0,12.25,12.4,12.4,12.1
2001-05-18,108800.0,13.2,13.21,12.59,12.4
2001-05-21,115500.0,13.98,14.15,13.25,13.25
2001-05-22,108400.0,13.85,14.08,13.91,13.81
2001-05-23,149300.0,14.0,14.24,14.2,14.0
2001-05-24,57700.0,14.0,14.25,14.0,13.9
2001-05-25,17600.0,13.85,14.1,14.0,13.75
2001-05-29,275800.0,16.5,16.5,15.4,15.25
2001-05-30,252600.0,14.1,16.15,16.15,14.1
2001-05-31,273800.0,16.01,16.5,14.3,14.3
2001-06-01,516500.0,16.52,17.5,16.01,16.01
2001-06-04,212700.0,16.7,17.45,16.52,16.5
2001-06-05,91500.0,16.43,16.71,16.71,16.15
2001-06-06,98800.0,17.3,17.45,16.5,16.35
2001-06-07,118800.0,17.25,17.7,17.2,17.2
2001-06-08,169500.0,17.6,17.7,17.2,17.2
