date,5. volume,4. close,2. high,1. open,3. low
2018-05-04,4086263.0,12.1,13.24,13.0,12.0
2018-05-07,487072.0,12.05,12.25,12.1,12.04
2018-05-08,295345.0,12.05,12.21,12.18,12.0
2018-05-09,170113.0,12.02,12.18,12.04,12.0
2018-05-10,109071.0,12.0,12.15,12.01,12.0
2018-05-11,152803.0,12.03,12.06,12.05,12.0
2018-05-14,85961.0,12.14,12.15,12.07,12.0
2018-05-15,75520.0,12.16,12.25,12.15,12.15
2018-05-16,44281.0,12.04,12.25,12.2,12.04
2018-05-17,66337.0,12.11,12.41,12.1,12.1
2018-05-18,142517.0,12.38,12.5,12.2,12.13
2018-05-21,99149.0,12.39,12.49,12.38,12.27
2018-05-22,67624.0,12.25,12.4302,12.33,12.07
2018-05-23,111093.0,12.24,12.55,12.16,12.13
2018-05-24,41027.0,12.2,12.4097,12.25,12.07
2018-05-25,57896.0,12.26,12.47,12.47,12.111
2018-05-29,432788.0,12.03,12.35,12.11,10.86
2018-05-30,129322.0,12.12,12.4874,12.15,12.1
2018-05-31,239499.0,12.15,12.3977,12.2,12.0
2018-06-01,179324.0,12.69,12.8,12.18,12.0
2018-06-04,280192.0,12.49,12.889,12.75,12.4
2018-06-05,228484.0,12.29,12.76,12.73,12.2
2018-06-06,99725.0,12.29,12.5,12.29,12.19
2018-06-07,119046.0,12.1,12.38,12.38,12.07
2018-06-08,172069.0,12.14,12.33,12.06,12.0
