date,5. volume,4. close,2. high,1. open,3. low
2006-02-13,222800.0,18.5,19.5,19.0,18.05
2006-02-14,276700.0,18.2,18.99,18.99,18.15
2006-02-15,70500.0,18.0,18.56,18.35,17.96
2006-02-16,208500.0,18.0,18.1,18.1,17.81
2006-02-17,293000.0,18.0,18.09,18.0,17.95
2006-02-21,183900.0,18.75,18.9,18.5,17.75
2006-02-22,95800.0,18.45,18.75,18.75,18.45
2006-02-23,49900.0,18.3,18.55,18.55,18.25
2006-02-24,64200.0,18.0,18.5,18.25,17.95
2006-02-27,34300.0,18.0,18.2,18.0,18.0
2006-02-28,809000.0,18.0,18.2,18.2,17.96
2006-03-01,522500.0,18.08,18.59,18.59,17.99
2006-03-02,451600.0,17.91,18.25,18.25,17.9
2006-03-03,14400.0,18.0,18.0,17.9,17.45
2006-03-06,19100.0,17.93,18.0,17.6,17.58
2006-03-07,8400.0,17.7,17.99,17.9459,17.52
2006-03-08,13400.0,17.91,18.0,17.81,17.56
2006-03-09,18000.0,17.92,18.0,18.0,17.73
2006-03-10,40000.0,17.99,18.0,17.83,17.692
2006-03-13,26700.0,18.0,18.0,18.0,17.75
2006-03-14,29900.0,18.0,18.1,18.0,17.98
2006-03-15,54400.0,17.95,18.0,18.0,17.9
2006-03-16,139700.0,18.0,18.0,18.0,17.99
2006-03-17,117400.0,17.67,18.0,18.0,17.67
2006-03-20,52800.0,17.9,18.0,18.0,17.8
2006-03-21,138800.0,17.9,18.0,18.0,17.8
2006-03-22,140300.0,17.93,18.0,18.0,17.8
2006-03-23,85500.0,18.0,18.0,17.98,17.7
2006-03-24,73400.0,17.99,18.01,18.0,17.91
2006-03-27,73000.0,18.2,18.25,18.0,17.95
2006-03-28,153100.0,18.2,18.25,18.02,17.95
2006-03-29,323300.0,18.17,18.54,18.0,17.96
2006-03-30,955000.0,18.61,18.61,18.0,17.94
2006-03-31,3410800.0,17.96,20.85,18.75,17.96
2006-04-03,845500.0,18.66,18.92,18.05,18.0
2006-04-04,317700.0,18.51,18.93,18.55,18.36
2006-04-05,196800.0,18.52,18.7,18.6,18.33
2006-04-06,336000.0,18.6,18.72,18.5,18.39
2006-04-07,131800.0,18.6,18.75,18.65,18.07
2006-04-10,86600.0,18.55,19.16,18.51,18.33
2006-04-11,96900.0,18.53,18.95,18.71,18.25
2006-04-12,97500.0,18.4,18.6,18.48,18.3
2006-04-13,73500.0,18.51,18.52,18.5,18.35
2006-04-17,70600.0,18.82,18.92,18.56,18.56
2006-04-18,107800.0,20.47,20.52,18.95,18.94
2006-04-19,108000.0,21.46,21.49,20.65,20.14
2006-04-20,41500.0,20.86,21.55,21.38,20.31
2006-04-21,117900.0,20.66,21.49,21.23,19.55
2006-04-24,63000.0,20.12,20.8,20.8,19.94
2006-04-25,54200.0,19.99,20.25,20.21,19.72
2006-04-26,46200.0,20.05,20.66,20.04,19.53
2006-04-27,93600.0,19.76,20.66,19.81,19.24
2006-04-28,266600.0,20.13,20.25,19.59,19.26
2006-05-01,68600.0,19.55,20.66,20.2,19.26
2006-05-02,43500.0,20.41,20.53,19.48,19.38
2006-05-03,80900.0,20.95,20.99,20.5,20.01
2006-05-04,141300.0,21.48,21.59,20.82,20.8
2006-05-05,89900.0,21.44,23.0,21.73,21.41
2006-05-08,84300.0,20.56,21.27,21.27,20.39
2006-05-09,83100.0,20.01,20.46,20.46,19.86
2006-05-10,95100.0,19.77,20.29,19.9,19.5
2006-05-11,160000.0,19.1,19.78,19.64,18.89
2006-05-12,139700.0,18.22,19.41,19.01,18.21
2006-05-15,91700.0,17.73,18.56,18.1,16.42
2006-05-16,134500.0,18.43,18.99,17.6,17.6
2006-05-17,104100.0,17.88,18.22,18.19,17.32
2006-05-18,53500.0,17.81,17.99,17.99,17.25
2006-05-19,93200.0,17.46,18.01,17.5,16.45
2006-05-22,70100.0,17.47,17.7,17.3,16.52
2006-05-23,79500.0,16.84,18.73,17.62,16.63
2006-05-24,78900.0,16.68,17.25,16.79,15.83
2006-05-25,122000.0,17.82,17.89,17.2,16.99
2006-05-26,38100.0,17.63,18.42,17.94,17.32
