date,5. volume,4. close,2. high,1. open,3. low
2011-05-04,6838400.0,23.88,24.7,24.0,23.0
2011-05-05,625200.0,24.66,24.89,23.4,23.31
2011-05-06,347800.0,26.75,27.4,26.0,25.11
2011-05-09,198200.0,27.45,27.74,27.6,26.17
2011-05-10,136800.0,27.51,28.39,27.84,26.8
2011-05-11,85800.0,26.85,27.7,27.06,26.15
2011-05-12,39700.0,27.12,27.22,26.72,26.01
2011-05-13,86200.0,26.86,27.48,27.48,26.35
2011-05-16,153000.0,25.94,27.37,26.99,25.93
2011-05-17,85400.0,26.34,26.75,25.76,25.76
2011-05-18,65800.0,28.0,28.0,26.68,26.41
2011-05-19,103200.0,28.35,28.35,28.0,27.62
2011-05-20,164300.0,28.43,29.54,28.45,28.06
2011-05-23,47700.0,27.92,28.43,28.25,27.47
2011-05-24,137000.0,28.0,28.44,27.52,27.03
2011-05-25,41000.0,27.88,28.99,28.19,27.82
2011-05-26,68900.0,27.96,28.692,27.88,27.4
2011-05-27,69700.0,28.55,28.99,28.13,27.87
2011-05-31,86800.0,28.9,29.4799,28.99,28.61
2011-06-01,74100.0,28.51,29.949,28.8,28.48
2011-06-02,117300.0,28.65,28.98,28.97,27.63
2011-06-03,82000.0,28.9,29.0,28.16,27.49
2011-06-06,46000.0,28.61,28.78,28.115,27.7
2011-06-07,44500.0,28.96,28.96,28.71,26.66
2011-06-08,78200.0,28.4,29.76,28.83,27.55
2011-06-09,245400.0,29.94,30.22,28.54,28.5
2011-06-10,90800.0,31.0,31.41,29.76,29.261
2011-06-13,193600.0,29.32,31.39,31.39,28.66
2011-06-14,121000.0,27.66,29.43,29.43,26.83
2011-06-15,137400.0,26.45,28.49,27.26,26.3028
2011-06-16,228300.0,24.83,26.65,26.26,24.14
2011-06-17,237200.0,24.48,25.5299,24.93,23.84
2011-06-20,264300.0,24.36,24.955,23.98,23.92
2011-06-21,254400.0,25.89,25.97,24.65,24.0
2011-06-22,126700.0,27.63,27.9,25.95,25.915
2011-06-23,148700.0,27.37,27.6,27.53,26.64
2011-06-24,1611200.0,27.3,28.52,27.54,26.06
2011-06-27,83100.0,26.97,27.83,27.64,26.515
2011-06-28,95400.0,27.03,27.72,27.24,26.44
2011-06-29,75400.0,26.97,27.84,27.61,26.63
2011-06-30,170000.0,28.03,28.43,26.88,26.0
2011-07-01,106000.0,28.78,29.88,27.94,27.66
2011-07-05,54100.0,28.6,29.08,28.88,28.3
2011-07-06,61500.0,28.06,28.98,28.42,27.76
2011-07-07,214100.0,27.57,28.83,28.21,27.24
2011-07-08,183900.0,28.07,28.5,27.4,26.75
2011-07-11,92400.0,27.55,28.58,27.95,27.3
2011-07-12,165500.0,27.39,27.9599,27.46,26.7
2011-07-13,51200.0,27.74,27.99,27.49,27.19
2011-07-14,543200.0,26.78,27.87,27.87,26.44
2011-07-15,38100.0,27.15,28.26,26.95,26.95
2011-07-18,105500.0,26.32,27.63,27.0,26.0
2011-07-19,105900.0,27.98,27.99,26.49,26.49
2011-07-20,97500.0,28.59,29.28,27.85,27.655
2011-07-21,226100.0,28.99,29.62,28.7,28.545
2011-07-22,239700.0,29.53,30.0,28.88,28.88
2011-07-25,155700.0,29.75,29.94,29.21,29.21
2011-07-26,27400.0,29.24,29.84,29.84,28.94
2011-07-27,54100.0,27.59,29.16,29.16,27.53
2011-07-28,166800.0,27.58,29.0,27.6,27.35
2011-07-29,67600.0,26.75,27.61,27.61,25.74
2011-08-01,42500.0,26.14,27.215,27.19,26.0
2011-08-02,145800.0,25.48,26.34,26.2,25.3
2011-08-03,200200.0,25.21,26.98,25.06,24.6
2011-08-04,133400.0,23.57,25.67,25.0,23.52
2011-08-05,115200.0,24.24,25.37,24.01,23.04
2011-08-08,208800.0,22.2,24.0,23.32,22.07
2011-08-09,242600.0,21.37,22.85,22.85,20.49
2011-08-10,283300.0,20.88,22.97,21.1,20.77
2011-08-11,209200.0,22.24,22.52,20.77,20.77
2011-08-12,153900.0,23.63,23.8,22.42,21.7833
2011-08-15,51900.0,23.86,24.55,23.93,23.57
2011-08-16,99900.0,24.33,24.43,23.65,22.81
2011-08-17,120500.0,25.23,25.52,24.48,24.466
2011-08-18,130200.0,24.18,24.92,24.66,23.92
2011-08-19,88500.0,23.46,24.05,23.78,22.01
2011-08-22,66900.0,23.59,25.4,24.27,23.221
2011-08-23,94000.0,24.29,24.6,23.54,23.2301
2011-08-24,54700.0,26.07,26.21,24.22,24.22
2011-08-25,63300.0,25.23,26.03,26.03,25.12
2011-08-26,48400.0,25.17,25.37,25.08,23.86
2011-08-29,87600.0,26.62,26.79,25.38,25.0048
2011-08-30,66200.0,26.6,26.85,26.58,25.42
2011-08-31,70300.0,27.1,27.16,26.6,26.54
2011-09-01,48600.0,26.93,27.12,27.02,26.61
2011-09-02,51600.0,26.08,27.08,26.46,26.04
2011-09-06,135600.0,23.09,25.28,25.28,22.5
2011-09-07,110700.0,23.38,23.63,23.43,23.08
2011-09-08,107500.0,23.6,24.59,23.18,23.0
2011-09-09,64600.0,22.12,23.53,23.35,22.0
2011-09-12,159000.0,21.36,23.1,21.73,21.21
2011-09-13,341000.0,19.66,20.96,20.96,19.62
2011-09-14,199100.0,20.1,20.86,19.87,19.75
2011-09-15,512700.0,20.49,20.99,20.26,20.09
2011-09-16,2754000.0,22.43,23.14,22.16,21.81
2011-09-19,328900.0,22.68,22.92,21.95,21.63
2011-09-20,292600.0,23.27,23.85,22.79,22.55
2011-09-21,108100.0,23.0,23.4,23.16,22.8
2011-09-22,326600.0,22.58,23.3,22.1,22.1
2011-09-23,193800.0,21.79,22.61,22.61,21.36
2011-09-26,161400.0,21.84,21.91,21.88,20.67
2011-09-27,144300.0,22.16,22.93,22.28,21.75
2011-09-28,119300.0,21.38,22.43,22.18,21.16
