date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,58500.0,51.0,51.0,51.0,51.0
2000-01-04,1498300.0,40.0,47.0,47.0,35.0
2000-01-05,413200.0,39.0,39.69,39.69,34.88
2000-01-06,339400.0,38.88,39.88,38.19,37.5
2000-01-07,646000.0,40.5,41.75,38.88,36.5
2000-01-10,387100.0,40.0,42.75,42.0,38.75
2000-01-11,211400.0,39.88,40.25,38.25,38.0
2000-01-12,112000.0,39.88,40.06,39.5,39.13
2000-01-13,293800.0,39.94,40.13,40.0,39.5
2000-01-14,244800.0,41.0,44.5,39.88,39.75
2000-01-18,91900.0,41.5,43.88,41.06,39.63
2000-01-19,256500.0,42.94,43.0,40.84,39.56
2000-01-20,306600.0,48.0,50.0,42.88,42.38
2000-01-21,196300.0,54.31,55.5,47.88,47.44
2000-01-24,259600.0,49.88,56.0,55.38,47.5
2000-01-25,102700.0,49.13,51.94,50.38,46.88
2000-01-26,250200.0,48.75,49.25,49.19,48.0
2000-01-27,191200.0,48.75,48.75,48.75,48.75
2000-01-28,212700.0,42.0,45.56,44.5,41.06
2000-01-31,107200.0,40.75,43.0,41.5,38.75
2000-02-01,125500.0,40.0,45.0,44.25,39.63
2000-02-02,204900.0,41.25,42.0,41.5,40.88
2000-02-03,144500.0,41.0,42.5,42.0,40.75
2000-02-04,313300.0,44.13,45.38,42.0,41.13
2000-02-07,122900.0,43.5,46.0,43.81,43.25
2000-02-08,299700.0,44.5,45.0,43.5,43.5
2000-02-09,245400.0,45.0,45.5,44.88,42.5
2000-02-10,221200.0,46.0,47.0,44.38,43.75
2000-02-11,118800.0,45.5,47.22,46.31,45.5
2000-02-14,92800.0,45.75,46.0,45.91,45.0
2000-02-15,282700.0,46.38,46.5,45.88,43.25
2000-02-16,239500.0,49.75,50.0,46.31,45.75
2000-02-17,252100.0,51.63,52.0,49.5,46.75
2000-02-18,253400.0,50.88,54.5,51.75,50.5
2000-02-22,469500.0,46.25,51.88,50.88,45.75
2000-02-23,108300.0,47.88,49.13,46.75,46.25
2000-02-24,110100.0,47.5,50.0,48.63,47.0
2000-02-25,167200.0,48.0,49.44,47.75,47.13
2000-02-28,136600.0,48.75,49.13,48.25,46.63
2000-02-29,142400.0,49.0,51.13,48.81,48.75
2000-03-01,92300.0,51.75,52.5,50.63,48.88
2000-03-02,224600.0,52.5,53.5,52.0,51.5
2000-03-03,631500.0,58.38,59.5,54.0,53.5
2000-03-06,712300.0,62.5,64.0,63.13,61.25
2000-03-07,354900.0,63.38,64.0,63.13,62.5
2000-03-08,288100.0,59.75,63.63,63.38,56.06
2000-03-09,193100.0,60.88,60.88,60.19,56.63
2000-03-10,204700.0,60.0,61.0,60.75,58.56
2000-03-13,224200.0,60.25,61.0,57.75,57.75
2000-03-14,213100.0,59.44,60.56,60.38,59.38
2000-03-15,185800.0,58.91,60.06,59.88,58.63
2000-03-16,269200.0,57.5,60.25,58.88,57.13
2000-03-17,143600.0,58.75,59.23,57.19,56.88
2000-03-20,245600.0,56.75,58.88,58.75,52.0
2000-03-21,483100.0,58.94,61.0,59.5,56.38
