date,5. volume,4. close,2. high,1. open,3. low
2000-08-10,5873600.0,14.06,17.0,16.31,14.0
2000-08-11,980800.0,13.38,14.38,14.31,12.5
2000-08-14,1368100.0,10.63,13.38,13.31,10.19
2000-08-15,605800.0,11.13,11.38,11.25,10.75
2000-08-16,727800.0,10.13,11.13,11.06,10.0
2000-08-17,793100.0,9.0,10.5,10.25,8.813
2000-08-18,311700.0,9.5,9.75,9.281,9.0
2000-08-21,266800.0,9.25,9.75,9.625,9.25
2000-08-22,314700.0,9.25,9.375,9.375,9.0
2000-08-23,1157200.0,12.63,13.0,9.375,9.25
2000-08-24,638200.0,12.5,13.5,12.88,12.25
2000-08-25,260800.0,12.94,13.63,12.59,12.5
2000-08-28,144800.0,12.94,13.5,13.44,12.81
2000-08-29,281400.0,12.44,13.25,13.13,12.25
2000-08-30,169800.0,13.25,13.25,12.59,12.5
2000-08-31,617000.0,14.44,14.5,13.38,13.25
2000-09-01,333000.0,14.63,14.75,14.72,14.0
2000-09-05,470000.0,13.25,14.75,14.75,12.81
2000-09-06,223200.0,13.0,13.25,13.25,12.88
2000-09-07,116300.0,13.19,13.31,13.31,12.88
2000-09-08,127600.0,12.31,13.25,13.03,12.13
2000-09-11,78100.0,11.5,12.31,12.31,11.5
2000-09-12,355400.0,10.94,11.63,11.56,10.94
2000-09-13,85400.0,10.88,11.0,11.0,10.5
2000-09-14,265800.0,12.5,12.5,10.94,10.77
2000-09-15,102600.0,12.44,12.81,12.38,12.13
2000-09-18,39900.0,12.13,12.63,12.63,11.75
2000-09-19,78600.0,12.13,12.25,11.88,11.75
2000-09-20,35800.0,12.0,12.25,12.13,12.0
2000-09-21,247400.0,12.31,12.88,12.38,12.0
2000-09-22,71500.0,12.19,12.31,12.25,12.06
2000-09-25,28000.0,12.06,12.25,12.06,12.06
2000-09-26,110600.0,10.94,12.06,12.06,10.75
2000-09-27,213600.0,10.06,11.0,10.94,9.875
2000-09-28,129300.0,9.5,10.13,10.13,9.438
2000-09-29,282700.0,8.25,9.875,9.813,8.188
2000-10-02,135100.0,9.0,9.5,9.125,8.5
2000-10-03,102900.0,9.125,9.125,9.109,8.938
2000-10-04,46900.0,8.688,9.125,9.109,8.688
2000-10-05,321800.0,9.375,9.375,8.984,8.75
2000-10-06,137200.0,10.06,10.06,9.297,9.188
2000-10-09,16100.0,10.13,10.25,9.984,9.75
2000-10-10,33700.0,9.875,10.13,10.13,9.75
2000-10-11,20700.0,9.375,9.938,9.875,9.375
2000-10-12,50400.0,9.75,9.75,9.672,9.375
2000-10-13,232300.0,10.5,11.5,9.688,9.688
2000-10-16,221500.0,10.75,10.88,10.75,10.31
2000-10-17,25200.0,10.75,10.88,10.86,10.5
2000-10-18,44200.0,10.25,10.7,10.69,9.75
2000-10-19,45000.0,11.13,11.31,10.55,10.38
2000-10-20,76600.0,11.75,11.75,11.3,10.75
2000-10-23,92700.0,10.69,11.75,11.73,10.25
2000-10-24,148800.0,10.06,11.0,11.0,9.875
2000-10-25,115900.0,10.0,11.0,10.98,9.875
2000-10-26,71500.0,9.5,10.19,10.13,9.375
