date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,4667.0,14.13,14.62,14.56,14.13
2000-01-04,8467.0,13.5,14.0,14.0,13.5
2000-01-05,6667.0,13.62,13.81,13.81,13.5
2000-01-06,23800.0,13.75,14.13,13.88,13.5
2000-01-07,12467.0,13.0,13.38,13.12,12.63
2000-01-10,22600.0,12.63,12.87,12.87,12.25
2000-01-11,44600.0,10.75,12.5,12.5,10.0
2000-01-12,444800.0,9.38,10.75,10.75,9.12
2000-01-13,247467.0,9.44,9.44,9.38,8.13
2000-01-14,52867.0,8.88,9.38,9.25,8.88
2000-01-18,105000.0,8.25,9.06,8.88,8.0
2000-01-19,13400.0,9.25,9.25,8.62,8.5
2000-01-20,213200.0,9.25,9.75,9.38,8.62
2000-01-21,24800.0,9.12,9.25,9.06,8.88
2000-01-24,49000.0,9.38,10.12,9.12,9.06
2000-01-25,1667.0,9.44,9.5,9.5,9.12
2000-01-26,5867.0,8.81,9.44,9.25,8.81
2000-01-27,14200.0,9.0,9.25,9.0,8.77
2000-01-28,15000.0,8.64,9.25,9.0,8.62
2000-01-31,11000.0,9.12,9.12,8.81,8.81
2000-02-01,14800.0,9.12,9.12,9.12,9.0
2000-02-02,2867.0,9.12,9.12,8.94,8.94
2000-02-03,32000.0,9.06,9.12,9.12,9.0
2000-02-04,8267.0,9.03,9.12,9.12,9.03
2000-02-07,9600.0,9.48,9.48,9.12,9.03
2000-02-08,28000.0,9.38,9.5,9.5,9.31
2000-02-09,2267.0,9.06,9.5,9.39,9.0
2000-02-10,14200.0,9.06,9.38,9.06,9.0
2000-02-11,21267.0,9.09,9.22,9.22,9.0
2000-02-14,7867.0,9.0,9.19,9.06,9.0
2000-02-15,10667.0,8.66,9.0,9.0,8.5
2000-02-16,35800.0,8.5,9.0,8.88,8.25
2000-02-17,21067.0,8.69,8.94,8.37,8.0
2000-02-18,14400.0,8.69,8.75,8.75,8.5
2000-02-22,12267.0,8.5,8.75,8.5,8.5
2000-02-23,16667.0,8.25,9.0,8.75,8.13
2000-02-24,71067.0,7.88,8.56,8.56,7.88
2000-02-25,32067.0,8.06,8.25,7.94,7.88
2000-02-28,7800.0,8.06,8.13,8.06,8.06
2000-02-29,18400.0,8.0,8.09,8.09,8.0
2000-03-01,43800.0,7.56,7.88,7.75,7.38
2000-03-02,36600.0,7.62,7.81,7.56,7.38
2000-03-03,34400.0,7.88,7.88,7.88,7.38
2000-03-06,22267.0,7.94,8.0,7.75,7.62
2000-03-07,24400.0,7.94,8.0,7.88,7.88
2000-03-08,5000.0,7.88,7.94,7.91,7.75
2000-03-09,27200.0,7.88,7.88,7.75,7.75
2000-03-10,2467.0,7.94,7.94,7.75,7.75
2000-03-13,12267.0,7.75,7.94,7.94,7.75
2000-03-14,40467.0,6.87,7.75,7.72,6.63
2000-03-15,32000.0,7.0,7.0,7.0,6.81
2000-03-16,11800.0,7.06,7.12,7.06,7.0
2000-03-17,26200.0,7.47,7.5,7.12,7.06
2000-03-20,17067.0,7.5,7.5,7.5,7.12
2000-03-21,11467.0,7.12,7.5,7.5,7.12
2000-03-22,22067.0,7.25,7.38,7.31,7.12
2000-03-23,7067.0,7.34,7.38,7.12,7.12
2000-03-24,4067.0,7.06,7.5,7.3,7.06
2000-03-27,7800.0,7.12,7.19,7.12,6.75
2000-03-28,18267.0,7.0,7.12,7.12,6.56
2000-03-29,12067.0,6.81,6.87,6.81,6.63
2000-03-30,19867.0,6.69,7.0,6.84,6.5
2000-03-31,61667.0,6.87,7.0,6.69,6.56
2000-04-03,3667.0,6.75,6.87,6.87,6.69
2000-04-04,16600.0,6.75,7.0,6.75,6.75
2000-04-05,8267.0,6.87,7.06,6.75,6.75
2000-04-06,800.0,6.87,7.06,7.06,6.87
2000-04-07,8400.0,7.0,7.0,7.0,7.0
2000-04-10,2200.0,7.12,7.12,7.06,7.06
2000-04-11,3200.0,7.19,7.19,7.06,7.06
2000-04-12,24867.0,7.12,7.38,7.06,7.0
2000-04-13,1000.0,7.38,7.5,7.25,7.12
2000-04-14,7267.0,6.87,7.25,7.12,6.87
2000-04-17,5867.0,6.81,7.0,7.0,6.75
2000-04-18,4267.0,7.12,7.12,6.81,6.81
2000-04-19,5267.0,7.44,7.44,7.12,7.12
2000-04-20,18467.0,7.5,7.56,7.44,7.12
2000-04-24,2667.0,7.38,7.53,7.53,7.38
2000-04-25,10200.0,7.88,8.0,7.44,7.34
2000-04-26,12867.0,8.37,8.62,8.25,8.0
2000-04-27,5867.0,8.44,8.56,8.44,7.75
2000-04-28,6267.0,8.41,8.44,8.44,7.75
2000-05-01,9267.0,7.88,8.0,7.88,7.75
2000-05-02,2867.0,7.88,7.94,7.94,7.88
2000-05-03,5867.0,7.97,8.03,8.03,7.75
2000-05-04,4800.0,7.81,7.95,7.81,7.81
2000-05-05,1400.0,7.56,7.75,7.75,7.56
2000-05-08,6267.0,7.38,7.62,7.59,7.31
2000-05-09,9267.0,7.06,7.5,7.38,7.0
2000-05-10,5400.0,7.19,7.25,7.14,7.03
2000-05-11,1400.0,7.5,7.5,7.03,7.03
2000-05-12,7200.0,7.03,7.38,7.25,7.0
2000-05-15,10267.0,6.81,7.06,6.87,6.81
2000-05-16,15267.0,6.81,7.0,6.81,6.81
2000-05-17,4200.0,6.87,6.87,6.87,6.81
2000-05-18,10267.0,6.94,6.97,6.84,6.84
2000-05-19,7400.0,7.19,7.38,7.06,7.06
2000-05-22,17400.0,7.44,7.44,7.25,7.12
2000-05-23,8200.0,7.42,7.5,7.5,6.75
2000-05-24,4800.0,7.41,7.44,7.41,7.41
2000-05-25,4400.0,7.06,7.42,7.42,6.87
2000-05-26,21200.0,7.0,7.12,7.12,6.87
2000-05-30,2867.0,7.25,7.25,7.12,7.12
2000-05-31,8467.0,6.87,7.0,6.91,6.87
2000-06-01,5467.0,7.12,7.25,6.94,6.94
2000-06-02,94067.0,6.75,7.12,7.12,6.63
2000-06-05,1600.0,6.94,6.94,6.75,6.75
2000-06-06,11600.0,6.75,6.87,6.75,6.75
2000-06-07,4667.0,6.87,6.87,6.75,6.75
2000-06-08,7267.0,6.87,6.87,6.69,6.69
2000-06-09,10200.0,6.63,6.69,6.69,6.63
2000-06-12,4067.0,6.63,6.63,6.63,6.5
2000-06-13,11067.0,6.5,6.56,6.5,6.5
2000-06-14,10667.0,6.25,6.56,6.56,6.12
2000-06-15,11667.0,6.56,6.63,6.5,6.44
2000-06-16,12800.0,6.56,6.66,6.66,6.56
2000-06-19,25000.0,6.19,6.63,6.5,5.88
2000-06-20,20600.0,5.5,6.25,6.25,4.75
2000-06-21,9600.0,6.06,6.06,5.62,5.62
2000-06-22,9400.0,6.06,6.09,6.06,5.75
2000-06-23,4600.0,6.06,6.06,6.0,5.81
2000-06-26,12400.0,5.97,6.0,6.0,5.94
2000-06-27,9267.0,5.97,6.0,5.97,5.94
2000-06-28,3200.0,5.88,5.94,5.94,5.88
2000-06-29,15267.0,5.69,6.25,6.25,5.56
2000-06-30,12600.0,5.56,5.69,5.62,5.56
2000-07-03,7000.0,6.0,6.0,5.59,5.59
2000-07-05,3667.0,5.75,6.0,6.0,5.75
2000-07-06,3600.0,5.5,5.75,5.75,5.5
2000-07-07,4467.0,5.75,5.75,5.56,5.5
2000-07-10,5067.0,5.78,5.81,5.81,5.62
2000-07-11,600.0,5.81,5.81,5.75,5.75
2000-07-12,26467.0,5.88,5.94,5.69,5.62
2000-07-13,2000.0,5.88,5.88,5.88,5.81
2000-07-14,4667.0,5.62,5.75,5.56,5.56
2000-07-17,4867.0,5.94,5.94,5.75,5.5
2000-07-18,9267.0,5.81,5.94,5.75,5.75
2000-07-19,6267.0,5.81,5.94,5.94,5.81
2000-07-20,13600.0,6.0,6.12,5.94,5.75
2000-07-21,3200.0,6.0,6.06,6.0,6.0
2000-07-24,3000.0,5.81,5.94,5.94,5.75
2000-07-25,2000.0,5.75,5.75,5.75,5.75
2000-07-26,4600.0,5.75,5.88,5.75,5.75
2000-07-27,20667.0,6.25,6.25,5.75,5.75
2000-07-28,12600.0,5.81,6.12,6.0,5.75
2000-07-31,3867.0,6.03,6.38,6.38,5.81
2000-08-01,1200.0,6.06,6.06,6.06,6.06
2000-08-02,0.0,6.06,6.06,6.06,6.06
2000-08-03,8800.0,6.0,6.12,6.12,5.94
2000-08-04,8867.0,6.0,6.0,6.0,5.94
2000-08-07,3667.0,5.94,6.0,5.94,5.94
2000-08-08,5600.0,5.56,6.0,6.0,5.56
