date,5. volume,4. close,2. high,1. open,3. low
2014-05-20,55880.0,24.65,24.9,24.89,24.55
2014-05-21,116440.0,24.85,25.0,24.7,24.0
2014-05-22,30869.0,25.0,25.0,24.9499,24.85
2014-05-23,9680.0,25.0,25.0,25.0,24.86
2014-05-27,8847.0,24.98,25.0,25.0,24.88
2014-05-28,16020.0,24.9,25.0,25.0,24.85
2014-05-29,51197.0,24.9,25.0,24.89,24.89
2014-05-30,23390.0,24.9,24.96,24.8,24.8
2014-06-02,46012.0,25.0,25.1,24.9,24.7
2014-06-03,18050.0,25.0,25.0,25.0,24.9001
2014-06-04,25885.0,25.03,25.05,25.0,24.95
2014-06-05,16450.0,24.94,25.03,25.0,24.9
2014-06-06,17570.0,25.0,25.14,24.91,24.91
2014-06-09,17982.0,25.0,25.1101,25.03,24.9899
2014-06-10,20287.0,25.0,25.02,25.0,24.96
2014-06-11,11492.0,25.03,25.1,25.1,24.9501
2014-06-12,4080.0,25.0,25.0,25.0,24.9
2014-06-13,7550.0,25.01,25.25,25.25,25.0
2014-06-16,1799.0,25.0,25.05,25.03,24.99
2014-06-17,14934.0,25.04,25.09,24.9642,24.94
2014-06-18,10300.0,25.07,25.09,25.0899,25.0
2014-06-19,1800.0,25.0899,25.09,25.09,25.0899
2014-06-20,10945.0,25.0,25.08,25.04,25.0
2014-06-23,11800.0,24.95,25.1,25.1,24.95
2014-06-24,11104.0,25.05,25.09,25.05,24.98
2014-06-25,12450.0,25.0,25.1,25.1,25.0
2014-06-26,17723.0,25.0,25.25,25.1,25.0
2014-06-27,6225.0,25.1,25.25,25.24,25.1
2014-06-30,6653.0,25.36,25.48,24.91,24.9
2014-07-01,2729.0,25.31,25.35,25.35,25.0
2014-07-02,6300.0,25.4,25.45,25.34,25.32
2014-07-03,3650.0,25.4,25.4,25.3799,25.3799
2014-07-07,6587.0,25.4,25.4,25.26,25.2501
2014-07-08,7943.0,25.48,25.5,25.45,25.35
2014-07-09,11675.0,25.39,25.9,25.48,25.2872
2014-07-10,2504.0,25.52,25.6,25.6,25.411
2014-07-11,3300.0,26.58,26.58,25.99,25.94
2014-07-14,6480.0,25.75,26.58,26.58,25.7
2014-07-15,8700.0,25.63,25.75,25.75,25.56
2014-07-16,15962.0,25.85,25.85,25.5,25.41
2014-07-17,2220.0,25.75,25.8,25.5101,25.5101
2014-07-18,3450.0,25.49,25.5,25.5,25.49
2014-07-21,2360.0,25.6499,25.6499,25.4999,25.45
2014-07-22,903.0,25.55,25.8499,25.8499,25.5
2014-07-23,5865.0,25.5,25.5,25.25,25.25
2014-07-24,4530.0,25.48,25.69,25.66,25.33
2014-07-25,787.0,25.65,25.65,25.64,25.64
2014-07-28,3779.0,25.47,25.4799,25.36,25.36
2014-07-29,9900.0,25.52,25.64,25.4,25.38
2014-07-30,3600.0,25.32,25.3599,25.0,24.9999
2014-07-31,1900.0,25.35,25.35,24.9301,24.9301
2014-08-01,1200.0,25.2999,25.35,25.35,25.2999
2014-08-04,6492.0,25.1799,25.3101,25.3101,24.32
2014-08-05,7391.0,25.1899,25.47,25.47,25.09
2014-08-06,24250.0,25.15,25.2,24.95,24.95
2014-08-07,4990.0,25.1299,25.17,25.13,25.0
2014-08-08,11275.0,25.15,25.24,25.11,24.85
2014-08-11,8880.0,24.98,25.16,25.16,24.98
2014-08-12,7469.0,24.93,24.9899,24.9899,24.8001
2014-08-13,1300.0,24.88,25.0399,25.0399,24.81
2014-08-14,9880.0,25.2999,25.3,24.8999,24.8999
2014-08-15,9100.0,25.2999,25.55,25.55,25.01
2014-08-18,6207.0,24.98,25.53,25.53,24.95
2014-08-19,7042.0,25.0899,25.0899,24.9301,24.9301
2014-08-20,13923.0,24.9899,25.2999,25.1,24.96
2014-08-21,19400.0,25.15,27.98,25.26,24.96
2014-08-22,4241.0,25.1299,25.3,25.2999,25.126
2014-08-25,815.0,25.1999,25.1999,25.19,25.155
2014-08-26,6665.0,25.04,25.29,25.28,25.04
2014-08-27,9575.0,24.9,25.17,25.1399,24.9
2014-08-28,5475.0,25.0,25.0,24.9399,24.869
2014-08-29,2600.0,25.12,25.12,25.07,25.07
2014-09-02,930.0,25.13,25.1381,25.1,25.1
2014-09-03,4100.0,25.2315,25.3,25.09,25.0801
2014-09-04,3005.0,25.18,25.26,25.26,25.17
2014-09-05,5525.0,25.01,25.2899,25.2899,25.01
2014-09-08,756.0,25.03,25.05,25.05,25.01
2014-09-09,5990.0,25.0899,25.15,25.02,25.01
2014-09-10,5824.0,24.6923,25.0899,25.0899,24.54
2014-09-11,11856.0,24.6,24.7,24.63,24.6
2014-09-12,10650.0,24.45,24.8799,24.6,24.24
2014-09-15,5702.0,24.92,25.0,24.73,24.51
2014-09-16,500.0,24.9001,24.9001,24.9001,24.9001
2014-09-17,3192.0,25.0,25.0,24.94,24.94
2014-09-18,15935.0,25.05,25.08,25.07,25.0
2014-09-19,1500.0,24.9,24.9601,24.9601,24.9
2014-09-22,2300.0,25.01,25.29,25.26,24.9
2014-09-23,300.0,25.0899,25.0899,25.0899,25.0899
2014-09-24,3370.0,24.9,24.9999,24.9999,24.9
2014-09-25,5306.0,24.9,25.02,24.95,24.9
2014-09-26,3400.0,24.9,25.2399,25.2399,24.9
2014-09-29,0.0,24.9,24.9,24.9,24.9
2014-09-30,4910.0,25.03,25.2899,24.9,24.9
2014-10-01,4800.0,24.52,24.9432,24.9,24.52
2014-10-02,1040.0,24.7,24.8999,24.8999,24.7
2014-10-03,500.0,24.9299,25.1799,25.1799,24.9299
2014-10-06,2840.0,24.93,25.0,24.9399,24.89
2014-10-07,9300.0,24.74,25.0,24.77,24.25
2014-10-08,1425.0,24.71,24.7999,24.7325,24.71
2014-10-09,4800.0,24.35,24.75,24.75,24.26
2014-10-10,1587.0,24.1,24.2,24.19,24.01
2014-10-13,3700.0,23.8,24.11,24.11,23.8
2014-10-14,9050.0,22.99,23.7,23.7,22.6
2014-10-15,9000.0,23.11,23.11,22.76,22.532
2014-10-16,11675.0,23.53,23.74,22.9,22.3
2014-10-17,4748.0,24.0,24.0,23.58,23.47
2014-10-20,3006.0,24.15,24.15,24.0,23.99
2014-10-21,2184.0,24.4799,24.4799,24.2,24.2
2014-10-22,7609.0,24.68,24.7,24.3999,24.31
2014-10-23,4455.0,25.03,25.25,24.65,24.65
2014-10-24,2300.0,25.1,25.23,25.03,25.0
2014-10-27,2400.0,24.9999,25.11,25.11,24.9
2014-10-28,15800.0,24.2728,24.4299,24.25,23.85
2014-10-29,12025.0,23.4,24.0,24.0,23.4
2014-10-30,4000.0,23.37,23.54,23.45,23.36
2014-10-31,8100.0,23.2,23.26,23.26,23.04
2014-11-03,5760.0,23.07,23.15,23.15,22.65
2014-11-04,9975.0,22.93,23.06,23.06,22.93
2014-11-05,6485.0,23.1,23.1,22.9301,22.93
2014-11-06,5660.0,23.39,23.4,23.1,23.1
2014-11-07,780.0,23.44,23.44,23.4,23.3968
2014-11-10,5670.0,23.45,23.45,23.25,23.25
2014-11-11,10386.0,23.38,23.85,23.44,23.34
2014-11-12,14071.0,23.6,23.7,23.5,23.26
2014-11-13,1285.0,23.47,23.489,23.479,23.09
2014-11-14,4160.0,23.33,23.33,23.19,23.13
2014-11-17,2606.0,23.34,23.35,23.2301,23.15
2014-11-18,1300.0,23.6699,23.6999,23.2,23.2
2014-11-19,7230.0,23.15,23.3716,23.3716,23.05
2014-11-20,2525.0,23.12,23.13,22.96,22.96
2014-11-21,2690.0,23.15,23.4799,23.45,23.1
2014-11-24,1400.0,23.1,23.19,23.18,23.1
2014-11-25,2700.0,23.15,23.15,23.099,23.099
2014-11-26,400.0,23.2099,23.2099,23.2099,23.2099
2014-11-28,565.0,23.04,23.04,22.96,22.95
2014-12-01,6805.0,22.79,22.97,22.9501,22.49
2014-12-02,2510.0,22.67,22.9499,22.68,22.65
2014-12-03,2678.0,22.79,22.7999,22.74,22.67
2014-12-04,6400.0,22.9999,22.9999,22.8,22.71
2014-12-05,9932.0,22.41,22.82,22.82,22.13
2014-12-08,25500.0,21.31,22.32,22.32,20.95
2014-12-09,11850.0,21.23,21.65,20.83,20.83
2014-12-10,17125.0,21.0,21.25,21.2,20.57
2014-12-11,31804.0,20.99,21.14,20.85,20.61
2014-12-12,7225.0,20.5,21.1399,21.1399,20.3
2014-12-15,4555.0,20.7599,20.77,20.77,20.4
2014-12-16,11730.0,20.35,20.65,20.2701,20.0
2014-12-17,5886.0,20.45,20.8199,20.48,20.45
2014-12-18,2720.0,20.83,20.83,20.5,20.5
2014-12-19,10470.0,21.73,22.66,20.76,20.76
2014-12-22,6660.0,22.09,22.3,21.75,21.75
2014-12-23,5851.0,22.5,22.75,22.0101,22.0
2014-12-24,5780.0,22.0,22.2399,22.0435,21.9
2014-12-26,3350.0,21.89,21.99,21.98,21.82
2014-12-29,9750.0,21.55,21.89,21.89,21.43
2014-12-30,6336.0,21.25,22.05,22.05,21.0
2014-12-31,4862.0,21.67,21.6899,21.2,21.0
2015-01-02,6061.0,21.71,22.0,21.4299,21.3101
2015-01-05,1000.0,22.08,22.09,21.53,21.53
2015-01-06,17574.0,20.86,21.76,21.72,20.5
2015-01-07,5801.0,21.49,21.5,21.44,20.82
2015-01-08,7779.0,22.18,22.27,21.81,21.69
2015-01-09,16420.0,22.75,22.94,22.28,22.2
2015-01-12,12170.0,21.91,22.73,22.73,21.75
2015-01-13,6575.0,21.99,22.1,22.09,21.75
2015-01-14,9587.0,21.77,21.9899,21.911,21.6
2015-01-15,10057.0,21.11,22.0,21.85,21.11
2015-01-16,5380.0,21.8,22.04,21.5399,21.52
2015-01-20,4313.0,22.1,22.35,22.35,21.7501
2015-01-21,7520.0,22.26,22.49,22.3,22.13
2015-01-22,10195.0,22.2888,22.47,22.28,22.25
2015-01-23,18874.0,22.72,22.9,22.26,22.0
2015-01-26,15660.0,23.2687,23.5,23.22,22.75
2015-01-27,11736.0,23.65,23.68,23.04,23.04
2015-01-28,9055.0,23.27,24.5,23.48,23.25
2015-01-29,5335.0,22.7999,23.5,23.25,22.75
