date,5. volume,4. close,2. high,1. open,3. low
2007-06-27,0.0,23.47,24.39,22.0,19.7
2007-06-28,804300.0,25.59,26.27,23.89,22.5
2007-06-29,604000.0,23.15,26.2,26.2,22.26
2007-07-02,324100.0,22.41,23.49,23.49,22.0
2007-07-03,86300.0,22.39,22.77,22.77,22.0
2007-07-05,221200.0,22.94,23.2,22.22,22.05
2007-07-06,219600.0,24.71,25.08,22.91,22.91
2007-07-09,130700.0,23.8,25.4,25.24,23.22
2007-07-10,158100.0,24.21,25.05,23.42,23.42
2007-07-11,133000.0,24.98,25.17,24.492,24.42
2007-07-12,418400.0,26.86,28.27,25.23,25.23
2007-07-13,175600.0,26.04,28.0,27.22,25.5
2007-07-16,58500.0,24.89,26.37,26.37,24.78
2007-07-17,142100.0,24.2899,25.1,25.0,24.0
2007-07-18,69300.0,24.08,24.42,24.23,23.57
2007-07-19,74300.0,24.52,25.09,23.8,23.8
2007-07-20,66700.0,24.02,24.54,24.54,23.86
2007-07-23,105500.0,24.19,24.8,23.83,23.0701
2007-07-24,62800.0,23.74,24.25,24.0101,23.39
2007-07-25,77400.0,23.78,23.83,23.56,22.79
2007-07-26,73400.0,23.22,23.5,23.5,22.0
2007-07-27,63200.0,22.99,23.49,23.4,22.73
2007-07-30,55700.0,23.2,23.47,23.13,22.882
2007-07-31,205200.0,23.48,23.9,23.02,23.0
2007-08-01,70900.0,24.4,24.55,24.0,22.0
2007-08-02,81100.0,24.12,24.66,24.2,23.99
2007-08-03,136400.0,24.35,25.7,24.52,23.29
2007-08-06,86600.0,23.02,24.35,23.88,22.0
2007-08-07,51700.0,23.01,23.17,23.064,22.65
2007-08-08,210100.0,22.14,23.02,22.0,21.08
2007-08-09,47800.0,22.59,22.59,21.636,21.636
2007-08-10,57600.0,23.54,23.54,22.02,22.0
2007-08-13,8500.0,22.98,23.42,23.236,22.98
2007-08-14,39100.0,22.58,23.646,22.51,22.38
2007-08-15,68400.0,22.55,23.04,21.98,21.98
2007-08-16,136600.0,22.15,23.28,22.02,22.0
2007-08-17,84000.0,22.29,24.4,24.4,22.0
2007-08-20,227000.0,22.0,22.29,22.12,21.86
2007-08-21,76500.0,22.61,22.94,21.95,21.5
2007-08-22,19500.0,22.59,22.7499,22.0,22.0
2007-08-23,21800.0,22.73,22.75,22.5,22.5
2007-08-24,9400.0,22.3,22.5721,22.45,22.03
2007-08-27,141900.0,21.25,22.4099,22.3,21.0101
2007-08-28,81700.0,21.17,21.44,21.3,20.63
2007-08-29,59100.0,21.5,21.97,21.25,21.15
2007-08-30,73400.0,21.75,22.19,21.5,20.86
2007-08-31,30600.0,21.42,21.8,21.62,21.28
2007-09-04,53200.0,22.05,22.3,21.42,21.4
2007-09-05,11000.0,22.22,22.22,21.94,21.94
2007-09-06,19100.0,22.28,22.53,22.44,20.62
2007-09-07,6300.0,22.06,22.52,21.048,21.048
2007-09-10,25100.0,22.39,22.57,21.62,21.62
2007-09-11,17600.0,23.19,23.2,22.46,22.45
2007-09-12,7600.0,23.18,23.19,23.078,22.61
2007-09-13,15200.0,23.52,23.6,23.48,22.43
2007-09-14,63800.0,24.22,24.24,23.66,23.28
2007-09-17,41100.0,24.71,25.14,22.34,22.34
2007-09-18,34300.0,25.91,25.96,24.86,24.86
2007-09-19,57800.0,26.7,26.88,25.96,25.96
2007-09-20,44700.0,26.43,26.83,26.56,26.078
2007-09-21,43100.0,27.19,27.19,26.295,26.25
2007-09-24,14000.0,27.55,27.75,26.9301,26.69
2007-09-25,61800.0,27.77,28.0,24.78,24.78
2007-09-26,58100.0,30.47,30.52,28.15,27.92
2007-09-27,148800.0,29.15,31.65,30.59,28.84
2007-09-28,574200.0,27.0,29.6,29.15,27.0
2007-10-01,131500.0,28.85,29.0,27.0,26.97
