date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,2500.0,33.75,33.75,33.75,33.75
2000-01-04,5600.0,33.25,33.25,33.25,33.25
2000-01-05,0.0,33.25,33.25,33.25,33.25
2000-01-06,0.0,33.25,33.25,33.25,33.25
2000-01-07,400.0,33.0,33.0,33.0,33.0
2000-01-10,14000.0,32.0,32.88,32.0,31.5
2000-01-11,3000.0,32.5,32.5,32.0,31.0
2000-01-12,400.0,32.37,32.37,32.37,32.37
2000-01-13,1200.0,33.0,33.0,33.0,33.0
2000-01-14,4000.0,32.5,33.0,33.0,32.5
2000-01-18,0.0,32.5,32.5,32.5,32.5
2000-01-19,3500.0,32.75,32.75,32.75,32.75
2000-01-20,2300.0,33.63,35.0,34.0,33.63
2000-01-21,1000.0,34.0,34.0,33.63,33.63
2000-01-24,2200.0,35.0,35.0,35.0,34.0
2000-01-25,6900.0,42.0,42.0,35.5,35.25
2000-01-26,3800.0,41.62,42.0,42.0,39.0
2000-01-27,1000.0,42.0,43.0,43.0,42.0
2000-01-28,300.0,39.0,39.0,39.0,39.0
2000-01-31,300.0,40.0,40.0,40.0,40.0
2000-02-01,0.0,40.0,40.0,40.0,40.0
2000-02-02,200.0,39.0,39.0,39.0,39.0
2000-02-03,1200.0,38.0,39.25,39.25,38.0
2000-02-04,2800.0,38.62,38.62,37.25,36.5
2000-02-07,200.0,36.0,36.0,36.0,36.0
2000-02-08,1300.0,35.0,36.0,36.0,32.0
2000-02-09,1000.0,35.0,35.0,35.0,35.0
2000-02-10,200.0,36.0,36.0,36.0,36.0
2000-02-11,1100.0,36.0,36.0,35.0,35.0
2000-02-14,100.0,35.0,35.0,35.0,35.0
2000-02-15,100.0,35.0,35.0,35.0,35.0
2000-02-16,1300.0,36.0,36.0,35.5,35.5
2000-02-17,200.0,36.0,36.0,36.0,36.0
2000-02-18,0.0,36.0,36.0,36.0,36.0
2000-02-22,1900.0,36.38,36.5,36.5,36.38
2000-02-23,700.0,36.0,36.38,36.38,36.0
2000-02-24,0.0,36.0,36.0,36.0,36.0
2000-02-25,9800.0,36.0,36.25,36.0,36.0
2000-02-28,1200.0,37.0,37.0,36.5,36.5
2000-02-29,700.0,37.75,37.75,37.25,37.25
2000-03-01,6300.0,38.0,38.37,37.75,36.5
2000-03-02,1900.0,41.0,44.0,40.0,40.0
2000-03-03,12200.0,42.0,42.38,40.0,40.0
2000-03-06,3900.0,42.0,42.0,42.0,42.0
2000-03-07,700.0,42.0,42.0,42.0,42.0
2000-03-08,1600.0,42.12,42.5,42.0,42.0
2000-03-09,9600.0,54.0,54.0,42.0,42.0
2000-03-10,1000.0,55.0,55.0,55.0,55.0
2000-03-13,100.0,45.0,45.0,45.0,45.0
2000-03-14,200.0,50.0,50.0,50.0,50.0
2000-03-15,0.0,50.0,50.0,50.0,50.0
2000-03-16,800.0,45.0,45.0,43.0,43.0
2000-03-17,0.0,45.0,45.0,45.0,45.0
2000-03-20,1400.0,43.0,44.5,44.5,43.0
2000-03-21,2400.0,45.5,47.0,46.0,45.5
2000-03-22,400.0,47.0,47.0,47.0,47.0
2000-03-23,0.0,47.0,47.0,47.0,47.0
2000-03-24,600.0,47.0,47.0,46.5,46.5
2000-03-27,0.0,47.0,47.0,47.0,47.0
2000-03-28,2400.0,47.0,47.0,45.0,45.0
2000-03-29,200.0,45.5,45.5,45.5,45.5
2000-03-30,0.0,45.5,45.5,45.5,45.5
2000-03-31,800.0,40.38,44.37,44.37,40.38
2000-04-03,1800.0,42.5,42.5,42.0,42.0
2000-04-04,200.0,41.0,41.0,41.0,41.0
2000-04-05,200.0,42.0,42.0,42.0,42.0
2000-04-06,1100.0,42.0,43.0,43.0,41.0
2000-04-07,100.0,39.0,39.0,39.0,39.0
2000-04-10,300.0,42.75,42.75,41.0,41.0
2000-04-11,0.0,42.75,42.75,42.75,42.75
2000-04-12,0.0,42.75,42.75,42.75,42.75
2000-04-13,0.0,42.75,42.75,42.75,42.75
2000-04-14,1200.0,38.88,39.5,39.0,38.88
2000-04-17,1400.0,35.0,37.0,37.0,34.0
2000-04-18,1300.0,36.0,37.0,37.0,36.0
2000-04-19,0.0,36.0,36.0,36.0,36.0
2000-04-20,900.0,33.0,34.0,34.0,33.0
2000-04-24,1500.0,31.5,32.0,32.0,31.5
2000-04-25,800.0,31.0,31.0,30.75,30.75
2000-04-26,3900.0,28.0,30.5,30.5,28.0
2000-04-27,2300.0,29.0,29.0,29.0,29.0
2000-04-28,0.0,29.0,29.0,29.0,29.0
2000-05-01,3500.0,33.0,33.0,29.0,28.0
2000-05-02,200.0,31.0,31.0,31.0,31.0
2000-05-03,200.0,31.0,31.0,31.0,31.0
2000-05-04,100.0,29.13,29.13,29.13,29.13
2000-05-05,4800.0,28.0,30.0,30.0,27.0
2000-05-08,1700.0,29.0,29.0,28.0,28.0
