date,5. volume,4. close,2. high,1. open,3. low
2004-10-21,6982800.0,17.0,17.13,17.0,17.0
2004-10-22,1611800.0,16.76,17.04,17.0,16.7
2004-10-25,259300.0,16.75,16.78,16.75,16.75
2004-10-26,241300.0,16.7,16.75,16.7,16.7
2004-10-27,237900.0,16.87,16.95,16.7,16.7
2004-10-28,242100.0,16.85,16.95,16.85,16.85
2004-10-29,122500.0,16.85,16.87,16.85,16.85
2004-11-01,365500.0,16.97,17.0,16.85,16.85
2004-11-02,700800.0,17.08,17.1,16.92,16.9
2004-11-03,613800.0,17.11,17.25,17.2,17.01
2004-11-04,383300.0,17.26,17.28,17.1,17.08
2004-11-05,387200.0,16.92,17.19,17.16,16.9
2004-11-08,311100.0,17.06,17.07,16.91,16.9
2004-11-09,198300.0,17.1,17.15,17.06,17.05
2004-11-10,306200.0,17.19,17.35,17.07,17.05
2004-11-11,156400.0,17.31,17.35,17.16,17.13
2004-11-12,439600.0,17.45,17.45,17.3,17.22
2004-11-15,490100.0,17.68,17.88,17.5,17.42
2004-11-16,181700.0,17.51,17.7,17.65,17.5
2004-11-17,402900.0,17.4,17.62,17.5,17.33
2004-11-18,79900.0,17.35,17.5,17.45,17.3
2004-11-19,423000.0,17.2,17.3,17.25,16.95
2004-11-22,265700.0,17.37,17.43,17.02,17.01
2004-11-23,144900.0,17.32,17.53,17.4,17.25
2004-11-24,221000.0,17.65,17.75,17.35,17.35
2004-11-26,35200.0,17.65,17.73,17.7,17.51
2004-11-29,265900.0,17.66,17.79,17.65,17.6
2004-11-30,1539000.0,18.27,18.35,18.0,17.97
2004-12-01,528700.0,18.3,18.48,18.38,18.11
2004-12-02,342700.0,18.48,18.48,18.45,18.26
2004-12-03,481800.0,18.75,18.82,18.45,18.32
2004-12-06,390600.0,19.38,19.5,18.75,18.75
2004-12-07,571600.0,19.4,19.8,19.5,19.05
2004-12-08,131900.0,19.65,19.65,19.3,19.3
2004-12-09,199600.0,19.86,19.88,19.6,19.5
2004-12-10,124700.0,19.89,19.98,19.75,19.65
2004-12-13,127700.0,19.89,20.0,19.96,19.67
2004-12-14,170500.0,19.98,20.04,19.74,19.73
2004-12-15,264500.0,20.0,20.15,19.92,19.84
2004-12-16,146900.0,19.89,20.0,19.92,19.7
2004-12-17,1010700.0,20.39,20.7,19.89,19.89
2004-12-20,304000.0,20.3,20.48,20.4,20.01
2004-12-21,243200.0,20.15,20.23,20.14,20.05
2004-12-22,281100.0,20.3,20.31,20.11,20.05
2004-12-23,287000.0,20.35,20.44,20.3,20.28
2004-12-27,94400.0,20.3,20.45,20.45,20.1
2004-12-28,204200.0,20.81,20.95,20.29,20.15
2004-12-29,73200.0,20.19,20.52,20.5,20.1
2004-12-30,122500.0,20.35,20.48,20.15,20.07
2004-12-31,256700.0,20.78,20.84,20.35,20.35
2005-01-03,370600.0,20.97,21.35,20.6,20.55
2005-01-04,260400.0,20.76,21.25,20.97,20.6
2005-01-05,345100.0,20.68,20.68,20.62,20.25
2005-01-06,450700.0,21.43,21.43,20.73,20.7
2005-01-07,142600.0,21.17,21.45,21.45,21.0
2005-01-10,59200.0,21.12,21.36,21.1,21.0
2005-01-11,106900.0,21.1,21.15,21.12,20.85
2005-01-12,518900.0,21.1,21.1,21.1,21.1
2005-01-13,211700.0,20.2,20.32,20.25,20.08
2005-01-14,83100.0,20.4,20.4,20.25,20.23
2005-01-18,119500.0,21.08,21.15,20.35,20.2
2005-01-19,98400.0,21.2,21.32,21.07,20.85
2005-01-20,76500.0,21.04,21.2,21.12,20.8
2005-01-21,91100.0,21.3,21.3,21.06,20.7
2005-01-24,75800.0,21.15,21.48,21.38,21.15
2005-01-25,196500.0,20.47,21.2,21.05,20.3
2005-01-26,62900.0,20.65,20.78,20.5,20.45
2005-01-27,133600.0,20.85,20.98,20.72,20.62
2005-01-28,89800.0,21.05,21.05,20.82,20.75
2005-01-31,128900.0,20.9,21.17,21.15,20.45
2005-02-01,205700.0,20.84,20.95,20.95,20.75
2005-02-02,116900.0,20.87,21.01,21.0,20.75
2005-02-03,174500.0,20.94,21.2,21.2,20.75
2005-02-04,98800.0,21.28,21.48,20.98,20.91
2005-02-07,154400.0,21.65,21.97,21.58,21.49
2005-02-08,126800.0,21.8,21.82,21.3,21.23
2005-02-09,421700.0,21.52,21.8,21.75,21.5
2005-02-10,115400.0,21.87,22.28,21.5,21.4
2005-02-11,57500.0,21.94,21.99,21.87,21.64
2005-02-14,108200.0,22.2,22.28,22.0,21.95
2005-02-15,91500.0,22.16,22.6,22.2,22.1
2005-02-16,82800.0,22.05,22.25,22.1,21.96
2005-02-17,151500.0,21.69,22.13,22.08,21.65
2005-02-18,133300.0,21.8,22.08,21.69,21.52
2005-02-22,77700.0,21.39,21.9,21.52,21.39
2005-02-23,110800.0,21.4,21.62,21.4,21.32
2005-02-24,119300.0,21.67,21.69,21.42,20.87
2005-02-25,107100.0,22.14,22.15,21.75,21.71
2005-02-28,136400.0,22.25,22.39,22.25,21.93
2005-03-01,130800.0,22.4,22.65,22.55,22.3
2005-03-02,71200.0,22.3,22.61,22.19,22.15
2005-03-03,44700.0,22.31,22.55,22.3,22.26
2005-03-04,147300.0,22.44,22.45,22.35,22.15
2005-03-07,69100.0,22.49,22.65,22.5,22.45
2005-03-08,39300.0,21.98,22.45,22.45,21.98
2005-03-09,539100.0,21.49,22.03,22.03,21.4
2005-03-10,84000.0,21.53,21.66,21.5,21.47
2005-03-11,170700.0,21.33,21.55,21.45,21.1
2005-03-14,79600.0,21.87,21.87,21.4,21.4
2005-03-15,185100.0,21.78,22.0,21.81,21.68
2005-03-16,336300.0,21.76,21.89,21.78,21.55
2005-03-17,49200.0,21.88,21.88,21.8,21.75
2005-03-18,308800.0,22.06,22.12,22.08,21.87
2005-03-21,111300.0,22.03,22.19,22.15,22.02
2005-03-22,183800.0,21.5,22.11,22.04,21.47
2005-03-23,221900.0,21.51,21.52,21.45,20.0
2005-03-24,128400.0,21.75,22.4,21.72,21.52
2005-03-28,77400.0,21.49,21.75,21.7,21.15
2005-03-29,110100.0,21.04,21.23,21.2,20.8
2005-03-30,101900.0,21.28,21.29,21.12,21.01
2005-03-31,144700.0,21.45,21.6,21.43,21.36
2005-04-01,201000.0,21.33,21.56,21.52,20.96
2005-04-04,148900.0,21.22,21.5,21.5,21.05
2005-04-05,61000.0,21.25,21.35,21.19,21.15
2005-04-06,64600.0,21.2,21.3,21.1,21.1
2005-04-07,250700.0,21.5,21.6,21.2,21.15
2005-04-08,115200.0,21.6,21.73,21.41,21.4
2005-04-11,125300.0,21.65,21.75,21.6,21.55
2005-04-12,138400.0,21.74,21.75,21.65,21.45
2005-04-13,79000.0,21.66,21.75,21.7,21.46
2005-04-14,122300.0,21.43,21.85,21.66,21.25
2005-04-15,65900.0,21.48,21.7,21.44,21.39
2005-04-18,139700.0,21.77,21.9,21.48,21.48
2005-04-19,934000.0,21.77,21.77,21.77,21.77
2005-04-20,144000.0,21.95,22.0,21.92,21.8
2005-04-21,241800.0,22.0,22.05,22.0,21.95
2005-04-22,101300.0,21.48,22.05,21.98,21.41
2005-04-25,58600.0,21.74,21.75,21.55,21.55
2005-04-26,102000.0,21.9,21.99,21.6,21.55
2005-04-27,166700.0,22.0,22.06,21.87,21.6
2005-04-28,32900.0,21.7,22.0,22.0,21.7
2005-04-29,106400.0,21.96,21.98,21.7,21.6
2005-05-02,134300.0,21.95,22.04,22.0,21.88
2005-05-03,209800.0,21.87,22.0,21.95,21.8
2005-05-04,152200.0,22.13,22.18,21.9,21.9
2005-05-05,96500.0,22.29,22.42,22.2,22.15
2005-05-06,118400.0,22.57,22.57,22.35,22.31
2005-05-09,79300.0,22.47,23.07,22.52,22.45
2005-05-10,68000.0,22.85,23.0,22.4,22.37
2005-05-11,313400.0,23.11,23.2,22.9,22.82
2005-05-12,254700.0,23.29,23.7,23.22,23.22
2005-05-13,89500.0,22.76,23.21,23.15,22.68
2005-05-16,101900.0,23.1,23.21,22.8,22.8
2005-05-17,56900.0,23.08,23.15,23.15,23.0
2005-05-18,107600.0,23.3,23.45,23.15,23.13
2005-05-19,258200.0,23.29,23.39,23.32,23.21
2005-05-20,560700.0,23.32,23.42,23.29,23.15
2005-05-23,233900.0,23.07,23.44,22.42,22.42
2005-05-24,59000.0,22.8,23.05,23.01,22.75
2005-05-25,1521400.0,22.32,22.78,22.7,22.23
2005-05-26,440900.0,22.26,22.55,22.35,22.26
2005-05-27,34400.0,22.9,22.9,22.35,22.35
2005-05-31,1097800.0,23.01,23.49,22.91,22.9
2005-06-01,312200.0,22.75,23.0,23.0,22.55
2005-06-02,566100.0,22.7,22.97,22.79,21.95
2005-06-03,190300.0,22.85,23.3,22.67,22.67
2005-06-06,696000.0,23.58,23.58,22.85,22.62
2005-06-07,3006700.0,23.66,23.9,23.55,23.5
2005-06-08,745500.0,23.86,23.97,23.7,23.7
