date,5. volume,4. close,2. high,1. open,3. low
2015-12-02,2500.0,4.09,4.25,4.25,4.06
2015-12-03,561.0,4.04,4.2323,4.04,4.04
2015-12-04,4243.0,4.06,4.15,4.15,4.04
2015-12-07,10559.0,4.0,4.24,4.04,3.8
2015-12-08,23949.0,3.7,3.802,3.75,3.61
2015-12-09,5519.0,3.84,4.25,4.25,3.65
2015-12-10,4539.0,3.77,3.8,3.8,3.6
2015-12-11,8899.0,3.95,3.95,3.64,3.6
2015-12-14,16089.0,3.45,3.77,3.76,3.3
2015-12-15,11790.0,3.53,3.6299,3.52,3.39
2015-12-16,6787.0,3.66,4.22,3.69,3.65
2015-12-17,16801.0,3.45,3.78,3.52,3.35
2015-12-18,24086.0,3.39,3.7,3.42,3.35
2015-12-21,9469.0,3.31,3.39,3.3,3.3
2015-12-22,6699.0,3.41,3.4899,3.35,3.35
2015-12-23,3968.0,3.3,3.47,3.417,3.3
2015-12-24,740.0,3.3,3.32,3.32,3.3
2015-12-28,3622.0,3.26,3.3604,3.3,3.26
2015-12-29,22107.0,3.224,3.34,3.3,3.15
2015-12-30,7913.0,3.18,3.2,3.18,3.18
2015-12-31,9376.0,3.16,3.29,3.21,3.16
2016-01-04,29181.0,3.0,3.0765,3.0765,2.95
2016-01-05,3953.0,3.1166,3.2,3.08,2.99
2016-01-06,202.0,3.247,3.247,3.247,3.247
2016-01-07,15938.0,3.0,3.28,3.19,2.9
2016-01-08,4653.0,3.02,3.05,3.05,3.01
2016-01-11,426.0,3.05,3.05,3.05,3.05
2016-01-12,5881.0,3.158,3.2368,3.2,3.064
2016-01-13,15201.0,3.15,3.15,3.0501,3.05
2016-01-14,2508.0,3.24,3.24,3.05,3.05
2016-01-15,4064.0,3.01,3.06,3.06,3.01
2016-01-19,17695.0,3.3116,3.35,3.25,3.2
2016-01-20,2811.0,3.3095,3.37,3.37,3.104
2016-01-21,62416.0,3.2,3.56,3.37,3.14
2016-01-22,14036.0,3.45,3.45,3.4429,3.21
2016-01-25,9961.0,3.6458,3.6458,3.47,3.47
2016-01-26,7535.0,3.6844,3.7,3.6499,3.51
2016-01-27,7617.0,4.0137,4.164,3.7,3.698
2016-01-28,8261.0,3.88,4.0,4.0,3.7999
2016-01-29,4757.0,3.77,3.98,3.7,3.68
2016-02-01,13499.0,3.95,3.95,3.89,3.75
2016-02-02,2404.0,3.8541,3.95,3.716,3.716
2016-02-03,2830.0,3.83,3.878,3.775,3.775
2016-02-04,22315.0,3.8,3.88,3.77,3.726
2016-02-05,3600.0,3.6612,3.7999,3.798,3.642
2016-02-08,500.0,3.63,3.75,3.5101,3.5101
2016-02-09,19712.0,3.605,3.69,3.51,3.45
2016-02-10,12950.0,3.58,3.6999,3.6999,3.5
2016-02-11,14402.0,3.471,3.52,3.5,3.471
2016-02-12,64909.0,3.4,3.5,3.5,3.32
2016-02-16,21284.0,3.34,3.41,3.3974,3.34
2016-02-17,25771.0,3.34,3.5,3.322,3.12
2016-02-18,5056.0,3.2974,3.2974,3.15,3.02
2016-02-19,23618.0,3.22,3.25,3.25,3.17
2016-02-22,45273.0,3.03,3.21,3.21,2.9
2016-02-23,7450.0,3.13,3.15,3.1,3.09
2016-02-24,21525.0,3.306,3.342,3.1,3.1
2016-02-25,5279.0,3.3,3.34,3.3,3.0926
2016-02-26,12391.0,3.76,3.8,3.18,3.1501
2016-02-29,10902.0,3.35,3.7999,3.7999,3.35
2016-03-01,32069.0,3.43,3.66,3.54,3.32
2016-03-02,7125.0,3.723,3.8,3.66,3.45
2016-03-03,13981.0,3.7,3.87,3.83,3.5
2016-03-04,6667.0,3.56,3.7699,3.73,3.56
2016-03-07,7398.0,4.05,4.11,3.67,3.55
2016-03-08,3864.0,4.03,4.05,4.05,3.95
2016-03-09,8788.0,4.0799,4.1,3.96,3.84
2016-03-10,5106.0,3.99,4.04,4.04,3.74
2016-03-11,3239.0,3.7962,4.0443,3.8984,3.78
2016-03-14,9151.0,4.2,4.22,3.7501,3.7501
2016-03-15,28978.0,4.1,4.25,4.09,3.84
2016-03-16,11232.0,4.0,4.23,4.04,3.97
2016-03-17,455.0,4.095,4.095,4.09,4.08
2016-03-18,4893.0,4.1785,4.31,4.24,4.07
2016-03-21,2994.0,4.08,4.24,4.24,4.0201
