date,5. volume,4. close,2. high,1. open,3. low
2017-07-10,800.0,2.59,2.9,2.9,2.59
2017-07-11,5500.0,2.68,2.68,2.65,2.56
2017-07-12,600.0,2.56,2.72,2.72,2.56
2017-07-13,111190.0,2.5,2.58,2.58,2.5
2017-07-14,76426.0,2.41,2.5,2.5,2.3
2017-07-17,34993.0,2.4,2.62,2.62,2.35
2017-07-18,1200.0,2.45,2.45,2.4,2.4
2017-07-19,123.0,2.42,2.42,2.42,2.42
2017-07-20,1101.0,2.54,2.66,2.66,2.54
2017-07-21,2379.0,2.5,2.5,2.49,2.42
2017-07-24,1701.0,2.5,2.5,2.5,2.5
2017-07-25,3802.0,2.45,2.45,2.45,2.33
2017-07-26,61392.0,2.24,2.5,2.45,2.24
2017-07-27,20775.0,2.38,2.5,2.42,2.38
2017-07-28,1100.0,2.4496,2.48,2.48,2.4496
2017-07-31,110500.0,2.49,2.5,2.5,2.4
2017-08-01,3000.0,2.45,2.45,2.45,2.438
2017-08-02,300.0,2.4,2.4,2.4,2.4
2017-08-03,16.0,2.4,2.4,2.4,2.4
2017-08-04,1328.0,2.4,2.4,2.35,2.35
2017-08-07,1014.0,2.4,2.4,1.08,1.08
2017-08-08,11396.0,2.4,2.49,2.35,2.35
2017-08-09,34100.0,2.25,2.48,1.97,1.95
2017-08-10,15341.0,2.26,2.32,2.25,2.2
2017-08-11,17883.0,2.5,2.5,2.22,2.205
2017-08-14,19800.0,2.6,2.7,2.53,2.44
2017-08-15,1600.0,2.49,2.59,2.36,2.36
2017-08-16,4000.0,2.51,2.52,2.4,2.4
2017-08-17,200.0,2.49,2.49,2.49,2.49
2017-08-18,77775.0,2.515,2.525,2.35,2.35
2017-08-21,3900.0,2.43,2.52,2.52,2.43
2017-08-22,6027.0,2.5,2.5,2.48,2.47
2017-08-23,1100.0,2.5,2.53,2.53,2.43
2017-08-24,200.0,2.5,2.5,2.5,2.5
2017-08-25,2223.0,2.48,2.53,2.53,2.35
2017-08-28,100.0,2.5,2.5,2.5,2.5
2017-08-29,14876.0,2.49,2.53,2.48,2.46
2017-08-30,12708.0,2.3,2.5,2.425,2.29
2017-08-31,13377.0,2.49,2.5,2.47,2.4146
2017-09-01,814.0,2.42,2.5,2.49,2.42
2017-09-05,100.0,2.53,2.53,2.53,2.53
2017-09-06,6801.0,2.49,2.5,2.42,2.38
2017-09-07,24573.0,2.45,2.53,2.53,2.4
2017-09-08,56864.0,2.5,2.54,2.45,2.44
2017-09-11,2750.0,2.54,2.655,2.65,2.48
2017-09-12,4458.0,2.54,2.565,2.525,2.51
2017-09-13,55684.0,2.6,2.6,2.48,2.43
2017-09-14,829.0,2.5808,2.61,2.61,2.5808
2017-09-15,600750.0,2.6,2.6,2.6,2.429
2017-09-18,2200.0,2.41,2.43,2.43,2.33
2017-09-19,200.0,2.299,2.3,2.3,2.299
2017-09-20,13315.0,2.26,2.26,2.12,1.91
2017-09-21,11533.0,2.25,2.26,2.2,2.1
2017-09-22,100.0,2.29,2.29,2.29,2.29
2017-09-25,28618.0,2.19,2.22,2.1,1.98
2017-09-26,969.0,2.23,2.24,2.24,2.156
2017-09-28,900.0,2.29,2.29,2.19,2.19
2017-09-29,455.0,2.375,2.375,2.31,2.31
2017-10-02,333137.0,2.48,2.51,2.45,2.27
2017-10-03,134324.0,2.45,2.5,2.45,2.42
2017-10-04,129053.0,2.53,2.55,2.45,2.43
2017-10-05,49200.0,2.53,2.55,2.52,2.51
2017-10-06,7722.0,2.52,2.58,2.495,2.495
2017-10-09,32800.0,2.52,2.58,2.52,2.5
2017-10-10,300161.0,2.5,2.55,2.5,2.47
2017-10-11,12544.0,2.46,2.54,2.54,2.38
2017-10-12,11320.0,2.48,2.49,2.46,2.4
2017-10-13,12360.0,2.44,3.05,2.715,2.37
2017-10-16,15489.0,2.42,2.52,2.52,2.42
2017-10-17,13856.0,2.39,2.42,2.42,2.39
2017-10-18,533495.0,2.28,2.46,2.3796,2.27
2017-10-19,12100.0,2.28,2.34,2.33,2.28
2017-10-20,46273.0,2.21,2.33,2.31,2.12
2017-10-23,41102.0,2.23,2.27,2.21,2.16
2017-10-24,92223.0,2.15,2.27,2.2,2.08
2017-10-25,16589.0,2.1,2.1,2.01,2.0
2017-10-26,4856.0,2.2,2.2,2.19,2.15
2017-10-27,13200.0,2.11,2.15,2.1,1.98
2017-10-30,45635.0,1.98,2.01,2.01,1.86
2017-10-31,596117.0,2.16,2.2,2.0,1.98
2017-11-01,500.0,2.24,2.24,2.19,2.19
2017-11-02,28057.0,2.2,2.34,2.34,2.04
2017-11-03,46502.0,2.25,2.3,2.1,2.1
2017-11-06,11851.0,2.25,2.25,2.2,2.19
2017-11-07,19811.0,2.26,2.39,2.24,2.1401
2017-11-08,399564.0,2.39,2.4,2.26,2.24
2017-11-09,22500.0,2.4,2.44,2.4,2.38
2017-11-10,455737.0,2.44,2.46,2.35,2.35
2017-11-13,6100.0,2.43,2.52,2.52,2.4
2017-11-14,23800.0,2.495,2.53,2.43,2.41
2017-11-15,51800.0,2.6,2.63,2.45,2.44
2017-11-16,105709.0,2.62,2.69,2.6,2.59
2017-11-17,30400.0,2.68,2.71,2.71,2.65
2017-11-20,389517.0,2.72,2.79,2.7,2.65
2017-11-21,6652.0,2.74,2.8,2.8,2.65
2017-11-22,394763.0,2.81,2.8217,2.69,2.68
2017-11-24,475.0,2.77,2.84,2.84,2.77
2017-11-27,12103.0,2.74,2.74,2.73,2.715
2017-11-28,363508.0,2.8,2.86,2.75,2.7
2017-11-29,43595.0,2.99,3.05,2.85,2.8
2017-11-30,1091610.0,3.16,3.16,3.0,2.9
2017-12-01,157243.0,3.37,3.52,3.03,3.03
2017-12-04,21475.0,3.2,3.38,3.27,3.2
2017-12-05,12000.0,3.25,3.35,3.22,3.19
2017-12-06,8788.0,3.3,3.301,3.3,3.28
2017-12-07,200.0,3.2,3.2,3.2,3.2
2017-12-08,18765.0,3.25,3.25,3.1,3.05
2017-12-11,5700.0,3.2,3.3,3.3,3.17
2017-12-13,7710.0,3.29,3.32,3.2,3.19
2017-12-15,4700.0,3.15,3.15,3.11,3.11
2017-12-18,14041.0,3.43,3.43,3.19,3.19
2017-12-19,10300.0,3.35,3.41,3.4,3.3
2017-12-20,22677.0,3.3,3.36,3.35,3.29
2017-12-21,2699.0,3.39,3.41,3.38,3.38
2017-12-22,1000.0,3.5,3.5,3.5,3.5
2017-12-26,1400.0,3.55,3.55,3.48,3.47
2017-12-27,16868.0,3.79,3.8399,3.6,3.58
2017-12-28,60099.0,3.78,3.83,3.83,3.69
2017-12-29,39890.0,3.89,3.92,3.83,3.83
2018-01-02,66438.0,4.06,4.22,3.86,3.86
2018-01-03,5180.0,3.9,3.9,3.88,3.88
2018-01-04,2500.0,3.7228,3.88,3.79,3.71
2018-01-05,510.0,3.88,4.1,4.1,3.76
2018-01-08,412.0,3.8,4.0,4.0,3.8
2018-01-09,9984.0,3.87,4.3,4.3,3.69
2018-01-10,1917.0,3.75,3.99,3.99,3.75
2018-01-11,3450.0,3.6,3.72,3.72,3.6
2018-01-12,600.0,3.55,3.55,3.55,3.55
2018-01-17,18042.0,3.879,3.879,3.83,3.76
2018-01-18,3450.0,3.74,3.81,3.655,3.62
2018-01-19,800.0,3.8,3.8,3.8,3.8
2018-01-22,5975.0,3.85,3.88,3.83,3.83
2018-01-23,900.0,3.915,3.915,3.91,3.91
2018-01-24,1783.0,3.94,4.15,4.09,3.94
2018-01-30,4707.0,3.79,3.8299,3.66,3.66
2018-01-31,5181.0,3.56,3.91,3.91,3.5
2018-02-01,3399.0,3.74,3.74,3.72,3.7
2018-02-02,2136.0,3.58,3.58,3.5,3.5
2018-02-05,200.0,3.55,3.55,3.55,3.55
2018-02-06,3400.0,3.22,3.5,3.5,3.22
2018-02-07,5095.0,3.62,3.62,3.1,3.07
2018-02-08,204625.0,3.56,3.85,3.35,3.35
2018-02-09,3844.0,3.5,3.61,3.61,3.5
2018-02-12,44479.0,3.11,3.58,3.22,3.11
2018-02-13,202700.0,3.22,3.26,3.15,3.15
2018-02-14,3333.0,3.44,3.44,3.24,3.24
2018-02-15,3371.0,3.69,3.73,3.59,3.44
2018-02-16,100.0,3.69,3.69,3.69,3.69
2018-02-20,2700.0,3.57,3.79,3.56,3.47
2018-02-21,57101.0,3.53,3.66,3.54,3.53
2018-02-23,2600.0,3.65,3.79,3.78,3.65
2018-02-27,1134.0,3.65,3.65,3.65,3.62
2018-03-01,16973.0,3.42,3.51,3.48,3.41
2018-03-02,76711.0,3.4,3.5,3.385,3.35
2018-03-05,133.0,3.56,3.56,3.56,3.56
2018-03-06,1200.0,3.71,3.8,3.65,3.65
2018-03-07,89214.0,3.7,3.79,3.79,3.58
2018-03-08,8448.0,3.79,3.85,3.85,3.72
2018-03-09,70617.0,3.62,3.79,3.73,3.6
2018-03-14,4701.0,3.63,3.64,3.62,3.6033
2018-03-15,207081.0,3.46,3.53,3.35,3.33
2018-03-19,6096.0,3.57,3.57,3.5,3.43
2018-03-20,879.0,3.45,3.45,3.426,3.3877
2018-03-21,180.0,3.3752,3.3752,3.3752,3.3752
2018-03-22,3133.0,3.22,3.47,3.12,3.12
2018-03-23,261.0,3.38,3.38,2.98,2.98
2018-03-26,11466.0,3.19,3.68,3.1,3.1
2018-03-27,49935.0,3.49,3.58,3.21,3.14
2018-03-28,25439.0,3.44,3.68,3.32,3.31
2018-03-29,64465.0,3.55,3.8,3.47,3.47
2018-04-02,22607.0,3.43,3.61,3.61,3.38
2018-04-03,200.0,3.55,3.55,3.54,3.54
2018-04-04,6300.0,3.49,3.49,3.3525,3.3525
2018-04-05,8882.0,3.36,3.53,3.2902,3.25
2018-04-06,1858.0,3.41,3.57,3.57,3.41
2018-04-09,7563.0,3.175,3.41,3.4,3.15
2018-04-10,17536.0,3.16,3.51,3.31,2.94
2018-04-11,106745.0,3.18,3.2,3.12,3.1
2018-04-12,8651.0,3.22,3.38,3.19,3.19
2018-04-13,950.0,3.43,3.43,3.2802,3.2802
2018-04-16,900.0,3.54,3.54,3.53,3.53
2018-04-18,10930.0,3.47,3.47,3.4,3.37
2018-04-20,7823.0,3.3,3.3,2.99,2.97
2018-04-23,4100.0,3.2,3.2,3.11,3.1
2018-04-24,27619.0,3.1,3.4,2.87,2.87
2018-04-25,200.0,3.45,3.45,3.45,3.45
2018-04-26,100.0,3.45,3.45,3.45,3.45
2018-04-27,200.0,3.5,3.54,3.54,3.5
2018-05-02,117000.0,2.98,3.46,3.17,2.98
2018-05-03,515600.0,2.89,3.24,3.24,2.85
2018-05-04,800.0,3.28,3.28,3.04,3.04
2018-05-07,34.0,3.28,3.28,3.28,3.28
2018-05-08,1066.0,3.32,3.41,3.28,3.18
2018-05-09,39941.0,3.58,3.76,3.6,3.5
