date,5. volume,4. close,2. high,1. open,3. low
2004-06-02,54600.0,13.09,13.09,12.47,12.33
2004-06-03,93200.0,12.97,14.69,13.1,12.97
2004-06-04,73100.0,12.95,13.3,13.3,12.89
2004-06-07,60400.0,12.79,13.23,12.9,12.7
2004-06-08,129100.0,13.18,13.52,12.85,12.85
2004-06-09,17500.0,13.2,13.2,12.9,12.8
2004-06-10,52300.0,13.0,13.38,12.73,12.6
2004-06-14,15800.0,13.0,13.4,13.01,12.63
2004-06-15,71700.0,12.2,13.05,13.01,11.94
2004-06-16,47400.0,12.15,12.37,12.22,12.04
2004-06-17,20800.0,12.0,12.64,12.34,12.0
2004-06-18,123600.0,11.98,12.3,12.3,11.86
2004-06-21,64000.0,12.65,12.8,12.01,12.0
2004-06-22,20000.0,12.25,12.6,12.6,12.05
2004-06-23,17900.0,12.17,12.26,12.0,11.98
2004-06-24,24200.0,12.0,12.15,12.0,11.96
2004-06-25,53900.0,12.55,12.6,12.03,11.95
2004-06-28,27500.0,12.57,12.9,11.95,11.95
2004-06-29,11500.0,12.45,12.55,12.4,12.4
2004-06-30,39500.0,12.75,12.75,12.45,12.26
2004-07-01,119700.0,12.6,12.87,12.87,12.41
2004-07-02,19900.0,12.86,12.87,12.33,12.33
2004-07-06,45700.0,12.84,13.0,12.55,12.55
2004-07-07,37000.0,12.83,12.95,12.43,12.43
2004-07-08,64600.0,12.75,13.0,12.8,12.63
2004-07-09,53700.0,12.61,12.85,12.85,12.61
2004-07-12,6400.0,12.71,12.85,12.85,12.61
2004-07-13,18200.0,12.61,12.7,12.6,12.58
2004-07-14,43600.0,12.7,12.75,12.75,12.61
2004-07-15,11500.0,12.6,13.0,13.0,12.52
2004-07-16,29200.0,12.77,12.77,12.55,12.4
2004-07-19,17800.0,12.58,12.74,12.59,12.42
2004-07-20,21600.0,13.0,13.0,12.74,12.74
2004-07-21,0.0,13.0,13.0,13.0,13.0
2004-07-22,500.0,12.93,12.93,12.66,12.66
2004-07-23,8400.0,12.97,12.98,12.98,12.69
2004-07-26,13700.0,12.85,12.95,12.6,12.28
2004-07-27,14200.0,12.67,12.77,12.75,12.52
2004-07-28,18600.0,12.85,13.05,12.95,12.84
2004-07-29,6600.0,12.85,12.9,12.77,12.65
2004-07-30,35200.0,12.69,12.76,12.66,12.65
2004-08-02,1200.0,12.79,13.0,13.0,12.79
2004-08-03,12500.0,12.7,12.84,12.75,12.7
2004-08-04,1600.0,12.7,12.7,12.7,12.7
2004-08-05,2200.0,12.7,12.7,12.7,12.7
2004-08-06,40000.0,12.75,12.75,12.75,12.75
2004-08-09,36600.0,12.4,12.75,12.75,12.4
2004-08-10,200.0,12.4,12.4,12.4,12.4
2004-08-11,5300.0,12.3,12.31,12.28,12.28
2004-08-12,29800.0,12.7,12.9,12.45,12.29
2004-08-13,1400.0,12.59,12.7,12.7,12.59
2004-08-16,4000.0,12.43,12.51,12.5,12.27
2004-08-17,2300.0,12.55,12.55,12.55,12.55
2004-08-18,27900.0,12.52,12.7,12.7,12.34
2004-08-19,1900.0,12.72,12.72,12.72,12.72
2004-08-20,0.0,12.72,12.72,12.72,12.72
2004-08-23,14000.0,13.03,13.2,12.72,12.72
2004-08-24,9800.0,13.3,13.3,13.0,12.9
2004-08-25,53400.0,13.2,13.4,13.25,13.2
2004-08-26,11100.0,13.2,13.3,13.2,13.07
2004-08-27,0.0,13.2,13.2,13.2,13.2
2004-08-30,0.0,13.2,13.2,13.2,13.2
2004-08-31,12700.0,13.05,13.25,13.15,13.05
2004-09-01,1100.0,13.39,13.45,13.39,12.98
2004-09-02,8000.0,13.42,13.42,13.02,13.02
2004-09-03,44900.0,13.18,13.35,13.0,13.0
2004-09-07,43700.0,13.0,13.65,13.1,13.0
2004-09-08,3100.0,13.25,13.25,13.0,13.0
2004-09-09,8000.0,13.5,13.5,13.46,13.3
2004-09-10,21200.0,13.5,13.58,13.58,13.5
2004-09-13,1400.0,13.06,13.75,13.75,13.06
2004-09-14,15400.0,13.42,13.5,13.38,13.0
2004-09-15,11000.0,13.5,13.5,13.45,13.43
2004-09-16,14900.0,13.5,13.6,13.5,13.45
2004-09-17,4800.0,13.5,13.5,13.26,13.26
2004-09-20,0.0,13.5,13.5,13.5,13.5
2004-09-21,1600.0,13.25,13.29,13.29,13.2
2004-09-22,7400.0,13.01,13.5,13.49,13.0
2004-09-23,33400.0,12.97,13.49,13.49,12.97
2004-09-24,5900.0,13.02,13.02,13.0,12.97
2004-09-27,2900.0,13.0,13.0,12.95,12.95
2004-09-28,269000.0,12.31,13.02,13.0,12.31
2004-09-29,28000.0,12.89,13.3,12.28,12.25
2004-09-30,66400.0,13.19,13.38,12.88,12.76
2004-10-01,2100.0,12.59,13.39,13.39,12.33
2004-10-04,1200.0,13.05,13.2,12.95,12.94
2004-10-05,22200.0,12.38,13.34,13.1,12.32
2004-10-06,10700.0,12.47,12.7,12.3,12.3
2004-10-07,27800.0,12.25,12.53,12.33,12.25
2004-10-08,19200.0,12.25,12.32,12.28,12.04
2004-10-11,8300.0,12.7,12.7,12.25,12.15
2004-10-12,5400.0,12.59,12.59,12.28,12.17
2004-10-13,11700.0,13.4,13.6,12.6,12.6
2004-10-14,11900.0,12.97,13.24,13.04,12.74
2004-10-15,2000.0,13.14,13.14,12.47,12.47
2004-10-18,600.0,13.07,13.07,12.51,12.47
2004-10-19,1000.0,12.75,12.75,12.75,12.75
2004-10-20,1100.0,12.61,12.62,12.57,12.57
2004-10-21,5800.0,12.6,12.85,12.66,12.6
2004-10-22,0.0,12.6,12.6,12.6,12.6
2004-10-25,12900.0,12.66,12.68,12.34,12.34
2004-10-26,401000.0,13.05,13.14,12.31,12.31
2004-10-27,97800.0,13.06,13.19,12.83,12.83
2004-10-28,15600.0,13.05,13.19,13.06,13.05
2004-10-29,7600.0,12.89,13.06,13.02,12.75
2004-11-01,1500.0,12.52,12.55,12.5,12.5
2004-11-02,4800.0,13.02,13.18,12.51,12.43
2004-11-03,1300.0,12.6,12.66,12.62,12.6
2004-11-04,4700.0,12.81,12.81,12.81,12.46
2004-11-05,6800.0,12.85,12.9,12.83,12.4
2004-11-08,5100.0,12.45,12.5,12.46,12.45
2004-11-09,33700.0,12.21,12.4,12.4,12.0
2004-11-10,7200.0,12.41,12.41,12.25,12.2
2004-11-11,8400.0,12.6,12.7,12.56,12.47
2004-11-12,49100.0,12.86,12.87,12.77,12.74
2004-11-15,13800.0,12.62,12.86,12.56,12.45
2004-11-16,13700.0,12.48,12.53,12.47,12.47
2004-11-17,25500.0,12.4,12.48,12.41,12.3
2004-11-18,54600.0,12.57,12.92,12.48,12.48
2004-11-19,3800.0,12.93,13.1,12.92,12.82
2004-11-22,7600.0,12.5,12.8,12.29,12.29
