date,5. volume,4. close,2. high,1. open,3. low
2011-03-25,11792100.0,12.18,14.0,13.65,12.0
2011-03-28,1014500.0,11.53,12.85,12.5,11.5
2011-03-29,723000.0,11.83,12.15,11.8,11.5
2011-03-30,612600.0,12.43,12.5,11.84,11.7
2011-03-31,614800.0,12.18,12.5,12.43,12.0
2011-04-01,594600.0,12.11,12.47,12.15,11.52
2011-04-04,141800.0,12.4,12.48,12.06,12.0
2011-04-05,190100.0,12.94,13.0,12.47,11.931
2011-04-06,275800.0,12.84,13.18,12.9,12.44
2011-04-07,183600.0,12.87,12.99,12.91,12.52
2011-04-08,226100.0,12.78,13.0,12.9,12.71
2011-04-11,237100.0,12.55,12.79,12.78,12.28
2011-04-12,292300.0,12.43,12.74,12.58,12.081
2011-04-13,220800.0,12.46,12.9,12.43,12.11
2011-04-14,440800.0,12.49,12.73,12.32,12.0
2011-04-15,357500.0,12.34,12.62,12.43,12.03
2011-04-18,414600.0,12.19,12.48,12.21,11.83
2011-04-19,826100.0,11.88,12.24,12.09,11.29
2011-04-20,406900.0,11.77,12.2,11.96,11.31
2011-04-21,382400.0,11.75,11.91,11.75,11.505
2011-04-25,215700.0,11.89,12.1111,11.67,11.61
2011-04-26,376900.0,12.07,12.56,11.83,11.69
2011-04-27,112700.0,12.27,12.44,12.01,11.84
2011-04-28,61600.0,12.63,12.75,12.27,12.27
2011-04-29,128000.0,12.5,12.71,12.6501,12.16
2011-05-02,179400.0,12.72,12.85,12.65,12.39
2011-05-03,109500.0,12.9,13.1,12.77,12.35
2011-05-04,990600.0,14.11,14.55,13.22,13.07
2011-05-05,666100.0,13.96,14.85,14.26,13.02
2011-05-06,622100.0,14.55,14.76,14.04,13.616
2011-05-09,379200.0,14.91,15.19,14.75,14.26
2011-05-10,2735900.0,19.26,19.49,15.55,15.49
2011-05-11,628800.0,18.06,19.25,18.99,17.78
2011-05-12,529000.0,17.64,18.24,18.12,16.86
2011-05-13,343900.0,17.92,19.07,17.76,17.21
2011-05-16,207000.0,17.53,18.61,17.76,17.38
2011-05-17,227600.0,18.59,18.79,17.56,17.31
2011-05-18,385800.0,19.25,20.3,18.67,18.11
2011-05-19,275200.0,19.68,20.15,19.45,19.22
2011-05-20,253000.0,19.97,20.5,19.77,19.77
2011-05-23,173500.0,20.09,20.26,19.78,19.35
2011-05-24,310100.0,19.88,20.75,20.29,19.85
2011-05-25,407200.0,18.84,20.13,19.7,18.5
2011-05-26,141100.0,18.84,19.58,18.59,18.51
2011-05-27,152200.0,19.22,19.78,18.89,18.74
2011-05-31,253200.0,19.45,20.21,19.89,19.08
2011-06-01,244200.0,19.08,19.9456,19.52,18.9
2011-06-02,122800.0,18.88,19.46,19.23,18.76
2011-06-03,172000.0,18.76,19.09,18.58,18.56
2011-06-06,275900.0,18.65,19.57,19.09,18.5
2011-06-07,201700.0,19.27,19.351,18.84,18.65
2011-06-08,439000.0,19.03,19.74,19.2,18.5
2011-06-09,186900.0,18.95,19.61,19.09,18.65
2011-06-10,371300.0,18.67,19.11,18.85,18.0301
2011-06-13,207100.0,18.76,19.17,18.58,18.19
2011-06-14,249600.0,19.31,19.49,18.89,18.37
2011-06-15,150200.0,18.85,19.32,19.13,18.66
2011-06-16,354800.0,18.58,19.0,18.9,18.0
2011-06-17,274000.0,18.5,19.07,18.68,17.86
2011-06-20,118900.0,18.63,18.95,18.46,18.29
2011-06-21,444400.0,18.18,18.84,18.84,17.91
2011-06-22,247100.0,18.89,19.11,18.58,18.21
2011-06-23,928800.0,20.03,20.449,18.6,18.6
2011-06-24,2495500.0,20.36,21.679,20.14,20.101
2011-06-27,345300.0,20.17,21.039,20.36,19.66
2011-06-28,254600.0,20.94,21.29,20.19,19.91
2011-06-29,530500.0,21.73,22.62,21.09,20.638
2011-06-30,675800.0,22.22,23.599,22.17,22.0
2011-07-01,742200.0,21.42,21.84,20.85,20.11
2011-07-05,308900.0,22.03,23.38,21.69,21.69
2011-07-06,405700.0,21.89,22.69,22.09,21.59
2011-07-07,164800.0,22.29,22.55,22.15,21.95
2011-07-08,198700.0,21.99,22.74,21.9,21.67
2011-07-11,182500.0,21.09,21.74,21.74,21.01
2011-07-12,296400.0,20.21,21.47,21.18,19.67
2011-07-13,201400.0,20.11,21.1,20.37,19.91
2011-07-14,218100.0,19.91,20.58,20.25,19.7
2011-07-15,411500.0,20.38,20.51,20.03,19.321
2011-07-18,541000.0,19.15,19.63,18.94,18.285
2011-07-19,409400.0,18.87,19.91,19.19,18.74
2011-07-20,438000.0,18.1,19.09,18.93,17.81
2011-07-21,624000.0,18.35,18.96,18.13,17.9
2011-07-22,360700.0,18.53,18.88,18.24,18.1
2011-07-25,809800.0,17.0,18.12,18.0,17.0
2011-07-26,509900.0,16.95,17.3,16.76,16.59
2011-07-27,340100.0,16.8,17.15,16.86,16.67
2011-07-28,595900.0,17.62,17.71,16.75,16.63
2011-07-29,5063700.0,18.67,18.87,17.9,17.8
2011-08-01,1046800.0,18.96,19.3,18.95,18.15
2011-08-02,842300.0,18.39,19.2,18.74,18.25
2011-08-03,501800.0,18.1,18.94,18.5,17.921
2011-08-04,994600.0,17.85,18.17,17.79,17.08
2011-08-05,1457500.0,17.8,18.17,17.92,17.3
2011-08-08,863500.0,16.56,17.68,17.6,15.57
2011-08-09,2112800.0,16.34,17.11,16.88,14.4
2011-08-10,1420400.0,14.85,16.15,15.96,14.7
2011-08-11,1083200.0,15.84,16.56,14.89,14.89
2011-08-12,672900.0,16.77,17.33,15.88,14.57
2011-08-15,650100.0,17.29,17.35,16.97,16.06
2011-08-16,466500.0,17.17,17.65,17.21,16.865
2011-08-17,318500.0,17.25,17.52,17.2,17.02
2011-08-18,747900.0,14.78,17.14,16.99,14.42
2011-08-19,456100.0,14.78,15.28,14.65,14.29
2011-08-22,260900.0,14.64,15.47,15.2,14.52
2011-08-23,514200.0,15.18,15.455,14.61,14.61
2011-08-24,560600.0,15.42,15.59,15.15,15.15
2011-08-25,303600.0,15.45,16.15,15.54,14.91
2011-08-26,581300.0,15.8,16.05,15.36,14.9434
2011-08-29,389100.0,16.57,16.69,15.97,15.97
2011-08-30,594200.0,17.91,18.14,16.46,16.07
2011-08-31,440600.0,18.07,18.53,17.9,17.41
2011-09-01,360600.0,17.9825,18.485,18.14,17.07
