date,5. volume,4. close,2. high,1. open,3. low
2018-05-04,827994.0,21.85,22.55,22.0,21.75
2018-05-07,75993.0,22.15,22.31,22.14,21.96
2018-05-08,65220.0,22.09,22.315,22.2,21.9948
2018-05-09,76829.0,22.06,22.28,22.1542,21.99
2018-05-10,38601.0,21.3,22.25,22.24,21.26
2018-05-11,13570.0,21.38,21.48,21.39,21.1
2018-05-14,40731.0,21.5,21.5,21.49,21.09
2018-05-15,20377.0,21.24,21.7002,21.5,21.11
2018-05-16,13506.0,21.21,21.3,20.77,20.77
2018-05-17,5118.0,21.17,21.25,21.14,21.12
2018-05-18,10879.0,21.1,21.39,21.27,20.98
2018-05-21,50390.0,21.49,21.49,21.2,21.2
2018-05-22,99058.0,21.0,21.7,21.62,21.0
2018-05-23,111538.0,21.02,21.08,21.0,20.71
2018-05-24,82249.0,20.95,21.0,20.88,20.73
2018-05-25,51466.0,21.08,21.65,20.56,20.56
2018-05-29,45804.0,21.45,21.65,20.88,20.88
2018-05-30,59368.0,21.23,21.47,21.0,21.0
2018-05-31,40733.0,21.0,21.58,21.19,21.0
2018-06-01,18824.0,21.12,21.515,21.2,21.0
2018-06-04,41445.0,21.07,21.32,21.06,21.05
2018-06-05,77132.0,21.06,21.74,21.21,20.91
2018-06-06,34738.0,21.06,21.24,21.23,21.06
2018-06-07,21784.0,21.1,21.25,21.1,21.0601
2018-06-08,59972.0,20.8,21.13,21.1,20.8
