date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,5000.0,41.0,42.12,41.62,41.0
2000-01-04,18000.0,42.38,42.81,41.12,40.5
2000-01-05,34800.0,46.0,46.12,42.44,42.31
2000-01-06,17100.0,44.75,46.0,45.75,44.5
2000-01-07,19700.0,45.06,45.12,44.62,44.0
2000-01-10,45600.0,45.75,46.31,45.31,44.75
2000-01-11,12800.0,44.19,45.88,45.56,44.19
2000-01-12,92500.0,43.0,44.62,44.19,42.62
2000-01-13,18500.0,43.5,44.69,42.88,42.88
2000-01-14,24400.0,45.56,45.56,43.38,43.31
2000-01-18,22500.0,47.06,48.06,46.94,46.38
2000-01-19,27500.0,45.56,47.06,47.06,45.5
2000-01-20,12400.0,43.5,45.56,45.5,43.5
2000-01-21,31000.0,42.0,43.62,43.62,41.81
2000-01-24,33100.0,41.88,42.62,41.38,41.19
2000-01-25,22100.0,42.5,43.56,42.12,41.81
2000-01-26,38900.0,41.75,42.69,42.5,41.38
2000-01-27,33400.0,44.62,44.62,41.81,41.81
2000-01-28,36500.0,45.12,46.81,45.5,45.0
2000-01-31,18000.0,43.25,45.0,44.88,43.06
2000-02-01,50600.0,43.62,43.62,43.5,43.06
2000-02-02,31800.0,43.25,43.88,43.88,43.19
2000-02-03,18100.0,43.0,43.81,43.31,42.81
2000-02-04,13900.0,42.19,43.0,43.0,41.69
2000-02-07,18000.0,42.38,42.75,42.44,41.88
2000-02-08,23100.0,41.88,42.25,42.25,41.25
2000-02-09,38600.0,41.44,42.19,41.94,41.38
2000-02-10,23600.0,41.12,41.88,41.25,40.25
2000-02-11,24400.0,41.44,41.94,41.88,41.06
2000-02-14,17400.0,41.81,42.19,41.44,41.25
2000-02-15,18000.0,42.69,42.94,41.69,41.69
2000-02-16,22100.0,43.0,44.0,43.38,42.81
2000-02-17,19500.0,42.56,43.81,43.25,42.5
2000-02-18,26100.0,40.75,42.0,42.0,39.62
2000-02-22,27900.0,40.12,42.0,42.0,39.81
2000-02-23,41400.0,38.25,39.0,39.0,37.5
2000-02-24,29700.0,39.19,39.56,39.12,38.56
2000-02-25,22800.0,38.5,39.62,39.12,38.19
2000-02-28,26200.0,37.88,38.25,37.5,37.5
2000-02-29,16600.0,38.19,38.38,37.62,37.56
2000-03-01,15900.0,38.75,38.94,38.19,38.19
2000-03-02,10500.0,38.69,38.88,38.69,38.44
2000-03-03,84600.0,39.31,40.12,38.81,38.81
2000-03-06,46900.0,37.75,39.06,39.06,37.62
2000-03-07,51800.0,39.5,39.5,37.88,37.88
2000-03-08,59500.0,40.19,41.0,40.12,39.0
2000-03-09,39800.0,40.0,40.25,40.19,40.0
2000-03-10,38800.0,40.06,40.12,40.06,39.88
2000-03-13,12800.0,40.25,40.81,38.75,38.75
2000-03-14,65400.0,38.81,40.31,40.06,38.25
2000-03-15,20400.0,38.0,38.62,38.62,37.31
2000-03-16,75700.0,39.25,39.25,37.88,37.62
2000-03-17,17600.0,38.25,39.25,39.25,37.62
2000-03-20,12200.0,38.75,38.75,38.06,37.75
2000-03-21,17600.0,38.0,39.12,38.75,38.0
2000-03-22,17800.0,37.0,38.0,37.75,37.0
2000-03-23,38100.0,37.69,38.06,37.75,37.25
2000-03-24,26400.0,38.0,38.19,37.5,37.5
2000-03-27,12300.0,38.5,38.88,38.88,38.38
2000-03-28,14200.0,38.81,39.0,38.62,38.25
2000-03-29,28700.0,40.44,40.5,38.62,38.62
2000-03-30,264500.0,43.75,43.75,40.62,40.31
2000-03-31,25900.0,42.5,43.75,43.5,42.5
2000-04-03,34100.0,44.56,44.62,43.0,43.0
2000-04-04,37500.0,44.06,45.31,44.81,44.0
2000-04-05,43700.0,43.5,44.25,42.5,42.5
2000-04-06,50600.0,43.44,43.5,42.88,42.88
2000-04-07,16400.0,43.38,44.0,43.5,43.06
2000-04-10,7500.0,43.06,43.5,43.5,42.88
2000-04-11,35700.0,43.5,43.5,42.81,41.75
2000-04-12,67300.0,46.25,46.25,43.62,43.62
2000-04-13,10900.0,44.94,46.06,46.0,44.62
2000-04-14,17400.0,44.88,45.88,45.0,44.5
2000-04-17,21800.0,43.0,45.69,45.12,42.62
2000-04-18,55100.0,43.25,43.62,42.88,42.56
2000-04-19,50200.0,42.94,44.0,44.0,42.56
2000-04-20,51400.0,43.31,43.5,42.88,42.88
2000-04-24,19600.0,42.75,42.75,42.5,42.0
2000-04-25,14500.0,42.75,42.88,42.88,42.25
2000-04-26,21800.0,42.62,43.0,43.0,41.62
2000-04-27,29700.0,43.31,43.62,42.88,41.88
2000-04-28,14300.0,42.69,43.75,43.31,42.69
2000-05-01,22400.0,43.88,43.94,42.88,42.06
2000-05-02,10200.0,44.69,44.69,43.62,43.06
2000-05-03,30400.0,44.75,45.0,44.62,44.0
2000-05-04,15900.0,45.31,45.38,45.0,44.88
2000-05-05,8800.0,44.38,45.5,45.5,43.81
2000-05-08,25100.0,44.31,45.12,44.5,44.31
2000-05-09,52800.0,46.12,48.69,44.56,44.38
2000-05-10,28900.0,46.38,47.19,46.38,45.12
2000-05-11,20000.0,48.38,48.38,46.25,46.25
2000-05-12,16000.0,48.25,49.62,48.62,47.94
2000-05-15,12700.0,48.19,48.81,48.25,47.88
2000-05-16,27050.0,23.44,24.5,24.5,23.31
2000-05-17,36900.0,23.94,23.94,23.69,23.12
2000-05-18,10900.0,23.94,24.06,23.75,23.56
2000-05-19,11700.0,23.81,23.88,23.81,23.62
2000-05-22,20400.0,24.94,24.94,23.94,23.88
2000-05-23,122400.0,23.44,24.94,24.94,22.94
2000-05-24,30600.0,23.38,23.94,23.31,23.31
2000-05-25,37700.0,23.19,23.5,23.44,23.06
2000-05-26,7600.0,23.62,23.75,23.19,23.19
2000-05-30,73500.0,23.0,23.88,23.75,23.0
2000-05-31,57800.0,22.94,23.38,23.06,22.5
2000-06-01,172500.0,23.25,23.56,22.81,22.81
2000-06-02,51500.0,23.0,23.88,23.75,23.0
2000-06-05,21600.0,22.19,23.12,23.0,22.12
2000-06-06,49500.0,22.56,22.62,22.31,22.19
2000-06-07,108900.0,22.06,23.25,23.25,21.88
2000-06-08,32400.0,22.44,22.5,22.31,22.31
2000-06-09,13800.0,23.0,23.06,22.31,22.31
2000-06-12,30300.0,23.88,23.88,23.62,23.12
