date,5. volume,4. close,2. high,1. open,3. low
2012-09-20,4901200.0,22.91,23.81,23.4,22.52
2012-09-21,630800.0,23.08,23.4,23.33,22.8
2012-09-24,291500.0,23.03,23.36,23.25,22.89
2012-09-25,252800.0,23.09,23.15,23.0,22.89
2012-09-26,87400.0,23.31,23.38,23.16,22.89
2012-09-27,200300.0,23.4,23.5,23.3,23.1
2012-09-28,90500.0,23.9994,24.1,23.39,23.39
2012-10-01,253200.0,23.9,24.43,24.24,23.62
2012-10-02,77800.0,23.77,24.03,23.9,23.65
2012-10-03,157900.0,23.45,23.99,23.99,23.09
2012-10-04,63600.0,23.84,23.97,23.79,23.4
2012-10-05,173500.0,24.32,25.22,23.86,23.73
2012-10-08,109500.0,23.81,24.49,24.36,23.7
2012-10-09,75000.0,23.81,24.17,23.95,23.53
2012-10-10,105900.0,24.1,24.19,24.0,23.8405
2012-10-11,81000.0,24.32,24.38,24.34,24.171
2012-10-12,498300.0,24.94,25.44,24.49,24.48
2012-10-15,209700.0,25.28,26.0,25.73,25.2
2012-10-16,272700.0,25.26,26.34,25.57,24.91
2012-10-17,176900.0,25.01,25.46,25.4,24.96
2012-10-18,282500.0,25.21,25.56,24.91,24.8067
2012-10-19,337600.0,25.11,25.54,25.35,25.02
2012-10-22,263700.0,25.1,25.505,25.2,25.02
2012-10-23,131400.0,24.9,25.35,25.04,24.81
2012-10-24,242000.0,24.5,25.25,24.9,24.5
2012-10-25,109300.0,24.35,24.95,24.61,24.32
2012-10-26,159900.0,24.4,24.79,24.48,24.21
2012-10-31,188100.0,24.58,25.7,25.24,24.35
2012-11-01,153100.0,24.61,25.25,24.93,24.405
2012-11-02,183400.0,24.08,24.98,24.79,23.9
2012-11-05,181000.0,23.91,24.5,24.25,23.76
2012-11-06,118100.0,23.92,24.275,23.91,23.8
2012-11-07,80600.0,24.22,24.4339,24.13,23.65
2012-11-08,95100.0,24.34,24.64,24.36,24.04
2012-11-09,80100.0,24.76,24.837,24.21,24.1
2012-11-12,159500.0,25.96,25.96,24.97,24.9101
2012-11-13,118400.0,25.31,25.9853,25.7,25.11
2012-11-14,114800.0,24.66,25.44,25.44,24.43
2012-11-15,108900.0,24.15,24.98,24.6,23.79
2012-11-16,74700.0,24.46,25.07,24.15,23.7901
2012-11-19,128300.0,24.41,25.09,24.7,24.18
2012-11-20,84600.0,24.11,24.66,24.5,24.09
2012-11-21,36600.0,24.33,24.4432,24.26,24.095
2012-11-23,27400.0,24.3203,24.43,24.3,24.06
2012-11-26,23300.0,24.23,24.29,24.19,23.95
2012-11-27,34500.0,24.2,24.44,24.27,24.15
2012-11-28,37500.0,24.55,24.75,24.3,24.13
2012-11-29,32100.0,24.49,24.8945,24.75,24.32
2012-11-30,107000.0,24.97,25.28,24.38,24.38
2012-12-03,84400.0,25.25,25.5,25.29,25.02
2012-12-04,205700.0,24.85,25.25,25.15,24.78
2012-12-05,68700.0,25.23,25.4,25.22,24.98
2012-12-06,50100.0,24.75,25.2469,25.18,24.71
2012-12-07,42200.0,24.98,25.17,24.73,24.73
2012-12-10,34400.0,24.85,25.18,25.15,24.85
2012-12-11,44000.0,24.88,25.05,25.0,24.88
2012-12-12,60500.0,24.48,25.3,24.88,24.38
2012-12-13,47300.0,24.49,24.8784,24.44,24.32
2012-12-14,43700.0,24.58,25.0,24.68,24.52
2012-12-17,49500.0,24.9,25.19,24.8,24.72
2012-12-18,43800.0,24.91,25.44,24.95,24.74
2012-12-19,35600.0,25.1,25.32,25.06,24.82
2012-12-20,40800.0,24.97,25.53,24.84,24.84
2012-12-21,96100.0,24.9,25.36,25.03,24.77
2012-12-24,18300.0,25.17,25.29,25.27,24.76
2012-12-26,32900.0,24.93,25.26,25.06,24.85
2012-12-27,79200.0,24.91,25.21,24.91,24.77
2012-12-28,150400.0,24.87,25.1,24.93,24.71
2012-12-31,39500.0,25.16,25.24,24.99,24.87
2013-01-02,82800.0,25.99,26.0,25.42,25.42
2013-01-03,43900.0,26.86,27.0,25.95,25.66
2013-01-04,60700.0,26.76,26.85,26.47,25.98
2013-01-07,36800.0,26.81,26.97,26.78,26.27
2013-01-08,73100.0,27.22,27.47,26.9,26.81
2013-01-09,123100.0,28.3,28.4,27.47,27.18
2013-01-10,74100.0,28.64,28.89,28.27,27.91
2013-01-11,93700.0,28.71,28.986,28.64,28.28
2013-01-14,79200.0,28.79,28.95,28.77,28.05
2013-01-15,31300.0,28.68,28.92,28.46,28.43
2013-01-16,98200.0,29.11,29.2499,28.81,28.74
2013-01-17,90700.0,28.72,30.1186,29.25,28.53
2013-01-18,38500.0,28.97,29.409,28.62,28.62
