date,5. volume,4. close,2. high,1. open,3. low
2001-01-02,0.0,20.0,20.0,20.0,20.0
2001-01-03,0.0,20.0,20.0,20.0,20.0
2001-01-04,0.0,20.0,20.0,20.0,20.0
2001-01-05,0.0,20.0,20.0,20.0,20.0
2001-01-08,0.0,20.0,20.0,20.0,20.0
2001-01-09,0.0,20.0,20.0,20.0,20.0
2001-01-10,0.0,20.0,20.0,20.0,20.0
2001-01-11,0.0,20.0,20.0,20.0,20.0
2001-01-12,1300.0,21.0,21.5,20.0,20.0
2001-01-16,300.0,22.5,22.5,21.5,21.5
2001-01-17,100.0,22.5,22.5,22.5,22.5
2001-01-18,100.0,22.5,22.5,22.5,22.5
2001-01-19,0.0,22.5,22.5,22.5,22.5
2001-01-22,1000.0,22.25,22.25,20.25,20.25
2001-01-23,0.0,22.25,22.25,22.25,22.25
2001-01-24,0.0,22.25,22.25,22.25,22.25
2001-01-25,0.0,22.25,22.25,22.25,22.25
2001-01-26,0.0,22.25,22.25,22.25,22.25
2001-01-29,0.0,22.25,22.25,22.25,22.25
2001-01-30,0.0,22.25,22.25,22.25,22.25
2001-01-31,0.0,22.25,22.25,22.25,22.25
2001-02-01,0.0,22.25,22.25,22.25,22.25
2001-02-02,0.0,22.25,22.25,22.25,22.25
2001-02-05,0.0,22.25,22.25,22.25,22.25
2001-02-06,0.0,22.25,22.25,22.25,22.25
2001-02-07,0.0,22.25,22.25,22.25,22.25
2001-02-08,0.0,22.25,22.25,22.25,22.25
2001-02-09,0.0,22.25,22.25,22.25,22.25
2001-02-12,100.0,22.25,22.25,22.25,22.25
2001-02-13,0.0,22.25,22.25,22.25,22.25
2001-02-14,0.0,22.25,22.25,22.25,22.25
2001-02-15,0.0,22.25,22.25,22.25,22.25
2001-02-16,0.0,22.25,22.25,22.25,22.25
2001-02-20,0.0,22.25,22.25,22.25,22.25
2001-02-21,300.0,21.5,21.5,21.5,21.5
2001-02-22,300.0,22.5,22.5,22.5,22.5
2001-02-23,0.0,22.5,22.5,22.5,22.5
2001-02-26,0.0,22.5,22.5,22.5,22.5
2001-02-27,0.0,22.5,22.5,22.5,22.5
2001-02-28,0.0,22.5,22.5,22.5,22.5
2001-03-01,0.0,22.5,22.5,22.5,22.5
2001-03-02,0.0,22.5,22.5,22.5,22.5
2001-03-05,0.0,22.5,22.5,22.5,22.5
2001-03-06,0.0,22.5,22.5,22.5,22.5
2001-03-07,0.0,22.5,22.5,22.5,22.5
2001-03-08,0.0,22.5,22.5,22.5,22.5
2001-03-09,0.0,22.5,22.5,22.5,22.5
2001-03-12,0.0,22.5,22.5,22.5,22.5
2001-03-13,0.0,22.5,22.5,22.5,22.5
2001-03-14,0.0,22.5,22.5,22.5,22.5
2001-03-15,0.0,22.5,22.5,22.5,22.5
2001-03-16,500.0,22.0,22.0,22.0,22.0
2001-03-19,0.0,22.0,22.0,22.0,22.0
2001-03-20,0.0,22.0,22.0,22.0,22.0
2001-03-21,500.0,21.0,21.0,21.0,21.0
2001-03-22,700.0,22.5,22.5,22.5,22.5
