date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,14000.0,12.88,13.38,13.38,12.62
2000-01-04,29100.0,12.69,12.94,12.88,12.62
2000-01-05,15100.0,13.0,13.06,13.06,12.81
2000-01-06,30800.0,13.62,13.88,13.5,13.5
2000-01-07,45400.0,14.56,14.62,13.62,13.62
2000-01-10,26900.0,14.75,14.94,14.5,14.44
2000-01-11,83200.0,16.25,16.94,14.88,14.88
2000-01-12,24400.0,15.56,16.25,16.25,15.56
2000-01-13,41200.0,14.94,15.62,15.62,14.25
2000-01-14,73300.0,15.19,15.19,14.94,14.88
2000-01-18,9600.0,15.12,15.12,15.06,15.0
2000-01-19,37600.0,15.0,15.0,14.75,14.75
2000-01-20,21400.0,14.75,14.94,14.94,14.62
2000-01-21,19100.0,14.56,14.62,14.62,14.38
2000-01-24,20900.0,14.62,14.69,14.62,14.5
2000-01-25,25600.0,14.56,14.69,14.69,14.5
2000-01-26,15500.0,14.31,14.5,14.5,13.81
2000-01-27,118400.0,14.75,15.12,14.44,14.44
2000-01-28,32100.0,14.56,14.75,14.75,14.5
2000-01-31,43400.0,14.25,14.62,14.62,14.25
2000-02-01,17800.0,14.56,14.56,14.31,14.25
2000-02-02,62900.0,15.0,15.12,14.56,14.56
2000-02-03,37000.0,14.88,15.12,15.12,14.81
2000-02-04,6700.0,14.81,14.88,14.81,14.81
2000-02-07,8900.0,14.88,14.94,14.88,14.81
2000-02-08,31100.0,14.88,14.88,14.88,14.75
2000-02-09,35400.0,14.88,14.94,14.88,14.81
2000-02-10,40300.0,14.25,14.81,14.62,14.25
2000-02-11,30900.0,14.75,14.75,14.25,14.25
2000-02-14,19700.0,14.81,14.88,14.62,14.56
2000-02-15,15600.0,14.75,14.81,14.81,14.69
2000-02-16,12300.0,14.44,14.81,14.75,14.38
2000-02-17,20300.0,14.38,14.59,14.44,14.38
2000-02-18,11600.0,14.44,14.44,14.38,14.25
2000-02-22,7300.0,14.31,14.38,14.38,14.25
2000-02-23,29400.0,14.12,14.5,14.38,14.12
2000-02-24,46700.0,14.06,14.19,14.19,14.0
2000-02-25,24300.0,13.88,14.19,14.06,13.88
2000-02-28,14200.0,14.06,14.06,13.88,13.88
2000-02-29,24600.0,13.62,14.06,14.06,13.44
2000-03-01,127400.0,12.94,13.38,13.38,12.88
2000-03-02,17700.0,12.88,13.0,12.88,12.81
2000-03-03,61200.0,13.06,13.12,12.81,12.69
2000-03-06,26200.0,13.0,13.06,13.0,12.94
2000-03-07,19300.0,13.0,13.06,13.0,13.0
2000-03-08,44300.0,13.0,13.0,13.0,12.94
2000-03-09,22600.0,12.88,13.0,13.0,12.75
2000-03-10,83000.0,12.56,12.75,12.75,12.44
2000-03-13,34300.0,12.56,12.62,12.44,12.38
2000-03-14,11400.0,12.44,12.5,12.5,12.44
2000-03-15,81900.0,12.75,12.75,12.5,12.5
2000-03-16,33800.0,12.69,12.81,12.69,12.69
2000-03-17,35600.0,12.69,12.88,12.69,12.62
2000-03-20,56900.0,12.88,12.88,12.56,12.56
2000-03-21,22100.0,13.06,13.12,12.88,12.81
2000-03-22,22800.0,13.12,13.25,12.94,12.94
2000-03-23,18900.0,13.38,13.75,13.25,13.25
2000-03-24,17000.0,13.38,13.62,13.38,13.38
2000-03-27,30900.0,13.75,13.75,13.38,13.38
2000-03-28,17100.0,13.5,13.69,13.62,13.44
2000-03-29,71400.0,12.81,13.5,13.5,12.81
2000-03-30,45800.0,13.0,13.12,12.88,12.88
2000-03-31,67100.0,12.94,13.06,13.06,12.94
2000-04-03,35800.0,13.31,13.31,12.94,12.94
2000-04-04,72100.0,13.56,13.69,13.31,13.0
2000-04-05,111500.0,14.0,14.06,13.62,13.56
2000-04-06,35300.0,14.31,14.38,13.88,13.88
2000-04-07,22600.0,14.44,14.44,14.38,14.38
2000-04-10,90400.0,14.31,14.44,14.31,14.12
2000-04-11,19400.0,14.38,14.38,14.19,14.0
2000-04-12,28600.0,14.31,14.56,14.38,14.25
2000-04-13,47800.0,14.69,15.06,14.19,14.19
2000-04-14,44500.0,14.5,14.62,14.0,14.0
2000-04-17,34100.0,14.0,14.62,14.62,14.0
2000-04-18,21300.0,14.25,14.25,14.0,14.0
2000-04-19,31900.0,14.19,14.25,14.12,13.88
2000-04-20,62200.0,14.19,14.25,14.25,14.06
2000-04-24,7500.0,14.06,14.12,14.06,14.0
2000-04-25,27300.0,14.88,14.88,14.12,14.12
2000-04-26,62500.0,14.31,14.81,14.75,14.25
2000-04-27,65500.0,14.5,14.5,14.19,14.19
2000-04-28,30400.0,14.56,14.62,14.62,14.31
2000-05-01,7900.0,14.69,14.75,14.5,14.38
2000-05-02,83900.0,14.62,14.69,14.69,14.44
2000-05-03,35400.0,14.94,15.25,14.62,14.62
2000-05-04,132800.0,14.94,14.94,14.75,14.62
2000-05-05,16900.0,15.31,15.31,14.88,14.88
2000-05-08,22100.0,15.12,15.19,15.19,15.0
2000-05-09,39800.0,15.12,15.19,15.12,15.0
2000-05-10,43300.0,14.81,15.06,15.06,14.75
2000-05-11,52900.0,14.81,15.0,15.0,14.75
2000-05-12,22400.0,14.81,14.91,14.81,14.75
2000-05-15,46100.0,15.5,15.69,14.81,14.75
2000-05-16,20200.0,15.38,15.62,15.62,15.38
2000-05-17,29200.0,15.12,15.31,15.12,15.12
2000-05-18,36800.0,14.81,15.0,15.0,14.81
2000-05-19,15600.0,15.12,15.12,14.81,14.81
2000-05-22,2900.0,14.94,15.0,15.0,14.88
2000-05-23,25800.0,14.25,14.88,14.88,14.25
2000-05-24,40600.0,14.12,14.41,14.25,14.06
2000-05-25,40500.0,14.0,14.25,14.19,14.0
2000-05-26,15700.0,14.25,14.38,14.0,14.0
2000-05-30,27400.0,13.69,14.25,14.25,13.69
2000-05-31,40100.0,13.75,14.38,13.69,13.69
2000-06-01,11900.0,13.62,13.75,13.75,13.5
2000-06-02,32400.0,13.69,13.75,13.69,13.62
2000-06-05,12300.0,13.75,13.75,13.69,13.62
