date,5. volume,4. close,2. high,1. open,3. low
2011-07-21,11411000.0,17.0,18.0,17.0,16.78
2011-07-22,1056600.0,17.45,17.85,17.12,16.64
2011-07-25,468700.0,17.65,17.9,17.38,17.26
2011-07-26,172000.0,17.51,17.9,17.83,17.4
2011-07-27,330300.0,17.07,17.8,17.42,17.0
2011-07-28,444200.0,17.0,17.25,17.24,16.65
2011-07-29,148800.0,17.13,17.13,16.75,16.71
2011-08-01,174300.0,17.3,17.77,17.73,16.83
2011-08-02,89000.0,16.8,17.39,17.3,16.75
2011-08-03,428200.0,16.9,17.0,16.95,15.62
2011-08-04,400000.0,15.4,16.65,16.65,15.14
2011-08-05,231700.0,14.87,15.3,15.3,14.55
2011-08-08,448700.0,12.63,14.35,14.25,11.76
2011-08-09,152100.0,12.46,13.13,13.13,12.19
2011-08-10,476900.0,11.7,12.39,12.0,11.55
2011-08-11,1005800.0,12.52,12.74,11.9,11.9
2011-08-12,333200.0,13.99,14.06,14.06,12.59
2011-08-15,230600.0,15.07,15.58,14.48,14.48
2011-08-16,66200.0,14.89,15.03,14.93,14.75
2011-08-17,178000.0,14.81,15.35,15.01,14.63
2011-08-18,184300.0,14.29,14.88,14.49,13.7301
2011-08-19,190700.0,13.94,14.52,14.25,13.93
2011-08-22,31900.0,13.97,14.3,14.2532,13.8
2011-08-23,117300.0,13.98,14.46,13.98,13.9
2011-08-24,35400.0,13.84,14.13,14.05,13.75
2011-08-25,52700.0,13.81,13.98,13.84,13.73
2011-08-26,49300.0,13.9,13.92,13.75,13.66
2011-08-29,230800.0,14.28,14.6,14.6,13.95
2011-08-30,71200.0,13.99,14.44,14.26,13.84
2011-08-31,64400.0,14.16,14.2,14.1,13.93
2011-09-01,128800.0,13.98,14.3,14.07,13.88
2011-09-02,69600.0,13.57,13.95,13.71,13.47
2011-09-06,70100.0,14.18,14.21,13.15,13.15
2011-09-07,143100.0,14.0,14.38,14.38,13.89
2011-09-08,299100.0,13.82,14.02,13.92,13.63
2011-09-09,14600.0,13.96,14.03,13.69,13.68
2011-09-12,18500.0,13.75,14.19,14.19,13.51
2011-09-13,22900.0,13.83,14.03,13.75,13.651
2011-09-14,30200.0,13.72,13.93,13.87,13.63
2011-09-15,149700.0,13.84,14.03,13.85,13.7
2011-09-16,55900.0,13.91,13.94,13.94,13.55
2011-09-19,26800.0,14.02,14.02,13.68,13.65
2011-09-20,76800.0,13.76,14.09,14.01,13.7
2011-09-21,51900.0,13.01,13.7975,13.6,13.01
2011-09-22,37600.0,12.37,12.92,12.75,12.26
2011-09-23,184300.0,11.76,12.1,12.01,11.57
2011-09-26,157700.0,11.47,11.84,11.84,11.34
2011-09-27,501400.0,11.93,12.75,11.6,11.03
2011-09-28,250100.0,11.93,11.96,11.9,11.17
2011-09-29,238400.0,11.56,12.35,12.03,11.34
2011-09-30,1531800.0,11.0,11.63,11.48,10.78
2011-10-03,384300.0,9.9,11.0,10.87,9.58
2011-10-04,232600.0,10.13,10.14,9.79,9.2
2011-10-05,158200.0,10.64,10.89,10.17,10.1
2011-10-06,121000.0,10.49,10.84,10.64,10.251
2011-10-07,209900.0,9.76,10.69,10.51,9.59
2011-10-10,194600.0,10.02,10.13,9.89,9.55
2011-10-11,86200.0,10.26,10.44,9.92,9.89
2011-10-12,137000.0,10.5,10.57,10.34,10.245
2011-10-13,57500.0,11.39,11.53,10.45,10.41
2011-10-14,66900.0,11.62,11.64,11.5,11.42
2011-10-17,78400.0,11.41,11.64,11.64,11.3
2011-10-18,137700.0,11.47,12.27,11.4,11.08
2011-10-19,339300.0,11.15,11.53,11.42,10.965
2011-10-20,33800.0,10.96,11.14,11.14,10.81
2011-10-21,85800.0,11.7,11.71,11.2,11.15
2011-10-24,97800.0,11.75,12.0499,11.75,11.61
2011-10-25,57400.0,11.42,11.99,11.7,11.42
2011-10-26,127900.0,11.65,11.77,11.65,11.31
2011-10-27,145500.0,12.25,12.95,12.08,12.04
2011-10-28,56600.0,12.96,13.11,12.67,12.61
2011-10-31,71900.0,12.62,13.06,12.72,12.56
2011-11-01,170600.0,11.79,12.23,12.2,11.465
2011-11-02,93700.0,12.08,12.33,11.97,11.79
2011-11-03,140100.0,12.0,12.26,12.24,11.87
2011-11-04,77900.0,12.03,12.11,11.87,11.79
2011-11-07,68100.0,11.79,12.05,12.05,11.73
2011-11-08,336500.0,12.18,12.27,11.85,11.76
2011-11-09,82200.0,11.08,12.2,11.83,11.07
2011-11-10,71200.0,11.12,11.34,11.25,10.85
2011-11-11,81300.0,11.63,12.1,11.25,11.25
2011-11-14,79200.0,11.0,11.67,11.65,10.92
2011-11-15,115300.0,10.92,11.15,11.0,10.6
2011-11-16,157500.0,10.45,10.95,10.79,10.4
2011-11-17,170500.0,10.58,10.83,10.43,10.43
2011-11-18,178100.0,10.52,10.73,10.58,10.18
2011-11-21,64000.0,10.56,10.6,10.36,10.12
2011-11-22,160800.0,11.18,11.24,10.61,10.56
2011-11-23,97400.0,10.99,11.11,11.09,10.86
2011-11-25,39500.0,10.57,10.91,10.91,10.5
2011-11-28,180800.0,11.54,11.9,10.98,10.96
2011-11-29,256000.0,11.42,11.52,11.52,11.22
2011-11-30,113400.0,11.54,12.038,11.85,11.31
2011-12-01,698600.0,10.95,16.0,12.6,10.485
2011-12-02,559100.0,10.72,11.07,11.07,10.57
2011-12-05,134000.0,10.69,10.92,10.88,10.65
2011-12-06,133700.0,10.59,10.68,10.63,10.35
2011-12-07,320700.0,10.95,11.02,10.53,10.53
2011-12-08,372500.0,10.99,11.33,11.31,10.8501
2011-12-09,486600.0,10.8,11.0,10.97,10.57
2011-12-12,105900.0,10.84,10.86,10.67,10.46
2011-12-13,88100.0,10.61,10.99,10.99,10.61
2011-12-14,328100.0,11.02,11.05,10.57,10.34
2011-12-15,125500.0,11.18,11.22,11.1,10.98
2011-12-16,412300.0,11.49,12.29,12.02,11.08
2011-12-19,89400.0,11.23,11.5,11.46,10.99
2011-12-20,129900.0,11.67,11.73,11.49,11.18
2011-12-21,88100.0,11.45,11.61,11.61,11.2
2011-12-22,235600.0,11.59,11.64,11.48,10.82
2011-12-23,42200.0,11.51,11.75,11.66,11.39
2011-12-27,33200.0,11.52,11.52,11.41,11.25
2011-12-28,165000.0,11.31,11.88,11.5,11.06
2011-12-29,43700.0,11.18,11.42,11.38,11.09
2011-12-30,102500.0,11.2,11.23,11.16,10.865
2012-01-03,164600.0,11.47,11.55,11.45,11.14
2012-01-04,174100.0,11.62,11.85,11.44,11.25
2012-01-05,282600.0,11.72,11.8,11.51,11.28
2012-01-06,505800.0,11.7,12.25,11.75,11.25
2012-01-09,385000.0,11.73,11.9,11.77,11.01
