date,5. volume,4. close,2. high,1. open,3. low
2016-06-30,880253.0,18.15,19.8,15.0,14.58
2016-07-01,256401.0,19.35,21.5,20.36,18.5
2016-07-05,56293.0,18.21,19.98,19.25,17.258
2016-07-06,108177.0,18.0,19.3,17.845,17.75
2016-07-07,63275.0,17.28,18.6,18.54,16.372
2016-07-08,254879.0,15.8,17.3599,17.06,15.61
2016-07-11,34939.0,15.97,17.027,15.75,15.71
2016-07-12,18367.0,16.17,16.6,16.01,16.01
2016-07-13,44962.0,16.0,16.82,16.82,15.75
2016-07-14,50829.0,15.45,16.59,16.59,15.15
2016-07-15,57112.0,15.0,15.17,15.17,14.27
2016-07-18,273825.0,12.72,15.0,14.43,12.51
2016-07-19,85698.0,12.09,13.28,12.5,11.64
2016-07-20,15730.0,12.4,12.6093,12.0,12.0
2016-07-21,29159.0,11.25,12.25,12.25,11.07
2016-07-22,10342.0,11.45,11.7,11.7,11.1001
2016-07-25,56817.0,12.31,12.7,11.98,11.501
2016-07-26,22703.0,12.33,12.8,12.72,12.25
2016-07-27,43140.0,12.02,12.8,12.44,12.0
2016-07-28,14271.0,11.98,12.459,12.03,11.98
2016-07-29,6143.0,11.58,12.57,11.98,11.37
2016-08-01,16551.0,11.29,11.88,11.74,11.14
2016-08-02,95619.0,10.8492,11.25,11.128,9.73
2016-08-03,11260.0,10.5,10.9131,10.81,10.35
2016-08-04,27199.0,10.3,10.939,10.451,10.25
2016-08-05,26880.0,10.15,10.53,10.489,10.115
2016-08-08,42885.0,9.39,10.2989,10.13,8.42
2016-08-09,57227.0,9.69,9.89,9.25,8.16
2016-08-10,10698.0,8.96,9.7,9.7,8.623
2016-08-11,19449.0,8.755,9.55,8.86,8.6
2016-08-12,16573.0,8.51,9.0,8.85,8.472
2016-08-15,20675.0,9.0,9.0,8.99,8.5
2016-08-16,400857.0,12.25,12.9573,9.1699,8.85
2016-08-17,67189.0,11.66,12.4999,12.0,11.3703
2016-08-18,27880.0,11.1,11.66,11.66,10.5
2016-08-19,33609.0,11.38,11.5525,10.75,10.7039
2016-08-22,16491.0,11.325,11.67,11.44,10.62
2016-08-23,24433.0,11.5,11.69,11.33,10.85
2016-08-24,39299.0,11.51,11.72,11.72,10.915
2016-08-25,11323.0,11.7,11.82,11.36,11.36
2016-08-26,7589.0,11.75,12.0,11.95,11.461
2016-08-29,34920.0,11.7,11.99,11.74,11.15
2016-08-30,491408.0,13.55,15.56,12.01,11.99
2016-08-31,156697.0,13.7,14.8,13.82,12.37
2016-09-01,27375.0,12.8599,14.47,13.78,12.66
2016-09-02,8430.0,12.658,13.0275,12.9,12.5
2016-09-06,36278.0,12.55,12.76,12.44,11.65
2016-09-07,14931.0,12.98,13.0,12.36,11.77
2016-09-08,17836.0,12.87,12.99,12.97,12.53
2016-09-09,21577.0,13.13,13.1505,12.8,12.0
2016-09-12,16496.0,12.95,13.15,13.13,12.21
2016-09-13,35219.0,12.6,12.98,12.605,12.01
2016-09-14,27702.0,12.8,12.84,12.455,12.16
2016-09-15,25808.0,12.59,13.0848,12.77,12.375
2016-09-16,96295.0,12.17,12.85,12.29,11.77
2016-09-19,57995.0,13.4,13.4,12.24,11.6564
2016-09-20,24407.0,13.25,13.49,13.22,12.565
2016-09-21,23582.0,13.25,13.45,13.05,12.82
2016-09-22,14978.0,13.23,13.33,13.148,12.84
2016-09-23,19968.0,13.22,13.855,13.32,12.55
2016-09-26,102937.0,13.3,13.4,12.99,12.71
2016-09-27,21283.0,13.3,13.72,13.18,12.71
2016-09-28,30209.0,13.55,13.6,13.28,13.1
