date,5. volume,4. close,2. high,1. open,3. low
2011-05-10,133747.0,25.19,25.19,25.1,25.066
2011-05-11,78758.0,25.0,25.0,24.98,24.8
2011-05-12,54016.0,25.05,25.15,25.0,24.91
2011-05-13,23628.0,24.9901,25.13,25.13,24.97
2011-05-16,19537.0,25.13,25.13,25.1,25.0301
2011-05-17,32334.0,25.06,25.14,25.08,25.03
2011-05-18,47643.0,25.12,25.18,25.18,24.98
2011-05-19,25259.0,25.2,25.2,25.12,25.09
2011-05-20,16960.0,25.16,25.2,25.17,25.061
2011-05-23,17849.0,25.09,25.2,25.19,25.05
2011-05-24,41600.0,24.98,25.2,25.2,24.91
2011-05-25,44400.0,25.19,25.2,24.99,24.91
2011-05-26,29643.0,25.14,25.19,25.19,25.01
2011-05-27,16705.0,25.13,25.13,25.13,25.04
2011-05-31,40224.0,24.97,25.19,25.19,24.8501
2011-06-01,22578.0,24.94,24.99,24.98,24.9022
2011-06-02,16981.0,24.93,24.96,24.96,24.85
2011-06-03,20197.0,24.98,24.99,24.92,24.89
2011-06-06,24184.0,25.06,25.12,24.97,24.97
2011-06-07,23111.0,25.07,25.15,25.11,25.01
2011-06-08,31132.0,24.94,25.16,25.16,24.94
2011-06-09,20004.0,25.02,25.08,25.0,24.9523
2011-06-10,22708.0,25.17,25.19,25.1,24.89
2011-06-13,33971.0,25.28,25.29,25.13,25.03
2011-06-14,28891.0,24.98,25.25,25.25,24.94
2011-06-15,50419.0,25.0,25.07,24.92,24.841
2011-06-16,22473.0,24.93,25.08,25.07,24.93
2011-06-17,17477.0,25.18,25.18,25.13,24.98
2011-06-20,20388.0,25.1899,25.2,25.2,25.03
2011-06-21,23442.0,25.11,25.3,25.05,25.05
2011-06-22,43390.0,25.0,25.2,25.17,24.94
2011-06-23,31239.0,25.0358,25.0358,25.0,24.91
2011-06-24,45251.0,25.08,25.09,25.08,24.99
2011-06-27,24775.0,25.05,25.09,25.06,24.975
2011-06-28,31838.0,25.2,25.2299,25.09,25.05
2011-06-29,15213.0,25.2,25.22,25.2,25.121
2011-06-30,39027.0,25.16,25.201,25.13,25.06
2011-07-01,13515.0,25.13,25.18,25.13,25.06
2011-07-05,16253.0,25.25,25.25,25.17,25.12
