date,5. volume,4. close,2. high,1. open,3. low
2015-06-26,1615953.0,20.0,20.03,20.0,20.0
2015-06-29,101881.0,20.0,20.25,20.0,20.0
2015-06-30,81110.0,20.0102,20.2,20.0,20.0
2015-07-01,37811.0,20.0,20.02,20.02,20.0
2015-07-02,89807.0,20.0,20.01,20.01,20.0
2015-07-06,78371.0,20.0,20.01,20.01,20.0
2015-07-07,150993.0,20.01,20.03,20.0,20.0
2015-07-08,53211.0,20.0,20.13,20.13,19.95
2015-07-09,21686.0,20.0182,20.03,20.03,20.01
2015-07-10,54041.0,20.0141,20.1,20.1,20.0
2015-07-13,30773.0,20.0472,20.07,20.06,20.0
2015-07-14,68369.0,20.0,20.05,20.01,20.0
2015-07-15,53942.0,20.0001,20.034,20.03,20.0
2015-07-16,48743.0,20.01,20.02,20.02,20.0
2015-07-17,103251.0,20.01,20.02,20.02,20.0
2015-07-20,38126.0,20.0,20.04,20.01,20.0
2015-07-21,68218.0,20.01,20.01,20.0,20.0
2015-07-22,95213.0,20.0,20.01,20.0,20.0
2015-07-23,130816.0,20.01,20.01,20.0,20.0
2015-07-24,234198.0,20.0,20.012,20.01,20.0
2015-07-27,96487.0,20.0,20.01,20.0,20.0
2015-07-28,107947.0,20.0,20.024,20.02,20.0
2015-07-29,82592.0,20.0,20.25,20.25,20.0
2015-07-30,79419.0,20.0,20.01,20.0001,20.0
2015-07-31,78806.0,20.0,20.04,20.01,20.0
2015-08-03,569860.0,20.0,20.01,20.0,20.0
2015-08-04,339211.0,20.0,20.01,20.0,20.0
2015-08-05,132870.0,20.0,20.01,20.01,20.0
2015-08-06,279400.0,20.0,20.02,20.0,20.0
2015-08-07,418936.0,20.0,20.01,20.0,20.0
2015-08-10,387549.0,18.97,19.84,19.84,18.84
2015-08-11,174218.0,18.93,19.2,18.88,18.76
2015-08-12,105606.0,18.86,18.9436,18.8,18.78
2015-08-13,67221.0,18.67,18.895,18.85,18.6301
2015-08-14,116852.0,18.485,18.7,18.58,18.41
2015-08-17,114650.0,18.3899,18.58,18.57,18.31
2015-08-18,207315.0,18.3664,18.5,18.21,18.16
2015-08-19,81973.0,18.28,18.39,18.22,18.11
2015-08-20,105395.0,17.8799,18.2482,18.23,17.66
2015-08-21,213451.0,16.9,17.77,17.77,16.87
2015-08-24,254598.0,15.92,16.78,15.9184,14.12
2015-08-25,188890.0,16.78,16.848,16.16,16.16
2015-08-26,236951.0,16.832,16.9,16.78,16.17
2015-08-27,201937.0,17.7,17.75,17.34,16.98
2015-08-28,116448.0,17.56,17.66,17.6,17.31
2015-08-31,128624.0,17.49,17.9,17.63,17.261
2015-09-01,109096.0,17.06,17.45,17.24,17.0
2015-09-02,60071.0,17.06,17.5,17.16,17.05
2015-09-03,94550.0,17.41,17.449,17.15,17.15
2015-09-04,36064.0,17.4,17.4793,17.31,17.26
2015-09-08,96103.0,17.52,17.7929,17.61,17.3501
2015-09-09,199048.0,17.09,17.99,17.99,17.02
2015-09-10,86365.0,17.05,17.1861,17.0,16.913
2015-09-11,67626.0,16.71,17.1,16.85,16.67
2015-09-14,114216.0,16.57,16.96,16.96,16.4
2015-09-15,158975.0,16.95,16.95,16.81,16.22
2015-09-16,202428.0,16.8,17.06,17.06,16.55
2015-09-17,218910.0,16.66,17.29,16.85,16.5901
2015-09-18,127406.0,16.5,16.6,16.4,16.22
2015-09-21,123813.0,16.44,16.7699,16.63,16.4101
2015-09-22,135366.0,16.19,16.4801,16.34,16.13
2015-09-23,89887.0,16.23,16.3999,16.07,15.88
2015-09-24,248254.0,15.66,15.9499,15.94,15.35
2015-09-25,133645.0,15.38,15.9,15.89,15.375
2015-09-28,226491.0,14.17,15.2,14.97,14.17
2015-09-29,364651.0,14.5,14.91,14.18,13.88
2015-09-30,312663.0,14.38,15.49,15.49,14.15
2015-10-01,233418.0,14.5899,14.715,14.4,14.3
2015-10-02,153174.0,14.83,14.8399,14.1,14.1
2015-10-05,189901.0,14.86,15.18,15.18,14.7
2015-10-06,168261.0,14.87,15.08,14.94,14.54
2015-10-07,161448.0,15.21,15.21,14.87,14.7601
2015-10-08,118835.0,15.315,15.37,15.28,14.94
2015-10-09,87943.0,15.363,15.47,15.42,15.25
2015-10-12,120485.0,15.26,15.446,15.33,15.1
2015-10-13,115092.0,15.32,15.4599,15.16,15.112
2015-10-14,98360.0,15.43,15.51,15.3,15.3
2015-10-15,203154.0,15.42,15.48,15.25,15.17
2015-10-16,76204.0,15.49,15.51,15.44,15.2901
2015-10-19,108290.0,15.85,15.88,15.49,15.45
2015-10-20,169694.0,16.09,16.23,15.98,15.9
2015-10-21,101928.0,16.164,16.36,16.36,15.9694
2015-10-22,113137.0,16.09,16.29,16.22,15.98
2015-10-23,156767.0,16.0,16.17,16.15,15.78
2015-10-26,220475.0,15.7,16.06,15.76,15.65
2015-10-27,184595.0,15.77,15.84,15.77,15.68
2015-10-28,174957.0,15.7533,15.76,15.67,15.6256
2015-10-29,166971.0,15.888,15.91,15.77,15.7257
2015-10-30,255714.0,15.67,16.13,16.13,15.6135
2015-11-02,148399.0,16.05,16.08,15.82,15.7666
2015-11-03,176528.0,15.94,16.05,15.7,15.7
2015-11-04,142339.0,16.02,16.09,16.09,15.9
2015-11-05,116093.0,15.98,16.11,16.0,15.88
2015-11-06,107178.0,16.05,16.08,15.98,15.81
2015-11-09,80624.0,15.92,16.06,16.06,15.8744
2015-11-10,97487.0,15.94,15.98,15.95,15.85
2015-11-11,89329.0,15.8897,16.0,15.91,15.86
2015-11-12,113481.0,15.73,15.9,15.85,15.68
2015-11-13,205881.0,15.7,15.88,15.773,15.7
2015-11-16,186807.0,15.6577,15.7399,15.62,15.45
2015-11-17,191104.0,15.47,15.8,15.53,15.44
2015-11-18,158513.0,15.76,15.785,15.65,15.34
2015-11-19,152612.0,15.57,15.7443,15.69,15.56
2015-11-20,283941.0,15.42,15.69,15.65,15.39
2015-11-23,212618.0,15.31,15.472,15.08,15.08
2015-11-24,213546.0,15.18,15.33,15.3,15.15
2015-11-25,178689.0,15.26,15.342,15.25,15.136
2015-11-27,33079.0,15.47,15.4799,15.36,15.35
2015-11-30,241096.0,15.45,15.64,15.64,15.3
2015-12-01,157895.0,15.7,15.75,15.56,15.5
2015-12-02,194807.0,15.82,15.87,15.7,15.7
2015-12-03,190997.0,15.7,15.85,15.78,15.59
2015-12-04,179056.0,15.77,15.8762,15.77,15.65
2015-12-07,265110.0,15.34,15.74,15.61,15.16
2015-12-08,135969.0,15.33,15.37,15.08,15.08
2015-12-09,152295.0,15.42,15.4648,15.35,15.27
2015-12-10,170693.0,15.31,15.4999,15.34,15.2301
2015-12-11,143657.0,15.0,15.2825,15.27,14.98
2015-12-14,130139.0,14.88,15.1031,14.98,14.88
2015-12-15,281305.0,15.02,15.1,14.91,14.88
2015-12-16,274611.0,15.38,15.42,15.02,15.02
2015-12-17,342106.0,15.31,15.64,15.4,15.25
2015-12-18,200670.0,15.289,15.37,15.36,15.1557
2015-12-21,266154.0,15.28,15.43,15.43,15.26
2015-12-22,590774.0,15.56,15.64,15.15,15.15
2015-12-23,329596.0,15.74,15.89,15.56,15.55
2015-12-24,80845.0,15.82,15.8699,15.8,15.74
2015-12-28,429437.0,15.61,15.85,15.75,15.56
2015-12-29,536238.0,15.77,15.8199,15.77,15.6
2015-12-30,308759.0,15.7,15.83,15.78,15.62
2015-12-31,407602.0,15.83,15.95,15.63,15.63
2016-01-04,245166.0,15.7,15.7142,15.68,15.52
2016-01-05,173086.0,15.85,15.86,15.72,15.63
2016-01-06,144862.0,15.6002,15.76,15.55,15.54
2016-01-07,331180.0,15.1,15.55,15.5,15.07
2016-01-08,127232.0,15.0165,15.25,15.19,15.0
2016-01-11,206047.0,14.66,15.05,15.05,14.5
2016-01-12,149692.0,14.69,14.8717,14.76,14.3
2016-01-13,217440.0,13.91,14.76,14.7,13.87
2016-01-14,177233.0,14.1,14.22,13.94,13.7
2016-01-15,166595.0,13.74,13.92,13.7,13.49
2016-01-19,199891.0,13.56,13.94,13.7,13.37
2016-01-20,379315.0,13.17,13.36,13.33,12.61
2016-01-21,254319.0,13.27,13.5,13.1,13.0001
2016-01-22,178316.0,13.85,13.88,13.47,13.46
2016-01-25,128180.0,13.6,13.88,13.76,13.56
2016-01-26,143011.0,13.76,13.8,13.59,13.53
2016-01-27,99191.0,13.6,13.88,13.82,13.6
2016-01-28,154716.0,13.4,13.71,13.71,13.3
2016-01-29,138629.0,13.6,13.68,13.59,13.41
2016-02-01,101021.0,13.82,13.82,13.47,13.47
2016-02-02,138224.0,13.62,13.7399,13.65,13.565
2016-02-03,153735.0,13.53,13.71,13.7,13.4
2016-02-04,122015.0,13.55,13.63,13.47,13.41
2016-02-05,77001.0,13.19,13.58,13.58,13.17
2016-02-08,168907.0,12.76,13.0866,12.94,12.67
2016-02-09,161429.0,12.67,12.91,12.53,12.53
2016-02-10,157415.0,12.53,12.81,12.7,12.53
2016-02-11,221917.0,12.2,12.4,12.24,12.17
