date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,179700.0,5.5,6.0,5.969,5.5
2000-01-04,96300.0,4.813,5.5,5.25,4.813
2000-01-05,107100.0,5.063,5.188,4.969,4.875
2000-01-06,149400.0,4.75,5.125,5.0,4.75
2000-01-07,69100.0,5.0,5.063,5.0,4.875
2000-01-10,168400.0,5.031,5.25,5.125,5.0
2000-01-11,202800.0,5.0,5.094,5.063,5.0
2000-01-12,59200.0,4.906,5.063,5.0,4.875
2000-01-13,162100.0,5.0,5.125,5.0,4.875
2000-01-14,105000.0,5.063,5.063,5.031,5.0
2000-01-18,111900.0,4.75,5.0,5.0,4.75
2000-01-19,51900.0,4.875,4.938,4.906,4.813
2000-01-20,99800.0,4.875,5.0,4.875,4.844
2000-01-21,168500.0,4.844,4.969,4.859,4.813
2000-01-24,143400.0,4.938,5.0,4.813,4.75
2000-01-25,131800.0,4.813,4.938,4.875,4.563
2000-01-26,62200.0,4.781,4.906,4.781,4.625
2000-01-27,117600.0,4.734,4.938,4.75,4.5
2000-01-28,89700.0,4.844,4.938,4.938,4.688
2000-01-31,69900.0,4.875,4.938,4.938,4.75
2000-02-01,173500.0,5.063,5.219,4.875,4.813
2000-02-02,129500.0,4.875,5.188,5.125,4.75
2000-02-03,173900.0,4.875,5.0,4.938,4.781
2000-02-04,99900.0,4.875,4.891,4.891,4.813
2000-02-07,112100.0,4.875,4.938,4.906,4.75
2000-02-08,234400.0,4.5,4.938,4.875,4.5
2000-02-09,92300.0,4.531,4.688,4.5,4.5
2000-02-10,117600.0,4.5,4.719,4.625,4.5
2000-02-11,136000.0,4.5,4.688,4.625,4.438
2000-02-14,82200.0,4.406,4.625,4.531,4.375
2000-02-15,148600.0,4.531,4.625,4.406,4.375
2000-02-16,97600.0,4.469,4.625,4.5,4.438
2000-02-17,40900.0,4.5,4.563,4.563,4.438
2000-02-18,90100.0,4.25,4.563,4.5,4.25
2000-02-22,163100.0,4.563,4.563,4.375,4.25
2000-02-23,100900.0,4.12,4.62,4.53,4.12
2000-02-24,248900.0,4.438,4.563,4.094,4.094
2000-02-25,458500.0,4.375,4.625,4.563,4.375
2000-02-28,328100.0,4.25,4.625,4.5,4.25
2000-02-29,247300.0,4.5,4.563,4.25,4.25
2000-03-01,113700.0,4.438,4.563,4.438,4.375
2000-03-02,85600.0,4.563,4.563,4.5,4.438
2000-03-03,170700.0,4.438,4.563,4.5,4.438
2000-03-06,79900.0,4.375,4.563,4.563,4.313
2000-03-07,124600.0,4.438,4.563,4.5,4.313
2000-03-08,94700.0,4.344,4.438,4.438,4.25
2000-03-09,94000.0,4.375,4.375,4.328,4.313
2000-03-10,55700.0,4.25,4.375,4.375,4.25
2000-03-13,142500.0,4.375,4.438,4.25,4.188
2000-03-14,73500.0,4.313,4.438,4.25,4.25
2000-03-15,246700.0,4.406,4.5,4.375,4.281
2000-03-16,332600.0,4.5,4.625,4.375,4.375
2000-03-17,180800.0,4.438,4.625,4.391,4.375
2000-03-20,73900.0,4.281,4.563,4.563,4.281
2000-03-21,154500.0,4.516,4.563,4.219,4.188
2000-03-22,206500.0,4.375,4.563,4.375,4.375
2000-03-23,136700.0,4.5,4.563,4.375,4.375
2000-03-24,702700.0,4.06,4.38,4.38,3.94
2000-03-27,268100.0,4.0,4.25,4.094,4.0
2000-03-28,236700.0,4.25,4.375,4.125,4.063
2000-03-29,110700.0,4.125,4.375,4.25,4.125
2000-03-30,144000.0,4.25,4.313,4.125,4.125
2000-03-31,393100.0,4.25,4.375,4.375,4.125
2000-04-03,422500.0,4.0,4.188,4.125,3.938
2000-04-04,416600.0,3.969,4.156,3.938,3.875
2000-04-05,350500.0,4.125,4.25,3.969,3.969
2000-04-06,62300.0,4.125,4.25,4.125,4.125
2000-04-07,136200.0,4.125,4.188,4.125,4.063
2000-04-10,87400.0,4.188,4.375,4.063,4.063
2000-04-11,21200.0,4.125,4.188,4.188,4.125
2000-04-12,71400.0,4.0,4.188,4.125,4.0
2000-04-13,85500.0,4.063,4.156,4.0,4.0
2000-04-14,166700.0,4.0,4.125,4.0,3.875
2000-04-17,180700.0,3.688,4.0,3.813,3.5
2000-04-18,117900.0,3.813,4.0,3.813,3.563
2000-04-19,93500.0,3.813,3.813,3.813,3.688
2000-04-20,368600.0,3.813,3.813,3.813,3.625
2000-04-24,217600.0,3.719,3.875,3.813,3.656
2000-04-25,314700.0,4.063,4.063,3.813,3.781
2000-04-26,129900.0,3.625,4.063,4.016,3.625
2000-04-27,225100.0,3.688,3.813,3.688,3.594
2000-04-28,203700.0,3.625,3.75,3.656,3.594
2000-05-01,126100.0,3.688,3.688,3.656,3.594
2000-05-02,45400.0,3.594,3.75,3.688,3.563
2000-05-03,61700.0,3.563,3.688,3.688,3.5
2000-05-04,126500.0,3.5,3.688,3.641,3.5
2000-05-05,144800.0,3.5,3.594,3.594,3.313
2000-05-08,303400.0,3.594,3.625,3.5,3.25
2000-05-09,811900.0,3.5,3.75,3.656,3.313
2000-05-10,330700.0,3.094,3.5,3.5,3.063
2000-05-11,75900.0,3.375,3.375,3.313,3.25
2000-05-12,52400.0,3.25,3.5,3.313,3.125
2000-05-15,466700.0,3.188,3.563,3.375,3.188
2000-05-16,283400.0,3.688,3.75,3.375,3.25
2000-05-17,57000.0,3.438,3.75,3.688,3.438
2000-05-18,120800.0,3.313,3.531,3.531,3.313
2000-05-19,104800.0,3.625,3.625,3.5,3.344
2000-05-22,113300.0,3.625,3.688,3.5,3.25
2000-05-23,1286200.0,4.0,4.188,3.531,3.5
2000-05-24,93900.0,4.0,4.25,3.969,3.875
2000-05-25,88200.0,4.375,4.5,4.25,4.188
2000-05-26,63100.0,4.313,4.5,4.5,4.188
2000-05-30,63200.0,4.25,4.375,4.375,4.125
2000-05-31,127600.0,4.688,4.75,4.375,4.375
2000-06-01,197900.0,4.25,4.75,4.688,4.063
2000-06-02,126100.0,4.125,4.75,4.625,4.125
2000-06-05,211900.0,3.875,4.5,4.313,3.875
2000-06-06,35100.0,3.875,4.188,3.875,3.875
2000-06-07,101900.0,3.813,4.125,4.063,3.531
2000-06-08,209700.0,3.75,3.813,3.813,3.656
2000-06-09,69600.0,3.75,3.813,3.719,3.688
2000-06-12,89300.0,3.75,3.813,3.781,3.75
2000-06-13,129300.0,3.75,3.875,3.781,3.688
2000-06-14,632600.0,3.75,3.938,3.813,3.719
2000-06-15,348600.0,3.813,3.875,3.688,3.688
2000-06-16,192500.0,3.656,4.094,3.844,3.625
2000-06-19,50200.0,3.844,3.938,3.875,3.531
2000-06-20,93800.0,4.125,4.188,4.031,3.938
2000-06-21,73600.0,3.969,4.125,4.0,3.875
2000-06-22,92000.0,4.0,4.188,4.125,3.813
2000-06-23,76300.0,3.656,4.047,3.875,3.656
2000-06-26,185600.0,3.75,3.938,3.875,3.5
2000-06-27,219500.0,4.063,4.125,4.0,3.906
2000-06-28,199700.0,4.125,4.125,4.125,4.0
2000-06-29,319800.0,3.313,4.25,4.125,3.25
2000-06-30,418300.0,3.813,4.0,3.563,3.438
2000-07-03,68600.0,3.938,4.125,3.906,3.875
2000-07-05,63700.0,4.0,4.125,3.906,3.813
2000-07-06,90600.0,4.0,4.063,4.0,3.938
2000-07-07,170100.0,4.063,4.063,4.0,3.875
2000-07-10,78600.0,4.25,4.25,3.969,3.813
2000-07-11,58700.0,4.25,4.5,4.0,4.0
2000-07-12,95100.0,4.5,4.5,4.5,4.25
2000-07-13,273900.0,4.875,4.875,4.688,4.5
2000-07-14,403700.0,5.125,5.375,5.0,4.875
2000-07-17,148700.0,5.25,5.5,5.156,4.75
2000-07-18,132300.0,4.75,5.25,5.234,4.75
2000-07-19,135700.0,4.5,5.0,4.969,4.438
2000-07-20,82700.0,4.75,4.75,4.375,4.375
2000-07-21,35500.0,4.625,5.0,4.813,4.625
2000-07-24,31600.0,4.75,4.906,4.844,4.75
2000-07-25,92500.0,4.813,5.125,4.891,4.25
2000-07-26,52200.0,5.0,5.375,4.75,4.75
2000-07-27,172400.0,4.813,5.125,4.969,4.781
2000-07-28,56400.0,4.906,5.063,5.0,4.75
2000-07-31,97500.0,5.125,5.125,5.0,4.875
2000-08-01,62300.0,5.063,5.125,5.0,4.938
