date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,386800.0,66.5,68.12,68.0,66.38
2000-01-04,543100.0,64.56,66.0,65.75,64.5
2000-01-05,531900.0,64.56,65.06,64.56,64.06
2000-01-06,1232600.0,63.12,63.88,63.88,62.44
2000-01-07,1360100.0,62.94,63.0,62.94,61.12
2000-01-10,360300.0,62.25,63.0,62.94,62.12
2000-01-11,455200.0,62.75,62.88,61.88,61.62
2000-01-12,397000.0,61.75,62.38,62.25,61.31
2000-01-13,398900.0,61.25,61.75,61.56,61.12
2000-01-14,276900.0,62.12,62.88,62.5,61.62
2000-01-18,668000.0,63.0,63.75,61.94,61.56
2000-01-19,514400.0,64.12,65.0,65.0,63.81
2000-01-20,516400.0,65.5,66.06,65.62,64.75
2000-01-21,639000.0,66.19,66.81,66.56,66.0
2000-01-24,344000.0,67.0,68.5,68.25,67.0
2000-01-25,739100.0,66.06,67.44,67.25,65.94
2000-01-26,138200.0,65.0,66.75,66.5,64.88
2000-01-27,589500.0,63.56,65.62,64.25,63.5
2000-01-28,843800.0,62.06,63.88,63.5,61.31
2000-01-31,877800.0,62.25,62.81,62.31,61.75
2000-02-01,592100.0,64.06,64.12,62.25,62.06
2000-02-02,448800.0,64.62,65.62,64.38,64.25
2000-02-03,567100.0,65.81,66.06,65.0,64.62
2000-02-04,565600.0,65.56,67.5,66.88,65.5
2000-02-07,270000.0,66.5,67.62,67.56,65.94
2000-02-08,1069900.0,70.0,71.94,71.75,69.69
2000-02-09,919800.0,71.5,72.94,72.5,71.44
2000-02-10,626600.0,70.19,70.44,69.75,69.06
2000-02-11,611700.0,66.62,67.94,67.38,65.88
2000-02-14,343800.0,66.44,66.69,65.25,65.06
2000-02-15,872600.0,68.75,68.94,67.56,67.0
2000-02-16,359100.0,69.75,70.5,70.5,69.69
2000-02-17,304400.0,70.62,71.56,71.0,70.06
2000-02-18,284900.0,69.0,69.94,69.5,68.88
2000-02-22,533600.0,69.31,69.5,68.0,67.81
2000-02-23,244900.0,67.62,68.12,66.94,66.5
2000-02-24,538600.0,67.5,67.5,67.0,66.25
2000-02-25,524000.0,67.75,68.25,67.25,67.19
2000-02-28,1422500.0,67.0,67.12,65.94,65.88
2000-02-29,644800.0,67.12,67.25,67.12,66.06
2000-03-01,451300.0,68.56,68.75,66.38,66.0
2000-03-02,725800.0,67.56,67.81,65.75,65.69
