date,5. volume,4. close,2. high,1. open,3. low
2009-07-29,410350.0,20.0,20.02,20.0,20.0
2009-07-30,104700.0,20.0,20.0347,20.0,20.0
2009-07-31,18700.0,20.0,20.05,20.0,20.0
2009-08-03,45593.0,20.0,20.01,20.0,20.0
2009-08-04,17635.0,20.02,20.03,20.0,20.0
2009-08-05,30078.0,20.0,20.05,20.05,20.0
2009-08-06,30900.0,20.1,20.1,20.0,20.0
2009-08-07,31900.0,20.0,20.1,20.1,20.0
2009-08-10,25600.0,20.032,20.1,20.0,20.0
2009-08-11,8415.0,20.0,20.04,20.0,20.0
2009-08-12,25900.0,20.0,20.012,20.0,20.0
2009-08-13,8400.0,20.0,20.04,20.0,20.0
2009-08-14,16150.0,20.0085,20.04,20.0001,20.0
2009-08-17,10340.0,20.0,20.01,20.0,20.0
2009-08-18,1975.0,20.01,20.04,20.01,20.0074
2009-08-19,22300.0,20.0,20.01,20.0,19.5
2009-08-20,1700.0,20.01,20.01,20.0,20.0
2009-08-21,2000.0,20.01,20.01,20.01,20.0
2009-08-24,15065.0,20.0,20.0074,20.0001,20.0
2009-08-25,13375.0,20.0,20.1,20.01,20.0
2009-08-26,5600.0,20.0,20.05,20.05,20.0
2009-08-27,4700.0,20.0,20.005,20.0,20.0
2009-08-28,1971.0,20.002,20.01,20.0,20.0
2009-08-31,48250.0,20.0,20.0,20.0,20.0
2009-09-01,17150.0,20.0,20.01,20.0001,20.0
2009-09-02,51150.0,20.0,20.01,20.0,20.0
2009-09-03,38900.0,20.0,20.01,20.0,20.0
2009-09-04,39800.0,20.0,20.1,20.1,20.0
2009-09-08,292817.0,20.0,20.01,20.0,20.0
2009-09-09,97326.0,20.0,20.0332,20.0,20.0
2009-09-10,102505.0,19.5,20.5,20.5,19.5
2009-09-11,20008.0,19.48,19.4955,19.4,19.4
2009-09-14,85384.0,18.654,19.6399,19.6,18.33
2009-09-15,42845.0,18.9399,19.07,18.67,18.6578
2009-09-16,26830.0,19.3446,19.3499,19.1,19.1
2009-09-17,21560.0,19.46,19.4978,19.37,19.1
2009-09-18,29128.0,19.6257,19.6257,19.5,19.1
2009-09-21,29300.0,19.6257,19.6257,19.6257,19.6257
2009-09-22,28395.0,19.24,19.42,19.41,19.1
2009-09-23,32815.0,18.96,19.247,19.21,18.95
2009-09-24,12885.0,18.85,19.01,19.01,18.75
2009-09-25,47710.0,18.8,19.09,18.35,18.35
2009-09-28,31644.0,18.93,19.01,18.6,18.55
2009-09-29,85149.0,18.36,18.9,18.9,18.36
2009-09-30,93305.0,18.45,18.612,18.4,18.36
2009-10-01,14505.0,18.4,18.5,18.49,18.4
2009-10-02,40500.0,18.44,18.4563,18.35,18.02
2009-10-05,35430.0,18.749,18.76,18.5,18.5
2009-10-06,32003.0,19.09,19.1699,18.84,18.79
2009-10-07,22911.0,18.87,18.91,18.85,18.75
2009-10-08,37925.0,18.9,19.18,18.9,18.7526
2009-10-09,19503.0,19.13,19.13,18.89,18.84
2009-10-12,19966.0,19.2983,19.5,19.09,19.0116
2009-10-13,26897.0,19.0,19.26,19.26,18.85
2009-10-14,34783.0,19.06,19.3,19.3,18.98
2009-10-15,38027.0,18.92,19.0,18.9,18.79
2009-10-16,14877.0,19.1236,19.35,18.9568,18.9568
2009-10-19,26500.0,19.1236,19.1236,19.1236,19.1236
2009-10-20,33564.0,19.153,19.24,19.1,19.0
2009-10-21,44850.0,19.0279,19.19,19.19,18.89
2009-10-22,24613.0,18.9301,19.0855,19.04,18.91
2009-10-23,60541.0,18.8,19.19,18.96,18.8
2009-10-26,38284.0,18.78,19.09,18.77,18.75
2009-10-27,35451.0,18.81,18.9299,18.8015,18.66
2009-10-28,27840.0,18.7899,18.9,18.85,18.58
2009-10-29,42778.0,18.89,19.28,18.69,18.69
2009-10-30,6637.0,18.655,18.89,18.8885,18.58
2009-11-02,22680.0,18.801,19.03,19.03,18.52
2009-11-03,25406.0,19.12,19.26,18.7601,18.76
2009-11-04,24650.0,19.24,19.39,19.088,19.088
2009-11-05,12159.0,19.44,19.5,19.41,19.1617
2009-11-06,10520.0,19.49,19.49,19.37,19.33
2009-11-09,17971.0,19.44,19.49,19.4899,19.25
2009-11-10,35869.0,19.26,19.5,19.4,18.97
2009-11-11,27912.0,19.1699,19.3709,19.26,19.0
2009-11-12,31590.0,19.26,19.26,19.24,19.03
2009-11-13,19115.0,19.33,19.43,19.25,19.176
2009-11-16,44187.0,19.27,19.4,19.4,19.01
2009-11-17,38750.0,19.07,19.38,19.38,19.0
2009-11-18,36700.0,19.07,19.07,19.07,19.07
2009-11-19,35204.0,18.77,19.07,19.07,18.68
2009-11-20,23529.0,19.08,19.18,18.77,18.758
2009-11-23,45003.0,18.9999,19.26,19.1503,18.91
2009-11-24,115832.0,18.9,19.0,19.0,18.26
2009-11-25,15877.0,19.058,19.1,18.972,18.75
2009-11-27,12700.0,19.0,19.0482,18.96,18.96
2009-11-30,20755.0,19.18,19.25,19.0,18.95
2009-12-01,35153.0,19.32,19.5,19.25,19.21
2009-12-02,35231.0,19.18,19.48,19.42,19.0701
2009-12-03,20194.0,19.2001,19.49,19.18,19.17
2009-12-04,18531.0,19.39,19.4,19.4,19.15
2009-12-07,30019.0,19.45,19.46,19.39,19.25
2009-12-08,62258.0,19.7,19.81,19.39,19.37
2009-12-09,35304.0,19.65,19.7,19.51,19.44
2009-12-10,34828.0,19.75,19.8,19.6,19.55
2009-12-11,38504.0,19.94,19.96,19.88,19.67
2009-12-14,56353.0,20.0,20.0,19.95,19.84
2009-12-15,56532.0,20.12,20.12,20.0,19.9
2009-12-16,88848.0,20.1,20.23,20.12,19.96
2009-12-17,46900.0,20.1,20.1,20.1,20.1
2009-12-18,36952.0,20.1001,20.81,20.04,19.78
2009-12-21,103390.0,20.1099,20.2,20.14,19.91
2009-12-22,35945.0,20.1099,20.14,20.01,19.83
2009-12-23,48745.0,19.92,20.11,20.11,19.71
2009-12-24,23050.0,20.11,20.11,19.9,19.9
2009-12-28,77186.0,20.546,20.7,20.0,20.0
2009-12-29,112066.0,20.4253,20.8,20.55,20.1
2009-12-30,36630.0,20.34,20.62,20.44,20.01
2009-12-31,15602.0,20.2701,20.46,20.2,20.2
2010-01-04,79786.0,20.4,20.75,20.35,20.25
2010-01-05,60840.0,20.45,20.52,20.4,20.33
2010-01-06,39098.0,20.48,21.0,20.437,20.35
2010-01-07,51613.0,20.2705,20.57,20.4215,20.27
2010-01-08,81212.0,20.35,20.5099,20.35,20.26
2010-01-11,43737.0,20.35,20.55,20.43,20.35
2010-01-12,30013.0,20.24,20.43,20.35,20.2201
2010-01-13,75606.0,20.13,20.33,20.27,20.1
2010-01-14,56269.0,20.27,20.48,20.2299,20.11
2010-01-15,43923.0,20.19,20.3,20.25,20.11
2010-01-19,36900.0,20.44,20.47,20.24,20.12
2010-01-20,60552.0,20.25,20.46,20.21,20.21
2010-01-21,60353.0,20.3599,20.39,20.21,20.1
2010-01-22,29360.0,20.17,20.5,20.5,20.1545
2010-01-25,67418.0,20.12,20.3,20.11,20.07
2010-01-26,79302.0,20.04,20.19,20.0,19.78
2010-01-27,25655.0,20.16,20.16,20.0,19.95
2010-01-28,69199.0,19.78,20.12,20.12,19.69
2010-01-29,40985.0,19.9,20.1,19.87,19.8
2010-02-01,35548.0,20.21,20.254,19.95,19.95
2010-02-02,36974.0,20.2799,20.3699,20.08,20.08
2010-02-03,35412.0,20.14,20.4001,20.27,20.12
2010-02-04,46027.0,19.93,20.19,20.19,19.85
2010-02-05,46521.0,19.65,20.0679,20.05,19.47
2010-02-08,15994.0,19.9844,20.05,19.7,19.7
2010-02-09,30252.0,20.0195,20.31,20.19,19.92
2010-02-10,23265.0,20.24,20.384,20.18,20.1499
2010-02-11,60655.0,20.08,20.25,20.25,19.95
2010-02-12,30300.0,20.13,20.17,20.1,19.99
2010-02-16,51928.0,20.07,20.2085,20.13,19.96
2010-02-17,34630.0,20.08,20.22,20.22,20.05
2010-02-18,28991.0,20.1601,20.22,20.14,20.08
2010-02-19,14932.0,20.2,20.2299,20.2299,20.1
2010-02-22,21037.0,20.2499,20.27,20.13,20.13
2010-02-23,29903.0,20.1299,20.51,20.3,20.05
2010-02-24,58291.0,20.05,20.35,20.35,20.01
2010-02-25,42846.0,20.1101,20.13,20.09,19.67
2010-02-26,28235.0,20.2,20.24,20.21,20.16
2010-03-01,50245.0,20.2599,20.524,20.35,20.2
2010-03-02,32920.0,20.3399,20.37,20.28,20.15
2010-03-03,44145.0,20.64,20.65,20.37,20.29
2010-03-04,41400.0,21.09,21.21,20.93,20.78
2010-03-05,101677.0,21.53,21.56,21.14,21.13
