date,5. volume,4. close,2. high,1. open,3. low
2006-04-11,4929.0,13.65,13.69,13.66,13.65
2006-04-12,411.0,13.3,13.3,13.25,13.25
2006-04-13,246.0,13.29,13.3,13.3,13.29
2006-04-17,26289.0,13.03,13.6,13.5,11.79
2006-04-18,40748.0,12.79,13.01,12.63,12.02
2006-04-19,2382.0,12.77,12.9,12.9,12.42
2006-04-20,657.0,12.75,12.75,12.75,12.74
2006-04-21,0.0,12.75,12.75,12.75,12.75
2006-04-24,1150.0,12.69,12.69,12.6,12.46
2006-04-25,1972.0,12.7,12.7,12.25,12.25
2006-04-26,11009.0,12.5,12.5,12.5,12.31
2006-04-27,904.0,12.51,12.94,12.5,12.5
2006-04-28,82.0,12.75,12.75,12.75,12.75
2006-05-01,0.0,12.75,12.75,12.75,12.75
2006-05-02,1972.0,12.99,13.25,12.85,12.76
2006-05-03,1890.0,13.0,13.0,12.99,12.99
2006-05-04,4601.0,12.28,13.0,13.0,12.25
2006-05-05,8790.0,11.66,12.3,12.3,11.55
2006-05-08,5340.0,11.0,12.73,11.99,11.0
2006-05-09,3615.0,10.75,11.05,11.0,10.75
2006-05-10,1068.0,10.68,11.0,10.75,10.68
2006-05-11,3368.0,10.57,10.7,10.55,10.5
2006-05-12,8955.0,10.55,10.56,10.56,10.35
2006-05-15,18895.0,10.6,11.18,10.55,10.35
2006-05-16,14541.0,10.95,11.15,10.84,10.82
2006-05-17,2136.0,11.05,11.05,10.94,10.93
2006-05-18,1232.0,10.84,11.24,11.24,10.84
2006-05-19,3286.0,10.28,10.84,10.84,10.28
2006-05-22,10023.0,10.63,10.63,10.35,10.35
2006-05-23,1807.0,11.05,11.05,10.85,10.4
2006-05-24,329.0,11.05,11.05,11.05,11.05
2006-05-25,0.0,11.05,11.05,11.05,11.05
2006-05-26,739.0,11.49,11.49,11.0,11.0
2006-05-30,82.0,10.8,10.8,10.8,10.8
2006-05-31,3368.0,11.5,11.5,10.89,10.89
2006-06-01,1150.0,11.0,11.55,11.55,10.78
2006-06-02,822.0,10.97,11.29,11.29,10.76
2006-06-05,3368.0,10.75,11.01,10.99,10.5
2006-06-06,739.0,10.55,10.55,10.5,10.5
2006-06-07,904.0,10.65,10.65,10.64,10.64
2006-06-08,986.0,10.7,10.7,10.7,10.7
2006-06-09,2218.0,10.25,10.25,10.25,10.25
2006-06-12,2547.0,10.3,10.3,10.3,10.3
2006-06-13,1972.0,10.6,10.6,10.28,10.28
2006-06-14,493.0,10.35,10.35,10.3,10.3
2006-06-15,4847.0,10.5,10.5,10.5,10.25
2006-06-16,0.0,10.5,10.5,10.5,10.5
2006-06-19,329.0,11.09,11.09,10.98,10.98
2006-06-20,4601.0,11.0,11.7,10.87,10.87
2006-06-21,8297.0,11.0,11.78,11.3,11.0
2006-06-22,7147.0,12.08,12.5,11.0,10.75
2006-06-23,2300.0,12.34,12.57,10.76,10.76
2006-06-26,904.0,12.25,12.6,11.1,11.1
2006-06-27,0.0,12.25,12.25,12.25,12.25
2006-06-28,986.0,11.62,12.24,12.19,11.62
2006-06-29,1150.0,11.76,12.01,12.0,11.76
2006-06-30,0.0,11.76,11.76,11.76,11.76
2006-07-03,0.0,11.76,11.76,11.76,11.76
2006-07-05,5751.0,12.4,12.59,12.0,12.0
2006-07-06,5176.0,12.2,12.5,11.13,11.13
2006-07-07,0.0,12.2,12.2,12.2,12.2
2006-07-10,986.0,12.0,12.2,12.2,11.99
2006-07-11,8955.0,12.13,13.0,11.59,11.59
2006-07-12,8462.0,11.34,12.2,11.76,10.5
2006-07-13,739.0,12.0,12.0,11.52,11.52
2006-07-14,0.0,12.0,12.0,12.0,12.0
2006-07-17,10433.0,11.36,11.36,11.05,10.99
2006-07-18,1397.0,11.0,11.34,10.6,10.6
2006-07-19,0.0,11.0,11.0,11.0,11.0
2006-07-20,1068.0,10.84,11.0,10.83,10.48
2006-07-21,657.0,11.88,12.0,11.5,11.5
2006-07-24,3861.0,11.25,12.0,12.0,11.0
2006-07-25,822.0,11.25,11.25,11.25,11.25
2006-07-26,4601.0,10.76,11.25,11.16,10.5
2006-07-27,5504.0,11.19,12.0,10.75,10.52
2006-07-28,2547.0,11.25,11.25,11.0,11.0
2006-07-31,0.0,11.25,11.25,11.25,11.25
2006-08-01,0.0,11.25,11.25,11.25,11.25
2006-08-02,5340.0,11.1,11.99,11.99,11.0
2006-08-03,329.0,11.15,11.15,11.15,11.15
2006-08-04,0.0,11.15,11.15,11.15,11.15
2006-08-07,2300.0,11.1,11.1,11.08,11.0
2006-08-08,0.0,11.1,11.1,11.1,11.1
2006-08-09,493.0,11.12,11.12,11.12,11.12
2006-08-10,411.0,10.75,11.1,11.1,10.75
2006-08-11,246.0,11.52,11.52,11.52,11.52
2006-08-14,822.0,11.0,11.0,11.0,11.0
2006-08-15,0.0,11.0,11.0,11.0,11.0
2006-08-16,246.0,10.05,10.05,10.05,10.05
2006-08-17,1015.0,10.75,10.75,10.75,10.75
2006-08-18,3639.0,11.75,12.0,11.25,11.12
2006-08-21,0.0,11.75,11.75,11.75,11.75
2006-08-22,0.0,11.75,11.75,11.75,11.75
2006-08-23,85.0,11.4,11.4,11.4,11.4
2006-08-24,0.0,11.4,11.4,11.4,11.4
2006-08-25,0.0,11.4,11.4,11.4,11.4
2006-08-28,85.0,11.0,11.0,11.0,11.0
2006-08-29,508.0,10.76,10.76,10.76,10.76
2006-08-30,677.0,11.0,11.0,10.9,10.9
2006-08-31,592.0,11.25,11.25,11.25,11.25
2006-09-01,2115.0,11.5,11.5,11.0,11.0
2006-09-05,762.0,11.5,11.5,11.5,11.5
2006-09-06,1100.0,11.01,11.3,11.3,11.01
2006-09-07,254.0,11.08,11.08,11.08,11.08
2006-09-08,931.0,10.79,11.1,10.75,10.75
2006-09-11,1354.0,11.0,11.0,10.75,10.39
2006-09-12,7023.0,10.56,11.0,11.0,10.4
2006-09-13,1523.0,10.6,10.6,10.6,10.55
2006-09-14,1185.0,10.75,10.75,10.75,10.75
2006-09-15,7446.0,10.6,10.85,10.56,10.5
2006-09-18,14893.0,10.82,11.0,10.85,10.82
2006-09-19,3385.0,10.64,10.98,10.93,10.5
2006-09-20,6854.0,11.0,11.0,10.22,10.22
2006-09-21,0.0,11.0,11.0,11.0,11.0
2006-09-22,0.0,11.0,11.0,11.0,11.0
2006-09-25,2200.0,10.85,10.85,10.75,10.33
2006-09-26,4400.0,11.5,11.8,10.95,10.95
2006-09-27,592.0,11.05,11.05,11.05,11.05
2006-09-28,338.0,11.41,11.41,11.3,11.3
2006-09-29,4823.0,10.5,11.85,11.6,10.5
2006-10-02,4739.0,10.86,11.0,10.7,10.51
2006-10-03,1269.0,11.0,11.0,11.0,11.0
2006-10-04,592.0,11.27,11.42,11.42,11.25
2006-10-05,1269.0,11.4,11.4,11.25,11.25
2006-10-06,2792.0,11.16,11.3,11.3,11.16
2006-10-09,0.0,11.16,11.16,11.16,11.16
2006-10-10,0.0,11.16,11.16,11.16,11.16
2006-10-11,1777.0,10.7,11.2,11.2,10.65
2006-10-12,592.0,10.7,10.7,10.7,10.7
2006-10-13,423.0,10.56,11.0,11.0,10.56
2006-10-16,4992.0,10.3,10.57,10.57,10.3
2006-10-17,846.0,10.25,10.3,10.3,10.25
2006-10-18,0.0,10.25,10.25,10.25,10.25
2006-10-19,3977.0,9.95,10.73,10.41,9.95
2006-10-20,1354.0,10.3,10.44,9.95,9.95
2006-10-23,1523.0,10.25,10.67,10.2,10.2
2006-10-24,931.0,10.3,10.3,10.24,10.24
2006-10-25,0.0,10.3,10.3,10.3,10.3
2006-10-26,0.0,10.3,10.3,10.3,10.3
2006-10-27,4908.0,10.05,10.25,10.25,10.0
2006-10-30,11254.0,9.95,10.0,10.0,9.9
2006-10-31,6769.0,9.82,9.96,9.96,9.6
2006-11-01,1439.0,9.81,9.82,9.82,9.75
2006-11-02,17262.0,9.79,9.8,9.75,9.7
2006-11-03,8800.0,10.0,10.0,10.0,9.92
2006-11-06,2369.0,10.2,10.2,9.9,9.9
2006-11-07,6262.0,9.95,10.2,10.2,9.95
2006-11-08,17770.0,10.0,10.05,10.05,9.95
2006-11-09,3723.0,10.0,10.26,10.2,10.0
2006-11-10,3469.0,10.0,10.09,10.09,10.0
2006-11-13,4569.0,9.94,10.1,10.1,9.94
2006-11-14,762.0,9.94,10.0,10.0,9.94
2006-11-15,1015.0,9.91,9.95,9.95,9.91
2006-11-16,6685.0,10.74,10.74,9.95,9.95
2006-11-17,4569.0,10.31,10.54,10.54,10.0
2006-11-20,1015.0,10.5,10.5,10.31,9.91
2006-11-21,1185.0,10.31,10.45,10.41,10.31
2006-11-22,4569.0,10.2,10.36,10.36,10.09
2006-11-24,254.0,10.05,10.05,10.05,10.05
2006-11-27,677.0,10.09,10.25,10.24,10.01
2006-11-28,3300.0,9.8,10.22,9.9,9.8
2006-11-29,338.0,9.98,10.0,10.0,9.98
2006-11-30,0.0,9.98,9.98,9.98,9.98
2006-12-01,0.0,9.98,9.98,9.98,9.98
2006-12-04,846.0,9.99,9.99,9.99,9.99
2006-12-05,0.0,9.99,9.99,9.99,9.99
2006-12-06,4316.0,9.82,10.3,10.0,9.82
2006-12-07,254.0,9.94,9.94,9.94,9.94
2006-12-08,254.0,10.0,10.0,9.94,9.94
2006-12-11,254.0,9.95,9.95,9.95,9.95
2006-12-12,3469.0,9.86,9.95,9.95,9.76
2006-12-13,1523.0,10.0,10.44,9.79,9.79
2006-12-14,5246.0,9.9,10.5,9.75,9.75
2006-12-15,508.0,9.9,9.92,9.92,9.9
2006-12-18,16839.0,9.93,10.1,9.93,9.92
2006-12-19,846.0,9.73,9.73,9.73,9.73
2006-12-20,13962.0,10.06,10.42,9.75,9.7
2006-12-21,1269.0,9.82,10.05,10.05,9.82
2006-12-22,1946.0,9.85,9.9,9.85,9.82
2006-12-26,8208.0,9.94,10.43,9.9,9.87
2006-12-27,4146.0,9.9,9.9,9.85,9.85
2006-12-28,2369.0,10.3,10.63,10.0,10.0
2006-12-29,1269.0,10.05,10.15,10.15,10.05
2007-01-03,3300.0,10.06,10.41,10.3,9.76
2007-01-04,8800.0,9.82,10.43,10.09,9.76
2007-01-05,931.0,9.88,9.98,9.9,9.88
2007-01-08,85.0,9.87,9.87,9.87,9.87
2007-01-09,0.0,9.87,9.87,9.87,9.87
2007-01-10,1269.0,9.76,9.84,9.84,9.76
2007-01-11,169.0,9.97,9.97,9.97,9.97
2007-01-12,0.0,9.97,9.97,9.97,9.97
2007-01-16,1015.0,9.94,9.94,9.75,9.75
2007-01-17,0.0,9.94,9.94,9.94,9.94
2007-01-18,1946.0,9.9,10.0,9.95,9.77
2007-01-19,6092.0,9.84,10.06,9.91,9.75
2007-01-22,846.0,9.76,9.76,9.76,9.76
2007-01-23,0.0,9.76,9.76,9.76,9.76
2007-01-24,1000.0,10.02,10.02,9.87,9.87
2007-01-25,800.0,9.9,9.92,9.92,9.9
2007-01-26,2962.0,10.0,10.0,9.95,9.93
2007-01-29,1439.0,9.88,9.89,9.89,9.87
2007-01-30,4569.0,9.8,9.88,9.76,9.75
2007-01-31,1100.0,9.88,9.88,9.8,9.8
2007-02-01,1354.0,9.75,9.75,9.75,9.74
2007-02-02,1439.0,9.7,9.75,9.75,9.65
2007-02-05,508.0,9.77,10.0,10.0,9.77
