date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,3000.0,18.44,18.44,18.44,18.44
2000-01-04,62800.0,17.0,18.22,18.22,17.0
2000-01-05,197600.0,16.25,17.0,17.0,16.25
2000-01-06,58200.0,16.38,16.75,16.38,16.0
2000-01-07,111600.0,16.5,16.63,16.63,16.25
2000-01-10,100600.0,16.0,16.63,16.5,16.0
2000-01-11,112100.0,15.13,16.5,16.28,15.13
2000-01-12,311000.0,14.13,15.63,15.25,14.13
2000-01-13,161800.0,14.63,15.0,15.0,14.25
2000-01-14,299700.0,13.88,14.88,14.88,13.88
2000-01-18,192600.0,13.0,14.38,14.28,12.75
2000-01-19,178900.0,12.0,13.13,12.88,12.0
2000-01-20,454700.0,12.13,12.5,12.13,12.0
2000-01-21,123900.0,12.0,12.25,12.25,11.75
2000-01-24,154300.0,11.0,12.06,12.0,11.0
2000-01-25,185100.0,11.38,11.38,11.13,10.88
2000-01-26,1450600.0,13.88,14.0,11.38,11.0
2000-01-27,301200.0,15.0,16.48,14.75,14.25
2000-01-28,67400.0,15.0,15.5,14.94,14.5
2000-01-31,99200.0,14.88,15.19,14.94,14.0
2000-02-01,51000.0,14.88,14.94,14.88,14.25
2000-02-02,17700.0,14.88,15.0,14.69,14.25
2000-02-03,147000.0,15.88,16.5,15.25,15.13
2000-02-04,159200.0,16.0,16.0,15.75,15.75
2000-02-07,69100.0,16.19,16.19,15.81,15.63
2000-02-08,45000.0,15.88,16.25,16.25,15.75
2000-02-09,72700.0,15.88,16.0,15.88,15.88
2000-02-10,40200.0,16.0,16.0,16.0,15.63
2000-02-11,123100.0,13.06,16.0,15.88,13.06
2000-02-14,122800.0,15.38,15.38,13.88,13.06
2000-02-15,36800.0,14.88,15.13,15.13,14.31
2000-02-16,44100.0,14.5,15.13,14.88,14.5
2000-02-17,45400.0,14.75,15.13,14.75,14.38
2000-02-18,94100.0,14.75,14.75,14.75,14.75
2000-02-22,127100.0,13.88,14.06,13.91,13.75
2000-02-23,15300.0,14.0,14.31,14.09,13.88
2000-02-24,59100.0,12.63,14.25,14.13,12.38
2000-02-25,34500.0,13.25,13.63,12.75,12.25
2000-02-28,92500.0,13.13,13.56,13.56,12.38
2000-02-29,98100.0,13.0,13.25,12.88,12.88
2000-03-01,179800.0,12.38,13.0,12.88,11.0
2000-03-02,38000.0,11.63,12.75,11.97,11.63
2000-03-03,91700.0,13.0,13.0,12.06,11.88
2000-03-06,153300.0,11.94,13.13,13.13,11.75
2000-03-07,116000.0,12.06,12.38,12.0,11.94
2000-03-08,202100.0,11.81,12.25,12.25,11.44
2000-03-09,41200.0,11.5,11.75,11.63,11.5
2000-03-10,97100.0,11.56,11.75,11.5,11.5
2000-03-13,55100.0,9.875,11.5,11.5,9.625
2000-03-14,193900.0,10.81,10.88,10.75,10.19
2000-03-15,687400.0,12.0,12.31,10.88,10.75
2000-03-16,442400.0,13.25,13.38,11.25,11.25
2000-03-17,376600.0,14.0,15.0,13.25,12.5
2000-03-20,271300.0,13.94,14.31,14.06,13.94
2000-03-21,374600.0,13.75,13.88,13.88,13.38
2000-03-22,386100.0,15.38,15.88,13.63,13.63
2000-03-23,232100.0,15.06,15.75,15.75,14.88
2000-03-24,91400.0,14.88,15.25,15.0,14.75
2000-03-27,71700.0,14.88,14.88,14.88,14.88
2000-03-28,57700.0,14.5,14.5,14.25,13.75
2000-03-29,32300.0,15.13,15.13,14.19,14.0
2000-03-30,27300.0,14.5,15.13,15.13,14.5
2000-03-31,37500.0,14.38,15.13,14.81,14.13
2000-04-03,55400.0,13.25,14.94,14.13,12.75
2000-04-04,143300.0,13.38,13.94,13.5,13.0
2000-04-05,143900.0,14.25,15.13,13.75,13.56
2000-04-06,29100.0,14.38,14.63,14.25,14.25
2000-04-07,264700.0,14.25,14.5,14.5,13.75
2000-04-10,77300.0,14.0,14.88,14.31,14.0
2000-04-11,33100.0,14.0,14.81,14.75,14.0
2000-04-12,66700.0,14.13,14.5,14.0,14.0
2000-04-13,44200.0,14.0,14.5,14.5,14.0
2000-04-14,26600.0,14.25,14.25,13.81,13.81
2000-04-17,103600.0,14.38,14.5,14.06,13.0
2000-04-18,57600.0,13.5,14.38,14.38,13.5
2000-04-19,22300.0,13.0,14.13,13.56,13.0
2000-04-20,10500.0,12.63,13.63,13.0,12.63
2000-04-24,53100.0,14.25,14.88,12.63,12.63
2000-04-25,69400.0,13.5,14.5,14.5,13.5
2000-04-26,231000.0,12.19,13.55,13.38,12.13
2000-04-27,77900.0,12.69,13.13,12.47,12.13
2000-04-28,34700.0,12.5,12.75,12.75,12.5
2000-05-01,34000.0,12.56,12.63,12.5,12.38
2000-05-02,27100.0,10.88,12.63,12.56,10.88
2000-05-03,114300.0,10.06,10.94,10.91,10.0
2000-05-04,198800.0,10.38,11.0,10.53,10.25
2000-05-05,332900.0,10.13,10.56,10.5,10.13
2000-05-08,405100.0,10.13,10.38,10.22,10.0
2000-05-09,136300.0,10.75,11.5,10.16,10.0
2000-05-10,15700.0,10.44,10.69,10.69,10.38
2000-05-11,26300.0,10.63,10.75,10.5,10.5
2000-05-12,57400.0,10.88,11.06,10.63,10.56
2000-05-15,47900.0,10.5,11.0,11.0,10.38
2000-05-16,83700.0,10.44,10.63,10.56,10.38
2000-05-17,70700.0,10.25,10.5,10.44,10.25
2000-05-18,63900.0,9.438,10.44,10.38,9.438
2000-05-19,28400.0,9.688,9.75,9.688,9.469
2000-05-22,364900.0,9.063,9.563,9.563,9.063
2000-05-23,758700.0,8.125,9.5,9.156,8.063
2000-05-24,195800.0,9.75,9.813,8.344,7.875
2000-05-25,521400.0,9.375,9.875,9.094,8.813
2000-05-26,99200.0,8.875,9.188,9.0,8.875
2000-05-30,47500.0,10.38,10.38,8.969,8.969
2000-05-31,67900.0,10.5,10.5,10.06,9.75
2000-06-01,20200.0,9.875,10.5,10.5,9.625
2000-06-02,74800.0,10.0,10.25,9.875,9.875
2000-06-05,100500.0,10.63,10.88,10.13,9.75
2000-06-06,108900.0,8.938,10.88,10.88,8.938
2000-06-07,88200.0,9.063,9.406,9.203,9.063
2000-06-08,71800.0,9.188,9.25,9.25,9.0
2000-06-09,24200.0,8.813,9.25,9.25,8.625
2000-06-12,46000.0,9.625,9.625,8.813,8.813
2000-06-13,130400.0,11.25,11.25,9.125,9.125
2000-06-14,53000.0,10.75,11.38,11.0,10.63
2000-06-15,62200.0,11.13,11.38,10.81,10.5
2000-06-16,30700.0,11.25,11.25,11.25,10.63
2000-06-19,74800.0,10.44,11.25,11.25,10.44
2000-06-20,302400.0,11.25,11.25,10.75,10.31
2000-06-21,125900.0,10.56,10.88,10.81,10.38
2000-06-22,16600.0,10.13,10.69,10.69,10.13
2000-06-23,23500.0,10.0,10.5,10.5,9.75
2000-06-26,31600.0,10.0,10.13,9.875,9.75
2000-06-27,33800.0,10.25,10.25,10.25,10.0
2000-06-28,16700.0,10.44,10.5,10.0,9.938
2000-06-29,170400.0,10.63,10.75,10.56,10.25
2000-06-30,286600.0,10.5,10.88,10.88,10.06
2000-07-03,27200.0,9.875,10.38,10.38,9.875
2000-07-05,8900.0,10.63,10.63,10.5,10.19
2000-07-06,158400.0,10.5,10.75,10.56,10.5
2000-07-07,253500.0,11.38,11.38,10.63,10.56
2000-07-10,147700.0,11.5,11.69,11.13,10.88
2000-07-11,41200.0,11.63,12.0,11.5,11.5
2000-07-12,52300.0,11.81,11.98,11.81,11.63
2000-07-13,332800.0,11.75,11.88,11.88,11.69
2000-07-14,73800.0,11.0,11.88,11.75,11.0
2000-07-17,24900.0,11.0,11.25,11.13,10.75
2000-07-18,58800.0,10.38,11.25,11.0,10.06
2000-07-19,27500.0,9.875,10.19,10.19,9.875
2000-07-20,62700.0,9.938,10.13,9.875,9.5
2000-07-21,36000.0,9.625,9.938,9.938,9.625
2000-07-24,31000.0,10.0,10.0,9.938,9.656
2000-07-25,37700.0,10.5,10.5,10.0,9.75
2000-07-26,13500.0,10.5,10.5,10.25,10.13
2000-07-27,19100.0,10.25,10.47,10.47,10.13
2000-07-28,56500.0,10.13,10.25,10.19,10.13
2000-07-31,54700.0,9.719,10.0,10.0,9.625
2000-08-01,172800.0,8.75,9.75,9.75,8.75
2000-08-02,244400.0,9.5,9.625,9.25,9.0
2000-08-03,76200.0,10.0,10.25,9.625,9.531
2000-08-04,195800.0,10.63,11.25,10.13,10.06
2000-08-07,19000.0,10.88,11.38,10.63,10.63
2000-08-08,58100.0,11.44,11.5,10.56,10.56
2000-08-09,62500.0,12.19,12.5,11.13,11.13
2000-08-10,279100.0,12.31,15.0,12.22,12.13
2000-08-11,110900.0,12.31,13.13,13.13,11.94
2000-08-14,46400.0,12.25,12.31,12.0,12.0
2000-08-15,51900.0,11.63,12.25,12.0,11.5
2000-08-16,189700.0,12.38,12.38,11.88,11.75
2000-08-17,34900.0,12.56,13.0,13.0,12.38
2000-08-18,35700.0,12.25,12.56,12.5,11.5
2000-08-21,41300.0,11.38,12.0,11.97,11.25
2000-08-22,85300.0,9.75,12.0,12.0,9.75
2000-08-23,83100.0,11.06,11.06,10.06,10.0
2000-08-24,12300.0,10.88,11.38,11.25,10.75
2000-08-25,3800.0,10.94,11.13,10.84,10.63
2000-08-28,13900.0,11.13,11.13,10.75,10.75
2000-08-29,24900.0,11.06,11.25,11.13,11.0
2000-08-30,26400.0,11.31,11.38,11.38,11.25
2000-08-31,39700.0,11.0,11.25,11.22,11.0
2000-09-01,52900.0,11.0,11.38,11.25,10.88
2000-09-05,48500.0,10.63,11.25,11.13,10.63
2000-09-06,30900.0,10.5,10.63,10.5,10.38
2000-09-07,127000.0,10.75,10.75,10.63,10.5
2000-09-08,15400.0,10.56,10.88,10.88,10.56
2000-09-11,5000.0,10.5,10.69,10.69,10.31
2000-09-12,127200.0,10.44,10.5,10.38,10.0
2000-09-13,36500.0,10.25,10.5,10.13,10.13
2000-09-14,96200.0,9.625,10.25,10.13,9.625
2000-09-15,70600.0,9.406,10.25,9.625,9.375
2000-09-18,96500.0,8.844,9.813,9.594,8.688
2000-09-19,370800.0,8.938,9.094,9.0,8.875
2000-09-20,37200.0,8.875,9.156,9.125,8.875
2000-09-21,27800.0,8.688,9.0,9.0,8.688
2000-09-22,72300.0,8.688,8.875,8.656,8.625
2000-09-25,36400.0,8.5,8.875,8.75,8.375
2000-09-26,724500.0,7.969,8.625,8.625,7.75
2000-09-27,378500.0,7.875,8.25,7.938,7.875
2000-09-28,591200.0,7.75,7.938,7.938,7.063
2000-09-29,82100.0,7.813,7.875,7.75,7.625
2000-10-02,44200.0,7.875,7.938,7.813,7.75
2000-10-03,71000.0,7.875,7.938,7.875,7.75
2000-10-04,30900.0,7.781,7.938,7.938,7.75
2000-10-05,2307700.0,4.984,7.0,6.984,4.813
2000-10-06,1010600.0,4.938,5.125,4.969,4.813
2000-10-09,118300.0,4.844,4.938,4.891,4.813
2000-10-10,405600.0,4.688,4.875,4.828,4.688
2000-10-11,19100.0,4.688,4.75,4.703,4.563
2000-10-12,88300.0,4.688,4.734,4.734,4.5
2000-10-13,190000.0,4.719,4.875,4.625,4.5
2000-10-16,148400.0,4.688,4.875,4.734,4.625
2000-10-17,84200.0,4.625,4.75,4.734,4.5
2000-10-18,189800.0,4.188,4.516,4.516,3.938
2000-10-19,103400.0,4.438,4.438,4.422,4.25
2000-10-20,16500.0,4.438,4.438,4.422,4.25
2000-10-23,298400.0,4.188,4.5,4.5,3.938
2000-10-24,190700.0,4.0,4.203,4.203,3.906
2000-10-25,407700.0,3.688,4.0,4.0,3.688
2000-10-26,385800.0,3.688,4.0,3.859,3.5
2000-10-27,182800.0,3.813,4.0,3.672,3.625
2000-10-30,358800.0,4.188,4.188,3.875,3.781
2000-10-31,927100.0,4.375,4.938,4.172,4.063
2000-11-01,262400.0,4.625,4.688,4.672,4.5
2000-11-02,352000.0,5.375,5.5,4.734,4.563
2000-11-03,195100.0,6.375,6.5,5.188,5.188
2000-11-06,89700.0,6.125,6.344,6.313,5.906
2000-11-07,542200.0,5.125,5.969,5.969,4.875
