date,5. volume,4. close,2. high,1. open,3. low
2005-11-18,17963300.0,25.3,31.0,31.0,24.39
2005-11-21,4209600.0,26.15,26.95,26.03,25.5
2005-11-22,3219400.0,23.5,25.85,25.5,22.75
2005-11-23,1031700.0,23.8,24.1,23.94,23.51
2005-11-25,291300.0,23.68,24.0,23.825,23.5
2005-11-28,810600.0,23.7,24.2,23.68,23.58
2005-11-29,2030200.0,21.35,23.65,23.56,21.08
2005-11-30,804100.0,22.51,22.71,21.33,21.27
2005-12-01,729600.0,23.15,23.73,22.845,22.6
2005-12-02,1179300.0,24.66,25.0,23.71,23.251
2005-12-05,706700.0,25.66,25.9,25.12,24.55
2005-12-06,577200.0,24.7,26.16,26.06,24.52
2005-12-07,440400.0,25.65,25.65,24.91,24.91
2005-12-08,249100.0,25.5,25.88,25.5,25.3
2005-12-09,199900.0,25.0,25.84,25.6,24.8
2005-12-12,327800.0,25.49,25.58,25.0,24.75
2005-12-13,266100.0,25.59,25.9,25.76,25.25
2005-12-14,1031100.0,27.0,27.25,26.0,25.87
2005-12-15,531300.0,27.39,27.65,27.0,26.8
2005-12-16,1004600.0,27.64,27.64,27.38,26.51
2005-12-19,892700.0,26.49,27.6,27.59,25.15
2005-12-20,1447600.0,28.07,28.29,27.54,26.85
2005-12-21,1235600.0,28.55,28.8,28.145,27.89
2005-12-22,535700.0,28.7,28.833,28.58,27.99
2005-12-23,1889200.0,31.22,31.724,28.7,28.55
2005-12-27,4149200.0,33.26,34.92,31.9,31.52
2005-12-28,3663800.0,36.35,36.74,34.01,33.7
2005-12-29,4522200.0,39.86,40.0,38.95,38.28
2005-12-30,3669400.0,38.31,39.74,39.63,37.21
2006-01-03,4082600.0,33.36,37.39,37.19,33.18
2006-01-04,3764200.0,31.6,33.19,32.74,31.28
2006-01-05,3573300.0,35.63,35.7,32.52,32.17
2006-01-06,2776100.0,35.47,36.37,34.98,33.65
2006-01-09,1061800.0,35.83,35.97,35.93,34.77
2006-01-10,2962300.0,37.5,38.49,36.18,35.54
2006-01-11,1295200.0,37.69,38.55,38.28,36.5
2006-01-12,1549100.0,38.51,39.4,37.14,37.14
2006-01-13,1080900.0,39.02,40.34,38.81,38.51
2006-01-17,931100.0,38.17,39.41,39.16,37.05
2006-01-18,1007700.0,38.55,39.55,36.66,36.5
2006-01-19,625700.0,38.78,39.7,38.3,38.2
2006-01-20,669900.0,38.28,39.25,38.95,37.5
2006-01-23,948200.0,37.32,38.5,38.2,36.49
2006-01-24,742400.0,36.7,37.85,37.33,36.55
2006-01-25,818200.0,36.86,37.75,36.6,34.78
2006-01-26,644500.0,37.55,38.65,36.86,36.86
2006-01-27,409700.0,38.36,39.0,37.85,37.3
2006-01-30,2263500.0,40.3,41.9,38.47,37.91
2006-01-31,677200.0,39.99,41.09,40.95,39.6
2006-02-01,621900.0,39.03,40.749,39.75,38.26
2006-02-02,501700.0,39.42,40.0,39.8,38.02
2006-02-03,480400.0,38.84,39.97,39.55,37.8
2006-02-06,1146400.0,39.2,39.65,39.37,37.55
2006-02-07,7298300.0,30.94,34.0,33.25,30.63
2006-02-08,3177500.0,29.45,31.0,31.0,28.5
2006-02-09,936200.0,29.49,30.65,30.63,29.2
2006-02-10,492600.0,29.93,30.42,29.51,29.5
2006-02-13,686700.0,30.25,30.73,30.23,29.77
2006-02-14,350000.0,30.29,30.83,30.25,30.06
2006-02-15,749800.0,29.07,30.43,30.2,28.88
2006-02-16,1590300.0,28.77,29.126,28.82,27.05
2006-02-17,496600.0,28.92,29.25,28.72,27.91
2006-02-21,706900.0,27.4,28.7,28.5,27.32
2006-02-22,692200.0,28.2,28.36,27.2,27.15
2006-02-23,521300.0,29.15,29.48,28.2,27.6
2006-02-24,358400.0,28.8,29.17,28.9,28.47
2006-02-27,272400.0,28.57,28.84,28.79,28.5
2006-02-28,326000.0,28.19,28.55,28.43,27.98
2006-03-01,329000.0,28.65,28.95,28.0,28.0
2006-03-02,353400.0,29.23,29.39,28.8,28.25
2006-03-03,202500.0,28.87,29.5,29.5,28.55
2006-03-06,327800.0,28.6,28.91,28.76,28.28
2006-03-07,439400.0,28.35,29.25,28.31,27.85
2006-03-08,508100.0,26.93,28.25,28.25,26.75
2006-03-09,388700.0,27.0,27.37,26.8,26.8
2006-03-10,567200.0,26.55,26.95,26.95,25.85
2006-03-13,345200.0,27.42,27.72,27.4,26.17
2006-03-14,1970800.0,29.6,30.5,30.14,29.1
2006-03-15,271500.0,29.8,29.89,29.7,29.13
2006-03-16,599900.0,30.27,30.62,29.8,29.8
2006-03-17,265500.0,30.07,30.53,30.39,30.0
2006-03-20,533100.0,31.05,31.5,30.05,29.91
2006-03-21,397100.0,30.9,31.02,31.0,30.31
2006-03-22,326400.0,31.18,31.22,31.0,30.0
2006-03-23,715000.0,31.53,32.25,31.23,31.05
2006-03-24,586100.0,33.0,33.15,31.53,31.48
2006-03-27,1155000.0,34.2,35.14,33.07,32.85
2006-03-28,821100.0,32.91,34.9,34.08,32.74
2006-03-29,588100.0,34.0,34.4,33.19,32.75
2006-03-30,313100.0,32.87,34.24,33.86,32.85
2006-03-31,313000.0,32.4,32.9,32.85,32.25
2006-04-03,347900.0,32.53,33.4299,32.7,32.5
2006-04-04,301300.0,32.9,33.3,32.5,32.5
2006-04-05,326900.0,32.96,33.9,33.5,32.84
2006-04-06,242500.0,32.72,33.5,33.01,32.62
2006-04-07,204800.0,32.43,33.0,32.69,32.4
2006-04-10,267700.0,31.8,32.85,32.74,31.65
2006-04-11,321800.0,31.2,31.85,31.76,30.8
2006-04-12,239700.0,31.14,31.41,31.1,30.75
2006-04-13,216800.0,31.5,31.55,31.03,30.85
2006-04-17,290600.0,32.2,32.27,31.55,31.52
2006-04-18,187800.0,32.37,32.5,32.3,32.11
2006-04-19,289200.0,33.0,33.5,32.49,32.35
2006-04-20,197900.0,32.98,33.8,33.0,32.95
2006-04-21,242700.0,32.89,33.65,33.61,32.69
2006-04-24,299300.0,33.38,33.73,32.98,32.89
2006-04-25,352900.0,32.71,33.85,33.5,32.5
2006-04-26,6698200.0,37.0,40.5012,40.02,36.78
2006-04-27,878900.0,37.83,38.98,37.81,36.85
2006-04-28,428300.0,36.78,38.2,37.67,36.75
2006-05-01,473300.0,36.73,37.54,36.79,36.11
2006-05-02,297900.0,36.11,37.3,36.93,35.86
2006-05-03,321500.0,35.7,36.71,36.15,35.41
2006-05-04,257400.0,36.66,36.67,35.89,35.57
2006-05-05,287500.0,36.8,37.42,36.8,36.6
