date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,750.0,5.25,5.28,5.28,5.25
2000-01-04,0.0,5.25,5.25,5.25,5.25
2000-01-05,0.0,5.25,5.25,5.25,5.25
2000-01-06,1000.0,5.063,5.063,5.063,5.063
2000-01-07,0.0,5.06,5.06,5.06,5.06
2000-01-10,0.0,5.06,5.06,5.06,5.06
2000-01-11,1000.0,5.063,5.063,5.063,5.063
2000-01-12,2750.0,5.25,5.25,5.188,5.188
2000-01-13,1000.0,5.063,5.063,5.063,5.063
2000-01-14,0.0,5.06,5.06,5.06,5.06
2000-01-18,0.0,5.06,5.06,5.06,5.06
2000-01-19,18250.0,5.5,5.5,5.063,5.063
2000-01-20,1250.0,5.375,5.375,5.25,5.25
2000-01-21,25000.0,5.5,5.688,5.438,5.313
2000-01-24,25250.0,6.25,6.25,5.531,5.5
2000-01-25,17750.0,6.125,7.0,6.375,6.125
2000-01-26,0.0,6.13,6.13,6.13,6.13
2000-01-27,6250.0,6.25,6.25,6.0,6.0
2000-01-28,0.0,6.25,6.25,6.25,6.25
2000-01-31,7000.0,6.0,6.0,6.0,6.0
2000-02-01,13500.0,5.375,6.0,6.0,5.063
2000-02-02,1000.0,5.5,5.5,5.375,5.375
2000-02-03,2000.0,5.5,5.5,5.5,5.5
2000-02-04,6500.0,6.0,6.063,5.625,5.625
2000-02-07,3000.0,6.125,6.125,5.875,5.875
2000-02-08,3000.0,6.5,6.5,6.25,6.25
2000-02-09,13500.0,6.938,6.938,6.281,6.25
2000-02-10,36000.0,7.875,8.0,7.0,7.0
2000-02-11,5250.0,7.75,8.25,8.25,7.625
2000-02-14,2500.0,7.75,7.938,7.625,7.625
2000-02-15,2500.0,7.75,7.75,7.5,7.5
2000-02-16,5000.0,7.563,7.75,7.5,7.5
2000-02-17,6000.0,8.0,8.0,7.563,7.563
2000-02-18,3750.0,7.5,7.688,7.688,7.5
2000-02-22,15000.0,8.25,8.375,7.75,7.75
2000-02-23,22750.0,8.125,8.625,8.0,7.625
2000-02-24,16750.0,8.5,8.563,8.125,8.125
2000-02-25,26250.0,8.5,9.25,8.594,8.25
2000-02-28,5000.0,8.5,8.625,8.5,8.5
2000-02-29,0.0,8.5,8.5,8.5,8.5
2000-03-01,12500.0,8.875,9.0,8.5,8.5
2000-03-02,250.0,8.688,8.688,8.688,8.688
2000-03-03,2500.0,8.5,8.625,8.625,8.0
2000-03-06,5500.0,8.75,8.875,8.75,8.75
2000-03-07,18250.0,9.0,9.25,8.75,8.75
2000-03-08,19750.0,8.5,9.0,9.0,8.5
2000-03-09,13750.0,8.5,8.875,8.875,8.5
2000-03-10,15000.0,8.0,8.625,8.625,8.0
2000-03-13,3750.0,8.25,8.5,8.016,8.016
2000-03-14,1500.0,8.25,8.469,8.469,8.25
2000-03-15,16250.0,8.125,8.875,8.75,8.0
2000-03-16,12500.0,8.0,8.25,8.0,8.0
2000-03-17,2500.0,8.125,8.313,8.313,7.875
2000-03-20,500.0,8.344,8.344,8.344,8.344
2000-03-21,500.0,8.25,8.25,8.25,8.25
2000-03-22,250.0,8.063,8.375,8.375,8.063
2000-03-23,250.0,8.188,8.188,8.188,8.188
2000-03-24,3750.0,8.375,8.375,8.125,8.125
2000-03-27,6000.0,8.75,9.625,9.0,8.188
2000-03-28,5000.0,8.875,8.875,8.75,8.75
2000-03-29,1250.0,8.531,8.75,8.75,8.531
2000-03-30,3750.0,8.625,8.688,8.625,8.531
2000-03-31,1250.0,8.875,8.875,8.625,8.625
2000-04-03,5000.0,8.125,8.656,8.656,8.125
2000-04-04,500.0,8.188,8.188,8.188,8.188
2000-04-05,500.0,8.75,8.75,8.75,8.75
2000-04-06,0.0,8.75,8.75,8.75,8.75
2000-04-07,0.0,8.734,8.734,8.734,8.734
2000-04-10,250.0,8.5,8.5,8.5,8.5
2000-04-11,0.0,8.25,8.25,8.25,8.25
2000-04-12,3000.0,7.875,8.25,8.25,7.875
2000-04-13,5750.0,7.625,7.75,7.75,7.625
2000-04-14,6000.0,7.0,7.375,7.375,7.0
2000-04-17,2000.0,6.75,6.875,6.875,6.75
2000-04-18,4500.0,6.625,6.75,6.75,6.625
2000-04-19,7500.0,7.0,7.0,6.859,6.859
2000-04-20,0.0,7.0,7.0,7.0,7.0
2000-04-24,12750.0,6.875,7.109,6.5,6.469
2000-04-25,500.0,6.875,6.875,6.875,6.875
2000-04-26,6500.0,6.875,7.0,7.0,6.875
2000-04-27,8000.0,7.0,7.0,6.938,6.875
2000-04-28,0.0,7.0,7.0,7.0,7.0
2000-05-01,500.0,6.953,6.953,6.953,6.953
2000-05-02,500.0,6.5,6.5,6.5,6.5
2000-05-03,0.0,6.5,6.5,6.5,6.5
2000-05-04,3250.0,6.75,6.75,6.5,6.25
2000-05-05,2000.0,6.5,6.75,6.75,6.5
2000-05-08,250.0,6.75,6.75,6.75,6.75
2000-05-09,5250.0,6.375,6.625,6.563,6.375
2000-05-10,750.0,6.375,6.563,6.563,6.375
2000-05-11,13750.0,6.25,6.5,6.375,6.25
2000-05-12,21000.0,6.438,6.594,6.594,6.188
2000-05-15,3000.0,6.625,6.625,6.438,6.438
2000-05-16,250.0,6.438,6.438,6.438,6.438
2000-05-17,9000.0,6.438,6.438,6.438,6.438
2000-05-18,0.0,6.44,6.44,6.44,6.44
2000-05-19,8750.0,6.438,6.563,6.563,6.438
2000-05-22,74500.0,6.25,6.563,6.563,6.25
2000-05-23,5000.0,6.25,6.25,6.25,6.25
2000-05-24,14750.0,5.75,6.25,6.125,5.75
2000-05-25,20000.0,5.75,6.5,5.75,5.75
2000-05-26,1250.0,6.5,6.5,6.5,6.5
2000-05-30,4000.0,5.75,6.125,6.125,5.688
2000-05-31,13500.0,7.0,7.0,6.25,6.25
2000-06-01,6500.0,6.875,6.875,6.75,6.75
2000-06-02,6750.0,7.0,7.0,6.875,6.875
2000-06-05,1500.0,6.5,6.5,6.5,6.5
2000-06-06,6000.0,6.625,6.625,6.563,6.563
2000-06-07,2500.0,6.875,6.875,6.875,6.875
2000-06-08,500.0,6.625,6.625,6.625,6.625
2000-06-09,0.0,6.625,6.625,6.625,6.625
2000-06-12,12000.0,7.0,7.0,7.0,6.625
2000-06-13,2500.0,6.625,6.625,6.625,6.625
2000-06-14,2750.0,6.625,6.625,6.563,6.563
2000-06-15,0.0,6.63,6.63,6.63,6.63
2000-06-16,500.0,7.0,7.0,7.0,7.0
2000-06-19,0.0,7.0,7.0,7.0,7.0
2000-06-20,250.0,7.0,7.0,7.0,7.0
2000-06-21,0.0,7.0,7.0,7.0,7.0
2000-06-22,0.0,7.0,7.0,7.0,7.0
2000-06-23,1500.0,7.063,7.063,7.063,7.063
2000-06-26,0.0,6.781,6.781,6.781,6.781
2000-06-27,1500.0,7.0,7.0,6.813,6.813
2000-06-28,10000.0,6.75,7.0,7.0,6.75
2000-06-29,0.0,6.75,6.75,6.75,6.75
2000-06-30,0.0,6.75,6.75,6.75,6.75
2000-07-03,3000.0,6.563,6.563,6.5,6.5
2000-07-05,2250.0,7.063,7.063,6.563,6.563
2000-07-06,17000.0,7.625,7.625,7.063,7.0
2000-07-07,0.0,7.25,7.25,7.25,7.25
2000-07-10,2250.0,7.75,7.75,7.25,7.25
2000-07-11,0.0,7.75,7.75,7.75,7.75
2000-07-12,250.0,7.063,7.625,7.625,7.063
2000-07-13,250.0,7.25,7.25,7.25,7.25
2000-07-14,10000.0,7.625,7.75,7.25,7.25
2000-07-17,250.0,7.75,7.75,7.563,7.563
2000-07-18,250.0,7.75,7.75,7.75,7.75
2000-07-19,12750.0,7.375,7.75,7.563,7.375
2000-07-20,7750.0,7.75,7.75,7.094,7.063
2000-07-21,0.0,7.75,7.75,7.75,7.75
2000-07-24,3000.0,7.875,7.875,7.0,7.0
2000-07-25,3000.0,8.0,8.0,8.0,8.0
2000-07-26,0.0,7.375,7.375,7.375,7.375
2000-07-27,0.0,7.38,7.38,7.38,7.38
2000-07-28,3500.0,7.125,7.125,7.125,7.125
2000-07-31,2000.0,7.5,7.5,7.25,7.25
2000-08-01,250.0,7.125,7.125,7.125,7.125
2000-08-02,7000.0,7.625,7.625,7.5,7.5
2000-08-03,0.0,7.63,7.63,7.63,7.63
2000-08-04,1000.0,7.25,7.25,7.25,7.25
2000-08-07,0.0,7.25,7.25,7.25,7.25
2000-08-08,7500.0,7.5,7.813,7.5,7.25
2000-08-09,250.0,7.531,7.531,7.531,7.531
2000-08-10,3250.0,7.375,7.813,7.375,7.375
2000-08-11,1750.0,7.438,7.438,7.375,7.375
2000-08-14,17500.0,8.125,8.125,7.281,7.25
2000-08-15,3000.0,7.25,7.25,7.25,7.25
2000-08-16,250.0,7.5,7.5,7.5,7.5
2000-08-17,3250.0,7.25,7.25,7.25,7.25
2000-08-18,0.0,7.25,7.25,7.25,7.25
2000-08-21,3500.0,7.125,7.875,7.125,7.125
2000-08-22,0.0,7.13,7.13,7.13,7.13
2000-08-23,750.0,7.125,7.875,7.125,7.125
2000-08-24,19250.0,7.0,7.125,7.063,7.0
2000-08-25,1000.0,7.0,7.875,7.875,7.0
2000-08-28,15000.0,7.5,7.875,7.875,7.0
2000-08-29,3500.0,7.438,7.438,7.375,7.375
2000-08-30,2000.0,7.438,7.438,7.375,7.375
2000-08-31,4000.0,7.438,7.438,7.438,7.375
2000-09-01,500.0,7.375,7.375,7.375,7.375
2000-09-05,3000.0,7.375,7.469,7.469,7.375
2000-09-06,1750.0,7.5,7.5,7.375,7.375
2000-09-07,0.0,7.438,7.438,7.438,7.438
