date,5. volume,4. close,2. high,1. open,3. low
2009-11-23,29330.0,75.26,75.26,75.17,75.17
2009-11-24,40998.0,75.55,75.55,75.38,75.3
2009-11-25,19848.0,75.68,75.68,75.55,75.518
2009-11-27,6332.0,75.69,75.7,75.7,75.623
2009-11-30,16505.0,75.69,75.69,75.59,75.58
2009-12-01,17562.0,75.72,75.8,75.71,75.7
2009-12-02,13017.0,75.65,75.75,75.75,75.64
2009-12-03,18656.0,75.76,75.76,75.55,75.55
2009-12-04,45648.0,75.55,75.57,75.56,75.4436
2009-12-07,11736.0,75.65,75.66,75.57,75.5
2009-12-08,46783.0,75.95,75.96,75.83,75.718
2009-12-09,15641.0,75.94,75.99,75.99,75.937
2009-12-10,32980.0,75.89,75.92,75.89,75.83
2009-12-11,26500.0,75.87,75.94,75.93,75.82
2009-12-14,29027.0,75.884,75.98,75.97,75.84
2009-12-15,66233.0,75.75,75.868,75.76,75.67
2009-12-16,169725.0,75.95,76.1,75.94,75.8755
2009-12-17,82471.0,76.0,76.11,76.03,76.0
2009-12-18,11727.0,75.92,76.1,76.09,75.92
2009-12-21,31685.0,75.82,75.99,75.99,75.772
2009-12-22,115715.0,75.81,75.85,75.76,75.7
2009-12-23,78751.0,75.7,75.8,75.69,75.64
2009-12-24,20804.0,75.432,75.62,75.61,75.414
2009-12-28,43848.0,75.38,75.45,75.41,75.34
2009-12-29,52783.0,75.394,75.4,75.38,74.24
2009-12-30,19868.0,75.4,75.41,75.33,75.33
2009-12-31,18958.0,75.33,75.5299,75.27,75.18
2010-01-04,61113.0,75.53,75.53,75.44,75.35
2010-01-05,77306.0,75.64,75.71,75.56,75.53
2010-01-06,20863.0,75.865,75.87,75.78,75.6
2010-01-07,154196.0,75.805,75.9,75.9,75.65
2010-01-08,108856.0,75.87,75.89,75.89,75.8
2010-01-11,31704.0,75.94,75.98,75.98,75.91
2010-01-12,33442.0,75.95,76.15,76.15,75.9411
2010-01-13,41399.0,75.94,76.0896,76.07,75.9
2010-01-14,48888.0,76.125,76.26,76.26,75.9
2010-01-15,34055.0,76.225,76.2499,76.17,76.17
2010-01-19,92770.0,75.95,76.05,76.05,75.9
