date,5. volume,4. close,2. high,1. open,3. low
2013-10-30,4594400.0,13.25,14.1152,13.0,12.65
2013-10-31,339200.0,12.39,13.0,12.83,12.01
2013-11-01,137700.0,12.3,12.5,12.39,12.15
2013-11-04,38800.0,12.8,12.8,12.4,12.1
2013-11-05,143600.0,12.4,12.77,12.35,12.0
2013-11-06,157700.0,11.5,12.39,12.16,11.5
2013-11-07,345600.0,11.15,11.6,11.5,10.88
2013-11-08,26400.0,11.41,11.55,11.1,11.0
2013-11-11,30800.0,12.1,12.15,11.3,11.3
2013-11-12,21200.0,12.43,12.47,12.1,11.9
2013-11-13,28800.0,12.24,12.73,12.3,12.0
2013-11-14,45900.0,12.15,12.33,12.1426,12.0101
2013-11-15,72500.0,12.15,12.65,12.08,11.81
2013-11-18,65000.0,12.65,13.3922,12.75,12.1335
2013-11-19,7500.0,12.47,12.9799,12.5,12.02
2013-11-20,72800.0,12.89,13.22,12.2,12.16
2013-11-21,43800.0,12.76,13.15,12.63,12.5001
2013-11-22,55600.0,12.16,13.22,13.2,11.501
2013-11-25,80600.0,11.36,11.85,11.85,11.0
2013-11-26,182400.0,12.86,13.1,13.1,11.99
2013-11-27,96700.0,13.01,13.15,12.36,12.0332
2013-11-29,30100.0,12.98,13.3,13.26,12.41
2013-12-02,26000.0,12.99,13.2,13.2,12.49
2013-12-03,18600.0,12.96,13.14,12.48,12.48
2013-12-04,13600.0,12.89,13.15,13.1,12.835
2013-12-05,17700.0,13.49,13.64,12.8419,12.8419
2013-12-06,31700.0,13.71,13.93,13.51,13.34
2013-12-09,40300.0,13.93,14.15,13.74,13.6
2013-12-10,29900.0,13.89,14.65,14.65,13.72
2013-12-11,21400.0,13.51,14.01,13.75,13.48
2013-12-12,31500.0,13.07,13.94,13.76,12.56
2013-12-13,51200.0,13.16,13.37,13.07,12.51
2013-12-16,61100.0,14.0,14.0,13.24,13.2
2013-12-17,161600.0,14.04,14.8,14.11,13.27
2013-12-18,70900.0,13.92,14.78,14.3,13.56
2013-12-19,61200.0,13.98,14.39,13.72,13.6
2013-12-20,658000.0,14.0,14.0,13.61,13.61
2013-12-23,106600.0,13.99,14.35,14.0,13.7125
2013-12-24,8200.0,13.92,14.0,14.0,13.8
2013-12-26,100200.0,14.28,14.38,13.97,13.805
2013-12-27,303900.0,14.15,14.41,14.34,13.96
2013-12-30,24600.0,13.78,14.35,14.13,13.36
2013-12-31,90200.0,14.5,14.66,13.84,13.61
2014-01-02,15600.0,14.67,14.75,14.36,14.36
2014-01-03,146700.0,15.31,16.36,14.77,14.45
2014-01-06,88300.0,15.79,15.8,15.09,14.45
2014-01-07,75300.0,15.74,15.92,15.92,15.3
2014-01-08,53800.0,15.62,15.85,15.8,15.51
2014-01-09,18200.0,15.9,15.9,15.72,14.911
2014-01-10,113700.0,16.175,16.3,15.94,15.06
2014-01-13,39700.0,15.88,16.4,15.33,15.33
2014-01-14,21000.0,16.02,16.54,16.0,15.56
2014-01-15,50400.0,16.05,16.23,16.13,15.82
2014-01-16,73900.0,16.06,16.28,16.05,15.26
2014-01-17,7200.0,16.3,16.31,16.09,16.07
2014-01-21,17700.0,16.23,16.68,16.48,15.97
2014-01-22,33000.0,15.94,16.68,16.32,15.73
2014-01-23,37400.0,15.85,15.94,15.94,15.288
2014-01-24,34800.0,15.92,16.03,15.69,15.01
2014-01-27,32100.0,15.16,15.79,15.76,14.9
2014-01-28,25400.0,14.97,15.45,14.81,14.76
2014-01-29,10000.0,14.87,15.22,15.01,14.58
2014-01-30,16500.0,14.82,15.15,15.05,14.765
2014-01-31,59900.0,14.65,15.24,14.63,14.34
2014-02-03,52200.0,14.67,15.1,14.68,13.76
2014-02-04,39900.0,14.46,15.2,15.05,14.39
2014-02-05,19200.0,14.93,15.06,14.47,14.23
2014-02-06,23100.0,15.01,15.45,15.17,14.71
2014-02-07,62300.0,15.04,15.43,15.1,14.88
2014-02-10,13600.0,14.96,15.62,15.19,14.8
2014-02-11,78300.0,14.92,15.4,14.91,14.59
2014-02-12,65900.0,14.85,15.43,14.97,14.6
2014-02-13,19000.0,14.95,14.99,14.78,14.23
2014-02-14,27100.0,14.52,15.164,14.98,14.32
2014-02-18,32800.0,14.84,15.26,15.17,14.4
2014-02-19,22000.0,14.34,15.1,14.95,14.31
2014-02-20,8000.0,14.76,14.76,14.4126,14.2
2014-02-21,30700.0,14.96,15.3,14.82,14.59
2014-02-24,30300.0,14.76,15.295,15.12,14.47
2014-02-25,26700.0,14.4,15.04,14.82,14.07
2014-02-26,18500.0,14.88,15.482,14.46,14.4
2014-02-27,21500.0,15.69,15.75,14.88,14.88
2014-02-28,39500.0,16.01,16.47,15.72,15.72
2014-03-03,40300.0,16.56,16.99,15.79,15.79
2014-03-04,89700.0,17.795,18.315,16.85,16.85
2014-03-05,19700.0,17.55,17.93,17.93,16.99
2014-03-06,20800.0,17.52,17.99,17.66,17.31
2014-03-07,43600.0,17.63,18.15,17.68,17.2601
2014-03-10,50000.0,18.24,18.25,17.68,17.5
2014-03-11,19500.0,18.01,18.5,18.06,17.98
2014-03-12,74200.0,17.305,18.04,18.0,17.1
2014-03-13,27200.0,17.02,17.44,17.3,16.47
2014-03-14,11800.0,16.95,17.045,16.96,16.53
2014-03-17,12100.0,16.64,17.2834,17.2834,16.51
2014-03-18,21200.0,17.02,17.14,17.1399,16.66
2014-03-19,130800.0,18.44,19.0,19.0,17.56
2014-03-20,30200.0,18.38,18.64,18.52,18.114
2014-03-21,33200.0,17.87,18.54,18.54,17.79
2014-03-24,31400.0,17.54,18.4999,17.83,17.51
2014-03-25,93800.0,16.41,17.87,17.75,15.77
2014-03-26,33300.0,16.6,16.87,16.58,16.3701
2014-03-27,21500.0,16.36,17.13,16.9889,15.86
2014-03-28,19400.0,16.32,17.34,16.3,15.75
2014-03-31,36800.0,17.13,17.24,16.25,16.25
2014-04-01,54700.0,17.06,18.01,17.23,16.844
2014-04-02,17600.0,16.89,17.25,17.09,16.78
2014-04-03,22100.0,16.66,17.0,17.0,16.53
2014-04-04,25900.0,15.79,17.0,16.72,15.64
2014-04-07,95500.0,14.1,15.96,15.96,14.01
2014-04-08,29600.0,14.59,16.67,14.05,14.05
2014-04-09,112700.0,14.19,14.77,14.74,14.01
2014-04-10,43100.0,13.38,14.23,14.23,13.02
2014-04-11,28400.0,13.49,13.6,13.36,13.2
2014-04-14,32200.0,13.26,14.1099,13.66,13.07
2014-04-15,97900.0,13.05,13.8,13.51,12.77
2014-04-16,75200.0,13.36,13.83,13.11,12.8901
2014-04-17,33000.0,13.3,13.46,13.36,13.25
2014-04-21,105200.0,13.06,13.43,13.43,13.0
2014-04-22,38000.0,14.47,14.59,13.04,12.97
2014-04-23,12800.0,13.59,14.67,14.51,13.58
2014-04-24,13800.0,13.2,13.906,13.77,13.07
2014-04-25,28400.0,12.86,13.18,13.18,12.27
2014-04-28,33600.0,13.06,13.65,12.87,12.5
2014-04-29,41600.0,13.01,13.19,13.19,12.84
2014-04-30,36300.0,12.81,13.102,12.98,12.24
2014-05-01,32700.0,13.25,13.32,12.75,12.5
2014-05-02,28900.0,13.47,13.51,13.22,12.71
2014-05-05,27400.0,13.8,14.41,14.41,13.55
2014-05-06,23900.0,13.04,13.88,13.67,12.86
2014-05-07,68300.0,13.26,13.47,13.41,12.76
