date,5. volume,4. close,2. high,1. open,3. low
2012-03-23,5168404.0,5.5,6.23,6.0,5.42
2012-03-26,1041715.0,4.7,5.74,5.61,4.7
2012-03-27,314786.0,4.6,4.99,4.65,4.58
2012-03-28,209562.0,4.5,4.683,4.53,4.45
2012-03-29,181569.0,4.35,4.5,4.46,4.25
2012-03-30,127194.0,4.39,4.54,4.47,4.25
2012-04-02,197179.0,4.3788,4.64,4.35,4.35
2012-04-03,186597.0,4.26,4.68,4.56,4.23
2012-04-04,136607.0,4.3,4.3,4.23,4.12
2012-04-05,51435.0,4.35,4.5,4.25,4.25
2012-04-09,83918.0,4.38,4.6,4.48,4.3
2012-04-10,159313.0,4.52,4.65,4.36,4.36
2012-04-11,101855.0,4.65,4.75,4.55,4.4501
2012-04-12,132777.0,4.65,4.8,4.61,4.61
2012-04-13,241646.0,4.82,4.84,4.62,4.61
2012-04-16,200231.0,5.01,5.12,4.85,4.82
2012-04-17,281890.0,5.44,5.649,5.04,5.04
2012-04-18,335190.0,5.9,5.9,5.41,5.41
2012-04-19,185588.0,5.95,5.98,5.9,5.77
2012-04-20,107049.0,5.96,5.98,5.93,5.81
2012-04-23,128158.0,6.0,6.0,5.9,5.67
2012-04-24,156887.0,6.02,6.1,6.1,5.9
2012-04-25,328145.0,5.25,6.05,6.05,5.23
2012-04-26,134533.0,5.31,5.63,5.25,5.111
2012-04-27,60008.0,5.3,5.53,5.32,5.25
2012-04-30,93154.0,5.4,5.61,5.27,5.27
2012-05-01,73091.0,5.46,5.59,5.45,5.34
2012-05-02,82989.0,5.69,5.76,5.71,5.58
2012-05-03,50850.0,5.56,5.75,5.71,5.5
2012-05-04,23533.0,5.49,5.73,5.26,5.26
2012-05-07,45865.0,5.38,5.6,5.47,5.3108
2012-05-08,83209.0,5.3,5.5,5.34,5.22
2012-05-09,31056.0,5.37,5.49,5.22,5.2
2012-05-10,159749.0,5.17,5.58,5.37,5.09
2012-05-11,48422.0,5.4,5.48,5.16,5.1
2012-05-14,171572.0,5.65,5.75,5.46,5.46
2012-05-15,83213.0,5.29,5.82,5.7,5.174
2012-05-16,64782.0,5.05,5.4,5.33,5.01
2012-05-17,64429.0,5.11,5.17,5.05,5.0
2012-05-18,108157.0,5.15,5.3,5.16,5.15
2012-05-21,27744.0,5.03,5.39,5.24,5.0
2012-05-22,51666.0,4.86,5.18,5.03,4.62
2012-05-23,68276.0,4.69,4.86,4.79,4.31
2012-05-24,20100.0,4.8,4.86,4.74,4.74
2012-05-25,29185.0,5.0,5.1,4.81,4.81
2012-05-29,69636.0,5.06,5.14,5.04,4.94
2012-05-30,223665.0,5.29,5.31,5.06,5.0
2012-05-31,90917.0,5.5,5.52,5.29,5.29
2012-06-01,66842.0,5.51,5.54,5.4,5.28
2012-06-04,22107.0,5.5,5.6,5.57,5.371
2012-06-05,48269.0,5.62,5.67,5.5,5.5
2012-06-06,116211.0,5.88,5.88,5.63,5.59
2012-06-07,91606.0,5.69,6.0,5.86,5.6
2012-06-08,30328.0,5.73,5.86,5.63,5.6
2012-06-11,67294.0,5.83,5.89,5.85,5.62
2012-06-12,167279.0,5.9,5.94,5.86,5.74
2012-06-13,63750.0,5.74,5.9,5.9,5.69
2012-06-14,134408.0,5.76,5.9,5.83,5.6
2012-06-15,68439.0,5.89,5.9,5.87,5.81
2012-06-18,69295.0,6.0,6.1,5.98,5.937
2012-06-19,215442.0,6.14,6.38,6.0,5.9811
2012-06-20,86764.0,6.1,6.15,6.15,6.07
2012-06-21,164310.0,6.1,6.15,6.11,6.0701
2012-06-22,112475.0,6.1,6.15,6.15,6.05
2012-06-25,22547.0,6.105,6.112,6.1,6.05
2012-06-26,30577.0,6.15,6.15,6.11,6.06
2012-06-27,2630.0,6.1,6.1,6.07,6.07
2012-06-28,200.0,6.05,6.06,6.06,6.05
2012-06-29,16821.0,6.1,6.15,6.15,6.0
2012-07-02,14005.0,6.1,6.1,6.05,6.0001
2012-07-03,24335.0,6.09,6.1,6.1,6.06
2012-07-05,90093.0,6.19,6.33,6.1,6.06
2012-07-06,40038.0,6.12,6.175,6.15,5.88
2012-07-09,29487.0,6.11,6.12,6.1,5.88
2012-07-10,28040.0,5.97,6.1,6.1,5.9
2012-07-11,18352.0,6.0,6.0,6.0,5.88
2012-07-12,21311.0,6.0,6.0,5.98,5.87
2012-07-13,12845.0,5.95,6.0,6.0,5.89
2012-07-16,15422.0,5.94,6.0,5.97,5.88
