date,5. volume,4. close,2. high,1. open,3. low
2007-08-15,10678500.0,57.71,59.87,52.11,51.5
2007-08-16,6919500.0,56.99,61.49,60.99,52.71
2007-08-17,3086100.0,55.55,59.0,56.99,54.45
2007-08-20,2140900.0,57.33,57.5,56.05,55.61
2007-08-21,7369700.0,65.99,66.59,57.25,56.5
2007-08-22,10144400.0,66.85,73.95,70.18,66.56
2007-08-23,4347000.0,70.2,70.88,68.07,65.01
2007-08-24,3812400.0,71.3,72.65,70.2,69.45
2007-08-27,2393300.0,72.3,73.35,71.73,71.01
2007-08-28,3664100.0,69.78,72.1,71.9,66.5
2007-08-29,3580700.0,68.2,72.48,72.0,67.15
2007-08-30,1731300.0,68.46,70.0,67.58,66.25
2007-08-31,921700.0,68.89,70.11,69.82,68.54
2007-09-04,1353800.0,67.45,69.13,69.06,67.25
2007-09-05,2245400.0,64.21,66.59,66.55,63.6501
2007-09-06,2599400.0,69.79,70.1,64.6,64.09
2007-09-07,2668300.0,69.5,71.3,67.01,66.8
2007-09-10,6667400.0,76.76,79.15,72.0,68.85
2007-09-11,10613600.0,76.65,82.75,78.7,76.5
2007-09-12,6005300.0,78.3,80.65,78.44,77.06
2007-09-13,3253800.0,77.79,80.55,79.55,76.53
2007-09-14,3093300.0,77.92,79.5495,77.22,76.55
2007-09-17,4773600.0,73.7,77.6,76.15,73.19
2007-09-18,2931900.0,73.9,75.75,75.35,72.8
2007-09-19,4228400.0,77.6,78.83,75.3,74.86
2007-09-20,2464600.0,76.65,79.27,77.66,76.17
2007-09-21,4114400.0,79.31,79.31,77.35,76.6
2007-09-24,5649300.0,83.83,85.17,81.0,80.32
2007-09-25,2964600.0,83.23,85.0,82.31,82.0
2007-09-26,1539200.0,82.36,84.4,83.99,82.11
2007-09-27,1855400.0,83.12,84.05,83.05,82.05
2007-09-28,3419300.0,85.0,85.52,83.89,82.5
2007-10-01,3845800.0,88.62,89.23,84.75,83.62
2007-10-02,2869600.0,92.42,92.52,88.97,88.36
2007-10-03,3965800.0,88.25,93.98,92.43,87.5
2007-10-04,1754900.0,89.57,90.5,89.15,88.0
