date,5. volume,4. close,2. high,1. open,3. low
2002-05-16,6084200.0,14.49,16.28,16.01,13.95
2002-05-17,1830000.0,12.3,14.35,14.35,11.49
2002-05-20,195700.0,12.0,12.81,12.13,11.93
2002-05-21,248000.0,11.6,12.37,12.19,11.37
2002-05-22,177000.0,11.0,11.5,11.5,10.85
2002-05-23,329200.0,11.17,11.2,10.96,10.33
2002-05-24,145300.0,11.95,12.05,11.22,10.9
2002-05-28,237800.0,12.45,12.55,11.85,11.79
2002-05-29,756000.0,13.65,14.0,12.5,12.36
2002-05-30,388000.0,13.7,14.16,13.95,13.48
2002-05-31,200500.0,12.65,13.88,13.78,12.5
2002-06-03,232900.0,11.55,13.03,13.02,11.28
2002-06-04,266500.0,10.62,11.38,11.2,10.36
2002-06-05,259500.0,11.6,11.73,10.54,10.5
2002-06-06,217200.0,10.7,11.64,11.6,10.55
2002-06-07,135300.0,10.15,10.62,10.62,10.01
2002-06-10,143800.0,10.56,11.13,10.45,10.39
2002-06-11,247900.0,11.1,11.74,11.0,11.0
2002-06-12,101900.0,11.75,11.8,11.21,11.15
2002-06-13,80000.0,11.58,12.2,11.84,11.26
2002-06-14,62400.0,11.75,11.85,11.85,11.31
2002-06-17,166700.0,12.33,12.61,12.61,12.02
2002-06-18,125000.0,11.65,12.41,12.41,11.59
2002-06-19,71500.0,11.75,12.29,11.65,11.56
2002-06-20,55100.0,11.4,12.0,11.99,11.4
2002-06-21,63800.0,10.76,11.75,11.53,10.33
2002-06-24,99200.0,10.75,10.8,10.55,10.18
2002-06-25,64700.0,10.37,10.81,10.81,10.24
2002-06-26,54700.0,9.92,10.1,10.05,9.54
2002-06-27,102800.0,10.89,11.15,10.1,10.1
2002-06-28,237000.0,11.3,11.85,11.0,10.7
2002-07-01,84100.0,10.23,11.49,11.46,10.23
2002-07-02,69700.0,9.57,10.34,10.34,9.25
2002-07-03,142600.0,8.7,9.38,9.37,8.49
2002-07-05,30100.0,8.7,9.19,9.0,8.7
2002-07-08,180000.0,9.3,9.45,8.67,8.53
2002-07-09,122000.0,10.03,10.62,9.25,9.25
2002-07-10,65900.0,9.76,10.2,10.2,9.5
2002-07-11,51700.0,9.79,10.05,9.76,9.57
2002-07-12,16900.0,9.68,9.999,9.75,9.65
2002-07-15,42000.0,9.429,9.81,9.81,9.06
2002-07-16,88500.0,9.7,9.9,9.43,9.3
2002-07-17,21700.0,9.99,9.99,9.99,9.8
2002-07-18,29000.0,9.91,10.17,9.85,9.85
2002-07-19,25100.0,9.52,9.82,9.75,9.32
2002-07-22,47100.0,8.87,9.514,9.51,8.85
2002-07-23,116300.0,7.22,9.0,9.0,7.06
2002-07-24,72400.0,7.5,8.0,7.39,6.7
2002-07-25,66700.0,7.0,7.84,7.75,6.8
2002-07-26,19500.0,6.9,7.22,7.01,6.81
2002-07-29,331500.0,6.3,7.13,6.8,5.83
2002-07-30,280500.0,6.13,6.55,6.5,6.1
2002-07-31,313000.0,6.36,6.55,6.14,5.88
2002-08-01,151800.0,6.6,6.8,6.57,6.36
2002-08-02,58900.0,6.6,6.7,6.57,6.35
2002-08-05,78400.0,6.78,6.9,6.62,6.56
2002-08-06,165500.0,7.84,7.88,6.92,6.92
2002-08-07,228000.0,8.15,8.2,7.84,7.65
2002-08-08,97300.0,8.6,8.89,8.15,8.149
2002-08-09,74600.0,8.64,8.65,8.6,8.2
2002-08-12,66000.0,8.79,8.83,8.6,8.251
2002-08-13,57600.0,8.51,8.85,8.71,8.5
2002-08-14,78400.0,9.29,9.3,8.6,8.56
2002-08-15,60000.0,9.58,10.01,9.3,9.15
2002-08-16,56700.0,9.31,9.62,9.62,9.0
2002-08-19,64200.0,9.43,9.75,9.5,9.31
2002-08-20,31200.0,9.44,9.6,9.43,9.4
2002-08-21,66400.0,9.5,9.6,9.46,9.38
2002-08-22,85700.0,9.21,9.5,9.48,9.16
2002-08-23,70000.0,9.0,9.4,9.2,8.94
2002-08-26,76200.0,8.582,9.08,9.05,8.3
2002-08-27,31000.0,8.97,9.02,8.8,8.8
2002-08-28,21600.0,8.86,9.0,8.81,8.81
2002-08-29,24700.0,9.0,9.099,8.87,8.82
2002-08-30,27700.0,8.6,9.0,8.98,8.6
2002-09-03,49200.0,8.51,8.75,8.5,8.36
2002-09-04,55700.0,9.1,9.21,8.59,8.58
2002-09-05,55800.0,8.97,9.11,9.08,8.9
2002-09-06,43800.0,9.0,9.13,9.06,8.95
2002-09-09,62000.0,9.2,9.25,9.0,9.0
2002-09-10,125100.0,10.1,10.1,9.2,9.05
2002-09-11,117000.0,9.46,10.2,10.2,9.28
2002-09-12,68200.0,9.5,9.65,9.29,9.25
2002-09-13,44400.0,9.91,9.95,9.5,9.32
2002-09-16,45400.0,9.46,10.09,10.09,9.35
2002-09-17,105200.0,9.17,9.61,9.54,9.04
2002-09-18,61900.0,9.1,9.289,9.15,9.08
2002-09-19,45600.0,9.06,9.2,9.02,9.0
2002-09-20,58300.0,9.25,9.26,9.19,9.05
2002-09-23,60800.0,8.8,9.06,9.06,8.79
2002-09-24,50400.0,8.8,9.0,9.0,8.65
2002-09-25,45200.0,8.88,8.9,8.78,8.61
2002-09-26,13600.0,9.23,9.25,8.91,8.86
2002-09-27,6300.0,9.04,9.235,9.2,8.96
2002-09-30,80900.0,8.629,9.02,9.0,8.42
2002-10-01,51900.0,9.24,9.28,8.63,8.591
2002-10-02,109500.0,9.81,9.85,9.24,8.852
2002-10-03,26200.0,9.88,10.0,9.88,9.77
2002-10-04,26700.0,9.66,9.8,9.8,9.5
2002-10-07,32200.0,9.51,9.65,9.65,9.45
2002-10-08,27700.0,9.3,9.525,9.525,9.25
2002-10-09,38100.0,9.25,9.3,9.3,8.93
2002-10-10,37400.0,9.55,9.6,9.12,9.0
2002-10-11,33100.0,9.699,10.0,9.5,9.5
2002-10-14,34900.0,9.4,9.7,9.7,9.25
2002-10-15,35100.0,9.25,9.5,9.45,9.19
2002-10-16,69400.0,8.42,9.2,9.2,8.0
2002-10-17,28700.0,8.7,8.73,8.64,8.46
2002-10-18,8200.0,8.81,8.98,8.75,8.75
2002-10-21,12000.0,9.28,9.28,8.72,8.72
2002-10-22,78200.0,9.7,10.4,9.3,9.0
2002-10-23,32500.0,9.94,10.0,9.85,9.85
2002-10-24,70300.0,10.0,10.2,9.99,9.56
2002-10-25,80600.0,10.2,10.5,10.1,10.0
2002-10-28,54100.0,10.79,10.79,10.31,10.1
2002-10-29,34000.0,10.64,10.85,10.8,10.48
2002-10-30,78800.0,10.64,10.64,10.64,10.64
2002-10-31,98800.0,11.15,11.8,11.4,10.83
2002-11-01,162900.0,11.17,11.5,11.25,11.11
2002-11-04,183100.0,10.6,11.43,11.28,10.5
2002-11-05,27800.0,11.01,11.15,10.5,10.45
2002-11-06,146300.0,11.25,11.45,11.06,10.79
2002-11-07,44000.0,11.26,11.28,10.95,10.8
2002-11-08,47200.0,11.3,11.35,11.1,11.1
2002-11-11,159400.0,11.85,12.53,11.33,10.95
2002-11-12,252800.0,12.84,12.99,12.0,12.0
2002-11-13,130300.0,12.89,13.0,12.8,12.61
2002-11-14,102800.0,13.13,13.21,12.9,12.9
2002-11-15,215900.0,12.93,13.15,12.65,12.55
2002-11-18,146100.0,13.12,13.15,12.93,12.85
2002-11-19,199700.0,13.71,14.15,13.15,13.13
2002-11-20,293200.0,14.9,15.18,13.8,13.75
2002-11-21,162000.0,14.5,15.39,15.0,14.35
2002-11-22,326100.0,14.25,14.35,14.35,13.9
2002-11-25,242400.0,14.1,15.0,14.4,13.4
2002-11-26,513900.0,15.4,16.11,14.18,14.0
2002-11-27,1085300.0,17.2,17.69,15.15,15.05
2002-11-29,383200.0,18.2,18.57,17.31,17.31
2002-12-02,839000.0,19.11,19.85,19.42,18.66
2002-12-03,293300.0,18.64,19.08,19.07,17.8
2002-12-04,533400.0,19.77,20.12,18.42,18.0
2002-12-05,340600.0,19.19,20.54,20.2,19.08
2002-12-06,207600.0,18.28,19.34,19.16,18.06
2002-12-09,479900.0,16.75,18.5,18.2,16.0
2002-12-10,154800.0,16.85,17.41,16.5,16.29
2002-12-11,365900.0,18.52,18.69,16.65,16.5
2002-12-12,370400.0,18.43,18.99,18.78,18.05
2002-12-13,142000.0,17.41,18.56,18.35,17.2
2002-12-16,127700.0,18.28,18.48,17.15,16.97
2002-12-17,224500.0,18.67,18.85,18.32,17.8
2002-12-18,83400.0,17.94,18.8,18.7,17.75
2002-12-19,157000.0,18.16,18.27,17.6,17.59
2002-12-20,89400.0,17.85,18.53,17.6,17.5
2002-12-23,180800.0,16.56,17.7,17.69,16.5
2002-12-24,154800.0,17.99,18.28,16.41,16.25
2002-12-26,1103200.0,21.34,21.6,18.1,18.06
2002-12-27,379700.0,21.11,21.64,21.5,20.7
2002-12-30,342300.0,20.55,21.76,21.11,19.95
2002-12-31,311600.0,20.18,20.7,20.05,18.94
2003-01-02,758900.0,22.49,22.49,20.36,19.95
2003-01-03,341300.0,22.03,22.92,22.69,21.68
2003-01-06,436000.0,22.78,23.39,21.9,21.82
2003-01-07,434500.0,22.24,23.32,22.95,22.05
2003-01-08,167300.0,22.11,22.4,22.4,21.25
2003-01-09,346900.0,23.2,23.25,22.19,22.0
2003-01-10,464900.0,23.06,23.9,23.0,22.55
2003-01-13,245800.0,22.88,23.44,23.07,22.06
2003-01-14,226300.0,22.94,23.0,22.95,22.66
2003-01-15,179700.0,22.41,23.0,22.91,22.02
2003-01-16,177400.0,22.6,22.75,22.45,22.2
2003-01-17,392400.0,20.62,23.05,23.0,20.4
2003-01-21,368000.0,21.12,21.78,20.29,19.75
2003-01-22,165900.0,21.0,21.39,21.04,20.22
2003-01-23,760200.0,18.6,21.5,21.4,17.56
2003-01-24,300900.0,17.9,19.0,18.73,17.25
2003-01-27,466300.0,17.65,18.37,17.07,16.5
2003-01-28,215400.0,18.2,18.77,17.83,17.27
2003-01-29,154700.0,18.24,18.77,17.83,17.27
2003-01-30,176700.0,17.98,18.06,17.62,17.62
2003-01-31,183400.0,18.62,18.68,17.83,17.62
2003-02-03,253700.0,18.31,18.81,18.62,18.0
2003-02-04,198500.0,16.75,18.29,18.29,16.55
2003-02-05,212800.0,15.05,16.95,16.55,14.89
2003-02-06,493500.0,15.12,15.46,14.81,14.55
2003-02-07,203500.0,14.98,15.53,15.01,14.7
2003-02-10,159000.0,14.39,15.46,15.2,14.27
2003-02-11,351100.0,15.54,15.7,14.73,13.69
2003-02-12,459900.0,17.35,17.44,15.74,15.45
2003-02-13,239700.0,17.51,17.75,17.35,16.68
2003-02-14,108500.0,16.22,17.44,17.43,16.22
2003-02-18,157500.0,16.9,17.15,16.18,15.56
2003-02-19,43800.0,16.42,17.05,17.03,15.92
2003-02-20,48300.0,16.29,16.5,16.15,15.4
2003-02-21,26900.0,16.76,16.81,16.3,16.13
2003-02-24,126100.0,16.1,16.38,16.38,16.0
2003-02-25,103300.0,17.13,17.33,16.16,15.42
2003-02-26,112600.0,16.56,17.25,17.2,16.43
2003-02-27,164200.0,17.05,17.23,16.83,16.44
2003-02-28,85800.0,17.15,17.25,16.93,16.93
2003-03-03,188900.0,17.12,17.79,17.15,17.0
2003-03-04,114700.0,17.41,17.53,16.86,16.25
2003-03-05,42700.0,17.0,17.35,17.35,16.86
2003-03-06,270100.0,18.39,18.97,17.01,16.92
2003-03-07,160700.0,17.99,18.51,18.2,17.45
2003-03-10,268800.0,19.09,19.6,18.15,17.82
2003-03-11,330300.0,19.63,20.07,19.1,18.8
2003-03-12,316300.0,19.5,19.89,19.68,19.09
2003-03-13,1093400.0,17.96,20.0,20.0,17.39
2003-03-14,167000.0,17.65,18.2,18.13,17.5
2003-03-17,381500.0,16.1,17.46,17.33,15.88
2003-03-18,221600.0,17.02,17.17,16.37,15.83
2003-03-19,165200.0,16.12,17.21,16.86,15.92
2003-03-20,361500.0,15.98,16.14,16.01,15.37
2003-03-21,124800.0,16.05,16.36,15.99,15.47
2003-03-24,203700.0,16.0,16.0,15.8,15.51
2003-03-25,122000.0,16.85,17.08,16.05,16.02
2003-03-26,125900.0,17.59,17.68,16.65,16.5
2003-03-27,180900.0,16.88,17.7,17.56,16.52
2003-03-28,58800.0,16.83,16.96,16.96,16.71
2003-03-31,73900.0,16.9,17.31,16.81,16.58
2003-04-01,99200.0,16.61,17.13,17.13,16.61
2003-04-02,208500.0,17.03,17.09,16.61,16.61
2003-04-03,72300.0,17.76,18.1,17.05,17.04
2003-04-04,31500.0,17.181,17.85,17.7,17.18
2003-04-07,59600.0,17.15,18.0,17.2,17.07
2003-04-08,60400.0,17.06,17.34,17.15,16.4
2003-04-09,28600.0,16.6,17.39,17.0,16.5
2003-04-10,37400.0,16.98,17.03,16.5,16.49
2003-04-11,30000.0,17.211,17.27,17.01,16.98
2003-04-14,23600.0,17.43,17.43,17.25,17.2
2003-04-15,30800.0,17.421,17.7,17.31,17.31
2003-04-16,36000.0,17.521,17.75,17.52,17.52
2003-04-17,126200.0,18.48,19.0,17.52,17.52
2003-04-21,122500.0,18.93,19.44,18.43,18.43
2003-04-22,62500.0,18.85,19.19,18.92,18.1
2003-04-23,87800.0,19.77,19.86,18.85,18.73
2003-04-24,75600.0,19.82,20.0,19.55,19.32
2003-04-25,101900.0,19.64,19.89,19.77,18.75
2003-04-28,275700.0,20.95,21.32,19.32,19.32
2003-04-29,265100.0,20.48,20.99,20.55,20.13
2003-04-30,96400.0,19.65,20.75,20.75,19.3
2003-05-01,60800.0,19.12,19.79,19.46,18.91
2003-05-02,188700.0,20.15,21.2,19.17,19.0
2003-05-05,525700.0,22.69,23.16,20.75,20.62
2003-05-06,290500.0,21.98,22.83,22.8,21.71
2003-05-07,226700.0,22.5,23.95,22.0,21.75
2003-05-08,231200.0,20.8,22.47,22.46,20.34
2003-05-09,256800.0,19.76,21.56,20.9,19.4
2003-05-12,405200.0,21.24,21.28,19.25,19.02
2003-05-13,191000.0,21.56,22.3,20.9,20.8
2003-05-14,94500.0,20.85,21.79,21.5,20.57
2003-05-15,171000.0,19.92,21.05,20.85,19.82
2003-05-16,114900.0,19.99,20.29,19.8,19.4
2003-05-19,189500.0,18.75,19.6,19.55,18.5
2003-05-20,153900.0,19.41,19.67,18.78,18.63
2003-05-21,79800.0,19.0,19.29,19.22,18.63
2003-05-22,132700.0,19.83,20.42,18.91,18.91
2003-05-23,189800.0,21.15,21.2,19.27,19.0
2003-05-27,156300.0,22.4,22.65,21.32,21.28
2003-05-28,170400.0,22.69,23.15,22.92,22.1
2003-05-29,136200.0,21.8,23.0,22.73,21.47
2003-05-30,104800.0,21.25,22.15,21.8,20.77
2003-06-02,174700.0,22.39,22.6,21.29,20.81
2003-06-03,744700.0,24.37,24.85,22.42,21.35
2003-06-04,1178600.0,26.31,26.56,26.21,25.25
2003-06-05,279900.0,25.87,26.3,25.78,25.5
2003-06-06,1068900.0,22.881,26.65,26.28,22.2
2003-06-09,967900.0,23.51,24.0,22.9,21.07
2003-06-10,685200.0,24.669,25.18,23.82,23.6
2003-06-11,535900.0,24.39,24.86,24.17,23.55
2003-06-12,1527000.0,23.8,24.65,24.4,23.26
2003-06-13,3536600.0,24.4,24.8,24.32,23.9
2003-06-16,1132300.0,24.68,25.4,24.77,24.51
2003-06-17,469900.0,24.76,25.25,25.06,24.38
2003-06-18,249700.0,24.7,24.979,24.8,24.3
2003-06-19,708300.0,23.8,25.17,24.58,23.45
2003-06-20,445300.0,24.77,24.91,23.971,23.55
2003-06-23,257800.0,24.05,25.0,24.92,23.84
2003-06-24,343600.0,23.95,24.39,23.5,23.43
2003-06-25,90100.0,24.0,24.21,24.03,23.8
2003-06-26,136600.0,24.52,24.74,24.0,23.96
2003-06-27,372400.0,25.071,26.26,24.52,24.38
2003-06-30,319500.0,25.35,25.97,25.36,24.9
2003-07-01,212700.0,25.99,26.17,25.33,24.481
2003-07-02,467700.0,27.44,27.45,26.5,26.0
2003-07-03,210400.0,25.63,27.3,26.8,25.6
2003-07-07,172000.0,26.06,26.57,26.0,25.86
2003-07-08,203600.0,26.25,26.43,26.05,25.75
2003-07-09,233300.0,25.89,26.42,26.1,25.75
2003-07-10,199800.0,25.95,26.48,26.48,25.42
2003-07-11,134700.0,25.9,26.34,25.99,25.62
2003-07-14,354200.0,25.3,26.28,25.63,24.99
2003-07-15,608500.0,24.09,25.15,25.05,23.15
2003-07-16,208500.0,24.2,24.4,24.12,23.93
2003-07-17,217500.0,23.97,24.25,24.15,23.91
2003-07-18,524300.0,23.95,24.12,23.95,23.81
2003-07-21,632200.0,21.7,24.09,23.95,21.51
