date,5. volume,4. close,2. high,1. open,3. low
2017-11-09,20596.0,84.76,84.88,84.75,84.69
2017-11-10,36317.0,84.4,84.74,84.74,84.4
2017-11-13,20385.0,84.375,84.7,84.7,84.3259
2017-11-14,58159.0,84.385,84.48,84.42,84.33
2017-11-15,30056.0,84.61,84.77,84.77,84.38
2017-11-16,28251.0,84.42,84.63,84.55,84.42
2017-11-17,11977.0,84.6436,84.73,84.73,84.58
2017-11-20,34731.0,84.55,84.8099,84.8,84.51
2017-11-21,6168.0,84.75,84.9,84.73,84.73
2017-11-22,14516.0,85.08,85.088,84.97,84.8772
2017-11-24,7087.0,85.05,85.1162,85.09,84.97
2017-11-27,25138.0,85.01,85.09,85.09,84.9
2017-11-28,4560.0,85.01,85.14,85.14,85.01
2017-11-29,15514.0,84.84,85.02,85.02,84.6717
2017-11-30,21000.0,84.69,84.92,84.82,84.69
2017-12-01,11629.0,84.75,84.918,84.82,84.5
2017-12-04,11400.0,84.78,85.02,85.02,84.6456
2017-12-05,12433.0,84.89,84.98,84.82,84.67
2017-12-06,19556.0,85.03,85.23,85.23,85.03
2017-12-07,13975.0,84.91,85.2,85.2,84.9
2017-12-08,4196.0,84.868,84.95,84.9,84.82
2017-12-11,11475.0,84.89,85.03,85.0,84.86
2017-12-12,18350.0,84.79,84.89,84.89,84.7
2017-12-13,12187.0,85.17,85.19,84.99,84.86
2017-12-14,9184.0,85.24,85.24,85.14,85.06
2017-12-15,8040.0,85.35,85.355,85.3,85.18
2017-12-18,16150.0,85.11,85.49,85.49,85.07
2017-12-19,13416.0,84.8,85.24,85.24,84.7
2017-12-20,8215.0,84.6,84.665,84.57,84.541
2017-12-21,8143.0,84.7208,84.76,84.66,84.6
2017-12-22,5737.0,84.73,85.45,84.71,84.68
2017-12-26,10882.0,84.51,88.99,88.99,84.51
2017-12-27,5791.0,84.94,84.95,84.79,84.74
2017-12-28,13936.0,84.99,85.15,85.11,84.801
2017-12-29,4811.0,85.0,85.0567,84.91,84.8622
2018-01-02,27463.0,84.63,85.06,85.06,84.52
2018-01-03,8411.0,84.78,84.84,84.68,84.68
2018-01-04,27363.0,84.8,84.8,84.77,84.6
2018-01-05,18013.0,84.7,84.838,84.77,84.6
2018-01-08,11870.0,84.71,84.86,84.86,84.6384
2018-01-09,23493.0,84.43,84.68,84.68,84.41
2018-01-10,11721.0,84.52,84.538,84.35,84.2308
2018-01-11,12285.0,84.59,84.7,84.48,84.48
2018-01-12,19756.0,84.74,84.76,84.5,84.5
2018-01-16,12893.0,84.72,84.88,84.88,84.655
2018-01-17,17581.0,84.55,84.88,84.88,84.52
2018-01-18,14409.0,84.28,85.1,85.1,84.27
2018-01-19,15148.0,84.1299,84.28,84.28,84.12
2018-01-22,11938.0,84.0818,84.219,84.18,84.0709
2018-01-23,19701.0,84.34,84.39,84.3,84.26
2018-01-24,6351.0,84.2225,84.25,84.25,84.1164
2018-01-25,14820.0,84.58,84.59,84.42,84.2067
2018-01-26,11934.0,84.4713,84.64,84.64,84.3628
2018-01-29,20662.0,84.25,84.38,84.38,84.16
2018-01-30,10126.0,84.1,84.22,84.22,84.02
