date,5. volume,4. close,2. high,1. open,3. low
2010-09-22,20100.0,51.36,51.92,51.92,51.34
2010-09-23,14000.0,51.33,51.53,50.95,50.95
2010-09-24,11100.0,52.04,52.04,51.97,51.97
2010-09-27,2000.0,52.01,52.01,52.01,52.01
2010-09-28,1000.0,52.07,52.07,52.07,52.07
2010-09-29,1380.0,52.004,52.2,52.2,52.004
2010-09-30,1000.0,52.36,52.36,52.36,52.36
2010-10-01,0.0,52.36,52.36,52.36,52.36
2010-10-04,2000.0,51.67,51.67,51.62,51.62
2010-10-05,6660.0,52.78,52.78,52.75,52.75
2010-10-06,0.0,52.78,52.78,52.78,52.78
2010-10-07,29000.0,52.68,52.7,52.7,52.5
2010-10-08,3500.0,53.0,53.05,52.69,52.69
2010-10-11,3700.0,53.06,53.2,53.14,53.06
2010-10-12,3600.0,53.37,53.39,53.01,52.99
2010-10-13,600.0,53.81,53.81,53.81,53.81
2010-10-14,2565.0,53.3962,53.76,53.75,53.3962
2010-10-15,1000.0,53.71,53.71,53.71,53.71
2010-10-18,0.0,53.71,53.71,53.71,53.71
2010-10-19,950.0,53.04,53.36,53.36,53.04
2010-10-20,0.0,53.04,53.04,53.04,53.04
2010-10-21,1892.0,53.68,53.68,53.68,53.45
2010-10-22,1300.0,53.81,53.84,53.84,53.81
2010-10-25,5500.0,54.31,54.31,54.31,54.31
2010-10-26,42100.0,54.01,54.11,53.72,53.72
2010-10-27,12885.0,53.86,53.86,53.72,53.41
2010-10-28,13800.0,53.93,54.31,54.26,53.78
2010-10-29,3200.0,54.03,54.05,53.88,53.78
2010-11-01,2300.0,53.72,54.15,54.09,53.72
2010-11-02,500.0,54.44,54.44,54.42,54.42
2010-11-03,700.0,54.54,54.59,54.59,54.54
2010-11-04,14600.0,55.55,55.55,55.36,55.33
2010-11-05,3800.0,55.74,56.03,55.78,55.74
2010-11-08,2700.0,55.81,55.81,55.65,55.65
2010-11-09,24300.0,55.358,56.04,55.98,55.31
2010-11-10,15960.0,55.64,55.66,55.33,55.18
2010-11-11,3500.0,55.47,55.58,55.26,55.25
2010-11-12,1200.0,54.74,55.36,55.29,54.74
2010-11-15,3200.0,55.03,55.17,55.06,54.99
2010-11-16,7625.0,53.73,54.54,54.54,53.73
2010-11-17,2005.0,54.03,54.08,54.05,54.03
2010-11-18,5400.0,54.75,54.9,54.55,54.55
2010-11-19,14663.0,54.92,54.94,54.58,54.45
2010-11-22,14800.0,54.75,54.81,54.66,54.39
2010-11-23,3300.0,54.15,54.3,54.28,54.01
2010-11-24,4501.0,55.02,55.02,54.68,54.65
2010-11-26,4500.0,54.7,54.84,54.54,54.54
2010-11-29,19000.0,54.65,54.65,54.11,54.0
2010-11-30,18400.0,54.52,54.55,54.04,54.03
2010-12-01,15700.0,55.42,55.48,55.09,55.09
2010-12-02,7600.0,56.08,56.12,55.52,55.51
2010-12-03,3900.0,56.1,56.1,55.98,55.98
2010-12-06,1800.0,56.38,56.38,56.2,56.2
2010-12-07,30100.0,56.33,56.86,56.84,56.33
2010-12-08,16500.0,56.4162,56.55,56.44,56.17
2010-12-09,20094.0,56.65,56.74,56.74,56.51
2010-12-10,30100.0,57.08,57.1,56.79,56.69
2010-12-13,30948.0,57.04,57.32,57.16,57.04
2010-12-14,16400.0,57.07,57.22,57.15,56.98
2010-12-15,16400.0,56.91,57.18,57.01,56.77
2010-12-16,6860.0,57.15,57.18,56.91,56.86
2010-12-17,94639.0,57.26,57.36,57.17,57.06
2010-12-20,66821.0,57.516,57.57,57.46,57.39
2010-12-21,600.0,57.66,57.66,57.66,57.66
2010-12-22,27100.0,57.97,58.04,57.91,57.87
2010-12-23,15735.0,57.918,58.03,57.99,57.918
2010-12-27,2200.0,57.67,57.67,57.4,57.4
2010-12-28,8601.0,57.74,57.74,57.69,57.61
2010-12-29,135494.0,57.81,57.91,57.88,57.79
2010-12-30,49366.0,57.74,57.88,57.8,57.7
