date,5. volume,4. close,2. high,1. open,3. low
2018-05-16,2799376.0,10.0,10.01,10.0,10.0
2018-05-17,85785.0,10.0,10.01,10.01,10.0
2018-05-18,198771.0,10.01,10.01,10.0099,10.005
2018-05-21,94120.0,10.0005,10.01,10.0054,10.0
2018-05-22,556664.0,10.0034,10.05,10.05,9.99
2018-05-23,604000.0,10.01,10.05,10.05,10.0
2018-05-24,1161208.0,10.0,10.01,10.0,10.0
2018-05-25,44003.0,10.01,10.01,10.0,10.0
2018-05-29,190100.0,10.0,10.05,10.05,10.0
2018-05-30,4456.0,10.0,10.01,10.01,10.0
2018-05-31,21419.0,10.01,10.01,10.0,9.965
2018-06-01,561200.0,10.005,10.01,10.01,10.0
2018-06-04,42261.0,10.0099,10.01,10.01,10.005
2018-06-05,234594.0,10.0,10.01,10.01,10.0
2018-06-06,7050.0,10.0,10.03,10.0,10.0
2018-06-07,550000.0,10.0,10.0,10.0,10.0
2018-06-08,117300.0,10.0,10.01,10.01,10.0
