date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,17600.0,6.62,6.62,6.53,6.44
2000-01-04,3500.0,6.375,6.625,6.625,6.375
2000-01-05,107300.0,6.375,6.438,6.25,6.25
2000-01-06,32100.0,6.469,6.5,6.5,6.422
2000-01-07,31100.0,6.5,6.688,6.438,6.375
2000-01-10,11500.0,6.375,6.5,6.25,6.25
2000-01-11,9900.0,6.375,6.375,6.25,6.25
2000-01-12,15600.0,6.25,6.25,6.25,6.0
2000-01-13,9000.0,6.188,6.25,6.0,6.0
2000-01-14,24300.0,6.813,7.0,6.313,6.25
2000-01-18,21000.0,6.75,6.875,6.688,6.688
2000-01-19,10900.0,6.625,6.625,6.625,6.625
2000-01-20,7200.0,6.438,6.625,6.625,6.0
2000-01-21,7100.0,6.25,6.25,6.125,6.0
2000-01-24,5700.0,6.188,6.375,6.25,6.188
2000-01-25,14800.0,6.25,6.313,6.125,6.063
2000-01-26,33800.0,6.25,6.313,6.125,6.0
2000-01-27,27100.0,6.0,6.125,6.125,6.0
2000-01-28,11500.0,5.5,5.875,5.875,5.5
2000-01-31,8600.0,5.688,5.688,5.625,5.563
2000-02-01,12300.0,5.688,5.719,5.719,5.625
2000-02-02,56600.0,5.75,5.75,5.625,5.625
2000-02-03,16300.0,5.875,5.938,5.875,5.688
2000-02-04,10100.0,6.063,6.063,5.875,5.625
2000-02-07,8600.0,5.75,5.875,5.75,5.75
2000-02-08,10700.0,5.938,5.938,5.875,5.875
2000-02-09,49600.0,5.5,5.797,5.797,5.5
2000-02-10,6300.0,5.625,5.688,5.625,5.5
2000-02-11,10800.0,5.5,5.688,5.563,5.5
2000-02-14,7700.0,5.75,5.75,5.75,5.5
2000-02-15,23300.0,5.813,5.813,5.5,5.5
2000-02-16,13100.0,5.938,6.0,5.813,5.813
2000-02-17,28900.0,6.0,6.031,6.0,5.938
2000-02-18,68500.0,6.0,6.125,6.125,6.0
2000-02-22,56000.0,6.125,6.188,6.016,6.0
2000-02-23,69400.0,6.563,6.688,6.25,6.219
2000-02-24,45800.0,6.563,6.625,6.516,6.125
2000-02-25,17200.0,6.0,6.25,6.0,6.0
2000-02-28,23900.0,5.688,6.0,5.875,5.5
