date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,15300.0,24.12,26.06,26.06,24.0
2000-01-04,12300.0,24.38,25.63,25.63,24.13
2000-01-05,10200.0,24.25,24.63,24.19,24.0
2000-01-06,22500.0,24.0,24.38,24.38,22.0
2000-01-07,12600.0,24.5,24.88,24.0,23.75
2000-01-10,23000.0,24.5,24.5,24.38,24.38
2000-01-11,17200.0,23.63,24.5,24.44,22.75
2000-01-12,9100.0,24.5,24.63,23.5,23.5
2000-01-13,12600.0,23.63,24.5,24.25,23.63
2000-01-14,21800.0,22.5,24.63,23.5,22.5
2000-01-18,10100.0,23.75,23.88,22.5,22.5
2000-01-19,16000.0,24.0,24.25,23.75,23.63
2000-01-20,16800.0,25.0,25.13,24.25,23.88
2000-01-21,28100.0,24.31,24.63,24.38,24.31
2000-01-24,18200.0,24.38,25.0,24.31,24.31
2000-01-25,41200.0,23.75,24.63,24.5,23.38
2000-01-26,7000.0,23.94,24.38,24.13,23.94
2000-01-27,9800.0,23.75,23.88,23.88,23.63
2000-01-28,22500.0,24.75,24.88,23.0,23.0
2000-01-31,24500.0,24.0,24.94,24.63,23.5
2000-02-01,13000.0,24.5,24.5,24.0,23.0
2000-02-02,15000.0,24.0,24.44,24.44,23.75
2000-02-03,14900.0,24.0,24.19,24.13,23.88
2000-02-04,16700.0,23.69,24.0,24.0,23.38
2000-02-07,19800.0,24.0,24.0,23.75,23.75
2000-02-08,26000.0,23.5,24.0,24.0,23.5
2000-02-09,8200.0,23.63,23.75,23.75,23.13
2000-02-10,12500.0,23.63,23.69,23.69,23.5
2000-02-11,14000.0,23.56,24.13,23.5,23.5
2000-02-14,30700.0,23.25,23.63,23.63,22.88
2000-02-15,12900.0,21.63,23.25,23.25,21.63
2000-02-16,30500.0,22.25,22.69,22.44,21.63
2000-02-17,17200.0,23.38,23.38,21.75,21.31
2000-02-18,13700.0,22.88,23.38,23.38,21.38
2000-02-22,21200.0,21.75,22.75,22.63,20.5
2000-02-23,44400.0,21.5,21.5,21.0,21.0
2000-02-24,4000.0,21.75,22.38,21.5,21.0
2000-02-25,900.0,22.25,22.25,22.13,22.13
2000-02-28,9000.0,21.38,22.25,22.25,21.0
2000-02-29,20000.0,21.0,21.25,21.0,20.56
2000-03-01,13400.0,21.75,21.75,21.0,21.0
2000-03-02,15900.0,21.38,22.0,22.0,21.19
2000-03-03,9500.0,21.38,21.81,21.38,20.88
2000-03-06,8600.0,21.75,21.81,21.0,21.0
2000-03-07,10400.0,21.0,22.38,22.0,21.0
2000-03-08,10900.0,20.88,21.56,21.0,20.75
2000-03-09,10400.0,21.5,22.0,21.0,20.88
2000-03-10,15600.0,22.13,22.13,21.63,21.0
2000-03-13,30300.0,21.63,22.13,21.5,21.0
2000-03-14,13800.0,20.5,21.63,21.31,20.5
2000-03-15,27100.0,20.44,20.69,20.38,18.94
2000-03-16,24000.0,20.13,20.47,20.25,19.25
2000-03-17,14100.0,19.5,19.5,19.03,19.03
2000-03-20,8100.0,21.0,21.13,19.63,19.63
2000-03-21,10000.0,21.25,21.25,21.25,20.88
2000-03-22,17100.0,20.75,21.5,20.75,20.75
2000-03-23,13500.0,21.63,21.63,20.75,20.75
2000-03-24,12200.0,21.56,21.63,21.0,20.75
2000-03-27,17400.0,21.0,21.5,21.25,21.0
2000-03-28,15600.0,20.63,21.0,21.0,20.25
2000-03-29,21000.0,20.5,20.81,20.81,20.25
2000-03-30,37900.0,20.5,20.75,20.53,20.13
2000-03-31,55700.0,19.31,20.81,20.38,18.88
2000-04-03,56900.0,20.0,20.13,20.13,19.0
2000-04-04,59900.0,22.81,23.0,20.25,20.25
2000-04-05,72700.0,21.88,22.63,22.25,19.5
2000-04-06,49100.0,21.5,21.75,21.63,19.25
2000-04-07,31100.0,22.0,22.25,21.5,21.5
2000-04-10,21900.0,20.5,21.75,21.0,20.25
2000-04-11,19900.0,22.25,22.25,20.25,20.25
2000-04-12,23400.0,22.0,22.88,22.25,21.0
2000-04-13,28100.0,22.5,22.94,21.88,21.88
2000-04-14,22500.0,22.5,22.5,21.75,21.5
2000-04-17,28600.0,22.75,22.88,22.0,21.25
2000-04-18,20500.0,22.5,22.56,21.5,21.5
2000-04-19,22100.0,21.75,22.0,21.81,21.25
2000-04-20,35400.0,22.0,22.0,21.75,21.25
2000-04-24,20700.0,21.75,22.0,21.25,21.25
2000-04-25,18200.0,22.0,22.0,21.25,21.25
2000-04-26,26600.0,22.0,22.25,21.5,21.5
2000-04-27,22900.0,22.0,22.5,21.75,21.75
2000-04-28,23200.0,22.75,22.75,22.5,22.0
2000-05-01,28000.0,23.0,23.0,22.69,22.5
2000-05-02,20400.0,22.75,23.0,23.0,22.5
2000-05-03,19300.0,22.75,23.0,22.47,22.38
2000-05-04,500.0,22.88,22.88,22.75,22.75
2000-05-05,35900.0,23.0,23.5,23.0,22.94
2000-05-08,34200.0,22.94,23.5,22.94,22.94
2000-05-09,19900.0,23.88,23.88,22.94,22.5
2000-05-10,13700.0,23.5,23.5,23.0,22.0
2000-05-11,25300.0,23.13,23.5,22.25,22.0
2000-05-12,52900.0,22.94,23.13,22.94,22.75
2000-05-15,21600.0,23.5,23.5,22.94,22.88
2000-05-16,32400.0,22.75,23.38,22.75,22.63
2000-05-17,43000.0,23.5,23.5,22.88,22.0
2000-05-18,10000.0,22.94,23.0,22.5,22.5
2000-05-19,18200.0,23.0,23.06,22.88,22.75
2000-05-22,36900.0,22.94,23.0,22.81,22.75
2000-05-23,17700.0,22.5,23.0,22.75,22.5
2000-05-24,11600.0,22.5,23.0,22.5,22.5
2000-05-25,22900.0,22.0,23.0,23.0,22.0
2000-05-26,10400.0,23.0,23.0,21.75,21.75
2000-05-30,25800.0,23.0,23.0,23.0,22.56
2000-05-31,21700.0,23.0,23.13,23.13,23.0
2000-06-01,23400.0,23.63,23.63,23.5,23.0
2000-06-02,12000.0,23.5,23.88,23.63,23.5
2000-06-05,17700.0,23.5,23.88,23.0,23.0
2000-06-06,13600.0,23.94,24.0,23.25,23.25
2000-06-07,41900.0,23.0,23.5,23.0,22.56
2000-06-08,13300.0,23.63,23.84,23.5,23.25
2000-06-09,12600.0,23.63,23.94,23.25,23.25
2000-06-12,18600.0,23.81,23.88,23.25,23.13
2000-06-13,14300.0,24.0,24.0,23.75,23.63
2000-06-14,9900.0,23.56,23.88,23.5,23.44
2000-06-15,11200.0,23.94,24.0,23.38,23.25
2000-06-16,66200.0,24.0,24.75,24.03,23.13
2000-06-19,14600.0,23.97,24.19,24.19,23.5
2000-06-20,17000.0,24.0,24.0,23.28,23.25
2000-06-21,11800.0,23.0,23.56,23.0,23.0
2000-06-22,7800.0,23.59,23.86,23.56,23.31
2000-06-23,12200.0,22.75,23.98,23.38,22.75
2000-06-26,11300.0,23.75,23.75,22.94,22.38
2000-06-27,42900.0,23.94,23.94,23.75,23.5
2000-06-28,41800.0,24.5,24.5,23.94,23.5
2000-06-29,36300.0,24.63,25.0,24.0,22.19
2000-06-30,33200.0,24.25,24.5,24.25,24.25
2000-07-03,22000.0,23.88,24.5,23.88,23.75
2000-07-05,35400.0,24.44,24.44,23.88,22.13
2000-07-06,34100.0,24.06,24.44,24.44,23.13
2000-07-07,39500.0,24.23,24.25,24.13,24.06
2000-07-10,30500.0,24.25,24.25,24.0,23.5
2000-07-11,16300.0,23.63,24.23,24.19,23.0
2000-07-12,16200.0,24.5,24.81,23.75,23.69
2000-07-13,18300.0,24.63,24.81,24.13,24.13
2000-07-14,48600.0,24.63,24.81,24.69,24.25
2000-07-17,72800.0,24.38,24.75,24.38,24.06
2000-07-18,78900.0,23.88,24.38,24.38,23.88
