date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,5100.0,2.0,2.0,2.0,2.0
2000-01-04,13200.0,2.06,2.12,2.12,2.06
2000-01-05,10400.0,2.12,2.12,2.02,2.02
2000-01-06,6900.0,2.06,2.06,2.06,2.06
2000-01-07,26700.0,2.12,2.19,2.16,2.12
2000-01-10,300.0,2.06,2.06,2.06,2.06
2000-01-11,11000.0,2.06,2.06,2.06,2.06
2000-01-12,6700.0,2.12,2.12,2.06,2.06
2000-01-13,1200.0,2.12,2.12,2.06,2.06
2000-01-14,10400.0,2.12,2.12,2.12,2.12
2000-01-18,4400.0,2.12,2.16,2.16,2.06
2000-01-19,1700.0,2.12,2.12,2.12,2.12
2000-01-20,2800.0,2.12,2.25,2.25,2.12
2000-01-21,1600.0,2.12,2.16,2.16,2.12
2000-01-24,1000.0,2.12,2.12,2.12,2.12
2000-01-25,2400.0,2.06,2.12,2.12,2.06
2000-01-26,2200.0,2.0,2.0,2.0,2.0
2000-01-27,800.0,2.06,2.06,2.06,2.06
2000-01-28,5400.0,2.03,2.09,2.09,1.63
2000-01-31,0.0,2.03,2.03,2.03,2.03
2000-02-01,1100.0,2.0,2.06,2.06,2.0
2000-02-02,300.0,1.91,1.91,1.91,1.91
2000-02-03,0.0,1.91,1.91,1.91,1.91
2000-02-04,0.0,1.91,1.91,1.91,1.91
2000-02-07,4900.0,1.75,2.0,1.81,1.75
2000-02-08,600.0,1.75,1.75,1.75,1.75
2000-02-09,17000.0,1.63,1.75,1.75,1.5
2000-02-10,900.0,1.63,1.63,1.63,1.63
2000-02-11,500.0,1.69,1.69,1.69,1.69
2000-02-14,6200.0,1.88,2.0,2.0,1.69
2000-02-15,800.0,1.88,1.88,1.88,1.88
2000-02-16,0.0,1.88,1.88,1.88,1.88
2000-02-17,6000.0,1.88,2.0,1.94,1.88
2000-02-18,100.0,2.0,2.0,2.0,2.0
2000-02-22,600.0,1.88,1.88,1.88,1.88
2000-02-23,100.0,1.88,1.88,1.88,1.88
2000-02-24,1800.0,1.75,1.88,1.88,1.75
2000-02-25,500.0,1.75,1.75,1.75,1.75
2000-02-28,600.0,1.75,1.75,1.75,1.75
2000-02-29,2600.0,1.88,1.88,1.81,1.81
2000-03-01,200.0,1.75,1.75,1.75,1.75
2000-03-02,400.0,1.75,1.75,1.75,1.75
2000-03-03,2000.0,1.75,1.75,1.75,1.75
2000-03-06,0.0,1.75,1.75,1.75,1.75
2000-03-07,1300.0,1.69,1.78,1.78,1.69
2000-03-08,1400.0,1.81,1.81,1.81,1.81
2000-03-09,6100.0,1.88,1.88,1.72,1.69
2000-03-10,1100.0,1.63,1.81,1.81,1.63
2000-03-13,200.0,1.63,1.63,1.63,1.63
2000-03-14,0.0,1.63,1.63,1.63,1.63
