date,5. volume,4. close,2. high,1. open,3. low
2017-08-22,286096.0,1.32,1.45,1.45,1.29
2017-08-23,206800.0,1.31,1.35,1.25,1.25
2017-08-24,275291.0,1.35,1.38,1.31,1.31
2017-08-25,146924.0,1.36,1.38,1.38,1.3
2017-08-28,247094.0,1.33,1.38,1.36,1.3
2017-08-29,284331.0,1.38,1.41,1.33,1.33
2017-08-30,113234.0,1.36,1.4,1.38,1.34
2017-08-31,187230.0,1.36,1.41,1.34,1.34
2017-09-01,267116.0,1.4215,1.44,1.36,1.34
2017-09-05,129489.0,1.43,1.44,1.42,1.39
2017-09-06,58840.0,1.4,1.44,1.44,1.4
2017-09-07,154255.0,1.43,1.44,1.41,1.4
2017-09-08,250137.0,1.43,1.5,1.44,1.41
2017-09-11,129695.0,1.45,1.47,1.42,1.42
2017-09-12,545007.0,1.52,1.52,1.46,1.45
2017-09-13,469852.0,1.55,1.57,1.52,1.49
2017-09-14,131652.0,1.54,1.57,1.55,1.52
2017-09-15,371058.0,1.37,1.53,1.53,1.37
2017-09-18,343225.0,1.4,1.5,1.42,1.4
2017-09-19,190019.0,1.41,1.44,1.42,1.41
2017-09-20,348648.0,1.37,1.44,1.42,1.36
2017-09-21,270180.0,1.4,1.42,1.38,1.34
2017-09-22,214452.0,1.41,1.42,1.41,1.36
2017-09-25,180355.0,1.38,1.45,1.39,1.37
2017-09-26,100805.0,1.39,1.41,1.38,1.36
2017-09-27,69320.0,1.38,1.4,1.39,1.36
2017-09-28,386441.0,1.42,1.42,1.36,1.35
2017-09-29,176534.0,1.44,1.44,1.39,1.37
2017-10-02,365845.0,1.36,1.42,1.4,1.34
2017-10-03,207269.0,1.36,1.38,1.37,1.36
2017-10-04,220891.0,1.35,1.38,1.35,1.33
2017-10-05,266733.0,1.35,1.38,1.35,1.34
2017-10-06,411916.0,1.33,1.37,1.33,1.32
2017-10-09,518128.0,1.27,1.34,1.31,1.26
2017-10-10,308230.0,1.28,1.32,1.26,1.26
2017-10-11,541566.0,1.23,1.3,1.27,1.15
2017-10-12,206501.0,1.25,1.26,1.21,1.21
2017-10-13,347985.0,1.25,1.26,1.24,1.2
2017-10-16,614570.0,1.14,1.24,1.2,1.12
2017-10-17,151003.0,1.14,1.18,1.12,1.12
2017-10-18,550700.0,1.13,1.18,1.13,1.09
2017-10-19,507360.0,1.1,1.14,1.14,1.07
2017-10-20,249280.0,1.1,1.13,1.08,1.07
2017-10-23,345564.0,1.05,1.1,1.1,1.05
2017-10-24,526938.0,1.03,1.06,1.05,0.99
2017-10-25,372356.0,0.99,1.01,1.01,0.96
2017-10-26,655816.0,0.89,1.01,1.0,0.8
2017-10-27,978696.0,0.85,0.95,0.9,0.8
2017-10-30,234530.0,0.81,0.85,0.83,0.81
2017-10-31,490259.0,0.84,0.9,0.81,0.8
2017-11-01,214385.0,0.83,0.88,0.88,0.8
