date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,451500.0,51.38,53.44,52.0,51.0
2000-01-04,454200.0,49.06,51.13,51.13,48.0
2000-01-05,610200.0,49.13,50.0,49.63,49.06
2000-01-06,601300.0,49.88,50.56,49.38,49.0
2000-01-07,462200.0,53.19,53.5,50.13,50.13
2000-01-10,394100.0,54.0,54.88,54.19,53.25
2000-01-11,479700.0,53.13,54.13,54.13,52.56
2000-01-12,1886800.0,51.44,53.13,53.13,51.0
2000-01-13,670300.0,51.38,51.81,51.81,49.13
2000-01-14,350600.0,51.56,51.94,51.38,50.56
2000-01-18,550700.0,50.88,53.31,53.31,50.63
2000-01-19,584500.0,50.88,51.19,50.81,50.63
2000-01-20,292300.0,51.13,52.25,51.75,50.56
2000-01-21,423400.0,49.81,50.94,50.88,49.5
2000-01-24,304600.0,48.38,50.5,49.94,48.31
2000-01-25,266600.0,47.88,49.0,48.63,47.63
2000-01-26,220500.0,46.75,48.56,48.5,46.5
2000-01-27,253400.0,47.56,48.13,47.0,46.81
2000-01-28,383700.0,46.63,47.81,47.81,46.31
2000-01-31,245800.0,45.38,46.88,46.88,45.13
2000-02-01,979000.0,45.63,45.63,45.31,44.94
2000-02-02,691900.0,44.88,46.5,46.13,44.75
2000-02-03,995500.0,46.63,46.88,43.25,42.63
2000-02-04,231200.0,47.13,48.38,46.5,46.38
2000-02-07,403500.0,45.38,47.0,47.0,45.13
2000-02-08,483500.0,45.25,46.13,45.25,45.13
2000-02-09,537700.0,44.63,45.13,45.13,44.5
2000-02-10,620500.0,44.5,45.75,45.75,44.25
2000-02-11,850600.0,44.0,44.44,43.75,43.75
2000-02-14,198600.0,42.56,44.44,43.75,42.5
2000-02-15,2043200.0,44.56,44.63,42.94,42.94
2000-02-16,334900.0,45.19,45.75,44.88,44.81
2000-02-17,297400.0,44.06,45.5,45.44,43.75
2000-02-18,1266400.0,42.0,43.63,43.63,41.5
2000-02-22,286400.0,41.63,42.81,42.75,41.38
2000-02-23,423900.0,41.31,42.25,41.88,41.06
2000-02-24,481000.0,39.81,41.19,41.19,39.38
2000-02-25,502900.0,39.56,39.94,39.38,39.0
2000-02-28,410300.0,40.75,41.38,41.0,39.63
2000-02-29,496200.0,40.44,41.56,41.25,40.31
2000-03-01,462600.0,41.94,42.19,40.88,40.63
2000-03-02,333400.0,42.56,43.25,42.19,42.0
2000-03-03,216400.0,43.5,44.06,42.63,42.63
2000-03-06,361600.0,42.63,42.88,42.5,41.06
2000-03-07,441000.0,42.25,43.19,41.75,41.63
2000-03-08,555700.0,42.44,42.75,42.25,42.19
2000-03-09,351600.0,41.69,42.44,42.44,41.69
2000-03-10,222900.0,41.94,43.0,41.38,41.06
2000-03-13,331600.0,41.94,42.31,41.94,41.06
2000-03-14,665000.0,43.75,44.5,42.06,42.06
2000-03-15,353100.0,46.63,47.5,44.06,44.06
2000-03-16,1248100.0,52.0,52.88,51.0,50.88
2000-03-17,463200.0,51.88,52.38,52.13,51.38
2000-03-20,690500.0,49.06,50.38,49.88,47.25
2000-03-21,713400.0,49.63,49.88,48.75,47.44
2000-03-22,349600.0,48.94,50.0,50.0,48.63
2000-03-23,535200.0,50.31,50.56,49.25,49.25
2000-03-24,435700.0,49.88,50.88,48.44,48.44
2000-03-27,252500.0,48.13,50.25,49.94,47.69
2000-03-28,254400.0,48.56,49.38,48.63,48.25
2000-03-29,667000.0,49.0,49.88,48.88,48.75
2000-03-30,1449200.0,51.5,52.0,49.25,48.25
2000-03-31,726000.0,55.38,56.0,51.5,51.38
2000-04-03,568300.0,56.81,57.38,55.25,54.63
2000-04-04,375700.0,54.0,56.38,56.19,53.25
2000-04-05,391100.0,54.38,54.63,53.75,53.5
2000-04-06,458800.0,54.63,55.13,55.13,54.0
2000-04-07,214500.0,54.25,55.63,54.38,54.0
2000-04-10,294300.0,54.69,54.69,54.0,53.75
2000-04-11,108400.0,53.75,54.56,54.56,53.31
2000-04-12,126800.0,54.56,54.88,53.38,53.38
2000-04-13,859100.0,51.56,54.44,54.44,51.0
2000-04-14,669000.0,48.31,51.0,51.0,48.19
2000-04-17,234700.0,47.75,49.13,48.31,46.56
2000-04-18,268600.0,47.88,48.13,47.81,47.75
2000-04-19,280500.0,47.5,48.44,47.25,46.5
2000-04-20,378500.0,45.88,47.5,47.5,45.88
2000-04-24,456100.0,45.75,47.25,46.13,45.75
2000-04-25,402600.0,48.19,48.19,46.5,46.5
2000-04-26,258200.0,46.88,48.5,47.94,46.75
2000-04-27,473300.0,45.94,46.38,46.38,45.5
2000-04-28,617800.0,47.63,48.31,45.69,45.63
2000-05-01,365300.0,46.81,48.0,47.5,46.75
2000-05-02,312700.0,47.88,48.69,47.13,47.0
2000-05-03,207300.0,47.25,48.88,47.88,47.0
2000-05-04,704300.0,50.44,50.88,47.13,47.13
2000-05-05,241900.0,50.25,50.44,50.44,49.69
2000-05-08,294100.0,51.5,52.25,50.13,49.94
2000-05-09,247200.0,51.25,51.81,51.13,50.81
2000-05-10,1363900.0,47.63,47.88,45.5,43.75
2000-05-11,721200.0,48.81,48.88,47.63,46.5
2000-05-12,457900.0,48.56,49.31,47.5,47.5
2000-05-15,361500.0,50.0,50.25,49.0,49.0
2000-05-16,473800.0,51.56,51.88,51.88,50.75
2000-05-17,349800.0,50.25,51.63,51.63,49.13
2000-05-18,509000.0,52.0,53.13,50.5,50.38
2000-05-19,748200.0,52.88,54.25,52.0,51.88
2000-05-22,389400.0,52.94,54.0,52.75,52.38
2000-05-23,721400.0,55.25,55.75,53.38,53.31
2000-05-24,842800.0,58.69,58.81,55.63,55.63
2000-05-25,557700.0,57.06,58.0,58.0,56.5
2000-05-26,770000.0,58.0,58.88,57.06,56.88
2000-05-30,508600.0,58.94,58.94,58.0,58.0
2000-05-31,291900.0,59.5,59.69,58.38,58.06
2000-06-01,347100.0,60.69,61.0,59.88,59.5
2000-06-02,598800.0,61.0,63.5,62.88,60.5
2000-06-05,302400.0,58.75,61.88,60.75,58.5
2000-06-06,251700.0,58.25,59.25,58.75,58.13
2000-06-07,426600.0,58.0,59.38,58.25,57.88
2000-06-08,332700.0,57.0,58.5,58.38,56.25
2000-06-09,186200.0,57.13,57.5,57.0,57.0
2000-06-12,204200.0,56.81,58.0,56.75,56.5
2000-06-13,240300.0,56.69,56.81,56.63,55.5
2000-06-14,133700.0,56.75,56.81,56.56,55.94
2000-06-15,479700.0,57.63,58.25,58.0,56.19
2000-06-16,154700.0,56.63,57.63,57.63,56.56
2000-06-19,184900.0,55.69,56.31,55.63,54.75
2000-06-20,252200.0,55.0,56.5,56.13,54.75
2000-06-21,164600.0,54.88,55.0,55.0,53.31
2000-06-22,191800.0,54.94,55.25,55.13,54.56
2000-06-23,128200.0,54.75,54.94,54.81,54.75
2000-06-26,378000.0,54.94,55.0,54.75,54.31
2000-06-27,382800.0,54.25,54.94,54.94,54.0
2000-06-28,470000.0,54.0,54.63,54.19,52.38
2000-06-29,267600.0,54.38,54.38,54.0,52.5
2000-06-30,202900.0,54.13,54.81,54.81,54.0
2000-07-03,127400.0,54.94,54.94,54.0,53.81
2000-07-05,157300.0,55.81,55.94,54.88,54.13
2000-07-06,131000.0,55.38,56.25,55.94,54.63
2000-07-07,234400.0,56.5,56.5,55.5,55.38
2000-07-10,217600.0,58.0,58.5,57.25,57.25
2000-07-11,95900.0,58.44,58.44,57.75,57.44
2000-07-12,416100.0,59.88,60.63,59.5,59.19
2000-07-13,192000.0,58.13,59.94,59.88,57.75
2000-07-14,265300.0,58.38,58.88,58.63,58.25
2000-07-17,182700.0,58.0,58.88,58.75,57.81
2000-07-18,108500.0,56.75,57.75,57.63,56.56
2000-07-19,183600.0,56.25,56.63,56.5,56.0
2000-07-20,167000.0,56.25,56.69,56.13,56.0
2000-07-21,120300.0,56.31,57.13,56.38,56.13
