date,5. volume,4. close,2. high,1. open,3. low
2011-10-13,396800.0,24.25,24.27,23.5,23.0
2011-10-14,402600.0,25.35,25.49,24.36,24.36
2011-10-17,583400.0,25.16,25.8,25.5,25.16
2011-10-18,423500.0,25.24,25.36,25.06,24.9
2011-10-19,722200.0,24.75,25.35,25.25,24.75
2011-10-20,549700.0,24.75,25.03,24.8,24.33
2011-10-21,1764500.0,25.54,25.75,25.0,24.95
2011-10-24,371300.0,25.77,25.85,25.5,25.5
2011-10-25,546800.0,25.75,26.08,25.88,25.0
2011-10-26,657300.0,25.02,26.09,26.09,24.86
2011-10-27,405400.0,25.62,25.95,25.25,25.25
2011-10-28,584700.0,25.82,25.82,25.5,25.25
2011-10-31,15106000.0,26.74,26.74,26.25,25.25
2011-11-01,6095200.0,27.31,28.28,25.6,25.15
2011-11-02,2476700.0,26.62,27.4,27.4,25.79
2011-11-03,1615000.0,26.39,27.07,26.94,26.38
2011-11-04,1923300.0,25.19,26.59,26.17,24.88
2011-11-07,2703500.0,24.6,25.48,24.91,24.37
2011-11-08,2024100.0,24.94,25.345,25.1,24.76
2011-11-09,1570900.0,23.89,25.0,24.35,23.84
2011-11-10,1166000.0,23.65,24.71,24.48,23.52
2011-11-11,1266200.0,23.79,24.09,23.88,23.63
2011-11-14,1339000.0,23.93,24.1,23.58,23.49
2011-11-15,1657700.0,23.99,24.365,23.94,23.82
2011-11-16,1804600.0,24.12,24.6,23.95,23.78
2011-11-17,1279200.0,23.85,24.19,24.0,23.66
2011-11-18,1426200.0,23.93,24.14,23.88,23.72
2011-11-21,1282100.0,23.62,23.81,23.7,23.34
2011-11-22,2126400.0,23.63,26.14,25.02,22.67
2011-11-23,1009700.0,23.68,23.75,23.27,22.88
2011-11-25,991100.0,23.0,23.45,23.45,22.88
2011-11-28,1567300.0,23.49,24.181,23.66,23.14
2011-11-29,1222400.0,23.27,23.6,23.51,23.1666
2011-11-30,2320800.0,23.9,24.195,24.06,23.33
2011-12-01,1046700.0,24.27,24.36,23.81,23.65
2011-12-02,1208900.0,24.25,25.48,25.48,24.22
2011-12-05,930900.0,25.09,25.15,24.57,24.41
2011-12-06,662800.0,24.83,25.07,25.02,24.51
2011-12-07,951200.0,24.57,24.83,24.72,23.86
2011-12-08,938700.0,23.88,24.55,24.45,23.8
2011-12-09,549800.0,24.35,24.46,24.07,23.96
2011-12-12,1213400.0,23.92,24.19,23.95,23.24
2011-12-13,1652500.0,23.85,24.45,24.02,23.71
2011-12-14,1736000.0,23.41,23.6,23.6,22.93
2011-12-15,1074900.0,23.92,24.06,23.55,23.44
2011-12-16,2925700.0,24.67,24.94,24.14,24.01
2011-12-19,1107200.0,24.25,24.855,24.67,24.145
2011-12-20,1190000.0,24.31,24.72,24.59,23.964
2011-12-21,2177400.0,24.92,25.03,24.45,24.02
2011-12-22,971100.0,24.83,25.65,25.07,24.8
2011-12-23,575000.0,24.91,25.16,24.83,24.7038
2011-12-27,664400.0,25.05,25.05,24.84,24.465
2011-12-28,917700.0,25.56,25.76,25.11,25.11
2011-12-29,3975200.0,25.95,26.46,25.67,25.5
2011-12-30,1169700.0,25.69,25.99,25.99,25.135
2012-01-03,1059100.0,25.14,26.43,26.02,25.07
2012-01-04,1391900.0,25.97,26.07,25.07,24.84
2012-01-05,2270700.0,25.6,25.81,25.78,24.87
2012-01-06,524400.0,25.17,25.62,25.54,25.12
2012-01-09,558700.0,25.27,25.42,25.16,24.82
2012-01-10,1048300.0,25.58,25.7,25.46,25.25
2012-01-11,1066300.0,26.06,26.26,25.46,25.39
