date,5. volume,4. close,2. high,1. open,3. low
2012-03-02,4809400.0,24.58,26.0,22.01,22.0
2012-03-05,2988200.0,20.99,24.86,24.85,20.9
2012-03-06,1154300.0,20.5,20.5,19.83,19.36
2012-03-07,444800.0,20.25,20.626,20.45,19.95
2012-03-08,436900.0,20.0,20.39,20.3,19.96
2012-03-09,668200.0,19.8,20.1,20.0,19.5
2012-03-12,1358200.0,22.49,22.49,19.8,19.52
2012-03-13,2053900.0,23.3,24.4,22.55,22.2
2012-03-14,589600.0,22.32,23.35,23.27,22.2
2012-03-15,875600.0,21.75,23.29,22.45,21.36
2012-03-16,433600.0,21.74,22.17,21.93,21.06
2012-03-19,858400.0,22.99,23.93,22.2,21.7
2012-03-20,782200.0,22.9,23.47,23.15,22.1
2012-03-21,1375000.0,23.12,24.1,23.0,22.68
2012-03-22,370800.0,23.22,23.32,23.32,22.44
2012-03-23,307000.0,23.18,23.25,23.22,22.3
2012-03-26,1052000.0,24.6,24.88,23.26,23.01
2012-03-27,3141300.0,27.65,27.75,24.8,24.25
2012-03-28,5267300.0,28.09,31.96,27.52,27.1
2012-03-29,1425200.0,28.01,29.78,27.99,27.58
2012-03-30,1887200.0,26.89,29.27,28.58,25.82
2012-04-02,1166500.0,27.12,27.8,26.9,25.27
2012-04-03,1384800.0,26.7,28.4,27.2,25.92
2012-04-04,440700.0,26.16,27.0,25.94,25.94
2012-04-05,1352200.0,24.17,26.4,25.96,24.0201
2012-04-09,1397800.0,25.22,25.58,23.86,22.74
2012-04-10,1027500.0,25.81,26.51,25.45,24.5
2012-04-11,1004200.0,25.43,26.25,25.47,24.571
2012-04-12,728000.0,26.2,26.44,25.21,25.17
2012-04-13,508200.0,26.33,26.97,26.0,25.44
2012-04-16,631800.0,25.87,27.44,27.0,25.02
2012-04-17,387100.0,25.57,26.24,25.87,25.1
2012-04-18,343900.0,24.99,25.74,25.55,24.55
2012-04-19,604700.0,24.27,24.92,24.72,23.295
2012-04-20,439900.0,23.1,24.4981,24.29,22.75
2012-04-23,593000.0,22.27,22.828,22.64,22.0
2012-04-24,905500.0,21.18,22.15,22.15,20.27
2012-04-25,567800.0,21.13,21.78,21.54,20.56
2012-04-26,734700.0,21.2,21.95,20.73,20.5
2012-04-27,655000.0,21.9,22.52,21.49,21.49
2012-04-30,614800.0,22.86,23.52,21.94,21.6
