date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,545200.0,37.31,38.56,38.56,37.06
2000-01-04,595800.0,36.56,37.5,37.0,36.0
2000-01-05,834400.0,36.81,36.88,36.75,36.56
2000-01-06,709500.0,36.44,36.81,36.5,36.38
2000-01-07,1089800.0,35.63,36.5,36.44,35.38
2000-01-10,994100.0,37.06,37.5,35.56,35.5
2000-01-11,759300.0,36.81,37.5,36.75,36.31
2000-01-12,1766400.0,36.44,37.5,37.0,36.44
2000-01-13,992600.0,37.0,37.94,36.88,36.75
2000-01-14,573000.0,36.0,37.06,37.0,35.81
2000-01-18,1347500.0,34.94,35.75,35.5,34.63
2000-01-19,1749400.0,33.63,34.75,34.69,33.38
2000-01-20,1624600.0,31.81,33.44,33.44,31.69
2000-01-21,1289900.0,31.88,32.19,31.81,31.75
2000-01-24,1003100.0,31.19,32.38,32.13,31.06
2000-01-25,1308600.0,30.38,31.19,31.19,29.63
2000-01-26,817600.0,30.06,30.56,30.38,30.0
2000-01-27,975500.0,30.13,30.56,30.13,30.0
2000-01-28,708600.0,28.88,30.38,30.38,28.75
2000-01-31,508100.0,28.63,29.38,29.25,28.5
2000-02-01,2220900.0,30.75,32.25,29.38,29.38
2000-02-02,1844200.0,28.94,30.44,30.0,28.44
2000-02-03,744400.0,29.69,29.88,29.31,29.13
2000-02-04,783800.0,29.63,29.75,29.69,29.31
2000-02-07,759900.0,29.44,30.0,29.44,29.0
2000-02-08,782700.0,29.88,29.94,29.44,29.38
2000-02-09,968000.0,30.0,31.0,29.56,29.06
2000-02-10,3407700.0,28.5,30.69,30.0,26.94
2000-02-11,1376100.0,27.94,28.38,27.13,26.88
2000-02-14,923600.0,28.06,28.38,28.38,27.5
2000-02-15,860800.0,28.38,28.56,27.88,27.06
2000-02-16,359400.0,27.94,28.63,28.25,27.69
2000-02-17,944700.0,29.38,29.94,28.25,27.75
2000-02-18,775100.0,28.0,29.0,29.0,27.94
2000-02-22,860500.0,27.0,28.19,28.19,26.25
2000-02-23,317100.0,26.81,27.5,27.13,26.81
2000-02-24,768000.0,26.0,26.56,26.56,25.81
2000-02-25,624900.0,25.88,26.19,26.0,25.75
2000-02-28,586600.0,25.69,26.63,25.94,25.25
2000-02-29,737800.0,26.63,27.0,26.06,26.0
2000-03-01,915600.0,28.19,28.44,26.56,26.56
2000-03-02,512200.0,27.69,28.13,28.06,27.31
2000-03-03,859700.0,26.13,28.19,28.19,26.0
2000-03-06,572200.0,27.69,27.94,26.63,26.13
2000-03-07,665200.0,26.44,27.19,27.0,26.25
2000-03-08,488700.0,26.44,26.88,26.5,26.0
2000-03-09,626000.0,27.94,28.13,26.69,26.5
2000-03-10,448600.0,27.75,28.25,27.88,27.5
2000-03-13,466600.0,27.5,28.13,27.31,27.25
2000-03-14,811000.0,26.5,27.56,27.56,26.31
2000-03-15,1724700.0,28.5,29.0,26.75,26.44
2000-03-16,2112900.0,32.88,33.0,27.75,27.56
2000-03-17,1386100.0,31.25,32.88,32.88,31.25
2000-03-20,679000.0,30.13,31.25,30.75,29.81
2000-03-21,504300.0,30.69,31.06,30.13,30.13
2000-03-22,563200.0,29.19,30.5,29.75,29.06
2000-03-23,719000.0,29.19,29.31,28.94,28.19
2000-03-24,520700.0,29.81,30.13,29.5,29.06
2000-03-27,998900.0,29.69,30.31,29.94,29.69
2000-03-28,634700.0,29.5,29.75,29.69,28.75
2000-03-29,680000.0,29.0,29.63,29.31,29.0
2000-03-30,1242800.0,31.31,31.44,28.5,28.44
2000-03-31,689400.0,31.06,32.0,31.06,30.06
2000-04-03,698300.0,30.31,31.44,31.19,29.5
2000-04-04,1217200.0,31.19,32.63,30.81,30.31
2000-04-05,1020400.0,32.25,32.75,30.94,30.94
2000-04-06,1244900.0,31.56,32.25,32.25,31.25
2000-04-07,497100.0,31.63,31.81,31.75,31.44
2000-04-10,458200.0,31.56,32.19,31.38,31.31
2000-04-11,408300.0,32.5,32.75,31.5,31.5
2000-04-12,762100.0,32.88,34.25,32.75,32.63
2000-04-13,583500.0,31.75,33.38,33.31,31.75
2000-04-14,1225200.0,30.5,31.5,31.5,28.75
2000-04-17,754300.0,30.31,31.88,29.63,29.63
2000-04-18,279600.0,30.25,30.75,30.13,30.0
2000-04-19,375300.0,29.63,30.63,30.06,29.56
2000-04-20,654900.0,32.06,32.38,29.38,29.38
2000-04-24,905900.0,33.06,33.13,31.19,31.19
2000-04-25,600900.0,33.25,33.31,32.94,32.06
2000-04-26,1235500.0,34.44,35.13,33.13,33.0
2000-04-27,1931600.0,35.56,35.56,33.44,32.38
2000-04-28,788800.0,33.88,35.56,35.56,33.19
2000-05-01,671600.0,33.69,34.19,33.94,33.56
2000-05-02,685500.0,33.81,34.38,33.63,33.63
2000-05-03,441100.0,33.19,33.94,33.44,32.06
2000-05-04,885700.0,31.06,33.5,33.0,30.25
2000-05-05,485400.0,32.31,32.75,31.56,31.06
2000-05-08,406700.0,31.38,32.19,32.0,31.13
2000-05-09,675600.0,31.56,31.56,31.38,30.69
2000-05-10,517200.0,31.63,31.88,31.44,31.38
2000-05-11,433700.0,32.38,32.88,31.88,31.88
2000-05-12,467900.0,31.25,32.44,32.31,31.0
2000-05-15,374800.0,30.88,31.88,31.25,30.81
2000-05-16,754500.0,32.38,33.38,31.0,30.94
2000-05-17,335200.0,32.19,32.81,32.0,31.5
2000-05-18,446700.0,32.38,33.0,32.25,32.13
2000-05-19,653100.0,30.88,32.75,32.75,30.75
2000-05-22,553700.0,30.88,31.06,31.0,30.5
